Protein_Group	Genes	SAX_vs_RAW_logFC	SAX_vs_RAW_pval	Removed?	Contaminant?
A0A286YCV9	Kif13b	10.1978508916206	1.62616270907489e-17	No	No
A0A3B2WD20	Esp6	10.0064333908371	2.85859060374336e-17	No	No
A2AED3	Fndc7	9.12594547683995	1.25057933919284e-22	No	No
A2AWA9	Rabgap1	9.63456484426733	7.0480798653518e-15	No	No
B2RUR8	Otud7b	8.55885142301045	1.8889596060548e-17	No	No
D3Z1H5	Cd209f	8.57004864884882	1.42760850124409e-19	No	No
D4AFX7	Dnajc13	8.70225121186188	2.70546566456933e-07	No	No
E9PVD3	Dchs1	8.58085237410991	7.31481014740387e-11	No	No
E9Q3L2	Pi4ka	8.37719449297421	2.66229305360751e-06	No	No
O35551	Rabep1	10.2950562362431	2.10713573691732e-16	No	No
O35566	Cd151	10.6778577883024	7.98330837314716e-18	No	No
O55098	Stk10	11.3406991527892	8.69200844753142e-10	No	No
O55106	Strn	8.64779629304479	4.81359700315845e-16	No	No
O88186	Gp9	9.62074581624934	6.33683912486141e-18	No	No
O88597	Becn1	9.46619036983632	5.54362227648475e-15	No	No
P00416	mt-Co3	8.38926601287029	5.785251540942801e-22	No	No
P01667	gene	9.02280577771488	1.7752148144326302e-15	No	No
P0C605	Prkg1	9.26899044965481	6.442957686601991e-15	No	No
P10287	Cdh3	8.37716255373392	3.23295794501213e-19	No	No
P11881	Itpr1	8.69090932739128	2.4194279787812597e-11	No	No
P19783	Cox4i1	11.1480479136514	1.47363939557408e-17	No	No
P22437	Ptgs1	8.5022454097081	1.5759220332967901e-15	No	No
P29387	Gnb4	9.81293374245417	1.8968315659485e-10	No	No
P35831	Ptpn12	9.66399588647623	2.22998907532527e-12	No	No
P37040	Por	8.62075140023659	2.75151215821037e-21	No	No
P39688	Fyn	10.0264572039608	5.44358214448478e-19	No	No
P46978	Stt3a	9.45871696179924	1.6838435457445202e-17	No	No
P49817	Cav1	9.68874664787042	1.3706866882217201e-14	No	No
P51432	Plcb3	8.33335439937392	2.74871316164186e-12	No	No
P51660	Hsd17b4	9.30153803770792	6.471970339363701e-16	No	No
P51830	Adcy9	9.75949702717351	3.6106028682757294e-11	No	No
P52503	Ndufs6	9.41045269173979	2.7636345525418702e-15	No	No
P52825	Cpt2	11.9954093277831	2.27402297922969e-15	No	No
P56212	Arpp19	9.94553055755486	1.82540183232253e-20	No	No
P56382	Atp5f1e	10.0092649463051	1.2786231285594202e-15	No	No
P56391	Cox6b1	9.13441385806638	2.21321157413234e-16	No	No
P58281	Opa1	8.50969226774332	1.71696010166496e-13	No	No
P58871	Tnks1bp1	10.1817776159675	2.5721917474005498e-11	No	No
P62700	Ypel5	10.7160909892223	2.0357071706345302e-23	No	No
P62889	Rpl30	9.25487147435353	1.3686640768137201e-17	No	No
P97311	Mcm6	10.8140640897138	1.5443854106776902e-15	No	No
P97379	G3bp2	9.4878041498985	1.0431281263863499e-22	No	No
Q00262	Stx2	12.0979069483431	2.1660713327814102e-15	No	No
Q01341	Adcy6	9.08117907633503	4.08277593558471e-13	No	No
Q02111	Prkcq	8.40678035427838	6.10822574740867e-14	No	No
Q03517	Scg2	9.45244722183293	2.7382381667414404e-09	No	No
Q04207	Rela	8.68152436439126	4.15034616250554e-16	No	No
Q05D44	Eif5b	9.07445603012612	1.49387455661533e-15	No	No
Q06185	Atp5me	8.93451484030629	2.9623284652796596e-18	No	No
Q08351	Mpl	10.4707790419693	1.2184458082252e-13	No	No
Q08EC4	Cass4	11.6252007233032	5.13389064940215e-12	No	No
Q3TC93	Hs1bp3	8.49203894557864	1.0992843460429e-08	No	No
Q3THK7	Gmps	10.4656030233061	8.08539242866482e-21	No	No
Q3TIR1	Trappc13	11.0347177920131	3.4485364517946803e-15	No	No
Q3TLH4	Prrc2c	8.30803411654058	2.3631823467167804e-09	No	No
Q3UE37	Ube2z	10.1163939172107	9.131248679132901e-20	No	No
Q3UMF0	Cobll1	8.66270136490935	2.7363164387581903e-09	No	No
Q3UMR5	Mcu	10.0785250120423	4.24577767634226e-18	No	No
Q3UMY5	Eml4	9.4500438711711	5.168230548120999e-13	No	No
Q3URD3	Slmap	9.3790958897582	2.02313510150288e-17	No	No
Q3V3R1	Mthfd1l	9.21779411408868	1.7327589728088e-10	No	No
Q505D1	Ankrd28	10.3198385113137	9.88341921997578e-19	No	No
Q59J78	Ndufaf2	8.972892363666	4.43115115173846e-06	No	No
Q5PR69	Crad	10.4529493261859	7.212028549184589e-16	No	No
Q5SW46	Lpo	10.7966085703955	5.4998069928211e-15	No	No
Q5XJY5	Arcn1	8.4768953228668	6.5051226416267495e-12	No	No
Q60973	Rbbp7	8.74699991441887	2.26438289943289e-20	No	No
Q61074	Ppm1g	9.76167686178672	1.55113022751361e-13	No	No
Q61143	Trpc6	9.46877206759326	3.87458221963259e-14	No	No
Q62186	Ssr4	8.95619828770255	2.8806555524409003e-15	No	No
Q62448	Eif4g2	13.498768540695	3.4426414298998e-09	No	No
Q64331	Myo6	8.68009432807848	1.20098693863875e-12	No	No
Q6A065	Cep170	9.7745993561199	1.2047317571983498e-11	No	No
Q6IEE6	Tmem132e	8.45854780718854	9.4203751333731e-17	No	No
Q6NZC7	Sec23ip	9.55823201623034	1.27938330736333e-23	No	No
Q6P1F6	Ppp2r2a	9.55150244615441	5.86051913482048e-19	No	No
Q6P5G6	Ubxn7	10.691984395624	8.94879584774757e-12	No	No
Q6P8X1	Snx6	9.75716352488483	7.38234701463617e-16	No	No
Q6PA06	Atl2	8.59073756375644	8.87685621139975e-12	No	No
Q6PDL0	Dync1li2	10.4707202516731	1.22823882981798e-20	No	No
Q6PIU9	gene	9.00017228197742	1.79180664227831e-23	No	No
Q6X893	Slc44a1	9.01182772798769	3.32321228837178e-17	No	No
Q6ZQI3	Mlec	10.6884934629097	3.9085665629725702e-19	No	No
Q6ZQK5	Acap2	9.473376637002	3.43270278541824e-08	No	No
Q80U28	Madd	9.33877290772366	7.20431393014007e-14	No	No
Q80UG2	Plxna4	9.29960317526953	2.8782539920070296e-11	No	No
Q80XR2	Atp2c1	10.9489649291301	3.79540429682018e-14	No	No
Q810C1	Slitrk1	8.81329033931245	1.4301468465565201e-15	No	No
Q8BG94	Commd7	8.35841324597098	7.80568191620077e-09	No	No
Q8BH97	Rcn3	11.1409581477469	4.27336454243265e-25	No	No
Q8BIF0	Cd99l2	8.6883723713823	1.17206420095427e-18	No	No
Q8BIJ7	Rufy1	11.4797032833491	4.09895349375433e-19	No	No
Q8BJ66	Kazald1	10.0330496208455	8.06083751253481e-19	No	No
Q8BJU0	Sgta	9.66702784212754	4.05760615820285e-12	No	No
Q8BKE6	Cyp20a1	8.91752376872485	5.91111846447039e-14	No	No
Q8BKH7	Mapkap1	9.37993973002157	3.0925150433017e-08	No	No
Q8BPM0	Daam1	10.7381071439102	2.86941392158415e-15	No	No
Q8BR63	Fam177a1	9.02412694956232	3.40713784680738e-23	No	No
Q8BRF7	Scfd1	10.4121420357046	1.22594901271005e-07	No	No
Q8BUK6	Hook3	10.1380589063843	5.05509469468041e-15	No	No
Q8BXZ1	Tmx3	9.22470964416968	1.4761332473832299e-18	No	No
Q8C147	Dock8	8.39186355939182	7.76937850280857e-15	No	No
Q8C341	Suco	9.98299739198606	5.8728601355383e-20	No	No
Q8C3I8	Hgh1	9.36039181277171	1.13841829629041e-19	No	No
Q8C8T8	Tsr2	8.40089035449549	1.32921137105984e-19	No	No
Q8CAQ8	Immt	11.3300919473407	2.42302463099435e-16	No	No
Q8CBC4	Cnst	10.9894131434285	8.976114246892261e-15	No	No
Q8CCJ3	Ufl1	8.57753405018482	9.83779849505815e-11	No	No
Q8CHW4	Eif2b5	9.06852258736461	2.23248397722561e-19	No	No
Q8CJ53	Trip10	10.1251077842925	1.1962411002165999e-17	No	No
Q8JZP9	Gas2l1	8.63137297406674	6.44470909422942e-18	No	No
Q8K021	Scamp1	11.0810216918988	5.5207734206790705e-17	No	No
Q8K0G5	Eipr1	8.91561455739243	9.429426815822699e-13	No	No
Q8K2C7	Os9	9.82584384075371	4.84689774367049e-17	No	No
Q8K2C9	Hacd3	9.10452445158391	1.44005555154631e-21	No	No
Q8K3W0	Babam2	8.5663387468781	2.11904594224301e-17	No	No
Q8K411	Pitrm1	8.98464865680706	4.15961620307677e-16	No	No
Q8K4F0	Cd226	10.6666172235115	1.07923987275612e-16	No	No
Q8K4L3	Svil	10.0027525663559	6.53372530762885e-09	No	No
Q8K4T1	St8sia6	9.32287705202194	4.5044370204628205e-21	No	No
Q8R4H2	Arhgef12	8.82041325848735	3.1075197960458703e-15	No	No
Q8VBT0	Tmx1	8.88476881385698	1.4674086699883402e-15	No	No
Q8VDC1	Fyco1	8.63320262849996	1.2458887209222499e-13	No	No
Q8VDZ4	Zdhhc5	10.9996351358876	1.17033168538369e-20	No	No
Q91VD9	Ndufs1	9.79456454595655	8.640805071122009e-16	No	No
Q91XX7	Pcdhgb2	8.66135557135876	5.67150807397193e-14	No	No
Q91XY4	Pcdhga4	15.0163189437675	2.27257888675297e-21	No	No
Q921G7	Etfdh	11.4171353543389	2.05824432401335e-10	No	No
Q922Q6	Abhd14a	11.227183960384	1.77631221840353e-20	No	No
Q99JB2	Stoml2	9.56888151270645	1.1597154433434e-15	No	No
