Protein_Group	Genes	U2OS_CRISPR_vs_U2OS_WT_logFC	U2OS_CRISPR_vs_U2OS_WT_pval	Removed?	Contaminant?
O60292	SIPA1L3	3.28152611249093	0.0016203811208962	No	No
O75592	MYCBP2	2.77608608230761	5.22728593189497e-05	No	No
O95714	HERC2	3.2453520371906	0.0020192085771704	No	No
P02649	APOE	2.98190659353066	0.0061383175328378	No	No
P04004	VTN	2.69092240994214	0.0077166408002414	No	No
P07686	HEXB	2.54089682261975	0.0029198536196691	No	No
P15104	GLUL	2.55780072149592	0.0095761333782493	No	No
P19878	NCF2	2.62974458286008	0.0009966634472977	No	No
P48163	ME1	2.94564853048513	0.0013445821689515	No	No
P55201	BRPF1	3.07426216896507	0.0005683240871202	No	No
P68871	HBB	3.78869758938941	0.0016703368958575	No	No
P69905	HBA2	3.41331124884763	0.0060123494862226	No	No
Q02543	RPL18A	3.11102329390109	7.16347433101653e-06	No	No
Q12955	ANK3	3.07198669982138	0.0010013683212298	No	No
Q13228	SELENBP1	2.75723883315478	0.0009446382680142	No	No
Q13439	GOLGA4	2.5091797179078	0.0007436451598174	No	No
Q2NKJ3	CTC1	10.1019886603366	7.37351980581672e-14	No	No
Q6P4F7	ARHGAP11A	2.50386686091219	0.0010192840821699	No	No
Q6ZRV2	FAM83H	2.87322251857578	0.0038830063683587	No	No
Q86WV5	TEN1	9.84471682469197	1.83585324043903e-15	No	No
Q8IX21	SLF2	2.51943526551906	0.0048191459005991	No	No
Q8N5C6	SRBD1	2.82085038816257	0.0004053682492801	No	No
Q8WY91	THAP4	3.29773388897729	5.00254322603964e-05	No	No
Q969W8	ZNF566	2.45652450233766	0.002382772961439	No	No
Q96DR8	MUCL1	2.8044436907024	0.0077131347897824	No	No
Q99935	OPRPN	2.99696258465445	0.0007475533428835	No	No
Q9BZF3	OSBPL6	2.43966649059711	0.003882123091747	No	No
Q9H668	STN1	8.99223124974563	2.20255455982776e-18	No	No
Q9P0U1	TOMM7	2.41455978986074	0.001366717979573	No	No
Q9UJ41	RABGEF1	2.44788351579366	0.003375968568969	No	No
