term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__TRIMIPRAMINE,-0.6450174784622663,-1.4174269698890731,0.8795693455518943,20.95%,RPTOR;FCHSD1;HLA-A;BDNF;SLC6A4,DGIdb_Drug_Targets_2024__TRIMIPRAMINE
DGIdb_Drug_Targets_2024__CEP 11981,-0.7822495655888604,-1.4132035240454,0.862997124448257,0.55%,EGFR,DGIdb_Drug_Targets_2024__CEP 11981
DGIdb_Drug_Targets_2024__DORAMAPIMOD,-0.6205523737581808,-1.408941058387164,0.8588897479742188,20.23%,EGFR;TYRO3;NTRK2;YES1;LYN;PRKD2,DGIdb_Drug_Targets_2024__DORAMAPIMOD
DGIdb_Drug_Targets_2024__IPILIMUMAB,-0.7236968030870429,-1.407209651993355,0.860765767320855,8.13%,EGFR;HLA-A,DGIdb_Drug_Targets_2024__IPILIMUMAB
DGIdb_Drug_Targets_2024__VALPROIC ACID,-0.5508210006211813,-1.3979176137371412,0.8791525271802226,5.98%,CPS1;HLA-C;LEP;HDAC5,DGIdb_Drug_Targets_2024__VALPROIC ACID
DGIdb_Drug_Targets_2024__BMS 387032,-0.7404010200361713,-1.393382430518063,0.8563029368756517,8.02%,CDK2;CDK5,DGIdb_Drug_Targets_2024__BMS 387032
DGIdb_Drug_Targets_2024__SOTRASTAURIN,-0.4809263403775897,-1.3929895669155912,0.8527933475225336,8.02%,EGFR;LTK;GRK5;CDK2;MINK1;MARK3;AKT2;CDK5,DGIdb_Drug_Targets_2024__SOTRASTAURIN
DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:1713,0.7934405870673688,1.382699158634135,0.5957519172731024,7.67%,ACTN2;ATP1B1,DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:1713
DGIdb_Drug_Targets_2024__VINBLASTINE,0.6747431724658803,1.367991768562228,0.599382387573729,10.04%,TUBB6;MMP2;ABCB1,DGIdb_Drug_Targets_2024__VINBLASTINE
DGIdb_Drug_Targets_2024__AZD 1152 HQPA,-0.602501853463581,-1.3520904681285162,0.8772693868527416,1.51%,EGFR;CSNK1D,DGIdb_Drug_Targets_2024__AZD 1152 HQPA
DGIdb_Drug_Targets_2024__ACETAZOLAMIDE,0.7824051852906706,1.3405002943941655,0.6260923476766134,9.69%,MMP2;CA4;CA1,DGIdb_Drug_Targets_2024__ACETAZOLAMIDE
DGIdb_Drug_Targets_2024__GEFITINIB,-0.4684919902411376,-1.3381543622413692,0.8973150287290637,6.69%,EGFR;CSNK1D;IRAK4;MINK1;NUP62;TNK2,DGIdb_Drug_Targets_2024__GEFITINIB
DGIdb_Drug_Targets_2024__JNJ 26483327,-0.6527238366994387,-1.3358110937016874,0.8850892551663139,0.55%,EGFR,DGIdb_Drug_Targets_2024__JNJ 26483327
DGIdb_Drug_Targets_2024__PENTOXIFYLLINE,0.7184640262167944,1.3266803508694036,0.6401547016381189,13.82%,PDE2A;ITGB2;PCNA;VWF,DGIdb_Drug_Targets_2024__PENTOXIFYLLINE
DGIdb_Drug_Targets_2024__SORAFENIB TOSYLATE,0.6801811454194149,1.3118139233812396,0.6509523440069667,4.63%,RET;ATXN2,DGIdb_Drug_Targets_2024__SORAFENIB TOSYLATE
DGIdb_Drug_Targets_2024__ZOLEDRONATE,0.7344496195001553,1.2928896971558168,0.6575880877775586,24.54%,MMP2;COL1A1;FDPS,DGIdb_Drug_Targets_2024__ZOLEDRONATE
DGIdb_Drug_Targets_2024__PLX4720,0.7444283639439466,1.2863591398446568,0.6597818771155347,1.97%,MITF,DGIdb_Drug_Targets_2024__PLX4720
DGIdb_Drug_Targets_2024__MELATONIN,0.6933754409168381,1.2860465265548753,0.6596670011125886,16.48%,MAP2;MAOB;BGLAP,DGIdb_Drug_Targets_2024__MELATONIN
DGIdb_Drug_Targets_2024__QUIZARTINIB,0.6640519008037856,1.281089320193769,0.6697400970704815,0.89%,RET,DGIdb_Drug_Targets_2024__QUIZARTINIB
DGIdb_Drug_Targets_2024__LESTAURTINIB,0.7165953555760378,1.2678863275134094,0.6804265831993446,0.89%,RET,DGIdb_Drug_Targets_2024__LESTAURTINIB
DGIdb_Drug_Targets_2024__CYC 116,-0.381416699537798,-1.266270918009345,0.9324812987522544,8.02%,EGFR;CSNK1G1;CSNK1D;DYRK1A;IRAK4;LTK;CDK2;MARK3;PAK4;TNK2;KIT;CDK5,DGIdb_Drug_Targets_2024__CYC 116
DGIdb_Drug_Targets_2024__VASOPRESSIN,-0.6108762578061356,-1.264126963062171,0.9225061376214282,15.12%,SERPINE1;ACE;BDNF,DGIdb_Drug_Targets_2024__VASOPRESSIN
DGIdb_Drug_Targets_2024__SIROLIMUS,-0.5291067201800078,-1.2612570421164515,0.9191214538126976,3.83%,EGFR;RPTOR;EML4;TSC1,DGIdb_Drug_Targets_2024__SIROLIMUS
DGIdb_Drug_Targets_2024__PEGINTERFERON ALFA 2A,-0.5888831078442136,-1.2586100575615384,0.9250351114354868,8.13%,EGFR;HLA-A,DGIdb_Drug_Targets_2024__PEGINTERFERON ALFA 2A
DGIdb_Drug_Targets_2024__COLCHICINE,0.5764534416872723,1.253807799028288,0.6988336882938561,16.54%,TUBB6;MAP2;ITGB2;ABCB1;SRI,DGIdb_Drug_Targets_2024__COLCHICINE
DGIdb_Drug_Targets_2024__PREDNISOLONE,0.5767117659249468,1.247047439928857,0.7117558525947015,26.79%,TG;FCGR3B;ANXA1;RPS19;BGLAP;MTHFR;FCGR3A;RAC2,DGIdb_Drug_Targets_2024__PREDNISOLONE
