"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0043117","GO:0043117",31,"GO:0043117",0.899160256772934,18,"positive regulation of vascular permeability","positive regulation of vascular permeability",0.938465968586387,1,0
"GO:0016446","GO:0016446",27,"GO:0016446",0.899160256772934,12,"somatic hypermutation of immunoglobulin genes","somatic hypermutation of immunoglobulin genes",0.879727748691099,1,0
"GO:2000050","GO:2000050",26,"GO:2000050",0.899160256772934,26,"regulation of non-canonical Wnt signaling pathway","regulation of non-canonical Wnt signaling pathway",0.912047120418848,1,0
"GO:1900407","GO:1900407",19,"GO:1900407",0.899160256772934,26,"regulation of cellular response to oxidative stress","regulation of cellular response to oxidative stress",0.905230366492147,1,0
"GO:0002011","GO:0002011",17,"GO:0002011",0.899160256772934,60,"morphogenesis of an epithelial sheet","morphogenesis of an epithelial sheet",0.90434554973822,1,0
"GO:0097503","GO:0097503",13,"GO:0097503",0.899160256772934,8,"sialylation","sialylation",0.949324607329843,1,0
"GO:0043576","GO:0043576",7,"GO:0043576",0.899160256772934,24,"regulation of respiratory gaseous exchange","regulation of respiratory gaseous exchange",0.933256544502618,1,0
"GO:0006591","GO:0006591",6,"GO:0006591",0.899160256772934,10,"ornithine metabolic process","ornithine metabolic process",0.936916230366492,0.623,0
"GO:0070092","GO:0070092",4,"GO:0070092",0.899160256772934,8,"regulation of glucagon secretion","regulation of glucagon secretion",0.905544502617801,0.6055,0
"GO:0032488","GO:0032488",5,"GO:0032488",0.899160256772934,17,"Cdc42 protein signal transduction","Cdc42 protein signal transduction",0.921554973821989,0.5755,0
"GO:0006595","GO:0006595",14,"GO:0006595",0.899160256772934,18,"polyamine metabolic process","polyamine metabolic process",0.945952879581152,0.549,0
"GO:0006576","GO:0006576",14,"GO:0006595",0.899160256772934,99,"biogenic amine metabolic process","polyamine metabolic process",0.940837696335079,0.549,0.902
"GO:0006040","GO:0006040",29,"GO:0006040",0.899160256772934,42,"amino sugar metabolic process","amino sugar metabolic process",0.939523560209424,0.5485,0
"GO:0006054","GO:0006054",29,"GO:0006040",0.899160256772934,12,"N-acetylneuraminate metabolic process","amino sugar metabolic process",0.918544502617801,0.5485,0.903
"GO:0030903","GO:0030903",10,"GO:0030903",0.899160256772934,19,"notochord development","notochord development",0.907895287958115,0.529666666666667,0
"GO:0003344","GO:0003344",8,"GO:0003344",0.899160256772934,8,"pericardium morphogenesis","pericardium morphogenesis",0.893062827225131,0.523,0
"GO:0060039","GO:0060039",8,"GO:0003344",0.899160256772934,19,"pericardium development","pericardium morphogenesis",0.902952879581152,0.523,0.954
"GO:0046488","GO:0046488",1,"GO:0046488",0.899160256772934,155,"phosphatidylinositol metabolic process","phosphatidylinositol metabolic process",0.920869109947644,0.521,0
"GO:0010656","GO:0010656",18,"GO:0010656",0.899160256772934,50,"negative regulation of muscle cell apoptotic process","negative regulation of muscle cell apoptotic process",0.927434554973822,0.5135,0
"GO:0010664","GO:0010664",18,"GO:0010656",0.899160256772934,33,"negative regulation of striated muscle cell apoptotic process","negative regulation of muscle cell apoptotic process",0.929267015706806,0.5135,0.973
"GO:0014706","GO:0014706",15,"GO:0014706",0.899160256772934,264,"striated muscle tissue development","striated muscle tissue development",0.903455497382199,0.5035,0
"GO:0001574","GO:0001574",3,"GO:0001574",0.899160256772934,17,"ganglioside biosynthetic process","ganglioside biosynthetic process",0.914219895287958,0.498,0
"GO:0046839","GO:0046839",1,"GO:0046488",0.899160256772934,40,"phospholipid dephosphorylation","phosphatidylinositol metabolic process",0.92813612565445,0.485666666666667,0.567
