term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0001573,0.1685196,14.25374,81.82764,HEXB;HEXA;NEU1,Ganglioside Metabolic Process (GO:0001573)
GO:0061384,0.1685196,14.25374,81.82764,TGFB2;NRG1;TGFBR1,Heart Trabecula Morphogenesis (GO:0061384)
GO:0048247,0.1685196,14.25374,81.82764,CCL20;CCL2;GAS6,Lymphocyte Chemotaxis (GO:0048247)
GO:1990266,0.1692831,7.934259,45.2733,TGFB2;CXADR;CCL20;CCL2,Neutrophil Migration (GO:1990266)
GO:0098742,0.1692831,3.986461,22.62901,TGFB2;CXADR;VCAM1;TENM3;CDH10;SCARF2;CDH17,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
GO:0150104,0.1692831,4.622454,26.17305,FABP5;ABCC5;ATP1A4;ATP2B4;LRP2;ABCG2,Transport Across Blood-Brain Barrier (GO:0150104)
GO:0072001,0.1882025,5.41846,29.67885,TGFB2;TRAF3IP1;IFT27;TGFBR1;SULF2,Renal System Development (GO:0072001)
GO:0072359,0.1882025,3.420947,18.72091,TGFB2;CXADR;CDKN1B;MICAL2;UTY;BCOR;HSPG2;TGFBR1,Circulatory System Development (GO:0072359)
GO:1904646,0.1882025,7.323077,40.05715,EPHA4;VCAM1;CASP4;IGF1R,Cellular Response To Amyloid-Beta (GO:1904646)
GO:0007193,0.1882025,11.87673,63.72754,AKAP12;AKAP5;ADCY6,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)
GO:0071870,0.1882025,11.87673,63.72754,ATP2B4;ADCY6;SNCA,Cellular Response To Catecholamine Stimulus (GO:0071870)
GO:0042423,0.1882025,47.40331,252.8867,TGFB2;SNCA,Catecholamine Biosynthetic Process (GO:0042423)
GO:0001736,0.1882025,47.40331,252.8867,VANGL2;NPHP1,Establishment Of Planar Polarity (GO:0001736)
GO:0035272,0.1882025,47.40331,252.8867,IGSF3;FGFR2,Exocrine System Development (GO:0035272)
GO:0003223,0.1882025,47.40331,252.8867,LRP2;TGFBR1,Ventricular Compact Myocardium Morphogenesis (GO:0003223)
GO:0015886,0.1882025,47.40331,252.8867,ABCC5;NRG1,Heme Transport (GO:0015886)
GO:0010718,0.1882025,5.18227,27.53828,TGFB2;JAG1;PDPN;TGFBR1;LOXL2,Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718)
GO:0045787,0.1882025,4.213112,22.17375,TGFB2;CCND2;CHEK1;MEIS2;FGFR2;LRP6,Positive Regulation Of Cell Cycle (GO:0045787)
GO:1904645,0.1882025,6.799206,35.70146,EPHA4;VCAM1;CASP4;IGF1R,Response To Amyloid-Beta (GO:1904645)
GO:0030199,0.1882025,6.799206,35.70146,TGFB2;PXDN;TGFBR1;LOXL2,Collagen Fibril Organization (GO:0030199)
GO:0071621,0.1882025,6.799206,35.70146,TGFB2;CXADR;CCL20;CCL2,Granulocyte Chemotaxis (GO:0071621)
