,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
30,GO:0030199,collagen fibril organization,GO:0030199,0.1882025,6.799206,35.70146,TGFB2;PXDN;TGFBR1;LOXL2,Collagen Fibril Organization (GO:0030199)
31,GO:0016052,carbohydrate catabolic process,GO:0016052,0.1961922,4.965761,25.61319,MANBA;HKDC1;NEU1;UCP2;ALDOB,Carbohydrate Catabolic Process (GO:0016052)
32,GO:0070934,CRD-mediated mRNA stabilization,GO:0070934,0.2103611,10.17887,51.29576,IGF2BP1;IGF2BP3;IGF2BP2,CRD-mediated mRNA Stabilization (GO:0070934)
33,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007169,0.2334931,2.403693,11.78737,BCAR3;EPHA4;EPHA7;UBASH3B;CSF1;SORT1;PDGFD;PDGFC;NRG1;FGFR2;SULF2;IGF1R,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)
34,GO:1904352,positive regulation of protein catabolic process in the vacuole,GO:1904352,0.2341064,23.6989,110.6478,RNF128;LRP2,Positive Regulation Of Protein Catabolic Process In The Vacuole (GO:1904352)
35,GO:0097503,sialylation,GO:0097503,0.2341064,23.6989,110.6478,ST6GAL1;ST3GAL4,Sialylation (GO:0097503)
36,GO:2000035,regulation of stem cell division,GO:2000035,0.2341064,23.6989,110.6478,NCOA3;PRDM15,Regulation Of Stem Cell Division (GO:2000035)
37,GO:0010517,regulation of phospholipase activity,GO:0010517,0.2341064,23.6989,110.6478,FGFR2;SNCA,Regulation Of Phospholipase Activity (GO:0010517)
38,GO:0055006,cardiac cell development,GO:0055006,0.2341064,23.6989,110.6478,CXADR;JAG1,Cardiac Cell Development (GO:0055006)
39,GO:0032735,positive regulation of interleukin-12 production,GO:0032735,0.2459093,7.915051,35.56893,MAPK11;TIRAP;TLR2,Positive Regulation Of Interleukin-12 Production (GO:0032735)
40,GO:0006898,receptor-mediated endocytosis,GO:0006898,0.2459093,2.85561,12.90629,CUBN;ACE2;ACKR3;LRP2;WASF1;HSPG2;LRP6;SNCA,Receptor-Mediated Endocytosis (GO:0006898)
41,GO:0090288,negative regulation of cellular response to growth factor stimulus,GO:0090288,0.2486125,4.107194,18.36822,HHEX;ATP2B4;SPRY1;LRP2;SULF2,Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)
