"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0009134","GO:0009134",33,"GO:0070934",0.630586713399954,15,"nucleoside diphosphate catabolic process","CRD-mediated mRNA stabilization",0.942765957446808,0.72,0.56
"GO:0055006","GO:0055006",36,"GO:0055006",0.630586713399954,120,"cardiac cell development","cardiac cell development",0.856297872340426,0.72,0
"GO:0060255","GO:0060255",22,"GO:0009893",0.630586713399954,6314,"regulation of macromolecule metabolic process","positive regulation of metabolic process",0.905914893617021,0.6405,0.719
"GO:0009313","GO:0009313",32,"GO:0016052",0.630586713399954,17,"oligosaccharide catabolic process","carbohydrate catabolic process",0.953414893617021,0.581,0.838
"GO:0044331","GO:0044331",12,"GO:0007157",0.630586713399954,44,"cell-cell adhesion mediated by cadherin","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.968957446808511,0.529,0.566
"GO:0034137","GO:0034137",15,"GO:0032103",0.630586713399954,7,"positive regulation of toll-like receptor 2 signaling pathway","positive regulation of response to external stimulus",0.836106382978723,0.518333333333333,0.652
"GO:0071346","GO:0071346",8,"GO:0001961",0.630586713399954,122,"cellular response to type II interferon","positive regulation of cytokine-mediated signaling pathway",0.864925531914894,0.463333333333333,0.629
"GO:0022407","GO:0022407",12,"GO:0007157",0.630586713399954,526,"regulation of cell-cell adhesion","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.921563829787234,0.45675,0.692
"GO:0120031","GO:0120031",9,"GO:0042127",0.630586713399954,590,"plasma membrane bounded cell projection assembly","regulation of cell population proliferation",0.931946808510638,0.41175,0.659
"GO:0044782","GO:0044782",9,"GO:0042127",0.630586713399954,418,"cilium organization","regulation of cell population proliferation",0.928074468085106,0.41075,0.647
"GO:0050727","GO:0050727",10,"GO:0031349",0.630586713399954,411,"regulation of inflammatory response","positive regulation of defense response",0.841042553191489,0.33225,0.846
"GO:0014033","GO:0014033",6,"GO:0062043",0.630586713399954,100,"neural crest cell differentiation","positive regulation of cardiac epithelial to mesenchymal transition",0.872042553191489,0.318333333333333,0.722
"GO:0048762","GO:0048762",6,"GO:0062043",0.630586713399954,254,"mesenchymal cell differentiation","positive regulation of cardiac epithelial to mesenchymal transition",0.862723404255319,0.279166666666667,0.77
"GO:1902533","GO:1902533",1,"GO:0043410",0.613508703783069,1071,"positive regulation of intracellular signal transduction","positive regulation of MAPK cascade",0.809787234042553,0.329571428571429,0.914
"GO:0032735","GO:0032735",41,"GO:0032735",0.60922504644507,44,"positive regulation of interleukin-12 production","positive regulation of interleukin-12 production",0.858085106382979,1,0
"GO:0006898","GO:0006898",40,"GO:0006898",0.60922504644507,272,"receptor-mediated endocytosis","receptor-mediated endocytosis",0.970617021276596,1,0
"GO:0003177","GO:0003177",36,"GO:0055006",0.60922504644507,23,"pulmonary valve development","cardiac cell development",0.882702127659574,0.72,0.56
"GO:0035721","GO:0035721",4,"GO:0035720",0.60922504644507,16,"intraciliary retrograde transport","intraciliary anterograde transport",0.928436170212766,0.583,0.834
"GO:0034341","GO:0034341",8,"GO:0001961",0.60922504644507,150,"response to type II interferon","positive regulation of cytokine-mediated signaling pathway",0.879297872340426,0.466,0.621
"GO:0003148","GO:0003148",3,"GO:0055010",0.60922504644507,27,"outflow tract septum morphogenesis","ventricular cardiac muscle tissue morphogenesis",0.860212765957447,0.435,0.771
"GO:2000147","GO:2000147",19,"GO:0030593",0.60922504644507,630,"positive regulation of cell motility","neutrophil chemotaxis",0.872542553191489,0.397166666666667,0.686
"GO:0043062","GO:0043062",31,"GO:0030199",0.60922504644507,324,"extracellular structure organization","collagen fibril organization",0.946691489361702,0.377666666666667,0.87
"GO:0032874","GO:0032874",1,"GO:0043410",0.60922504644507,139,"positive regulation of stress-activated MAPK cascade","positive regulation of MAPK cascade",0.824074468085106,0.348714285714286,0.87
"GO:0010717","GO:0010717",6,"GO:0062043",0.60922504644507,101,"regulation of epithelial to mesenchymal transition","positive regulation of cardiac epithelial to mesenchymal transition",0.830042553191489,0.261833333333333,0.854
"GO:0090288","GO:0090288",42,"GO:0090288",0.604477039231997,107,"negative regulation of cellular response to growth factor stimulus","negative regulation of cellular response to growth factor stimulus",0.882755319148936,1,0
