Protein_Group	Genes	AURKA_dox-_vs_IgG_dox-_logFC	AURKA_dox-_vs_IgG_dox-_pval	Removed?	Contaminant?
P00734	F2	5.19604649143718	2.31294599154615e-06	No	No
P00747	PLG	4.94765889616741	4.17174450308227e-11	No	No
P01011	SERPINA3	2.60624258238812	0.0006634064515828	No	No
P01031	C5	4.80363948778247	1.14136173649421e-07	No	No
P01034	CST3	2.40620763629012	9.53725351694943e-05	No	No
P02748	C9	2.40835795719234	0.0034395845136813	No	No
P04040	CAT	4.63782900941691	2.15533228395331e-14	No	No
P04062	GBA1	1.67436065506375	0.0063600157402557	No	No
P04114	APOB	2.61988431188591	2.04047457985998e-09	No	No
P04196	HRG	6.72811366336357	2.6107157209736198e-11	No	No
P05546	SERPIND1	2.95459812696866	0.0007607005226016	No	No
P07357	C8A	5.26337958213532	1.2225705133119502e-09	No	No
P07358	C8B	8.56341388794986	3.45000750881147e-20	No	No
P07996	THBS1	1.90843936707129	2.85994825349046e-05	No	No
P08048;P17010	ZFX;ZFY	3.37386676824151	1.62725328031293e-15	No	No
P08579	SNRPB2	2.31152881527573	2.76328878853416e-05	No	No
P08842	STS	3.9857189838756	0.001503751671722	No	No
P09001	MRPL3	3.2040614925053	1.84636430631916e-13	No	No
P09661	SNRPA1	2.61854591062787	8.31314211582155e-07	No	No
P0C0L4	C4A	4.84067197016802	4.7474085713725196e-11	No	No
P0CG12	DERPC	5.12323182599492	2.13919779035228e-12	No	No
P0DPB6	POLR1D	2.5485071613652	2.77357570212132e-05	No	No
P10253	GAA	4.28986254268292	0.0001212654017778	No	No
P10588	NR2F6	6.20340962297721	1.2513409934153e-10	No	No
P10589	NR2F1	4.29617358532472	1.32970076322986e-13	No	No
P10643	C7	6.20894694586788	7.21692524241261e-16	No	No
P10909	CLU	2.2281428728148	0.0034762852842049	No	No
P11387	TOP1	1.72606776944944	0.0083648267373303	No	No
P11940	PABPC1	1.95101754202665	2.92159033807061e-08	No	No
P13671	C6	4.88766215429004	1.57554865297451e-09	No	No
P13994	YJU2B	3.48879272616628	3.9445613921385e-06	No	No
P16989	YBX3	2.43999227755506	6.39855974462513e-10	No	No
P17706	PTPN2	2.34880698048651	0.00567859475345	No	No
P18615	NELFE	3.43118444971089	6.01221771371516e-07	No	No
P18621	RPL17	1.65327975276121	2.2583886727664e-08	No	No
P18850	ATF6	1.75704088343433	0.0091471137939866	No	No
P19022	CDH2	2.16981786193923	0.000341226178196	No	No
P20338	RAB4A	1.87754696413112	0.0063398233858757	No	No
P22087	FBL	1.67931247179251	0.0002010893907814	No	No
P22234	PAICS	2.01451172286389	9.36907894528772e-11	No	No
P22532	SPRR2D	2.31629484887454	0.0006320420675328	No	No
P23025	XPA	4.4499557143726	0.0020793494590199	No	No
P23258	TUBG1	3.15888212949639	1.1785242997332e-08	No	No
P23490	LORICRIN	2.72489833243261	0.0003714346416351	No	No
P24468	NR2F2	3.2031097231638	4.8915577152839096e-12	No	No
P25054	APC	3.54488301708491	9.52283177169056e-10	No	No
P27169	PON1	7.7518750865601	7.95470497000868e-20	No	No
P27658	COL8A1	3.84714967717096	1.03161997273359e-09	No	No
P28290	ITPRID2	1.9034095158785	2.60000511532329e-06	No	No
P28715	ERCC5	2.71978402768147	0.0088128350107085	No	No
P28749	RBL1	2.73164790735744	0.0041502668351122	No	No
P29375	KDM5A	3.08430939298997	0.0001755888776631	No	No
P30414	NKTR	4.61850006975165	0.0002271358469403	No	No
P33981	TTK	3.40802841552328	3.68523194055489e-07	No	No
P35221	CTNNA1	4.14571307110918	3.03720781773773e-14	No	No
P35222	CTNNB1	1.74368417134579	4.98613823982199e-08	No	No
P35226	BMI1	3.10867316104918	3.6459252328241204e-09	No	No
P35227	PCGF2	4.05050818308556	2.46768251984442e-12	No	No
P35542	SAA4	5.75160819053363	1.99722626372665e-16	No	No
P35612	ADD2	2.2319565285575	1.47805025375793e-10	No	No
P35637	FUS	2.23619003059676	5.1852524135444605e-09	No	No
P38398	BRCA1	4.18077849046816	0.0051517821444809	No	No
P38432	COIL	2.89272702691462	1.11271069163508e-06	No	No
P38935	IGHMBP2	5.05190556757576	8.5844466320674e-07	No	No
P39060	COL18A1	2.73897016307406	0.0004859862873681	No	No
P40222	TXLNA	2.21411646611306	2.81391927100336e-07	No	No
P41212	ETV6	3.82641188647166	8.24770082243378e-13	No	No
P41223	BUD31	2.25809848119247	0.0008940490129479	No	No
P41440	SLC19A1	6.11323731298627	2.26927456298106e-14	No	No
P42696	RBM34	2.85840183993064	4.01307699212709e-05	No	No
P42766	RPL35	1.69527678860299	2.4437044703424e-06	No	No
P43235	CTSK	1.99713881266764	0.0014051681209005	No	No
P45984	MAPK9	3.15437803419809	1.72957340415835e-15	No	No
P46063	RECQL	4.57082704753483	1.07632661132469e-18	No	No
P46776	RPL27A	1.6683696351916	2.4556317337896703e-09	No	No
P46781	RPS9	1.9397742421027	1.3045811755454098e-11	No	No
P47914	RPL29	1.89135707424367	7.408774406021041e-09	No	No
P48594	SERPINB4	2.33938108470757	0.0036713085161537	No	No
P48634	PRRC2A	2.70277303542483	6.17950142273532e-14	No	No
P48723	HSPA13	1.74282517369682	0.0083785933781926	No	No
P49356	FNTB	2.51955209310209	5.11100397776301e-05	No	No
P49406	MRPL19	2.89331131535902	2.1667539714763697e-11	No	No
P49770	EIF2B2	2.24769589911291	0.0004225797602661	No	No
P49848	TAF6	3.90368439985916	9.35262720354015e-05	No	No
P49902	NT5C2	2.85398007597403	5.79349795032022e-10	No	No
P51114	FXR1	2.320790898628	1.95258652932155e-08	No	No
P51116	FXR2	2.33711302834103	1.17308649299395e-08	No	No
P52298	NCBP2	2.12772150587364	3.5141636417717103e-09	No	No
P52741	ZNF134	5.66853208439281	1.07769710767273e-09	No	No
P52756	RBM5	3.71194423250603	1.52578595187833e-08	No	No
P52815	MRPL12	2.14039872177471	8.69825433897441e-07	No	No
P52888	THOP1	3.99061848593951	1.05330002466011e-07	No	No
P53667	LIMK1	2.86289336021743	0.0073549203089622	No	No
