Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
O95429	BAG4	3.1795011036698	1.25562097474419e-05	No	No
O95445	APOM	1.96382674622881	0.0002697696348476	No	No
O95453	PARN	2.90019587248689	4.35858671269229e-08	No	No
O95478	NSA2	4.30523063402896	7.68914587788512e-09	No	No
O95503	CBX6	3.83980590818733	9.3868522662429e-09	No	No
O95619	YEATS4	1.76613710423654	0.0008326554192584	No	No
O95625	ZBTB11	3.09290769954551	0.0009640878128112	No	No
O95696	BRD1	1.87207648262348	0.0097917297574712	No	No
O95707	POP4	2.59428234074318	7.76075933126122e-08	No	No
O95793	STAU1	1.87897973037284	7.802114225612719e-11	No	No
O95872	GPANK1	3.32612951407478	5.8834995188300305e-09	No	No
O95900	TRUB2	2.49374242872256	0.0001358291664859	No	No
O95926	SYF2	3.24468829479291	0.0001946372407858	No	No
O95985	TOP3B	2.94951281910402	6.12337217294402e-10	No	No
O96013	PAK4	3.29225279688002	5.98493097080828e-12	No	No
O96028	NSD2	2.42263540411307	0.000666771031918	No	No
P00742	F10	3.82901626573014	9.0060645978436e-14	No	No
P00747	PLG	2.69034302117179	6.96145124500327e-06	No	No
P01031	C5	2.02567100053173	0.0069321039872319	No	No
P04040	CAT	4.03756275637534	7.70588269754307e-13	No	No
P04150	NR3C1	1.82525690526844	0.0030013210761164	No	No
P04196	HRG	3.3451990909886	1.96792504638631e-05	No	No
P04908;Q7L7L0;Q93077	H2AC25;H2AC4;H2AC6	2.63899812227951	0.0020528810687644	No	No
P05423	POLR3D	2.58016030321211	5.59212856026261e-06	No	No
P06899;Q16778	H2BC11;H2BC21	2.48041345423917	0.0057748594300844	No	No
P07358	C8B	7.51922994984943	1.4248330547067e-18	No	No
P08579	SNRPB2	2.75499838008466	1.87560091141055e-06	No	No
P09001	MRPL3	2.90483317130998	2.2019451603274997e-12	No	No
P09661	SNRPA1	2.89175513161679	1.38329241984555e-07	No	No
P0C0L4	C4A	1.89624460058024	0.0005276635491234	No	No
P0C0S5;Q71UI9	H2AZ1;H2AZ2	2.0334039274396	0.0011163205540326	No	No
