Protein_Group	Genes	AURKA_dox+_vs_AURKA_dox-_logFC	AURKA_dox+_vs_AURKA_dox-_pval	Removed?	Contaminant?
Q96N67	DOCK7	1.1476804494566	1.85581030238888e-05	No	No
Q96QP1	ALPK1	1.14955122206996	0.0010601771916565	No	No
Q96RF0	SNX18	2.09714051860794	9.23851465615156e-06	No	No
Q96RG2	PASK	3.99491828872431	7.96807982701494e-06	No	No
Q96S15	WDR24	1.91027994830183	0.0026991329796394	No	No
Q99961	SH3GL1	1.71427656280077	1.86914395588924e-07	No	No
Q9BQA1	WDR77	1.11987678135584	0.0001099544561068	No	No
Q9BU61	NDUFAF3	2.03694855485137	0.0094997285463005	No	No
Q9BWT1	CDCA7	4.27079796619605	0.0075768789732245	No	No
Q9BZF3	OSBPL6	3.38880296867593	0.0001140558138726	No	No
Q9C0C2	TNKS1BP1	2.21703465277095	6.06758946033991e-10	No	No
Q9GZP9	DERL2	1.45498691093068	0.0095160608113641	No	No
Q9H0H0	INTS2	2.12848353299052	0.0095938954089301	No	No
Q9H1A4	ANAPC1	1.38522117481261	0.0038450169566087	No	No
Q9H2K2	TNKS2	1.11936045931449	0.0021826293480029	No	No
Q9H4L5	OSBPL3	1.44489322509176	1.2094200555838e-07	No	No
Q9H6R7	WDCP	1.09084603544723	0.0053554670338507	No	No
Q9H7T9	AUNIP	1.60064828115375	0.000348825371456	No	No
Q9H8H0	NOL11	2.11095703740537	0.0001028023304503	No	No
Q9H930	SP140L	2.3122779136725	0.0092610091526852	No	No
Q9HB90	RRAGC	1.49403758574066	0.0009991354989441	No	No
Q9NP81	SARS2	1.08043311748337	0.006416579246675	No	No
Q9NQC7	CYLD	1.50606596162691	0.0006520360295849	No	No
Q9NR82	KCNQ5	1.63114896822708	0.0031085476463432	No	No
Q9NT62	ATG3	2.12878026049403	0.0004636113589696	No	No
Q9NWM3	CUEDC1	1.64772559880012	0.0078252278284807	No	No
Q9NYA4	MTMR4	3.97219341580214	4.87604801493057e-06	No	No
Q9NZ09	UBAP1	1.32144013094019	0.0042414028184584	No	No
Q9NZN5	ARHGEF12	2.13342316504444	0.0019692727493606	No	No
Q9UHY8	FEZ2	3.2336425067416	0.000711395446618	No	No
Q9UIV1	CNOT7	0.963249665362284	0.0068022818669489	No	No
Q9UJM3	ERRFI1	1.57662007784784	0.0005612802378598	No	No
Q9UKA4	AKAP11	1.0827421910628	0.0064950732494658	No	No
Q9UKI2	CDC42EP3	1.70615257632176	0.0004139970738145	No	No
Q9UKK3	PARP4	1.48808718005495	2.02733450170797e-08	No	No
Q9UKS7	IKZF2	1.78960577609526	8.7729557653349e-05	No	No
Q9UL42	PNMA2	0.920031522316823	7.62096007947384e-05	No	No
Q9ULQ0	STRIP2	1.43553681441497	0.0062568396982147	No	No
Q9ULW0	TPX2	1.09328193907358	0.003979510137819	No	No
Q9UNF0	PACSIN2	1.06861198233007	0.0029865210139178	No	No
Q9UPQ9	TNRC6B	1.10032133731088	0.0081382130926514	No	No
Q9UPY3	DICER1	2.5841026651587	2.28377785416155e-05	No	No
Q9Y2L9	LRCH1	1.18001943907425	2.97915565786877e-07	No	No
Q9Y485	DMXL1	3.63119433747227	3.28798698888255e-06	No	No
Q9Y4F1	FARP1	3.05137455585095	0.0001895070323303	No	No
Q9Y5P4	CERT1	1.44710269806926	0.0084238345748578	No	No
Q9Y5X1	SNX9	2.50503183191493	8.027556116575029e-11	No	No
Q9Y6K8	AK5	1.52619445541065	0.000258509020618	No	No
Q9Y6K9	IKBKG	1.09111685543639	0.002510761996047	No	No
A0A0A0MRZ8;P04433	IGKV3-11;IGKV3D-11	-2.21441051384745	0.003145375460527	No	No
A0A0J9YY99	gene	-2.06710181974498	0.0063929245358385	No	No
A8K855	EFCAB7	-1.14023358473382	0.0002493211533648	No	No
B9A064	IGLL5	-1.8067432193949	0.0057924771982178	No	No
O00115	DNASE2	-1.21108226272625	0.0024754706094889	No	No
O00479	HMGN4	-1.27677520161166	0.003535400241705	No	No
O00592	PODXL	-1.45598132373553	0.0057818114920873	No	No
O14662	STX16	-1.79962100050238	0.0017876596264165	No	No
O14907	TAX1BP3	-1.28878202311578	0.0015703051149898	No	No
O15118	NPC1	-1.08600864839398	0.0072078915675263	No	No
O43240	KLK10	-3.06116967350563	0.003040945136757	No	No
O43463	SUV39H1	-5.09086098307318	0.0003453899542917	No	No
O43633	CHMP2A	-1.39481042235218	0.0099268057122391	No	No
O60493	SNX3	-1.42680675910981	0.0014679305968666	No	No
O60749	SNX2	-1.25000621213625	0.0097609225543884	No	No
O60927	PPP1R11	-3.70182497352967	0.0006893927905432	No	No
O75153	CLUH	-0.943891950801703	0.0007692361191207	No	No
O75531	BANF1	-2.1493716654009	0.0001818645797302	No	No
O95274	LYPD3	-2.87420779527152	0.0005890019999693	No	No
O95969	SCGB1D2	-1.85632416174203	0.0081915351530011	No	No
P00734	F2	-2.98332302831139	0.0023008434704582	No	No
P01034	CST3	-1.56154090001548	0.0066648706300139	No	No
P01602	IGKV1-5	-1.12080959099202	0.0063794385584389	No	No
P01624	IGKV3-15	-2.06409559335764	0.0059636013754857	No	No
P02649	APOE	-3.79599878309402	2.83369067738444e-06	No	No
P02750	LRG1	-3.63908521371075	0.0042001413032594	No	No
