term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__CARFILZOMIB,0.5775857328698405,2.02820674223994,0.0200168846641911,28.06%,PSMC4;PSMB4;PSMB5;PSMB9;PSMD2;PSMD11;PSMC2;PSMC6;PSMC5;PSMC3;PSMD13;PSMD1;PSMA7;PSMB10;PSMC1;PSMD5;PSMD6;PSMB1;PSMD7;PSMB8;PSMD14;PSMA5;ADRM1;PSMA4;PSMB3;PSMD12;PSMD8;PSMA1;PSMB2;PSMD3;PSMA2;PSMA6;PSMD4,DGIdb_Drug_Targets_2024__CARFILZOMIB
DGIdb_Drug_Targets_2024__MT 3724,-0.3080403229998622,-1.8795886280047265,0.5548148064305576,50.69%,MS4A1;RPL13;RPL18;RPL23;RPL7;RPL19;RPS15A;RPL27A;RPS10;RPL8;RPS12;RPL17;RPS8;RPL6;RPL29;RPL5;RPS18;RPL7A;RPS21;RPL22;RPL10A;RPL12;RPS3A;RPS4X;RPS14;RPS2;RPS20;RPS19;RPS23;RPL4;RPS3;RPS16;RPL15,DGIdb_Drug_Targets_2024__MT 3724
DGIdb_Drug_Targets_2024__BORTEZOMIB,0.4970662582171447,1.804973447246535,0.1373435749731134,43.98%,PSMC4;PSMB4;PSMB5;HSPA4;PSMB9;PSMD2;PSMD11;PSMC2;PSMC6;PSMC5;PSMC3;PSMD13;PSMD1;PSMA7;PSMB10;PSMC1;PSMD5;PSMD6;PSMB1;PSMD7;PSMB8;PSMD14;PSMA5;ADRM1;PSMA4;PSMB3;PSMD12;PSMD8;PSMA1;PSMB2;PSMD3;PSMA2;PSMA6;PSMD4;PSMF1;PSMB7;PSMA3;PSMB6;PSME2;PSMD9;NFKB1;CAPN1;PRSS2;PSMD10;F2,DGIdb_Drug_Targets_2024__BORTEZOMIB
DGIdb_Drug_Targets_2024__MESALAMINE,0.8018151118615449,1.79224779438163,0.147727529471916,19.90%,HSD17B10;PTGS1;CHUK;IKBKB;GLS,DGIdb_Drug_Targets_2024__MESALAMINE
DGIdb_Drug_Targets_2024__CYCLOHEXIMIDE,-0.3245469420119445,-1.769438518034171,0.3887851337058459,50.69%,RPL13;RPL18;RPL23;SMAD3;RPL7;RPL19;RPS15A;RPL27A;RPS10;RPL8;RPS12;RPL17;IDH1;RPS8;RPL6;RPL29;RPL5;RPS18;RPL7A;RPS21;RPL22;RPL10A;RPL12;RPS3A;RPS4X;RPL28;EEF2;RPS14;RPS2;RPS20;RPS19;RPS23;RPL4;RPS3;RPS16;RPL15,DGIdb_Drug_Targets_2024__CYCLOHEXIMIDE
DGIdb_Drug_Targets_2024__PANITUMUMAB,-0.5804476351351352,-1.757478267181677,0.3791112519666323,42.06%,EGFR;MET;BRAF;PIK3CA;KRAS;MAP2K1;PTEN,DGIdb_Drug_Targets_2024__PANITUMUMAB
DGIdb_Drug_Targets_2024__UCN 01,0.7145750896731417,1.741592076834393,0.1961654697090731,19.44%,PRKCB;PRKCD;PRKCQ;PRKCA;DIABLO,DGIdb_Drug_Targets_2024__UCN 01
DGIdb_Drug_Targets_2024__ATALUREN,-0.3136168334050704,-1.7384321468587234,0.390160304330244,50.69%,RPL13;RPL18;RPL23;RPL7;RPL19;RPS15A;RPL27A;RPS10;RPL8;RPS12;RPL17;RPS8;RPL6;RPL29;RPL5;RPS18;RPL7A;RPS21;RPL22;RPL10A;RPL12;RPS3A;RPS4X;RPL28;RPS14;RPS2;RPS20;RPS19;RPS23;RPL4;RPS3;RPS16;RPL15,DGIdb_Drug_Targets_2024__ATALUREN
DGIdb_Drug_Targets_2024__DORLIMOMAB ARITOX,-0.3092186712750506,-1.7355095668802565,0.3628620584273733,50.69%,RPL13;RPL18;RPL23;RPL7;RPL19;RPS15A;RPL27A;RPS10;RPL8;RPS12;RPL17;RPL6;RPL29;RPL5;RPS18;RPL7A;RPS21;RPL22;RPL10A;RPL12;RPS3A;RPS4X;RPL28;RPS14;RPS2;RPS20;RPS19;RPS23;RPL4;RPS3;RPS16;RPL15,DGIdb_Drug_Targets_2024__DORLIMOMAB ARITOX
DGIdb_Drug_Targets_2024__DICLOFENAC,0.7473580674636551,1.6892041986897663,0.2675059687060877,5.78%,PLA2G4A;PTGS1,DGIdb_Drug_Targets_2024__DICLOFENAC
DGIdb_Drug_Targets_2024__MIDOSTAURIN,0.5533670110166762,1.6833659246927244,0.2625115761061485,32.83%,PRKCB;PRKCD;PRKCQ;FGFR1;JAK3;PDGFRB;PRKCA;IDH2;JAK2;PDGFRA;NPM1;CBL;YES1,DGIdb_Drug_Targets_2024__MIDOSTAURIN
DGIdb_Drug_Targets_2024__CELECOXIB,0.5267986138893013,1.669104585964755,0.2877427170477475,24.96%,HSPA4;STAT3;CTNNB1;PTGS1;MT-CO2;ATP2A2;PDK1;ATP2A3;CASP3;ALOX12,DGIdb_Drug_Targets_2024__CELECOXIB
DGIdb_Drug_Targets_2024__DIPYRIDAMOLE,0.6061930489543941,1.6505579196005669,0.2964208591450181,31.96%,HSD17B10;PDE3A;TSG101;PDE5A;ABCC1;HSP90AB1;HSP90AA1,DGIdb_Drug_Targets_2024__DIPYRIDAMOLE
DGIdb_Drug_Targets_2024__BRYOSTATIN,0.7358980299405026,1.6337741457570143,0.3236682818934454,17.71%,PRKCB;PRKCD;PRKCQ;PRKCA,DGIdb_Drug_Targets_2024__BRYOSTATIN
DGIdb_Drug_Targets_2024__PODOFILOX,0.690099218914925,1.6103155007096517,0.3518401742372093,31.08%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1,DGIdb_Drug_Targets_2024__PODOFILOX
DGIdb_Drug_Targets_2024__NIVOLUMAB,-0.4600760456273764,-1.5674623799540333,0.4427246488358668,54.10%,EGFR;BRAF;B2M;PIK3CA;KRAS;IDH1;CD274;PTEN;FGFR3,DGIdb_Drug_Targets_2024__NIVOLUMAB
DGIdb_Drug_Targets_2024__ANG1005,0.616261879619852,1.5573038646201207,0.3904554933411052,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;LRP1;TUBB4B,DGIdb_Drug_Targets_2024__ANG1005
DGIdb_Drug_Targets_2024__IPILIMUMAB,-0.5803251002744353,-1.5511509186604726,0.4628993232259822,42.06%,EGFR;BRAF;B2M;CD274;HLA-A;PTEN,DGIdb_Drug_Targets_2024__IPILIMUMAB
DGIdb_Drug_Targets_2024__IL 2,0.5131380390032492,1.5396268052415722,0.4204593519548958,36.52%,VIM;MAPK14;FYN;ILF3;TG;PIK3CB;CBL;CD40LG,DGIdb_Drug_Targets_2024__IL 2
DGIdb_Drug_Targets_2024__LEVODOPA,0.6895140770568435,1.5330966429417263,0.4213995638260724,29.90%,HSD17B10;MTHFR;BAX;MT-CO1,DGIdb_Drug_Targets_2024__LEVODOPA
DGIdb_Drug_Targets_2024__LENVATINIB,0.6457400792219662,1.5308054122210268,0.4267228269518784,27.05%,FGFR2;FGFR1;PDGFRB;PDGFRA;FLT4,DGIdb_Drug_Targets_2024__LENVATINIB
DGIdb_Drug_Targets_2024__DIGITOXIN,0.6302035800686502,1.5241390976556104,0.4270532977663273,13.32%,STAT3;ATP1A1;ATP1B3,DGIdb_Drug_Targets_2024__DIGITOXIN
DGIdb_Drug_Targets_2024__FLUTICASONE PROPIONATE,0.6519661148485161,1.5181836746900133,0.435339715477147,2.66%,HSPA4;PLA2G4A,DGIdb_Drug_Targets_2024__FLUTICASONE PROPIONATE
DGIdb_Drug_Targets_2024__PLATINUM,-0.5772477838750527,-1.504743470040613,0.5429991122868235,42.36%,CD74;ATP7A;RICTOR;XRCC5;SLC2A1,DGIdb_Drug_Targets_2024__PLATINUM
DGIdb_Drug_Targets_2024__DOLASTATIN 10,0.6161317567567565,1.5029578391423652,0.448375399607144,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__DOLASTATIN 10
DGIdb_Drug_Targets_2024__PF 06263507,0.6161317567567565,1.5029578391423652,0.448375399607144,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__PF 06263507
DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE,0.6161317567567565,1.5029578391423652,0.448375399607144,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE
DGIdb_Drug_Targets_2024__ABT 751,0.6161317567567565,1.5029578391423652,0.448375399607144,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__ABT 751
DGIdb_Drug_Targets_2024__IXABEPILONE,0.6161317567567565,1.5029578391423652,0.448375399607144,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__IXABEPILONE
DGIdb_Drug_Targets_2024__EPOTHILONE D,0.6161317567567565,1.5029578391423652,0.448375399607144,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__EPOTHILONE D
DGIdb_Drug_Targets_2024__AGS 16C3F,0.6161317567567565,1.5029578391423652,0.448375399607144,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__AGS 16C3F
DGIdb_Drug_Targets_2024__ENFORTUMAB VEDOTIN,0.6161317567567565,1.5029578391423652,0.448375399607144,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__ENFORTUMAB VEDOTIN
DGIdb_Drug_Targets_2024__HALOPERIDOL,0.4841347776887859,1.4764269078631556,0.479152093931951,32.81%,HSPA4;LDLR;MAPK14;MAOB;MTHFR;TOR1A;COMT;NTS;CAMK2G,DGIdb_Drug_Targets_2024__HALOPERIDOL
DGIdb_Drug_Targets_2024__MELATONIN,0.6320056364269961,1.464587371574806,0.4820756650313754,32.62%,GCLM;MAOB;TGFB1;BAX;PIK3CG,DGIdb_Drug_Targets_2024__MELATONIN
DGIdb_Drug_Targets_2024__VERAPAMIL,0.6540734487125368,1.4425192426282885,0.5152271995053974,34.66%,LDLR;TGFB1;ABCC1;BAX;GRK5,DGIdb_Drug_Targets_2024__VERAPAMIL
DGIdb_Drug_Targets_2024__ASG 5ME,0.6160016888325944,1.4364352149144195,0.5169105652699952,38.48%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__ASG 5ME
DGIdb_Drug_Targets_2024__PD 0325901,-0.5802026171380329,-1.4346399704295945,0.594217880853836,42.06%,BRAF;PIK3CA;KIT;MAP2K1;PTEN,DGIdb_Drug_Targets_2024__PD 0325901
DGIdb_Drug_Targets_2024__VINBLASTINE,0.5356342201061632,1.4324706599717512,0.515100982487029,38.84%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B;TBXA2R,DGIdb_Drug_Targets_2024__VINBLASTINE
DGIdb_Drug_Targets_2024__CABAZITAXEL,0.6160016888325944,1.431167057189804,0.5109887181778637,38.48%,TUBB4A;TUBB6;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__CABAZITAXEL
DGIdb_Drug_Targets_2024__FASUDIL,0.5131508172091853,1.4235655722029046,0.5112041274595079,10.75%,ROCK2;ROCK1;PRKACB;PRKCD;PRKCQ,DGIdb_Drug_Targets_2024__FASUDIL
DGIdb_Drug_Targets_2024__E 3810,0.6069617004830491,1.4136966824328832,0.5264695478509677,27.05%,FGFR2;FGFR1;PDGFRB;PDGFRA;FLT4,DGIdb_Drug_Targets_2024__E 3810
