"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0034103","GO:0034103",5,"GO:0034103",1.12341980178048,85,"regulation of tissue remodeling","regulation of tissue remodeling",0.894778012684989,1,0
"GO:0002526","GO:0002526",7,"GO:0002526",1.12341980178048,107,"acute inflammatory response","acute inflammatory response",0.939697674418605,0.49,0
"GO:0060317","GO:0060317",4,"GO:0060317",1.12341980178048,34,"cardiac epithelial to mesenchymal transition","cardiac epithelial to mesenchymal transition",0.884710359408034,0.411777777777778,0
"GO:0071711","GO:0071711",2,"GO:0071711",1.12341980178048,36,"basement membrane organization","basement membrane organization",0.966492600422833,0.39925,0
"GO:0001817","GO:0001817",1,"GO:0001817",1.12341980178048,868,"regulation of cytokine production","regulation of cytokine production",0.802177589852008,0.347625,0
"GO:0030198","GO:0030198",2,"GO:0071711",1.12341980178048,321,"extracellular matrix organization","basement membrane organization",0.960463002114165,0.32525,0.831
"GO:0061178","GO:0061178",6,"GO:0061178",1.12341980178048,54,"regulation of insulin secretion involved in cellular response to glucose stimulus","regulation of insulin secretion involved in cellular response to glucose stimulus",0.833835095137421,0.3138,0
"GO:0010951","GO:0010951",3,"GO:0010951",1.12341980178048,128,"negative regulation of endopeptidase activity","negative regulation of endopeptidase activity",0.841625792811839,0.272846153846154,0
"GO:0010466","GO:0010466",3,"GO:0010951",1.12341980178048,137,"negative regulation of peptidase activity","negative regulation of endopeptidase activity",0.840454545454545,0.267461538461538,0.991
"GO:0052548","GO:0052548",8,"GO:0052548",0.962410970871925,288,"regulation of endopeptidase activity","regulation of endopeptidase activity",0.862084566596194,0.231142857142857,0
"GO:0018149","GO:0018149",11,"GO:0018149",0.928408478249424,28,"peptide cross-linking","peptide cross-linking",0.952526427061311,1,0
"GO:0045667","GO:0045667",9,"GO:0045667",0.928408478249424,150,"regulation of osteoblast differentiation","regulation of osteoblast differentiation",0.866131078224102,0.334,0
"GO:0001936","GO:0001936",10,"GO:0001936",0.928408478249424,181,"regulation of endothelial cell proliferation","regulation of endothelial cell proliferation",0.910200845665962,0.2826,0
"GO:0045765","GO:0045765",12,"GO:0045765",0.928408478249424,349,"regulation of angiogenesis","regulation of angiogenesis",0.820065539112051,0.227642857142857,0
"GO:0033628","GO:0033628",14,"GO:0033628",0.904120312408494,49,"regulation of cell adhesion mediated by integrin","regulation of cell adhesion mediated by integrin",0.916945031712474,0.390666666666667,0
"GO:0032642","GO:0032642",13,"GO:0032642",0.904120312408494,104,"regulation of chemokine production","regulation of chemokine production",0.83992600422833,0.308,0
"GO:0030194","GO:0030194",15,"GO:0030194",0.880887029000307,28,"positive regulation of blood coagulation","positive regulation of blood coagulation",0.794570824524313,0.5,0
"GO:2001223","GO:2001223",16,"GO:2001223",0.837763080573026,11,"negative regulation of neuron migration","negative regulation of neuron migration",0.842670190274841,0.476285714285714,0
"GO:0045668","GO:0045668",9,"GO:0045667",0.837763080573026,65,"negative regulation of osteoblast differentiation","regulation of osteoblast differentiation",0.847898520084567,0.357,0.941
"GO:0002683","GO:0002683",17,"GO:0002683",0.818707629981277,519,"negative regulation of immune system process","negative regulation of immune system process",0.864693446088795,0.3138,0
"GO:0033622","GO:0033622",42,"GO:0033622",0.783542465924358,26,"integrin activation","integrin activation",0.96737843551797,1,0
"GO:0044272","GO:0044272",38,"GO:0044272",0.783542465924358,161,"sulfur compound biosynthetic process","sulfur compound biosynthetic process",0.947463002114165,1,0
"GO:0010894","GO:0010894",36,"GO:0010894",0.783542465924358,30,"negative regulation of steroid biosynthetic process","negative regulation of steroid biosynthetic process",0.886589852008457,1,0
"GO:0060046","GO:0060046",27,"GO:0060046",0.783542465924358,15,"regulation of acrosome reaction","regulation of acrosome reaction",0.957266384778013,1,0
