,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
22,GO:0042476,odontogenesis,GO:0042476,0.1519981,5.897097,35.39095,TGFB2;TUFT1;ZNF22;BCOR;FGFR2;AQP1,Odontogenesis (GO:0042476)
23,GO:0042116,macrophage activation,GO:0042116,0.1519981,5.897097,35.39095,APP;IFNGR1;IFI35;TMEM106A;SNCA;FOXP1,Macrophage Activation (GO:0042116)
24,GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,GO:0045197,0.1646689,3.624799,21.13943,CAMSAP3;SLC9A3R1;PATJ;PARD6B;OPHN1;PRKCZ;PARD3B;CRB3;LLGL2,Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197)
25,GO:0120031,plasma membrane bounded cell projection assembly,GO:0120031,0.1862258,1.849289,10.47509,DYNC2I2;DYNC2I1;TRAF3IP1;ARL6;IFT172;MYLK;FGD4;SLC9A3R1;ABLIM1;OPHN1;BBS9;IFT57;ATP6V1D;DYNC2H1;GSN;RAB3IP;ARMC9;RFX3;OCRL;WDR54;TMEM231;SHTN1;IFT43;RILPL2;IFT81;SPATA13;HYLS1;IFT27;RAB17,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)
26,GO:0050806,positive regulation of synaptic transmission,GO:0050806,0.1889212,4.424945,24.86053,APP;ZDHHC12;PTK2B;AKAP5;SQSTM1;PRKCZ;SHANK2,Positive Regulation Of Synaptic Transmission (GO:0050806)
27,GO:0046688,response to copper ion,GO:0046688,0.2361511,8.831683,46.13033,ATP7B;AQP1;LOXL2;SNCA,Response To Copper Ion (GO:0046688)
28,GO:0030225,macrophage differentiation,GO:0030225,0.2361511,8.831683,46.13033,CASP8;CSF1;UCP2;VEGFA,Macrophage Differentiation (GO:0030225)
29,GO:0048247,lymphocyte chemotaxis,GO:0048247,0.2361511,8.831683,46.13033,SLC12A2;HSD3B7;CCL20;GAS6,Lymphocyte Chemotaxis (GO:0048247)
30,GO:0060255,regulation of macromolecule metabolic process,GO:0060255,0.2387514,2.189619,11.38439,APP;ZNF462;EOLA1;PEG3;SORT1;NRG1;ATP1B1;CRIP1;FOXP1;ZNF827;IGF2BP1;IGF2BP3;UTY;IGF2BP2;STX3;VHL;TRIM44,Regulation Of Macromolecule Metabolic Process (GO:0060255)
31,GO:0045787,positive regulation of cell cycle,GO:0045787,0.2418752,2.953858,15.24372,APP;TGFB2;CCND2;CCND1;CHEK1;MARK4;MEIS2;EGFR;FGFR2;LRP6,Positive Regulation Of Cell Cycle (GO:0045787)
