term,fdr,Odds Ratio,Combined Score,Genes,description
Interferon Gamma Response,0.0006192549,2.947191,31.95403,LGALS3BP;RNF31;SAMD9L;TNFAIP2;TNFAIP3;IFI35;IFIH1;CASP7;RNF213;CASP8;CASP4;ST3GAL5;METTL7B;VCAM1;AUTS2;DDX58;NCOA3;STAT2;NMI;ARL4A;TRIM14;TXNIP;PTPN6;VAMP5;LY6E,Interferon Gamma Response
Estrogen Response Late,0.0006192549,2.750975,29.06418,KCNK5;CLIC3;HSPA4L;LAMC2;PAPSS2;SLC9A3R1;CCND1;ALDH3B1;AGR2;RBBP8;HMGCS2;XBP1;DCXR;ATP2B4;PLAAT3;LSR;SULT2B1;UGDH;TSPAN13;FABP5;ACOX2;GJB3;CPE;CHPT1;PTPN6;FRK;LLGL2,Estrogen Response Late
TNF-alpha Signaling via NF-kB,0.0006347031,2.798423,28.36186,SDC4;CSF1;TNFAIP2;TNFAIP3;ETS2;RELB;IFIH1;CCND1;CCN1;PHLDA2;PHLDA1;JAG1;LAMB3;CCL20;DDX58;F3;SERPINB8;VEGFA;EFNA1;BCL6;TNIP1;BCL3;ACKR3;SQSTM1;TLR2,TNF-alpha Signaling via NF-kB
Interferon Alpha Response,0.00219188,3.513949,30.24773,LGALS3BP;RNF31;SAMD9L;CSF1;STAT2;GMPR;IFI35;NMI;PARP9;IFIH1;MOV10;CASP8;TRIM14;TXNIP;LY6E,Interferon Alpha Response
Xenobiotic Metabolism,0.003384895,2.278653,18.11574,DDC;MAOA;SPINT2;CROT;PAPSS2;ETS2;TKFC;AOX1;PTGDS;ABCC3;MPP2;CYB5A;GABARAPL1;TGFB2;JUP;ENTPD5;IDH1;DCXR;EPHX1;DHPS;TNFRSF1A;UGDH;VNN1;ACOX2;ACOX1;CYP2S1;BCAT1,Xenobiotic Metabolism
Estrogen Response Early,0.009361252,2.185625,14.75432,KCNK5;LAD1;XBP1;CLIC3;ZNF185;WWC1;PLAAT3;PAPSS2;THSD4;TTC39A;IGF1R;SULT2B1;SLC9A3R1;ABLIM1;CCND1;ESRP2;ALDH3B1;LRIG1;RBBP8;UNC119;CHPT1;RAB17;FRK;TGM2,Estrogen Response Early
Hypoxia,0.01585214,2.057974,12.49137,CDKN1B;SDC4;PKLR;HEXA;TNFAIP3;AMPD3;ENO2;ENO3;F3;EGFR;VEGFA;SULT2B1;PLAC8;AKAP12;EFNA1;ILVBL;STBD1;PKP1;ACKR3;ALDOB;VHL;CCN1;GAPDH;TGM2,Hypoxia
KRAS Signaling Up,0.02029369,2.255063,12.82952,ST6GAL1;JUP;PEG3;CCL20;FLT4;TNFAIP3;PLAT;CROT;DUSP6;AKAP12;CCND2;TSPAN13;HKDC1;TSPAN7;CPE;PRKG2;LCP1;SDCCAG8,KRAS Signaling Up
IL-2/STAT5 Signaling,0.02782379,2.009728,10.56281,GABARAPL1;XBP1;CSF1;IFNGR1;SERPINC1;S100A1;NCOA3;ANXA4;ENO3;IGF1R;ARL4A;CCND2;COL6A1;ST3GAL4;LRIG1;MAP6;GALM;DCPS;PHLDA1;WLS;TGM2,IL-2/STAT5 Signaling
Myogenesis,0.05253151,2.012932,9.088301,EIF4A2;APP;GABARAPL2;SPARC;GSN;ITGB4;PDE4DIP;ENO3;MYLK;ABLIM1;MRAS;ITGA7;IGFBP7;NCAM1;KIFC3;AGRN;CRYAB,Myogenesis
