"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0086042","GO:0086042",1,"GO:0086042",2.43067315125857,7,"cardiac muscle cell-cardiac muscle cell adhesion","cardiac muscle cell-cardiac muscle cell adhesion",0.94473417721519,0.507,0
"GO:0043410","GO:0043410",2,"GO:0043410",2.32304132307218,541,"positive regulation of MAPK cascade","positive regulation of MAPK cascade",0.839227848101266,0.272,0
"GO:0086073","GO:0086073",1,"GO:0086042",2.03946962403763,6,"bundle of His cell-Purkinje myocyte adhesion involved in cell communication","cardiac muscle cell-cardiac muscle cell adhesion",0.78820253164557,0.507,0.986
"GO:0086069","GO:0086069",3,"GO:0086069",2.03946962403763,14,"bundle of His cell to Purkinje myocyte communication","bundle of His cell to Purkinje myocyte communication",0.825075949367089,0.4055,0
"GO:0098742","GO:0098742",4,"GO:0098742",1.97731228439532,211,"cell-cell adhesion via plasma-membrane adhesion molecules","cell-cell adhesion via plasma-membrane adhesion molecules",0.937164556962025,0.4412,0
"GO:0034113","GO:0034113",4,"GO:0098742",1.96408820240197,57,"heterotypic cell-cell adhesion","cell-cell adhesion via plasma-membrane adhesion molecules",0.941139240506329,0.5316,0.644
"GO:0046514","GO:0046514",5,"GO:0046514",1.94983493030834,20,"ceramide catabolic process","ceramide catabolic process",0.928227848101266,0.3285,0
"GO:0048667","GO:0048667",6,"GO:0048667",1.94983493030834,677,"cell morphogenesis involved in neuron differentiation","cell morphogenesis involved in neuron differentiation",0.826037974683544,0.32375,0
"GO:0043408","GO:0043408",2,"GO:0043410",1.94983493030834,751,"regulation of MAPK cascade","positive regulation of MAPK cascade",0.852215189873418,0.291,0.956
"GO:0001822","GO:0001822",7,"GO:0001822",1.73523505084152,336,"kidney development","kidney development",0.859253164556962,0.505,0
"GO:0007409","GO:0007409",6,"GO:0048667",1.71917245979427,501,"axonogenesis","cell morphogenesis involved in neuron differentiation",0.768405063291139,0.27425,0.967
"GO:0090136","GO:0090136",4,"GO:0098742",1.70386571914124,16,"epithelial cell-cell adhesion","cell-cell adhesion via plasma-membrane adhesion molecules",0.949569620253165,0.5614,0.59
