"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0071694","GO:0071694",25,"GO:0071694",0.663906268403067,8,"maintenance of protein location in extracellular region","maintenance of protein location in extracellular region",0.964270058708415,0.57,0
"GO:0042551","GO:0042551",50,"GO:0042551",0.663906268403067,48,"neuron maturation","neuron maturation",0.939176125244618,0.534,0
"GO:0016322","GO:0016322",50,"GO:0042551",0.663906268403067,15,"neuron remodeling","neuron maturation",0.943590998043053,0.534,0.932
"GO:0048048","GO:0048048",31,"GO:0048048",0.663906268403067,35,"embryonic eye morphogenesis","embryonic eye morphogenesis",0.951520547945205,0.533666666666667,0
"GO:0046137","GO:0046137",18,"GO:0060556",0.663906268403067,7,"negative regulation of vitamin metabolic process","regulation of vitamin D biosynthetic process",0.896279843444227,0.5295,0.941
"GO:0010743","GO:0010743",38,"GO:0010743",0.663906268403067,33,"regulation of macrophage derived foam cell differentiation","regulation of macrophage derived foam cell differentiation",0.91179060665362,0.5185,0
"GO:0010744","GO:0010744",38,"GO:0010743",0.663906268403067,19,"positive regulation of macrophage derived foam cell differentiation","regulation of macrophage derived foam cell differentiation",0.891277886497065,0.5185,0.963
"GO:0031646","GO:0031646",48,"GO:0031646",0.663906268403067,31,"positive regulation of nervous system process","positive regulation of nervous system process",0.899111545988258,0.516,0
"GO:0031643","GO:0031643",48,"GO:0031646",0.663906268403067,17,"positive regulation of myelination","positive regulation of nervous system process",0.867628180039139,0.516,0.968
"GO:0070252","GO:0070252",51,"GO:0070252",0.663906268403067,105,"actin-mediated cell contraction","actin-mediated cell contraction",0.978485322896282,0.51,0
"GO:0086003","GO:0086003",51,"GO:0070252",0.663906268403067,76,"cardiac muscle cell contraction","actin-mediated cell contraction",0.943146771037182,0.51,0.98
"GO:0060426","GO:0060426",17,"GO:0060428",0.663906268403067,8,"lung vasculature development","lung epithelium development",0.956978473581213,0.506666666666667,0.705
"GO:0045687","GO:0045687",36,"GO:0045687",0.663906268403067,45,"positive regulation of glial cell differentiation","positive regulation of glial cell differentiation",0.862802348336595,0.506,0
"GO:0035994","GO:0035994",58,"GO:0035994",0.663906268403067,25,"response to muscle stretch","response to muscle stretch",0.958831702544031,0.498,0
"GO:0032387","GO:0032387",39,"GO:0032387",0.663906268403067,60,"negative regulation of intracellular transport","negative regulation of intracellular transport",0.887499021526419,0.482833333333333,0
"GO:0060291","GO:0060291",57,"GO:0060291",0.663906268403067,106,"long-term synaptic potentiation","long-term synaptic potentiation",0.879289628180039,0.4804,0
"GO:0032288","GO:0032288",59,"GO:0032288",0.663906268403067,24,"myelin assembly","myelin assembly",0.879086105675147,0.471333333333333,0
"GO:0010884","GO:0010884",25,"GO:0071694",0.663906268403067,27,"positive regulation of lipid storage","maintenance of protein location in extracellular region",0.906219178082192,0.470666666666667,0.632
"GO:0022011","GO:0022011",59,"GO:0032288",0.663906268403067,28,"myelination in peripheral nervous system","myelin assembly",0.940152641878669,0.469666666666667,0.781
"GO:1900125","GO:1900125",4,"GO:0061723",0.663906268403067,8,"regulation of hyaluronan biosynthetic process","glycophagy",0.887487279843444,0.45975,0.669
"GO:1902931","GO:1902931",40,"GO:1902931",0.663906268403067,19,"negative regulation of alcohol biosynthetic process","negative regulation of alcohol biosynthetic process",0.879260273972603,0.4465,0
"GO:2001135","GO:2001135",62,"GO:2001135",0.663906268403067,21,"regulation of endocytic recycling","regulation of endocytic recycling",0.915847358121331,0.4425,0
"GO:1903564","GO:1903564",39,"GO:0032387",0.663906268403067,11,"regulation of protein localization to cilium","negative regulation of intracellular transport",0.921138943248532,0.433,0.557
"GO:0038084","GO:0038084",46,"GO:0038084",0.663906268403067,51,"vascular endothelial growth factor signaling pathway","vascular endothelial growth factor signaling pathway",0.889407045009785,0.4228,0
"GO:0007009","GO:0007009",7,"GO:0097320",0.663906268403067,170,"plasma membrane organization","plasma membrane tubulation",0.916418786692759,0.421666666666667,0.859
"GO:0016078","GO:0016078",3,"GO:2000630",0.663906268403067,16,"tRNA catabolic process","positive regulation of miRNA metabolic process",0.894837573385519,0.420454545454545,0.571
"GO:1903566","GO:1903566",39,"GO:0032387",0.663906268403067,7,"positive regulation of protein localization to cilium","negative regulation of intracellular transport",0.900706457925636,0.417666666666667,0.541
"GO:0033623","GO:0033623",24,"GO:0030838",0.663906268403067,17,"regulation of integrin activation","positive regulation of actin filament polymerization",0.871606653620352,0.4166,0.671
"GO:0043087","GO:0043087",20,"GO:0051345",0.663906268403067,307,"regulation of GTPase activity","positive regulation of hydrolase activity",0.939277886497065,0.414,0.868
"GO:0031952","GO:0031952",9,"GO:0045860",0.663906268403067,41,"regulation of protein autophosphorylation","positive regulation of protein kinase activity",0.864158512720157,0.412857142857143,0.641
"GO:0030422","GO:0030422",54,"GO:0030422",0.663906268403067,9,"siRNA processing","siRNA processing",0.855062622309198,0.412142857142857,0
"GO:0070741","GO:0070741",29,"GO:0070741",0.663906268403067,44,"response to interleukin-6","response to interleukin-6",0.951313111545988,0.411909090909091,0
"GO:0043547","GO:0043547",20,"GO:0051345",0.663906268403067,239,"positive regulation of GTPase activity","positive regulation of hydrolase activity",0.939925636007828,0.409666666666667,0.932
"GO:0032688","GO:0032688",64,"GO:0032688",0.663906268403067,15,"negative regulation of interferon-beta production","negative regulation of interferon-beta production",0.845606653620352,0.4035,0
"GO:0090263","GO:0090263",57,"GO:0060291",0.663906268403067,110,"positive regulation of canonical Wnt signaling pathway","long-term synaptic potentiation",0.855164383561644,0.4034,0.535
"GO:2001251","GO:2001251",45,"GO:2001251",0.663906268403067,94,"negative regulation of chromosome organization","negative regulation of chromosome organization",0.825082191780822,0.389769230769231,0
"GO:0006309","GO:0006309",11,"GO:1901880",0.663906268403067,20,"apoptotic DNA fragmentation","negative regulation of protein depolymerization",0.834788649706458,0.3871,0.655
"GO:0010646","GO:0010646",32,"GO:0010646",0.663906268403067,3518,"regulation of cell communication","regulation of cell communication",0.871953033268102,0.381625,0
"GO:0055119","GO:0055119",52,"GO:0055119",0.663906268403067,17,"relaxation of cardiac muscle","relaxation of cardiac muscle",0.967686888454012,0.380666666666667,0
"GO:0030512","GO:0030512",43,"GO:0030512",0.663906268403067,111,"negative regulation of transforming growth factor beta receptor signaling pathway","negative regulation of transforming growth factor beta receptor signaling pathway",0.846982387475538,0.380222222222222,0
"GO:0030262","GO:0030262",11,"GO:1901880",0.663906268403067,30,"apoptotic nuclear changes","negative regulation of protein depolymerization",0.917945205479452,0.3732,0.673
"GO:1901838","GO:1901838",66,"GO:1901838",0.663906268403067,10,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","positive regulation of transcription of nucleolar large rRNA by RNA polymerase I",0.850031311154599,0.364333333333333,0
"GO:0007175","GO:0007175",9,"GO:0045860",0.663906268403067,13,"negative regulation of epidermal growth factor-activated receptor activity","positive regulation of protein kinase activity",0.787252446183953,0.360142857142857,0.707
"GO:0090075","GO:0090075",52,"GO:0055119",0.663906268403067,34,"relaxation of muscle","relaxation of cardiac muscle",0.966305283757339,0.359333333333333,0.96
"GO:0043276","GO:0043276",49,"GO:0043276",0.663906268403067,34,"anoikis","anoikis",0.975645792563601,0.354,0
"GO:0031272","GO:0031272",13,"GO:0120034",0.663906268403067,13,"regulation of pseudopodium assembly","positive regulation of plasma membrane bounded cell projection assembly",0.865739726027397,0.353666666666667,0.79
"GO:0007176","GO:0007176",9,"GO:0045860",0.663906268403067,19,"regulation of epidermal growth factor-activated receptor activity","positive regulation of protein kinase activity",0.813704500978474,0.353,0.724
"GO:0006939","GO:0006939",52,"GO:0055119",0.663906268403067,109,"smooth muscle contraction","relaxation of cardiac muscle",0.963894324853229,0.352333333333333,0.656
"GO:0046173","GO:0046173",40,"GO:1902931",0.663906268403067,63,"polyol biosynthetic process","negative regulation of alcohol biosynthetic process",0.936485322896282,0.34425,0.802
"GO:0034135","GO:0034135",16,"GO:0034137",0.663906268403067,12,"regulation of toll-like receptor 2 signaling pathway","positive regulation of toll-like receptor 2 signaling pathway",0.861344422700587,0.343666666666667,0.96
"GO:0031274","GO:0031274",13,"GO:0120034",0.663906268403067,13,"positive regulation of pseudopodium assembly","positive regulation of plasma membrane bounded cell projection assembly",0.841761252446184,0.341333333333333,0.867
"GO:0110053","GO:0110053",45,"GO:2001251",0.663906268403067,273,"regulation of actin filament organization","negative regulation of chromosome organization",0.832673189823875,0.341076923076923,0.671
"GO:0032958","GO:0032958",40,"GO:1902931",0.663906268403067,29,"inositol phosphate biosynthetic process","negative regulation of alcohol biosynthetic process",0.914590998043053,0.33875,0.752
