term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0030198,0.00221487,2.557623,31.07401,ITGB1;APP;COL18A1;ECM2;COL14A1;COL12A1;PLOD3;PLOD2;PLOD1;LAMC1;LOXL1;CTSS;ADAMTS5;ADAMTS2;MMP25;ADAMTS1;SH3PXD2B;FLOT1;CTSG;QSOX1;ADAMTS8;PRSS2;POSTN;MMP7;EXOC8;ITGA2;APLP1;MMP3;ADAM10;NPNT;MMP9;MMP14;ADAM15;LOX;MMP19;GAS6;DDR2;MATN2;COL15A1;COL11A2;DPT;NID1;NID2;ADAMTS13;SERPINH1;ELANE;COL28A1;CRTAP;TGFB1;LUM;COL1A1;COL3A1;BMP1;COL1A2;COL5A1;P4HA1;COL5A3;COL5A2;TLL2;TLL1;TGFBI,Extracellular Matrix Organization (GO:0030198)
GO:0070527,0.002611635,6.077925,72.31376,STXBP3;ITGB3;PLEK;HSPB1;ILK;PIK3CB;PIK3CG;CSRP1;UBASH3B;FLNA;CLIC1;FGB;FGA;PDGFRA;ACTN1;FGG;RAP2B;GNAS;TYRO3;MYH9;TLN1;MYL9;PPIA;VCL;FERMT3,Platelet Aggregation (GO:0070527)
GO:0034109,0.00322515,4.703635,54.5938,STXBP3;ITGB3;PLEK;HSPB1;ILK;PIK3CB;PIK3CG;CSRP1;UBASH3B;FLNA;CLIC1;CD99;FGB;FGA;PDGFRA;ACTN1;FGG;RAP2B;CDHR2;GNAS;TYRO3;MYH9;CDHR5;TLN1;MYL9;PPIA;VCL;FERMT3;TJP2,Homotypic Cell-Cell Adhesion (GO:0034109)
GO:0006898,0.004213738,2.501197,28.1766,ITGB1;ITGAM;TFRC;CD81;CLTC;ITGB2;CLTB;STAB2;CLTA;AP2A1;STON2;VLDLR;FNBP1L;DMBT1;CTSL;AP1S1;CD36;LDLRAP1;SCARF1;AP2M1;SCYL2;FCER1G;SYK;HSPG2;DNM1;DNM2;RAB31;CTTN;HGS;TFR2;CANX;RALA;RALB;RAMP3;DPP4;SNX1;AP2S1;SNX9;APOE;EPS15;LDLR;PDLIM7;REPS1;SNCA;M6PR;DNAJC13;AP2B1;SORL1;IGF2R;LRP1B;MARCO;DAB2;ITCH;PLXNB2;CD9;GRB2;RAB5A;PICALM,Receptor-Mediated Endocytosis (GO:0006898)
GO:0001732,0.006547661,inf,inf,EIF3M;EIF5;EIF3K;EIF3L;EIF3I;EIF3J;EIF3G;EIF3H;EIF3E;EIF3F;EIF3D;EIF3B,Formation of Cytoplasmic Translation Initiation Complex (GO:0001732)
GO:1904375,0.00985267,11.64278,119.7148,CAMK2B;CAMK2D;STX8;CAMK2A;VPS4A;STX7;VAMP8;MMP14;VPS35;LDLRAP1;CAMK2G;SPTBN1;APPL1;SNCA;VTI1B;EIF4G1,Regulation of Protein Localization to Cell Periphery (GO:1904375)
GO:2000147,0.01598704,1.958098,18.95104,ITGB1;CSF1;FLT4;CLSTN1;CIB1;CX3CL1;VSIR;MYLK;PPP3CA;CDH5;AKT2;KDR;RACK1;AKT1;CTSH;CPNE3;ACVR1;PDGFRB;PDGFRA;MMP7;SEMA6D;ADAM10;ACTN4;F7;MMP14;ADAM17;CLDN3;KIT;ANGPTL3;NUMB;PECAM1;CDH13;ITGA6;IGSF8;LRRC15;CSF1R;CEMIP;CD151;NOTCH1;ROCK2;SEMA3B;PDGFA;CXCR4;THBS1;PPM1F;CDC42;SDCBP;GPNMB;PDCD10;PODXL;PDGFD;MGAT5;CCL5;PDGFC;PTK2B;STX4;MAP4K4;CHGA;SPAG9;CARMIL1;HSPA8;TGFB1;CAVIN1;HSPA5;EGF;SEMA4B;RDX;STAT3;LAMB1;IGF1;SOD2;PTK2;COL1A1;DAB2;FER;PROC;CASS4;PKN1;FERMT2;FERMT3,Positive Regulation of Cell Motility (GO:2000147)
GO:0038094,0.01598704,8.247917,79.67195,LYN;VAV3;FCER1G;YES1;SYK;SRC;PRKCD;PTK2;VAV1;FCER2;HCK;FCGR3B;LCK;FYN;CD247;PKN1;MYO1G,Fc-gamma Receptor Signaling Pathway (GO:0038094)
GO:0070374,0.01598704,2.507996,24.1297,NOTCH2;APP;CSF1R;NRP1;NOTCH1;RAMP3;FLT4;NRXN1;PDGFA;CIB1;ARRB1;PHB2;CX3CL1;CRKL;ICAM1;RAP1A;GPNMB;GLIPR2;PDGFD;NAMPT;PDGFC;KDR;PTK2B;LGALS9;APOE;CD36;MAPK3;PDGFRB;FGB;PDGFRA;FGA;CD74;TGFB1;ANGPT1;FGG;PTPN11;IGF1;NPNT;MARCO;PTPRC;FGFR4;GAS6;S100A9;FGFR3;FERMT2;FGFR2;CD44;S100A7,Positive Regulation of ERK1 and ERK2 Cascade (GO:0070374)
GO:0072657,0.01598704,2.011043,19.25602,PLEKHF1;CD81;ITGB2;LRRC4;F11R;ITGAL;IKBKB;BSG;SH3PXD2B;FLOT1;TMED2;FLOT2;MADCAM1;RAB8A;CD53;SH3GLB1;ITGA4;TESC;ATP1B3;ATP1B1;ANK1;RAB32;RAP2A;RABEP1;PACS1;HGS;RAB38;TNIK;EZR;GAS6;SHANK3;ARF6;NLGN1;RAMP3;ROCK1;ROCK2;NRXN1;TM9SF3;HSP90B1;LRP6;RELN;RAP1A;EPB41L3;FLNA;BID;RAB6A;RAB11FIP3;RAB6B;SPTBN1;S100A10;FYB1;JUP;SEC16A;RDX;RFTN1;DENND4C;AP3D1;MYO5A;RAB11A;EHD1;TM9SF2;RAB10;EHD2;TSPAN15;EHD3;DLG1;TSPAN14;EHD4;SLMAP;RAB13;CPE;LAMTOR1;AGRN;FERMT2,Protein Localization to Membrane (GO:0072657)
GO:1902992,0.01658803,18.90345,179.3833,RTN2;NTRK2;PRNP;RTN3;RTN1;ROCK1;IGF1;CLU;SORL1;RTN4;BIN1;FLOT2;APOE,Negative Regulation of Amyloid Precursor Protein Catabolic Process (GO:1902992)
GO:0002183,0.01889394,4.372282,40.71805,EIF4A2;MCTS1;EIF4A1;EIF2B4;EIF2B3;EIF2S2;EIF3M;EIF2S3;EIF5;EIF3K;EIF3L;EIF3I;EIF3J;EIF4H;EIF3G;EIF3H;EIF3E;EIF3F;EIF2B1;EIF3D;EIF4B;EIF3A;EIF3B;EIF4G1,Cytoplasmic Translational Initiation (GO:0002183)
GO:0031032,0.01959922,3.525049,32.45546,ITGB1;BMP10;ITGB5;WDR1;ROCK1;EPB41;ROCK2;SRC;CUL3;FLII;ARRB1;F11R;PDLIM1;TTR;CSRP1;PDCD10;EPB41L2;EPB41L3;MYO18A;MYH10;TMOD1;TMOD3;TPM1;CDC42BPB;RHOA;DNM2;ZYX;MYH9;MYL9,Actomyosin Structure Organization (GO:0031032)
GO:1902745,0.01959922,6.55057,60.19391,ACTR3;CYFIP1;NCKAP1;ACTR2;CARMIL1;MSTN;SRC;TWF2;BRK1;PIK3R1;CORO1B;CORO1C;CDC42;ARPC2;RAC2;FSCN1;ARHGEF7;WASF2,Positive Regulation of Lamellipodium Organization (GO:1902745)
GO:0008104,0.02142202,1.64639,14.91524,FCN1;VPS29;PDCD6;CELSR1;VPS35;SIL1;NSF;IST1;USP4;STX8;ATG9A;STX7;RAB32;RAB31;HGS;PARD3;RAB35;ERP29;SCG5;RAB38;SQSTM1;VCL;CUTA;COPB2;COPA;RAB5B;RAB5C;TMED10;STXBP3;STXBP2;VPS26C;VPS26A;VPS26B;CORO1B;FBLN5;TIMM50;SCFD1;SNX1;SCFD2;MYO6;TBC1D13;SNX9;RAB6A;RAB6B;SNX6;CTSA;HSPA9;LRBA;NBEAL2;HOOK3;EHD1;CPE;ESAM;RAB5A;FERMT2;YWHAE;ARF4;YWHAB;CLTC;AP2A1;PTPRK;SEPTIN11;YWHAQ;CRTAC1;SH3PXD2B;TMED2;TMED7;TMED5;YWHAG;TMED4;YWHAH;TMED9;EXOC8;HEG1;VPS13A;AP3B1;YWHAZ;COPZ1;RAP2A;CTTN;ARHGEF2;MAPRE1;ARF5;ARF6;STX12;RAB1A;STX16;RAB1B;USO1;MESD;NAPG;STX11;HDAC6;TM9SF3;RAB21;LMNA;STX6;FLNA;MFN2;STX4;JAM3;CD74;ANGPT1;SEPTIN2;USP9X;AP3D1;ERBIN;SEPTIN5;SEPTIN6;SEPTIN9;PEX14;SEPTIN7;ARCN1;WDR11;TM9SF2;SEC23IP;RAB14;SNX17;RAB18;RAB3GAP2;LAMTOR2;LAMTOR1;VPS45;LAMTOR3,Protein Localization (GO:0008104)
GO:0051084,0.02294117,4.578269,40.81015,ERO1A;CCT3;HSPA9;CCT2;HSPA8;SDF2L1;HSPA5;ENTPD5;PTGES3;SELENOF;HSPE1;HSPA13;CCT6A;DNAJB1;DNAJC7;TCP1;CCT8;SDF2;CCT7;UGGT1;CCT5;CCT4,'De Novo' Post-Translational Protein Folding (GO:0051084)
