term,fdr,Odds Ratio,Combined Score,Genes,description
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.0220554,4.426511,28.05712,CST3;SERPINC1;AHSG;IGFBP2;FUCA2;PLG;TIMP1,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
FCGR Activation,0.0220554,5.147826,32.49825,IGHG4;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,FCGR Activation
"Platelet Activation, Signaling and Aggregation",0.0220554,3.077778,19.36044,ITIH4;ORM1;CLEC3B;AHSG;APOH;RARRES2;PLG;TIMP1;PPBP;A1BG;A2M,"Platelet Activation, Signaling and Aggregation"
Modulation by Mtb of Host Immune System,0.0220554,55.2605,346.3768,MRC1;B2M,Modulation by Mtb of Host Immune System
Alternative Complement Activation,0.0220554,55.2605,346.3768,CFP;CFB,Alternative Complement Activation
Defects of Contact Activation System (CAS) and Kallikrein Kinin System (KKS),0.02512504,13.91102,84.92641,F12;F11;KLKB1,Defects of Contact Activation System (CAS) and Kallikrein Kinin System (KKS)
Role of Phospholipids in Phagocytosis,0.02788487,4.781629,28.54158,IGHG4;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Role of Phospholipids in Phagocytosis
FCERI Mediated MAPK Activation,0.03078852,4.649196,27.14748,IGHV3-53;IGHV3-11;IGLV2-23;IGHE;IGHV1-69;IGKV2-30,FCERI Mediated MAPK Activation
FCERI Mediated Ca+2 Mobilization,0.03183784,4.585664,26.48593,IGHV3-53;IGHV3-11;IGLV2-23;IGHE;IGHV1-69;IGKV2-30,FCERI Mediated Ca+2 Mobilization
Activation of Matrix Metalloproteinases,0.03239347,11.9201,68.29646,PLG;TIMP1;KLKB1,Activation of Matrix Metalloproteinases
Anti-inflammatory Response Favouring Leishmania Parasite Infection,0.03406071,3.860075,21.70815,IGHG4;CD163;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Anti-inflammatory Response Favouring Leishmania Parasite Infection
Leishmania Parasite Growth and Survival,0.03406071,3.860075,21.70815,IGHG4;CD163;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Leishmania Parasite Growth and Survival
Diseases of Hemostasis,0.0353354,11.12373,61.85189,F12;F11;KLKB1,Diseases of Hemostasis
FCGR3A-mediated IL10 Synthesis,0.03541746,4.347826,24.05244,IGHG4;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,FCGR3A-mediated IL10 Synthesis
Reversible Hydration of Carbon Dioxide,0.03939851,27.62185,148.482,CA1;CA2,Reversible Hydration of Carbon Dioxide
Nectin Necl Trans Heterodimerization,0.03939851,27.62185,148.482,PVR;NECTIN1,Nectin Necl Trans Heterodimerization
Cell Surface Interactions at the Vascular Wall,0.05424227,3.118924,15.69348,CEACAM1;IGHV3-53;IGHV3-11;INPP5D;IGLV2-23;IGHV1-69;MERTK;IGKV2-30,Cell Surface Interactions at the Vascular Wall
Potential Therapeutics for SARS,0.078218,3.560458,16.5281,IGHV3-53;IGHV3-11;IGLV2-23;IGHD;IGHV1-69;IGKV2-30,Potential Therapeutics for SARS
"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS",0.1027147,13.80252,59.68499,EXT1;EXT2,"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS"
Defective EXT2 Causes Exostoses 2,0.1027147,13.80252,59.68499,EXT1;EXT2,Defective EXT2 Causes Exostoses 2
Degradation of the Extracellular Matrix,0.1099478,3.737356,15.82464,COL4A2;PLG;TIMP1;A2M;KLKB1,Degradation of the Extracellular Matrix
FCERI Mediated NF-kB Activation,0.110614,3.216398,13.5302,IGHV3-53;IGHV3-11;IGLV2-23;IGHE;IGHV1-69;IGKV2-30,FCERI Mediated NF-kB Activation
FCGR3A-mediated Phagocytosis,0.1203424,3.09645,12.53184,IGHG4;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,FCGR3A-mediated Phagocytosis
Parasite Infection,0.1203424,3.09645,12.53184,IGHG4;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Parasite Infection
Leishmania Phagocytosis,0.1203424,3.09645,12.53184,IGHG4;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Leishmania Phagocytosis
Post-translational Protein Phosphorylation,0.1203424,3.545941,14.32794,CST3;AHSG;SERPINC1;FUCA2;TIMP1,Post-translational Protein Phosphorylation
Regulation of Actin Dynamics for Phagocytic Cup Formation,0.1218865,3.067826,12.29736,IGHG4;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Regulation of Actin Dynamics for Phagocytic Cup Formation
Chaperone Mediated Autophagy,0.1249323,11.03866,43.76565,HBB;RNASE1,Chaperone Mediated Autophagy
Signaling by the B Cell Receptor (BCR),0.1363875,2.958352,11.41434,IGHV3-53;IGHV3-11;IGLV2-23;IGHD;IGHV1-69;IGKV2-30,Signaling by the B Cell Receptor (BCR)
Interleukin-10 Signaling,0.1381056,10.03361,38.22262,IL1R2;TIMP1,Interleukin-10 Signaling
Vitamin B5 (Pantothenate) Metabolism,0.1381056,10.03361,38.22262,VNN1;ENPP2,Vitamin B5 (Pantothenate) Metabolism
Adherens Junctions Interactions,0.1513401,5.200742,19.24402,ANG;PVR;NECTIN1,Adherens Junctions Interactions
Fcgamma Receptor (FCGR) Dependent Phagocytosis,0.1837433,2.650188,9.052051,IGHG4;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Fcgamma Receptor (FCGR) Dependent Phagocytosis
HS-GAG Biosynthesis,0.1837433,7.879952,26.90069,EXT1;EXT2,HS-GAG Biosynthesis
Parasitic Infection Pathways,0.1837433,2.416586,8.187113,IGHG4;CD163;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Parasitic Infection Pathways
Leishmania Infection,0.1837433,2.416586,8.187113,IGHG4;CD163;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30,Leishmania Infection
Glucocorticoid Biosynthesis,0.1837433,54.80833,182.4997,SERPINA6,Glucocorticoid Biosynthesis
PTK6 Promotes HIF1A Stabilization,0.1837433,54.80833,182.4997,EGFR,PTK6 Promotes HIF1A Stabilization
Signaling by Overexpressed Wild-Type EGFR in Cancer,0.1837433,54.80833,182.4997,EGFR,Signaling by Overexpressed Wild-Type EGFR in Cancer
Inhibition of Signaling by Overexpressed EGFR,0.1837433,54.80833,182.4997,EGFR,Inhibition of Signaling by Overexpressed EGFR
MET Interacts With TNS Proteins,0.1837433,54.80833,182.4997,MET,MET Interacts With TNS Proteins
EGFR Interacts With Phospholipase C-gamma,0.1837433,54.80833,182.4997,EGFR,EGFR Interacts With Phospholipase C-gamma
ERBB2 Activates PTK6 Signaling,0.1837433,54.80833,182.4997,EGFR,ERBB2 Activates PTK6 Signaling
Cell-cell Junction Organization,0.2126004,4.155508,13.17008,ANG;PVR;NECTIN1,Cell-cell Junction Organization
Fc Epsilon Receptor (FCERI) Signaling,0.240427,2.399255,7.274338,IGHV3-53;IGHV3-11;IGLV2-23;IGHE;IGHV1-69;IGKV2-30,Fc Epsilon Receptor (FCERI) Signaling
"tRNA-derived Small RNA (tsRNA or tRNA-related Fragment, tRF) Biogenesis",0.2579784,27.4,80.37202,ANG,"tRNA-derived Small RNA (tsRNA or tRNA-related Fragment, tRF) Biogenesis"
TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors,0.2579784,27.4,80.37202,EGFR,TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors
Interleukin-4 and Interleukin-13 Signaling,0.2777796,3.610169,10.27288,IGHG4;IGHE;TIMP1,Interleukin-4 and Interleukin-13 Signaling
Infection With Mycobacterium Tuberculosis,0.2786788,5.510924,15.58876,MRC1;B2M,Infection With Mycobacterium Tuberculosis
