Protein_Group	Genes	SAX_Pooled_vs_RAW_Pooled_logFC	SAX_Pooled_vs_RAW_Pooled_pval	Removed?	Contaminant?
Q6UVK1	CSPG4	9.20990775634873	3.9118830187448405e-31	No	No
Q6UW02	CYP20A1	5.3263041755783	1.5833917255923702e-14	No	No
Q6UW49	SPESP1	4.73048874540201	1.69413963187714e-18	No	No
Q6UWB1	IL27RA	4.96261255003405	3.95863575226399e-14	No	No
Q6UWD8	C16orf54	9.11991102271839	1.17058890716993e-32	No	No
Q6UWF9	FAM180A	5.19073713945475	1.2818085902321602e-25	No	No
Q6UWH4	GASK1B	2.76265445166452	1.61148372638318e-11	No	No
Q6UWL2	SUSD1	8.92202718796187	7.28032743935943e-19	No	No
Q6UWP8	SBSN	5.77068737605569	2.11694312271439e-07	No	No
Q6UWY5	OLFML1	8.51994382286314	5.82627994960984e-37	No	No
Q6UX71	PLXDC2	5.14043310979839	3.04173332629338e-26	No	No
Q6UXB8	PI16	6.20802537210975	6.71906516003647e-26	No	No
Q6UXC1	MAMDC4	6.64704342147263	1.11271920520337e-14	No	No
Q6UXD5	SEZ6L2	7.50260711603412	7.70317207428756e-37	No	No
Q6UXH0	ANGPTL8	5.59020900313468	4.74037959197089e-26	No	No
Q6UXH1	CRELD2	8.84324154974086	1.48019864501663e-38	No	No
Q6UXH9	PAMR1	8.03321742846415	4.3416550644037395e-22	No	No
Q6UXI9	NPNT	5.43229996265277	1.67193888646096e-18	No	No
Q6UXK2	ISLR2	1.56998024829308	0.001552818581192	No	No
Q6UXK5	LRRN1	2.9010361529966	0.0002738719729281	No	No
Q6UXV4	APOOL	4.99012979299482	1.04017691971078e-23	No	No
Q6UY14	ADAMTSL4	1.13334243603243	0.0050185347958315	No	No
Q6V0I7	FAT4	11.3271917433517	1.85009017400925e-29	No	No
Q6VY07	PACS1	9.37098834274136	1.36397199330806e-35	No	No
Q6WCQ1	MPRIP	8.03743841130514	1.00414284967957e-28	No	No
Q6WN34	CHRDL2	10.552867157098	4.89541459920812e-43	No	No
Q6XQN6	NAPRT	5.66552103157524	3.7612218644439504e-23	No	No
Q6YHK3	CD109	4.77246907119725	1.6412154209715e-22	No	No
Q6ZMI0	PPP1R21	5.83105775145826	8.39812302919068e-22	No	No
Q6ZMJ2	SCARA5	5.56118639840788	1.52067392757555e-18	No	No
Q6ZNJ1	NBEAL2	11.6234412508234	7.74890356600441e-43	No	No
Q6ZRP7	QSOX2	6.68141239512435	2.74729988215309e-20	No	No
Q6ZRY4	RBPMS2	6.10873458101724	2.67997279876553e-26	No	No
Q6ZS11	RINL	4.84098069572402	3.97753463254204e-22	No	No
Q6ZSR9	gene	4.50578851673433	1.19464064326762e-16	No	No
Q6ZSS7	MFSD6	7.07212093174859	1.66160460160678e-29	No	No
Q6ZU35	CRACD	9.88520502329882	8.94465060220001e-32	No	No
Q6ZUT6	CCDC9B	3.25788558211724	1.22786021317423e-14	No	No
Q6ZUX7	LHFPL2	8.54641661532089	5.71377416183541e-35	No	No
Q6ZVM7	TOM1L2	10.2270184608851	2.3764089609016702e-35	No	No
Q6ZWT7	MBOAT2	6.99026235811514	2.01567791781056e-27	No	No
Q709C8	VPS13C	10.23531767292	3.39847684705704e-25	No	No
Q70IA6	MOB2	4.32508918510697	2.69806408949625e-12	No	No
Q70IA8	MOB3C	5.74010688144631	2.24984492471908e-28	No	No
Q70J99	UNC13D	7.87668569543406	5.16595954798472e-33	No	No
Q70UQ0	IKBIP	4.26424089003941	2.7870587802579e-13	No	No
Q76LX8	ADAMTS13	3.42774552364599	5.7609129480034696e-18	No	No
Q7KZF4	SND1	8.42853010496978	1.32832396622894e-21	No	No
Q7KZI7	MARK2	2.32032806063603	9.53831405688296e-05	No	No
Q7L1Q6	BZW1	10.0587805122262	1.74550529462074e-34	No	No
Q7L1W4	LRRC8D	5.40445218131718	3.70106562971267e-10	No	No
Q7L2H7	EIF3M	8.31971547553713	1.63540334957854e-24	No	No
Q7L576	CYFIP1	12.1665379141085	2.1460800360789896e-40	No	No
Q7L591	DOK3	11.1433542110038	1.08369021328842e-34	No	No
Q7L5N1	COPS6	11.4693913766107	3.64049644291764e-44	No	No
Q7L7X3	TAOK1	9.34502307167103	5.1221637941703496e-33	No	No
Q7LBR1	CHMP1B	4.34476480502624	2.29306368266617e-16	No	No
Q7LDG7	RASGRP2	7.04234516418787	3.78194831294158e-26	No	No
Q7LFX5	CHST15	9.02893170643311	2.82330137464814e-29	No	No
Q7LGC8	CHST3	12.1965682466421	2.6137763962515798e-42	No	No
Q7RTP6	MICAL3	3.92100443657391	3.9880727172376e-14	No	No
Q7Z2K6	ERMP1	5.43805564996365	8.70647264757685e-09	No	No
Q7Z2W4	ZC3HAV1	8.16734433333099	3.1819222688247595e-30	No	No
Q7Z2Z2	EFL1	5.10641518354791	7.754693336948761e-19	No	No
Q7Z304	MAMDC2	6.38087550797205	1.30007447163251e-25	No	No
Q7Z392	TRAPPC11	4.19736648854246	1.65820716203589e-10	No	No
Q7Z3C6	ATG9A	7.09950810445245	3.63576261554706e-27	No	No
Q7Z3U7	MON2	4.90522117980059	7.98820808833855e-16	No	No
Q7Z401	DENND4A	2.60243264860357	1.67100648344775e-07	No	No
Q7Z406	MYH14	12.6544205902652	2.8012748295310702e-46	No	No
Q7Z434	MAVS	11.7530987098651	3.21741667641451e-43	No	No
Q7Z478	DHX29	5.2509596579097	2.01323757283443e-10	No	No
Q7Z4R8	C6orf120	9.11965875754775	1.15501138233881e-34	No	No
Q7Z4W1	DCXR	2.6886335036562	4.22889646273761e-08	No	No
Q7Z5L0	VMO1	4.09583442647052	1.47641285928491e-20	No	No
Q7Z5L7	PODN	8.05104970832502	7.841808427818811e-35	No	No
Q7Z5N4	SDK1	1.21272652544109	0.0041981429460425	No	No
Q7Z6K5	ARPIN	4.90398833288423	1.18276351414667e-23	No	No
Q7Z6Z7	HUWE1	4.6935328382789	1.1741104567763399e-18	No	No
Q7Z7E8	UBE2Q1	6.57254814397002	6.1719244167642506e-31	No	No
Q7Z7G0	ABI3BP	5.63973725346252	3.1724543628861802e-21	No	No
Q7Z7H5	TMED4	7.67131583868452	5.43817680929987e-26	No	No
Q7Z7M8	B3GNT8	4.13704743987071	4.17315011459903e-13	No	No
Q7Z7M9	GALNT5	2.1948194047933	0.0003726233743909	No	No
Q86SF2	GALNT7	3.10668534583208	3.88538626650496e-08	No	No
Q86SQ4	ADGRG6	2.07061363193864	3.6899044523999e-08	No	No
Q86SR1	GALNT10	7.24934876248445	1.89397121797631e-17	No	No
Q86SZ2	TRAPPC6B	3.80151282086308	4.68781425732196e-12	No	No
Q86TH1	ADAMTSL2	7.27178868171021	8.10503168135907e-33	No	No
Q86TP1	PRUNE1	11.0489574722225	7.74535490522194e-38	No	No
Q86TV6	TTC7B	5.09747665779568	1.9239791073174e-11	No	No
Q86TY3	ARMH4	5.28367432484937	9.6288336182772e-28	No	No
Q86U17	SERPINA11	1.40976271147965	1.0211603505152e-05	No	No
Q86UD1	OAF	3.50901851115832	6.2467211411588195e-18	No	No
Q86UE4	MTDH	9.55583267649188	1.00956851586715e-27	No	No
Q86UF1	TSPAN33	7.09366326087942	6.57141939084911e-29	No	No
Q86UN3	RTN4RL2	6.57112545020655	2.74849639442883e-28	No	No
Q86UP2	KTN1	10.1223848297584	2.2088026985691e-21	No	No
Q86UT6	NLRX1	7.98071147269257	2.7601689375659e-26	No	No
Q86UX7	FERMT3	3.98976629478652	1.58417805600163e-13	No	No
Q86VN1	VPS36	5.16236059481782	2.14775866828537e-17	No	No
Q86VP3	PACS2	3.90901177230559	1.04991418561666e-10	No	No
Q86VP6	CAND1	5.04617825856555	3.82469725617843e-15	No	No
Q86VS8	HOOK3	9.75796453339676	5.86492191597357e-41	No	No
Q86VW0	SESTD1	4.81916608799754	4.75378248548048e-17	No	No
Q86VZ4	LRP11	7.51979319571713	1.27755348091767e-16	No	No
Q86WI1	PKHD1L1	8.06920361807224	1.20013935394287e-24	No	No
Q86WR0	CCDC25	4.46806535348946	1.94521064484771e-15	No	No
Q86WR7	PROSER2	9.81133589449401	1.32679272185647e-39	No	No
Q86X29	LSR	4.41521117081771	6.4343210821734e-15	No	No
Q86XP3	DDX42	2.7365800848677	1.05532676834474e-10	No	No
Q86Y39	NDUFA11	7.3520469041351	2.99607047231903e-33	No	No
Q86Y82	STX12	7.9093893523757	2.03274955591986e-29	No	No
Q86YB7	ECHDC2	7.12028681205551	5.55682548093001e-19	No	No
Q86YL5	TDRP	8.04841789872228	4.93648454561421e-32	No	No
Q86YS7	C2CD5	7.03175246090249	6.54956210317743e-33	No	No
Q86YW5	TREML1	12.2813365025157	8.642030530612791e-46	No	No
Q8IUD2	ERC1	2.40614646781863	6.6545638170576e-05	No	No
Q8IUI8	CRLF3	11.9366592715231	4.77187504342018e-38	No	No
Q8IUK5	PLXDC1	9.6925681623411	4.06234596237056e-37	No	No
Q8IUK8	CBLN2	5.99949394875091	5.478825067875709e-28	No	No
Q8IUL8	CILP2	4.99669772257208	2.1333386290816e-18	No	No
