Protein_Group	Genes	SAX_22001_M3_vs_SAX_22001_B_logFC	SAX_22001_M3_vs_SAX_22001_B_pval	Removed?	Contaminant?
A2A2Y4	FRMD3	2.88570793355215	0.0018662278785539	No	No
O00182	LGALS9	9.72047856761158	1.63817309998875e-33	No	No
O00291	HIP1	3.6790385212099	0.005825293707345	No	No
O00339	MATN2	2.67743902421697	0.0039716954186685	No	No
O00451	GFRA2	4.03159793925702	2.06160582095735e-06	No	No
O00562	PITPNM1	2.68231631283705	0.0030465244922616	No	No
O00628	PEX7	1.91897673140027	0.0003477843871368	No	No
O00764	PDXK	5.11364141892886	2.54769763484444e-09	No	No
O14795	UNC13B	2.35676324578446	0.0012152470101273	No	No
O14917	PCDH17	1.80999345072803	0.0031833487261376	No	No
O15068	MCF2L	1.93103317216979	0.0021190134208646	No	No
O15230	LAMA5	2.84409221353243	0.0039589772867911	No	No
O15355	PPM1G	4.26455859729295	1.19723330827965e-07	No	No
O15554	KCNN4	3.30279240654962	4.21213869266623e-10	No	No
O43173	ST8SIA3	2.57791235124897	7.03415147053117e-05	No	No
O43175	PHGDH	4.47055529159833	4.66458194304548e-08	No	No
O43464	HTRA2	2.11635165869647	0.0038167040587623	No	No
O60239	SH3BP5	1.28918510684747	0.0048603117767791	No	No
O60830	TIMM17B	2.12632035947985	9.58161696670262e-05	No	No
O60869	EDF1	2.66860207707878	4.535334257353341e-09	No	No
O75030	MITF	2.80492567374251	3.09705990465762e-06	No	No
O75317	USP12	2.47331916649606	0.0002313426811825	No	No
O75891	ALDH1L1	2.67103543821152	0.0007535989484868	No	No
O76094	SRP72	3.38439569066364	4.19246132737653e-08	No	No
O95297	MPZL1	1.61868107521001	0.0027340174555545	No	No
O95466	FMNL1	2.75007814498539	0.000225560984832	No	No
O95498	VNN2	2.87569396949895	8.21401568067181e-06	No	No
O95551	TDP2	1.15930273329874	0.0041701075208478	No	No
O95793	STAU1	4.02571619050974	0.0033631421001896	No	No
O95835	LATS1	1.53193224057112	0.0018918198314705	No	No
O96019	ACTL6A	2.13757684963388	0.0012092657165837	No	No
P01266	TG	1.49777759927031	0.0045748589343427	No	No
P01350	GAST	3.74199880900352	5.63970331873594e-13	No	No
P02786	TFRC	1.93856070982343	1.70005188739845e-06	No	No
P03951	F11	1.77459044745272	0.0006677906281103	No	No
P03956	MMP1	3.11685763958329	5.80128853185685e-06	No	No
P04216	THY1	1.44163952079371	0.0053077013706219	No	No
P05186	ALPL	1.794618884761	0.0050537776816774	No	No
P05981	HPN	1.23528044797149	0.0082873868906062	No	No
P06307	CCK	1.69972095344415	1.5077906658849e-05	No	No
P07585	DCN	1.12562046634777	0.0047971068154238	No	No
P07766	CD3E	5.20645233967579	8.3989500140873e-18	No	No
P07949	RET	3.84249877365646	3.81698242261941e-13	No	No
P07998	RNASE1	6.68533169974496	2.70188017313592e-16	No	No
P09093	CELA3A	2.09948845542103	4.21846167132003e-05	No	No
P09912	IFI6	3.53553351095588	5.25828530150186e-13	No	No
P0DJI9	SAA2	1.57135669941195	0.0037488501858267	No	No
P10451	SPP1	1.49729432004327	0.002194853608788	No	No
P10645	CHGA	3.00642599861778	6.80140697880742e-08	No	No
P10915	HAPLN1	2.08212737942182	0.0005826634250048	No	No
P11137	MAP2	1.42270211893146	0.0073191654898967	No	No
P12109	COL6A1	1.3652653284237	0.0022379646798835	No	No
P13284	IFI30	2.69335455493939	5.05725904605471e-05	No	No
P18065	IGFBP2	1.97171978888753	0.0008879045104085	No	No
P21359	NF1	2.83638467171325	7.45849382934126e-06	No	No
P21815	IBSP	3.65701196542472	4.75501591739529e-13	No	No
P24043	LAMA2	1.67733379875583	0.0051890638849773	No	No
