Protein_Group	Genes	SAX_62001_M3_vs_RAW_62001_M3_logFC	SAX_62001_M3_vs_RAW_62001_M3_pval	Removed?	Contaminant?
Q9Y5Y7	LYVE1	2.53349789128048	3.74399953832318e-08	No	No
Q9Y5Z4	HEBP2	5.52607918074084	5.57369251846371e-14	No	No
Q9Y624	F11R	2.27186400069878	4.65218192653719e-05	No	No
Q9Y625	GPC6	12.1802536168271	8.70729647310878e-38	No	No
Q9Y644	RFNG	5.55621112747056	2.12305143373165e-13	No	No
Q9Y646	CPQ	1.64480886147355	0.0024284823214357	No	No
Q9Y653	ADGRG1	3.54226435256121	3.4914057687324e-07	No	No
Q9Y678	COPG1	8.39698898619526	1.04930247387964e-21	No	No
Q9Y696	CLIC4	6.90908064722571	7.44513275185625e-17	No	No
Q9Y6C2	EMILIN1	8.23008114890287	4.93236059214689e-16	No	No
Q9Y6C9	MTCH2	7.70761363695174	5.3574342455838006e-20	No	No
Q9Y6E0	STK24	9.07732850843171	2.18695733999887e-31	No	No
Q9Y6H6	KCNE3	2.94028676194383	5.32655997993644e-10	No	No
Q9Y6L7	TLL2	10.9893929494526	6.90287484785012e-35	No	No
Q9Y6N5	SQOR	6.52550891786545	2.4517875940373203e-15	No	No
Q9Y6N6	LAMC3	6.72197416275039	7.71971919953421e-16	No	No
Q9Y6N8	CDH10	2.76292925255963	1.54462071554e-07	No	No
Q9Y6Q5	AP1M2	2.10827082776012	0.0007287794363614	No	No
Q9Y6R7	FCGBP	1.49165805242487	0.0001350125519419	No	No
Q9Y6W5	WASF2	10.3237893561792	1.33407683190588e-29	No	No
Q9Y6Y9	LY96	3.76450855869929	1.93634139004473e-08	No	No
Q9Y6Z7	COLEC10	6.38002501274922	3.5414146085268097e-22	No	No
A0A075B6J1	IGLV5-37	-3.28098314904409	3.5464559329131903e-15	No	No
A0A075B6S6	IGKV2D-30	-7.40252945953175	5.14000527104128e-26	No	No
A0A075B6W8	TRAJ17	-1.17004285576778	0.0041072897433675	No	No
A0A087WSY4	IGHV4-30-2	-1.55660242473616	0.0044858697730115	No	No
A0A0A0MTA3	IGKJ5	-2.63870325275638	0.0002477943750247	No	No
A0A0J9YW62	gene	-1.60233871039075	0.0046597827099576	No	No
O14960	LECT2	-4.5789398328864	2.72400596061376e-14	No	No
O43286	B4GALT5	-7.50754307229009	1.2443252112341299e-30	No	No
O75882	ATRN	-2.26552309661018	5.31967387246521e-07	No	No
O75884	RBBP9	-2.21138810127553	0.0078229762910386	No	No
O95479	H6PD	-2.90094573124751	3.53549038645712e-06	No	No
O95980	RECK	-4.70645960480631	1.55677060924846e-06	No	No
P00480	OTC	-4.12573467296406	6.63231402183968e-09	No	No
P00738	HP	-1.97978617830812	2.42804642361147e-05	No	No
P00748	F12	-2.37459839377996	1.76259550303597e-07	No	No
P00751	CFB	-3.50690128587017	7.107490992663929e-13	No	No
P00915	CA1	-3.30047427621417	5.075654287143429e-11	No	No
P00918	CA2	-3.33744790820481	9.196571449400651e-09	No	No
P01011	SERPINA3	-1.01525653504629	0.0048374680868345	No	No
P01023	A2M	-1.52116208539175	8.83418395966859e-05	No	No
P01033	TIMP1	-1.262550223235	0.009369492953248	No	No
P01034	CST3	-2.63722446730576	8.07138064594846e-05	No	No
P01854	IGHE	-3.07780439365609	5.65781208246816e-08	No	No
P02042	HBD	-2.21513689222758	5.04378240905723e-06	No	No
P02144	MB	-3.38871555186915	2.76608904915372e-06	No	No
P02745	C1QA	-2.77993890811041	8.03548265125997e-08	No	No
P02746	C1QB	-1.44806870399017	0.0013285879792758	No	No
P02747	C1QC	-1.78949712047093	0.0003555553395514	No	No
P02749	APOH	-2.74639573957533	8.40256539191372e-09	No	No
P02750	LRG1	-3.90462086072881	1.51582343313255e-13	No	No
P02763	ORM1	-1.67816698885544	0.0007894961820527	No	No
P02765	AHSG	-1.87768097311935	0.0002077982792336	No	No
P02774	GC	-2.38088141111857	1.5100996441358e-07	No	No
P02775	PPBP	-5.95681314935011	6.92950061236731e-12	No	No
P02790	HPX	-3.32141902037165	1.2704096852932299e-11	No	No
P03950	ANG	-3.91792178388303	7.60340328859811e-07	No	No
P03951	F11	-2.92790793908944	1.71753437461254e-07	No	No
P03952	KLKB1	-1.3478998720461	0.0013196857419217	No	No
P04066	FUCA1	-4.39628094618701	2.08856754401965e-06	No	No
P04211	IGLV7-43	-2.15765040764149	0.0057530841900322	No	No
P04217	A1BG	-2.1465825762657	3.60025355870164e-07	No	No
P04746	AMY2A	-2.17601342885754	0.0006442061062631	No	No
P05156	CFI	-2.14934534034942	4.15476872527875e-06	No	No
P05452	CLEC3B	-2.14733202508607	6.39580523202884e-05	No	No
P05543	SERPINA7	-2.33826307120877	2.34718570551915e-08	No	No
P06276	BCHE	-1.70911172489768	6.48276739250822e-05	No	No
P06310	IGKV2-30	-4.14928782727809	4.45504079671402e-13	No	No
P06681	C2	-2.42921839684705	1.59768106989756e-08	No	No
P06727	APOA4	-1.16571087310993	0.0022969071114846	No	No
P06731	CEACAM5	-2.88856315891898	3.72331519380456e-08	No	No
P06737	PYGL	-2.3023385030629	0.0051193739178666	No	No
P07148	FABP1	-4.67320901850273	2.32726599313176e-06	No	No
P07358	C8B	-1.08646467770105	0.0037765752487447	No	No
P07451	CA3	-4.42827048293895	6.64849053646738e-08	No	No
P07998	RNASE1	-6.77533354012476	1.57008344055784e-16	No	No
P08185	SERPINA6	-2.17680058971217	8.09899849947917e-07	No	No
P08217	CELA2A	-8.49759782658759	3.69386363071777e-34	No	No
P08572	COL4A2	-1.81975258326434	0.0076599285482974	No	No
P08603	CFH	-1.46935684269998	0.0003108905386679	No	No
P09960	LTA4H	-3.38564819707051	1.8132238460702e-07	No	No
P10643	C7	-1.60177788705719	3.5058696636034e-05	No	No
P10721	KIT	-1.61154531850347	0.0019359178518068	No	No
