Protein_Group	Genes	SAX_72001_B_vs_RAW_72001_B_logFC	SAX_72001_B_vs_RAW_72001_B_pval	Removed?	Contaminant?
A0A075B6J9	IGLV2-18	2.55804591622524	0.0001849841252288	No	No
A0A075B6K4	IGLV3-10	2.74271062837456	1.91547699170783e-07	No	No
A0A075B6S2	IGKV2D-29	3.30541803365783	7.05751519522311e-07	No	No
A0A0A0MS00	IGLV3-32	2.48948634002315	9.31461118671391e-06	No	No
A0A0A0MS14	IGHV1-45	1.48697951601782	0.0045491771574982	No	No
A0A0A0MT96	IGKJ3	9.15484177187656	4.10736773350927e-32	No	No
A0A0C4DH33	IGHV1-24	4.89781468682923	3.0228533742529703e-14	No	No
A0A0C4DH38	IGHV5-51	1.71907351162152	0.008076200886009	No	No
A0A0G2JMI3	IGHV1-69-2	6.54893819673172	1.8000828186472902e-19	No	No
A0A0J9YY99	gene	2.12149678184958	0.0018023533895507	No	No
A0A1B0GTC6	C3orf85	6.3035689236243	2.10919874425009e-19	No	No
A0AVT1	UBA6	8.3469412908646	8.77236546668918e-17	No	No
A0FGR8	ESYT2	10.0538147559618	3.04577755509189e-23	No	No
A1A4S6	ARHGAP10	8.39114289707703	1.109886875109e-19	No	No
A1A5C7	SLC22A23	3.10420795577194	7.98005556073063e-07	No	No
A1L0T0	ILVBL	6.9019579344929	2.9094705773042098e-12	No	No
A1L390	PLEKHG3	1.64950766540163	0.0006079445284023	No	No
A1L3X0	ELOVL7	5.30039948506267	7.55824201280547e-14	No	No
A1L4H1	SSC5D	3.97693399905787	3.64837288511081e-08	No	No
A1X283	SH3PXD2B	11.4409494633247	1.50622524637312e-29	No	No
A2A2Y4	FRMD3	2.95252334787706	0.0041677601734753	No	No
A2RRP1	NBAS	8.03470635249104	1.9400347650099e-12	No	No
A2RTX5	TARS3	3.17922650078484	1.35071482643671e-06	No	No
A2RUS2	DENND3	10.466344395523	1.7463863228607502e-20	No	No
A4D1B5	GSAP	5.21384131747773	1.50356126326233e-18	No	No
A4D1P6	WDR91	3.22711212510911	1.34080849132716e-06	No	No
A4UGR9	XIRP2	4.58192842445082	9.7445531919996e-12	No	No
A5D8V6	VPS37C	4.84914298639554	9.72196296644782e-16	No	No
A5PLN9	TRAPPC13	1.89072351914385	5.4402559479043e-05	No	No
A5YKK6	CNOT1	6.64237701492559	5.9290736346315e-11	No	No
A6NDG6	PGP	7.17034150854169	6.79794270528489e-16	No	No
A6NDU8	C5orf51	6.07739942957009	3.19157644288855e-17	No	No
A6NFX1	MFSD2B	4.21651718009714	2.0762748752429e-08	No	No
A6NHL2	TUBAL3	12.461371038488	9.09946694356189e-30	No	No
A6QL63	BTBD11	6.93153158408479	1.00904370283401e-14	No	No
A7E2V4	ZSWIM8	2.38482409938065	9.56471703518601e-05	No	No
A7KAX9	ARHGAP32	5.07169657144248	1.6276803832217402e-09	No	No
B0I1T2	MYO1G	5.55316704030934	9.21752288675207e-14	No	No
B2RUZ4	SMIM1	6.98286480712364	1.50509881758728e-20	No	No
B9EJG8	TMEM150C	3.01257758067338	5.00776469886888e-10	No	No
E9PAV3	NACA	9.85812768493562	4.88658358441323e-28	No	No
O00116	AGPS	9.93761073186033	3.72825346972285e-25	No	No
O00139	KIF2A	13.0997049626931	5.78437065324249e-28	No	No
O00142	TK2	10.1908483314161	3.97804547105136e-19	No	No
O00151	PDLIM1	6.80680793875654	4.57485623520503e-19	No	No
O00154	ACOT7	9.11054753659699	2.50214699652963e-16	No	No
O00159	MYO1C	10.1438297559606	1.7857915882188402e-25	No	No
O00160	MYO1F	3.91461251915135	3.46901578176773e-05	No	No
O00161	SNAP23	12.7580397739572	7.91293479990058e-38	No	No
O00170	AIP	6.67121858181017	2.4001245897445004e-16	No	No
O00178	GTPBP1	6.25647204144765	6.960941447779679e-12	No	No
O00186	STXBP3	9.58825686560484	5.47149811681973e-23	No	No
O00187	MASP2	6.63494033260661	1.84896435651905e-21	No	No
O00189	AP4M1	3.03344361297635	2.24469024597785e-06	No	No
O00194	RAB27B	9.2837475286893	4.91779645863889e-28	No	No
O00203	AP3B1	9.32982084873606	4.5024454681399e-26	No	No
O00214	LGALS8	4.78783942103422	1.5966023439537197e-11	No	No
O00217	NDUFS8	7.87626555330081	3.6226074869722e-24	No	No
O00231	PSMD11	11.1993969464825	1.23680353652217e-28	No	No
O00232	PSMD12	8.67911142388362	2.4659719330401403e-15	No	No
O00233	PSMD9	6.72476350623801	4.73020828953065e-12	No	No
O00244	ATOX1	1.59676365241457	0.0027616992227677	No	No
O00264	PGRMC1	6.5318482426867	1.6765721972841302e-17	No	No
O00273	DFFA	1.91084541555381	0.0001699598906326	No	No
O00299	CLIC1	5.96739860207773	5.54079586515475e-19	No	No
O00303	EIF3F	9.68815251140124	3.65534614510308e-26	No	No
O00330	PDHX	7.34131392945723	6.70052815788982e-14	No	No
O00339	MATN2	5.97752967891141	1.37437397034125e-07	No	No
O00391	QSOX1	1.3649622105866	0.0095154963516535	No	No
O00399	DCTN6	6.3153468603994	2.59581613603365e-12	No	No
O00400	SLC33A1	4.53018827971247	7.60367749215599e-16	No	No
O00410	IPO5	11.363442749461	8.73438891451589e-26	No	No
O00421	CCRL2	1.62073488558767	0.000760681597035	No	No
O00429	DNM1L	8.84177719081546	1.89256058987293e-18	No	No
O00442	RTCA	5.6311666034552	1.67374868718412e-10	No	No
O00453	LST1	3.90415629776326	9.70923178167741e-10	No	No
O00461	GOLIM4	9.16169241080197	1.15314925313922e-26	No	No
O00468	AGRN	10.9328517272811	3.96656272721145e-29	No	No
O00469	PLOD2	6.40066528927421	1.67404806858316e-05	No	No
O00471	EXOC5	7.14821657936445	6.05081614499597e-13	No	No
O00481	BTN3A1	2.70780796092637	1.03979016077669e-07	No	No
O00483	NDUFA4	8.6872786407924	4.4422617493623404e-21	No	No
O00487	PSMD14	9.42442004489632	1.31942302293954e-29	No	No
O00499	BIN1	4.77767741740083	2.39419477636994e-10	No	No
O00501	CLDN5	7.507467103414	3.59638347713604e-21	No	No
O00505	KPNA3	6.31740041507053	6.22419494048057e-12	No	No
O00507	USP9Y	5.60028167144312	2.16094112004988e-19	No	No
O00522	KRIT1	2.43854284355342	4.39685195459442e-05	No	No
O00533	CHL1	2.6171808922612	3.25529537715423e-07	No	No
O00534	VWA5A	9.18426576807235	2.5629999595614097e-18	No	No
O00560	SDCBP	9.33612289147847	1.7129479334148998e-27	No	No
O00571	DDX3X	8.27887839629877	1.6921696263106202e-19	No	No
O00584	RNASET2	2.60284014518682	6.62050858080023e-05	No	No
O00587	MFNG	4.77910378122675	2.54570743365709e-11	No	No
O00592	PODXL	7.3316320259383	4.027672771108e-27	No	No
O00629	KPNA4	6.96862273968131	6.07137349276208e-18	No	No
O00743	PPP6C	10.5577166679551	7.00164392545702e-25	No	No
O00746	NME4	3.9070250756257	1.42802725246045e-10	No	No
O00748	CES2	4.3728572034847	0.0001449454834127	No	No
O00754	MAN2B1	6.14591922447602	1.13435793230842e-09	No	No
O14498	ISLR	3.11075246927506	4.8664327780791606e-09	No	No
O14521	SDHD	5.67194534641793	3.54811201631194e-19	No	No
O14523	C2CD2L	8.73094845584171	3.4769288289863604e-23	No	No
O14530	TXNDC9	3.76440354425552	2.70070370189999e-07	No	No
O14545	TRAFD1	10.8581790776694	2.49963453461219e-18	No	No
O14548	COX7A2L	6.21672936514498	5.48010537083724e-17	No	No
O14561	NDUFAB1	5.91907949638743	1.74903145509008e-16	No	No
O14579	COPE	10.7803105107854	1.89007584129553e-29	No	No
O14594	NCAN	7.5290997016423	4.4120220347886205e-25	No	No
O14617	AP3D1	10.5807911994331	1.0546429439261e-17	No	No
O14618	CCS	8.9790818843548	4.3535237001304295e-12	No	No
O14639	ABLIM1	8.07844748341001	8.06063270789889e-24	No	No
O14653	GOSR2	7.70641353079658	2.33867615583597e-23	No	No
O14656	TOR1A	8.14295907518137	1.22849767346411e-15	No	No
O14657	TOR1B	2.8066952624509	7.93267624380758e-06	No	No
O14662	STX16	6.70918402636251	1.30418049201955e-16	No	No
O14672	ADAM10	12.3410865977049	1.75485436628125e-28	No	No
O14727	APAF1	5.67004730998155	2.4315200247276703e-14	No	No
O14730	RIOK3	3.01302680100713	3.44973339857081e-06	No	No
O14734	ACOT8	8.43191739430333	4.4191467151925395e-22	No	No
O14735	CDIPT	8.00888231384881	6.29777224198282e-13	No	No
O14737	PDCD5	5.9734093871374	1.21822268154449e-07	No	No
O14744	PRMT5	7.52646101954388	6.52584194162371e-23	No	No
O14745	SLC9A3R1	5.63471218042026	2.85636989321228e-10	No	No
O14773	TPP1	10.7660024994165	7.994108488274729e-12	No	No
O14775	GNB5	6.08355519075523	6.29365688372904e-17	No	No
O14786	NRP1	7.35291505726377	4.4002749922924e-25	No	No
O14787	TNPO2	7.63275833825291	6.55148860171727e-10	No	No
O14791	APOL1	1.83600810986248	6.46127930137886e-05	No	No
O14793	MSTN	4.62908009724666	6.79979272923013e-06	No	No
O14817	TSPAN4	4.32171363433647	7.02257157455447e-12	No	No
O14818	PSMA7	10.504928699588	5.0060085016179996e-24	No	No
O14828	SCAMP3	8.86250903085699	9.867662259205911e-23	No	No
O14841	OPLAH	8.82359867815144	1.39108266556468e-18	No	No
O14874	BCKDK	5.16299143108275	1.3123652884712002e-10	No	No
O14880	MGST3	6.98439537671688	1.13040721178567e-16	No	No
O14907	TAX1BP3	2.17472955847149	1.84020280085775e-05	No	No
O14908	GIPC1	3.72036841177249	2.22470544733071e-09	No	No
O14917	PCDH17	5.26189467051429	5.6886666377481195e-11	No	No
O14920	IKBKB	9.18738103234725	2.1152368493657102e-21	No	No
O14933	UBE2L6	3.73408915050433	3.4355961629842398e-12	No	No
O14949	UQCRQ	6.78111433354065	2.21113619294852e-17	No	No
O14957	UQCR11	7.65291363537475	1.73872992621311e-24	No	No
O14964	HGS	6.05984595005706	3.40903068969412e-16	No	No
