Protein_Group	Genes	SAX_62001_M3_vs_SAX_62001_B_logFC	SAX_62001_M3_vs_SAX_62001_B_pval	Removed?	Contaminant?
Q8NG06	TRIM58	1.65137881477197	0.0011927038729611	No	No
Q92769	HDAC2	3.67340211548524	1.1396344664501e-09	No	No
Q92932	PTPRN2	1.60192441877938	0.0041537259300276	No	No
Q93033	CD101	2.4601602610927	0.0005282537842929	No	No
Q96DZ1	ERLEC1	3.54066188960807	0.0001404356390117	No	No
Q96JP2	MYO15B	5.38929864103792	1.68783296891179e-16	No	No
Q96K21	ZFYVE19	5.14533665581293	1.2167004468970601e-14	No	No
Q96MU8	KREMEN1	2.44362121125887	0.0058759113129222	No	No
Q96QA5	GSDMA	5.87975984285515	3.46126952871515e-06	No	No
Q96S86	HAPLN3	2.91530058643421	0.000257878268061	No	No
Q9BRX5	GINS3	2.24364232133927	0.0060254059721955	No	No
Q9BS40	LXN	2.21001327551144	0.0012140688187301	No	No
Q9BVG4	PBDC1	1.79995088882598	0.0013748499920745	No	No
Q9BXX0	EMILIN2	2.00309321720622	0.0001869162415824	No	No
Q9BYJ1	ALOXE3	2.05987048860061	2.12044388139879e-05	No	No
Q9BYZ2	LDHAL6B	5.79280437096913	2.76825994107849e-21	No	No
Q9H3U7	SMOC2	1.23075301330199	0.0059065911027852	No	No
Q9HC84	MUC5B	1.70221881010035	0.0004111389162497	No	No
Q9NR09	BIRC6	1.50347570008407	0.0075889312985154	No	No
Q9NVH1	DNAJC11	5.68738306851525	6.59271861320898e-20	No	No
Q9NYF8	BCLAF1	2.65418825569744	0.002432112611227	No	No
Q9NZ53	PODXL2	2.16318187377721	0.0012419945469403	No	No
Q9UGM3	DMBT1	3.82613775905879	3.6576514439945795e-11	No	No
Q9UMS0	NFU1	1.60313477743077	0.0043690323687715	No	No
Q9UPW6	SATB2	4.11346175982215	3.43639357981196e-17	No	No
Q9Y219	JAG2	2.15824703619612	2.57883449159898e-07	No	No
Q9Y2U8	LEMD3	1.45682910462257	0.0044029727715855	No	No
Q9Y2Z0	SUGT1	2.15384877532205	0.0002194708754597	No	No
Q9Y365	STARD10	1.33941816887642	0.0039519222976962	No	No
Q9Y4K0	LOXL2	3.33828652367973	2.76223776685519e-07	No	No
Q9Y4Z0	LSM4	1.26636759843306	0.0084665648552162	No	No
Q9Y6L7	TLL2	1.25335014175826	0.0030459425083997	No	No
A0A075B6J2	IGLV2-33	-1.47247287757722	0.002040788260416	No	No
A0A075B7E8	IGHV3OR16-13	-1.32793649640604	0.0007465060044036	No	No
A0A0B4J1V1	IGHV3-21	-6.60653870063306	1.2092505793510401e-20	No	No
A0A0B4J1V6	IGHV3-73	-1.32908041752144	0.0054317417027477	No	No
A0A0C4DH24	IGKV6-21	-1.54922633174296	0.0024509716151831	No	No
A0A0J9YW62	gene	-3.16994581440908	2.59830638806629e-07	No	No
A0A0J9YWP8	TRBJ1-3	-1.69438903771039	9.41649487704541e-06	No	No
A0AVT1	UBA6	-3.76713578143622	2.41609249504735e-07	No	No
A0FGR8	ESYT2	-5.14828647563145	4.85955244348637e-13	No	No
A4D1P6	WDR91	-2.48995105860859	1.96993799359711e-05	No	No
O00139	KIF2A	-2.57282532474679	4.53093360477134e-05	No	No
O00151	PDLIM1	-1.81321075076432	0.0002501257070647	No	No
O00161	SNAP23	-1.43323023161717	0.0002929936524968	No	No
O00194	RAB27B	-1.76138745619043	7.24130710064728e-05	No	No
O00231	PSMD11	-1.29542187826337	0.0096958578770995	No	No
O00232	PSMD12	-4.09798997778867	5.51219439325118e-07	No	No
O00399	DCTN6	-4.96113927722828	1.63721746462728e-10	No	No
O00429	DNM1L	-1.94296500499879	0.0028523352273617	No	No
O00442	RTCA	-2.35013275035107	0.0006497176729141	No	No
