Protein_Group	Genes	SAX_22001_M1_vs_RAW_22001_M1_logFC	SAX_22001_M1_vs_RAW_22001_M1_pval	Removed?	Contaminant?
A0A075B6I1	IGLV4-60	5.08937294162451	0.0010753138417051	No	No
A0A075B6J2	IGLV2-33	7.28136881698626	9.392696833258041e-21	No	No
A0A075B6J9	IGLV2-18	4.70761905404351	7.22134161046367e-10	No	No
A0A075B6K0	IGLV3-16	5.34467429731026	6.106060420948571e-15	No	No
A0A075B6K4	IGLV3-10	12.0223145007905	8.74089577867877e-34	No	No
A0A075B6K6	IGLV4-3	2.89598838289191	6.98603523135898e-07	No	No
A0A075B6S2	IGKV2D-29	2.34020376015823	0.0002240664513759	No	No
A0A075B6S5	IGKV1-27	1.84333565423148	0.000296849949413	No	No
A0A0A0MS15	IGHV3-49	2.32411086250725	3.25056786151637e-05	No	No
A0A0A0MT96	IGKJ3	11.2797665030719	4.91594703389854e-37	No	No
A0A0B4J1V1	IGHV3-21	7.46441539958156	7.47142413121876e-21	No	No
A0A0B4J1V6	IGHV3-73	2.25599570863547	4.90307099841126e-05	No	No
A0A0B4J1X5	IGHV3-74	2.13996063061247	0.0016238125165545	No	No
A0A0B4J1Y8	IGLV9-49	3.95177552326027	1.61955521090265e-08	No	No
A0A0B4J1Y9	IGHV3-72	1.67310103958224	0.0002555719913743	No	No
A0A0C4DH24	IGKV6-21	1.49513741452666	0.0082823047575032	No	No
A0A0C4DH33	IGHV1-24	5.4959184382265	3.46469380216748e-16	No	No
A0A0C4DH36	IGHV3-38	2.0274145981638	0.0001945018522799	No	No
A0A0C4DH38	IGHV5-51	2.82763864164385	3.15135903545178e-05	No	No
A0A0C4DH39	IGHV1-58	10.0658579524594	9.917380327469331e-19	No	No
A0A0C4DH43	IGHV2-70D	2.14417479500034	0.0009327777661701	No	No
A0A0G2JS06	IGLV5-39	2.12000301846452	0.0009428185408941	No	No
A0A0J9YY99	gene	2.21420265573134	0.0011705048157701	No	No
A0A1B0GTC6	C3orf85	3.97837228909168	1.1530770938142e-11	No	No
A0AVT1	UBA6	3.54293610833243	7.55189411906321e-06	No	No
A0FGR8	ESYT2	8.04845019532305	8.40912029188136e-19	No	No
A1A4S6	ARHGAP10	4.26621501776608	4.527312729349831e-09	No	No
A1L4H1	SSC5D	4.19162302198766	9.737922550352081e-09	No	No
A1X283	SH3PXD2B	4.85809859190992	6.92186118820161e-13	No	No
A2RUS2	DENND3	6.52936193851735	2.69966549308549e-12	No	No
A4D1P6	WDR91	1.87632244194205	0.0027211442637318	No	No
A5YKK6	CNOT1	3.37162821798955	0.0001499297439174	No	No
A6NDB9	PALM3	6.21997088210256	1.57227503607232e-11	No	No
A6NDG6	PGP	5.52929304308922	8.66353294200661e-12	No	No
