Protein_Group	Genes	SAX_72001_M3_vs_SAX_72001_B_logFC	SAX_72001_M3_vs_SAX_72001_B_pval	Removed?	Contaminant?
A0A075B6I1	IGLV4-60	3.74259494730351	0.0063851765936906	No	No
A0A075B6K2	IGLV3-12	2.34722708625224	0.0021242751880417	No	No
A0A075B7B6	IGHV4OR15-8	6.73574762851653	2.60919087374318e-21	No	No
A4D1S0	KLRG2	11.0282852041127	1.99489211619301e-35	No	No
A9UHW6	MIF4GD	3.15564837823527	6.53376006768378e-06	No	No
O00182	LGALS9	9.5678811973855	3.84244605934332e-33	No	No
O00408	PDE2A	2.25740180989456	0.0096634465577805	No	No
O00422	SAP18	2.77054649664596	4.61037921475098e-09	No	No
O00499	BIN1	1.56159965296241	0.0071389050531351	No	No
O00762	UBE2C	2.03489195090667	7.78359143692054e-06	No	No
O00764	PDXK	2.10088995892059	0.0054709448303102	No	No
O15230	LAMA5	3.92753925058913	0.0001115705279894	No	No
O15335	CHAD	3.22268801036832	0.0001959312417916	No	No
O43670	ZNF207	1.89624775391639	0.0032655136114904	No	No
O60896	RAMP3	5.26833614831733	1.4891290948740801e-19	No	No
O75019	LILRA1	3.05761466852466	4.53184272760296e-05	No	No
O75144	ICOSLG	8.84222773825666	1.38329646655544e-28	No	No
O75339	CILP	2.2722528196548	5.62014269206815e-06	No	No
O75503	CLN5	3.16068018110087	1.43868216179854e-06	No	No
O75533	SF3B1	2.32313432487408	0.0041796032340101	No	No
O75900	MMP23B	2.44735013830949	8.59769066397725e-06	No	No
O76021	RSL1D1	5.47580565128083	9.50993532737995e-08	No	No
O76070	SNCG	8.74689881770108	2.26071042332005e-14	No	No
O95817	BAG3	5.28944224541628	2.18691895370472e-05	No	No
O95841	ANGPTL1	2.02761411317168	0.0015390073538152	No	No
P01920	HLA-DQB1	2.47964083657193	2.19728835512037e-06	No	No
P02458	COL2A1	3.53641827792184	5.19406901451241e-07	No	No
P05114	HMGN1	3.00658045017897	0.0001350421106192	No	No
P05455	SSB	3.05883766405293	0.0022610889985053	No	No
P07305	H1-0	2.7159190702208	9.60941051862541e-10	No	No
P07910	HNRNPC	1.81934098210714	0.008402339026567	No	No
P08133	ANXA6	2.3962794081261	0.0065389430313982	No	No
P08579	SNRPB2	4.61613889771708	1.47086437793955e-14	No	No
P09326	CD48	2.0126396538767	0.001234770373692	No	No
P09681	GIP	2.18426902007452	0.0001185772906439	No	No
P09874	PARP1	5.81693340521453	2.66059054805685e-05	No	No
P11678	EPX	1.87043346935802	8.86355668514855e-06	No	No
P12883	MYH7	1.86801388288443	7.67495070302053e-05	No	No
P13929	ENO3	6.90224103833029	1.1402735212241699e-12	No	No
P14174	MIF	3.29070164358954	7.17868462684529e-05	No	No
P15090	FABP4	6.51196315333667	9.47863555374645e-25	No	No
P15941	MUC1	3.57523240300433	2.00564291007267e-05	No	No
P16422	EPCAM	2.57335776838965	7.31883041136634e-06	No	No
P16662	UGT2B7	5.87265003271329	2.0898640000054097e-11	No	No
P17181	IFNAR1	1.85544375967147	7.01309512222603e-05	No	No
P17844	DDX5	3.22452036234799	0.0004921994223459	No	No
P18075	BMP7	1.69030248088906	0.0001208250944335	No	No
P18124	RPL7	3.42319173140045	0.0008561420828952	No	No
P19526	FUT1	3.20454003998366	0.0004102753251227	No	No
P20702	ITGAX	2.6286047019322	4.95525205245675e-07	No	No
P22626	HNRNPA2B1	2.90192569573283	0.0011732546949781	No	No
P25685	DNAJB1	1.62626498962207	0.0051326085702504	No	No
P26373	RPL13	4.13406778333828	0.001916980216472	No	No
P29373	CRABP2	8.58192607899423	6.38118115791006e-20	No	No
P30203	CD6	1.58178007944727	0.000173688729881	No	No
P30511	HLA-F	7.62983344508483	2.55907757414381e-25	No	No
P35443	THBS4	1.58137222279388	0.0011734989716148	No	No
P35609	ACTN2	9.55937065405038	3.83484996450097e-23	No	No
P35612	ADD2	2.29250255060341	2.20522551399186e-05	No	No
P35637	FUS	2.41821510245046	6.47330771665653e-06	No	No
P38159	RBMX	2.77643506097501	0.0038572895928994	No	No
P38570	ITGAE	7.28320756409807	7.83965982348205e-25	No	No
P39019	RPS19	3.25606137254131	0.0043807767102907	No	No
P42766	RPL35	4.55655115517506	1.16289574276275e-12	No	No
P46087	NOP2	1.8196882862693	3.99988221911789e-05	No	No
P46108	CRK	2.01055380933664	0.0026570281347619	No	No
P46777	RPL5	2.6144746171041	0.0094098635240316	No	No
P46779	RPL28	2.12587467316754	0.0077712399337575	No	No
P46781	RPS9	2.96051423269756	1.15618848400633e-05	No	No
P47914	RPL29	3.00454957170571	1.99454010801728e-05	No	No
P49406	MRPL19	2.93368760991816	0.0001716553034377	No	No
P49773	HINT1	2.12518510346693	0.0084650705538586	No	No
P50914	RPL14	5.15498400288129	1.18541004807999e-08	No	No
P52272	HNRNPM	2.89862073161006	0.0004825325821265	No	No
P52434	POLR2H	2.2257864216848	0.0004898602939091	No	No
P53999	SUB1	5.30630849143883	7.11868557240315e-15	No	No
P55157	MTTP	2.90111260876037	1.83378097179634e-06	No	No
P58107	EPPK1	2.09138752999924	0.0001298907799996	No	No
P61247	RPS3A	2.88489655569515	0.001443532386708	No	No
P61353	RPL27	2.70247784832069	5.90002103858704e-06	No	No
P62081	RPS7	4.18540267543086	2.80787268227628e-06	No	No
P62263	RPS14	1.85153260089092	0.0065431359095538	No	No
P62269	RPS18	2.36913005798298	0.0001740716383996	No	No
P62280	RPS11	4.66977685631592	4.18611095665339e-07	No	No
P62306	SNRPF	2.98301178953569	0.0001312141411294	No	No
P62328	TMSB4X	7.66244528034937	3.40412856072842e-28	No	No
P62424	RPL7A	2.95906262922502	0.0010276704742471	No	No
P62829	RPL23	2.88086745151349	0.0009607682648713	No	No
P62851	RPS25	1.76130023194292	0.0020320964681103	No	No
P62857	RPS28	3.26661235646025	2.75969317636373e-06	No	No
P62879	GNB2	1.95899514693515	0.0023104638086259	No	No
P83916	CBX1	2.05422688722019	3.48741161420902e-05	No	No
P84090	ERH	3.66252741368881	0.0054845222980508	No	No
P98161	PKD1	3.7581188524775	0.0002742143953942	No	No
Q01844	EWSR1	2.31516431979047	8.52915505436547e-05	No	No
Q02878	RPL6	2.62446910941556	0.0054210886721707	No	No
Q02952	AKAP12	1.65122555583944	0.0004459415455784	No	No
Q07020	RPL18	6.70294924261487	3.72803630826767e-16	No	No
Q07955	SRSF1	4.8081902846541	1.48167119307325e-06	No	No
Q0P6D2	DIPK1C	1.82673244780639	5.54440779816139e-05	No	No
Q13217	DNAJC3	4.27249271989274	0.0033322960402948	No	No
Q13219	PAPPA	2.53997869047279	0.0001100653171748	No	No
Q13263	TRIM28	4.26958874685358	6.5817416291825e-06	No	No
Q13275	SEMA3F	3.37240159258085	7.19455210284919e-06	No	No
Q13310	PABPC4	1.54226615423803	0.0093159651310322	No	No
Q13405	MRPL49	2.90301768467866	7.77723590641495e-06	No	No
Q13435	SF3B2	3.86173173709578	0.0002593412444114	No	No
Q14114	LRP8	8.02619923916072	0.0024988250668944	No	No
Q14566	MCM6	6.21338997652687	1.4209219599581e-08	No	No
Q14980	NUMA1	3.22461482964705	0.0014106694917139	No	No
Q15061	WDR43	1.92261038352177	0.0001239070238015	No	No
Q15637	SF1	4.31786661542555	9.073352928860791e-10	No	No
Q15843	NEDD8	1.58469605157849	0.0023868135725718	No	No
Q15847	ADIRF	3.44900553914509	4.44701353832227e-08	No	No
Q16513	PKN2	3.67039780185839	1.65763135030487e-05	No	No
Q16576	RBBP7	2.91478972580124	9.14241624139095e-07	No	No
Q16820	MEP1B	2.40288246214384	0.0077585104896773	No	No
Q2UY09	COL28A1	2.13351223332159	0.0007397179175281	No	No
Q53EL9	SEZ6	3.62673179327959	8.2104634379754e-09	No	No
Q53FA7	TP53I3	3.06037171618075	0.005541414687362	No	No
Q53FT3	HIKESHI	3.47383930558046	1.66729095312024e-09	No	No
Q58EX2	SDK2	2.96457244080901	0.0084710098133154	No	No
Q5H8C1	FREM1	1.61419916460082	0.0033771321853848	No	No
Q5RKV6	EXOSC6	6.8781874373073	2.67460061069742e-11	No	No
Q76M96	CCDC80	1.92725027971454	0.0011999831977875	No	No
Q7Z3B1	NEGR1	3.2259396642483	4.81551660615743e-09	No	No
Q7Z3D6	DGLUCY	3.59156642892653	8.58938230762251e-05	No	No
Q86TU7	SETD3	5.83708353880561	5.27293726656195e-14	No	No
Q86XX4	FRAS1	4.17556093572583	1.43975358661592e-06	No	No
Q86YV0	RASAL3	2.12022095051241	0.0088158527341826	No	No
Q8IUN9	CLEC10A	2.65097807559266	6.37724727566652e-05	No	No
Q8IZA0	KIAA0319L	2.55831157059582	0.000399557030283	No	No
Q8N8S7	ENAH	3.90436524548738	1.45674562247201e-07	No	No
Q8NDA2	HMCN2	1.96300592420272	0.0027014904119863	No	No
Q8NFY4	SEMA6D	5.67425643381591	0.0033798002323126	No	No
Q8TEX9	IPO4	3.11481249951514	6.74424962690509e-05	No	No
Q8WW12	PCNP	2.78510293074046	0.0002148746493976	No	No
Q92522	H1-10	3.15728890522534	0.0001264972124303	No	No
Q92878	RAD50	2.89981328654015	0.000155589421188	No	No
Q92917	GPKOW	1.73091575129038	7.45453032197889e-05	No	No
Q93033	CD101	3.10436545425717	2.08202868973186e-05	No	No
Q93063	EXT2	2.93497230399731	0.0005024064948778	No	No
Q96CD0	FBXL8	2.15422789157715	0.0002257617156899	No	No
Q96CG8	CTHRC1	1.56132755802356	0.0083505868411436	No	No
Q96E11	MRRF	3.18502935158178	0.001624964554541	No	No
Q96EY1	DNAJA3	7.22987263032435	6.11076854681822e-24	No	No
Q96KC8	DNAJC1	1.8943888950229	0.0002197203574609	No	No
Q96LA6	FCRL1	4.20392635939225	8.93369075400702e-06	No	No
Q96QU6	ACCS	4.68145870098253	1.2258790446674e-19	No	No
Q99700	ATXN2	3.39272963911734	0.0005762788205432	No	No
Q99729	HNRNPAB	2.61106808554364	0.0002191484751051	No	No
Q99969	RARRES2	2.5237777328643	0.0036275117616437	No	No
Q9BXJ4	C1QTNF3	1.68175960242987	8.83482277376247e-05	No	No
Q9BXP5	SRRT	1.93298112570911	0.003517869991155	No	No
Q9C0C2	TNKS1BP1	4.6054310790839	3.98812640581244e-06	No	No
Q9GZR7	DDX24	4.45832180840482	1.0788714370178402e-15	No	No
Q9H082	RAB33B	9.12039442328826	8.60012448929064e-09	No	No
Q9H0A0	NAT10	2.22050472761758	5.09561452501635e-06	No	No
Q9H0D6	XRN2	2.16297343429466	1.2806484520402e-05	No	No
Q9H307	PNN	3.36308458901754	1.68755088056431e-11	No	No
Q9H3K2	GHITM	1.58776426292183	0.0010692240381736	No	No
Q9HD42	CHMP1A	1.53998909290711	0.0011022824092055	No	No
Q9NNW5	WDR6	3.66942865423071	1.80545039712834e-10	No	No
Q9NNX6	CD209	2.85409902020935	0.0015366322304332	No	No
Q9NQ30	ESM1	1.63069880375894	0.0015918898307984	No	No
Q9NR30	DDX21	3.0194831141518	0.0045857267754639	No	No
Q9NRV9	HEBP1	2.36856605517774	1.7147207936155e-05	No	No
Q9NUQ8	ABCF3	1.73924979422902	0.0010388872035879	No	No
Q9NX57	RAB20	1.74960278202505	0.0002453089825302	No	No
Q9NYF8	BCLAF1	2.61005029264843	0.0028363756595668	No	No
Q9P013	CWC15	4.6305403428606	9.866624543420471e-15	No	No
Q9P2B2	PTGFRN	4.27887525074287	0.006449725938729	No	No
Q9UHD9	UBQLN2	2.39321228764038	2.2649416451858e-05	No	No
Q9UHF7	TRPS1	5.91803050033152	3.4529493628771003e-15	No	No
Q9UHN6	CEMIP2	4.29632731498433	0.0003190995808217	No	No
Q9UHX1	PUF60	5.2885786658366	1.91536643282894e-13	No	No
Q9UI08	EVL	2.7548839705777	0.0001599847001926	No	No
Q9UMY1	NOL7	4.52524940233713	1.79920190191971e-16	No	No
Q9UQB8	BAIAP2	1.86449101370787	0.0005852323060833	No	No
Q9Y2U5	MAP3K2	3.48614324929538	0.0004478930949571	No	No
Q9Y2W1	THRAP3	2.082042982648	0.0023111782151395	No	No
Q9Y2X3	NOP58	7.61306941475742	1.01685867114897e-09	No	No
Q9Y3Y2	CHTOP	5.25733984960961	6.4382700451195405e-09	No	No
Q9Y5E7	PCDHB2	5.89125575354315	2.86479633342219e-08	No	No
Q9Y5H3	PCDHGA10	3.96548679717041	0.0093360973673849	No	No
Q9Y5I4	PCDHAC2	1.78258130535729	0.0006391613784703	No	No
Q9Y5Y5	PEX16	2.30791961600304	0.0021504654173691	No	No
Q9Y6R7	FCGBP	1.56199520806117	7.0330919489862e-05	No	No
A0AVT1	UBA6	-1.78852086782426	0.0074421760259165	No	No
A1A5C7	SLC22A23	-2.42628313986993	1.02994770389631e-05	No	No
A1L0T0	ILVBL	-3.0877158230144	4.87295607476954e-05	No	No
A1L3X0	ELOVL7	-5.73340595472457	4.4724212867740505e-17	No	No
A2A2Y4	FRMD3	-3.38552981753896	0.0003216651941436	No	No
A2RRP1	NBAS	-2.73408696131483	0.001310422451502	No	No
A2RUS2	DENND3	-2.60697035524318	0.0002321640932234	No	No
A3KMH1	VWA8	-2.24198958055315	0.0068966815232521	No	No
A4UGR9	XIRP2	-5.01493489411272	7.540124629447999e-15	No	No
A5YKK6	CNOT1	-1.99494636178304	0.0094841388821242	No	No
A6NFX1	MFSD2B	-4.64952364975904	5.895093801908869e-11	No	No
A6QL63	BTBD11	-2.25902832917485	0.0004188777157747	No	No
A7KAX9	ARHGAP32	-5.50470304110438	4.39690022761162e-12	No	No
O00142	TK2	-2.16636447437589	0.0027868353692015	No	No
O00160	MYO1F	-2.23473462615886	0.0058357560617136	No	No
O00178	GTPBP1	-1.9278586821182	0.0046560722595155	No	No
O00186	STXBP3	-1.60011798767903	0.0042692696152588	No	No
O00189	AP4M1	-2.08851904934105	0.0001589187492323	No	No
O00217	NDUFS8	-1.66568883308189	0.000188631391112	No	No
O00410	IPO5	-1.56425455978928	0.0069573785829522	No	No
O00421	CCRL2	-2.05374135524957	4.88160799108443e-06	No	No
O00442	RTCA	-2.11953427599227	0.001917743928809	No	No
O00471	EXOC5	-2.58697985412777	0.0004570018906823	No	No
O00483	NDUFA4	-1.83232996719378	0.0011371142443723	No	No
O00507	USP9Y	-6.03328814110502	3.9764407015981504e-23	No	No
O00522	KRIT1	-2.63828403988001	1.57454540893285e-06	No	No
O00754	MAN2B1	-2.54068301489698	0.0014545066337809	No	No
O14545	TRAFD1	-2.139986643175	0.0073939194059036	No	No
O14562	UBFD1	-1.60308979958108	0.0021034939084232	No	No
O14662	STX16	-3.14226182149563	1.30427222413618e-07	No	No
O14727	APAF1	-5.34431582889897	3.2979923896140704e-15	No	No
O14734	ACOT8	-2.65948999985866	1.37227261600204e-06	No	No
O14841	OPLAH	-3.49423533631299	4.91591900926701e-07	No	No
O14957	UQCR11	-2.21039458984433	7.90286231452749e-07	No	No
O14972	VPS26C	-1.76043653761438	0.0002336779497307	No	No
O14980	XPO1	-1.72357862816099	0.0065983534840147	No	No
O15013	ARHGEF10	-4.72554273524874	0.000169938423049	No	No
O15040	TECPR2	-2.4983408997537	5.25612009977507e-05	No	No
O15068	MCF2L	-1.74783990549765	0.005093118101808	No	No
O15111	CHUK	-3.94507322807831	1.46359082082898e-06	No	No
O15118	NPC1	-2.20328520092422	0.0038447867871606	No	No
O15155	BET1	-2.39409803758871	3.38039272390537e-06	No	No
O15228	GNPAT	-2.03663855334928	4.75144942268386e-07	No	No
O15239	NDUFA1	-1.58671178794434	0.0003120636138454	No	No
O15254	ACOX3	-4.94598320180844	2.83614941408047e-17	No	No
O15260	SURF4	-2.41613075989246	6.17347052799021e-05	No	No
O15269	SPTLC1	-1.96539069120213	0.0011239130607604	No	No
O15294	OGT	-3.318759716063	4.60847669932806e-07	No	No
O15327	INPP4B	-2.23484097262889	0.0017225619156311	No	No
O15357	INPPL1	-2.53011551571266	2.36325840479428e-07	No	No
O15382	BCAT2	-3.06746983048913	4.65274853548333e-08	No	No
O15438	ABCC3	-7.99919136578884	3.33963811055949e-17	No	No
O15439	ABCC4	-2.05520580866733	0.0008153783096573	No	No
O43149	ZZEF1	-2.2273186284505	0.000531583183831	No	No
O43181	NDUFS4	-1.60446971489338	0.0039721857116283	No	No
O43306	ADCY6	-2.02547568731352	0.000974317844031	No	No
O43318	MAP3K7	-1.81906404453933	0.0005464346951075	No	No
O43426	SYNJ1	-1.85859247688231	0.0005395191156035	No	No
O43464	HTRA2	-4.07893103636708	2.73983411501618e-07	No	No
O43572	AKAP10	-2.37747602130965	6.4198178839701e-08	No	No
O43592	XPOT	-1.8725668034577	0.0054568102966572	No	No
O43615	TIMM44	-3.50901385229418	1.54428410881844e-07	No	No
O43747	AP1G1	-2.28013069026173	0.0011584655316683	No	No
O43837	IDH3B	-2.76273369954325	6.2682830083553e-05	No	No
O43861	ATP9B	-3.6751142252702	2.76319748062683e-07	No	No
O43933	PEX1	-2.46944594724581	0.0001749805684933	No	No
O60229	KALRN	-1.98233684677555	0.0002749892086237	No	No
O60256	PRPSAP2	-3.00621901804866	0.0003697212279588	No	No
O60518	RANBP6	-8.08447209000297	1.54631204655097e-13	No	No
O60524	NEMF	-3.07583614518744	0.0001085718941133	No	No
O60674	JAK2	-2.82450674008219	1.5129036837204e-08	No	No
O60826	CCDC22	-2.35197063113486	0.0001449748046361	No	No
O60890	OPHN1	-2.39485529957215	0.0004145141688782	No	No
O75027	ABCB7	-3.02487321750611	1.83379040394479e-06	No	No
O75165	DNAJC13	-3.09354626789047	0.0001734784150949	No	No
O75175	CNOT3	-4.42419632245017	7.97535064688019e-05	No	No
O75348	ATP6V1G1	-1.84929104444049	0.0023442960465914	No	No
O75352	MPDU1	-1.67621242101112	0.0005271267210566	No	No
O75365	PTP4A3	-2.87688564416821	8.29427284470324e-08	No	No
O75382	TRIM3	-3.62708126924676	1.496165579033e-12	No	No
O75427	LRCH4	-2.71223767917111	2.27048964406496e-05	No	No
O75431	MTX2	-3.96648600906226	1.5396953684527699e-12	No	No
O75460	ERN1	-1.84157436546235	7.00473085578971e-05	No	No
O75592	MYCBP2	-1.92282066904235	0.0016651316572682	No	No
O75594	PGLYRP1	-2.2507448805516	6.05425832344955e-06	No	No
O75629	CREG1	-5.4679312679805	2.87044357546279e-16	No	No
O75746	SLC25A12	-1.97390419737051	0.0094221779548654	No	No
O75843	AP1G2	-1.8048823656932	0.0001871578346551	No	No
O75880	SCO1	-1.67002537495181	0.0007727295936564	No	No
O94822	LTN1	-1.67786259993892	0.0026687906069818	No	No
O94855	SEC24D	-2.37577520412669	4.36811751479357e-05	No	No
O94903	PLPBP	-1.85047312491862	0.0028422677893269	No	No
O94915	FRYL	-3.22842793083187	7.19242504815953e-07	No	No
O94925	GLS	-2.01765533338241	0.0001959347355042	No	No
O94992	HEXIM1	-5.19641924925461	5.12119157037942e-10	No	No
O95140	MFN2	-1.92317624505131	0.000939758835168	No	No
O95155	UBE4B	-4.18609211073065	7.24173814009843e-14	No	No
O95167	NDUFA3	-2.56878418878744	0.0002102753986635	No	No
O95169	NDUFB8	-6.35712027087395	1.70316564672916e-20	No	No
O95219	SNX4	-2.63544501706456	0.0006442258094506	No	No
O95248	SBF1	-2.65180160294758	6.12983845684827e-06	No	No
O95249	GOSR1	-2.37595454505943	0.0004319286404119	No	No
O95299	NDUFA10	-3.08079396053863	0.000218732645567	No	No
O95427	PIGN	-1.98447323407448	6.15689243592274e-06	No	No
O95479	H6PD	-2.48425036037559	4.87080260847923e-05	No	No
O95487	SEC24B	-2.24075610363958	0.0005633521861107	No	No
O95573	ACSL3	-2.46315322529843	0.0002380041582105	No	No
O95644	NFATC1	-1.56875058309201	0.0021827191653442	No	No
O95822	MLYCD	-4.64596810251205	1.28008024390193e-06	No	No
O96005	CLPTM1	-2.59525887781444	0.0056048399501106	No	No
P00156	MT-CYB	-4.1319381588379	8.33447027239094e-12	No	No
P00167	CYB5A	-1.86825426335686	0.0085179085166996	No	No
P00367	GLUD1	-1.62516610265137	0.0011201106311575	No	No
P00738	HP	-2.0147020587108	1.82480564828194e-05	No	No
P01127	PDGFB	-5.15123821894951	5.42106407272766e-05	No	No
P01133	EGF	-1.87504265133254	0.008454479775469	No	No
P01275	GCG	-2.82047385095483	2.02959298662377e-06	No	No
P03886	MT-ND1	-5.51445914178894	3.04123298207564e-21	No	No
P03905	MT-ND4	-2.08197737355638	7.27628387894251e-06	No	No
P03915	MT-ND5	-7.68208272751094	9.18334927835223e-12	No	No
P04920	SLC4A2	-1.7541167936353	0.000473827093516	No	No
P05121	SERPINE1	-2.92309005684278	6.96173973092606e-06	No	No
P05161	ISG15	-3.4587096561181	0.0033066687265739	No	No
P05165	PCCA	-2.44336172617318	0.0026782766444882	No	No
P06280	GLA	-4.16763789202248	1.01619611186483e-05	No	No
P06702	S100A9	-1.63003305897843	0.0003555187033761	No	No
P07332	FES	-2.13226455755007	3.79328668837588e-06	No	No
P09104	ENO2	-2.15977325581885	0.0015203559477778	No	No
P09327	VIL1	-3.33778714766271	0.0020526139661889	No	No
P09466	PAEP	-2.71565984303238	0.0003584608320128	No	No
P0DJI8	SAA1	-4.14997252904328	7.06890535999465e-13	No	No
P0DJI9	SAA2	-2.5006877608927	1.11304462337944e-05	No	No
P10124	SRGN	-1.86408193716663	0.0001211398278592	No	No
P11137	MAP2	-2.40062340881579	1.68292030424881e-05	No	No
P11172	UMPS	-1.62336115980466	0.0094618372177482	No	No
P11177	PDHB	-1.71588622943493	0.0041103595532638	No	No
P11182	DBT	-2.70577994954745	0.001714382267417	No	No
P12838	DEFA4	-1.68968731425469	0.000169190655904	No	No
P13674	P4HA1	-1.55892209595165	0.0002730874715767	No	No
P13693	TPT1	-4.66750181197047	2.17650267622313e-14	No	No
P13807	GYS1	-2.16293977550037	0.0001639982640473	No	No
P15153	RAC2	-2.27113101599541	0.0062723296442234	No	No
P15735	PHKG2	-1.53955107767369	0.0002007654380755	No	No
P16298	PPP3CB	-1.70968670274299	0.0068078962503559	No	No
P16333	NCK1	-1.93461917348803	0.0024409513168441	No	No
P16435	POR	-2.31203597543061	0.0006068612403136	No	No
P16591	FER	-2.1367924333213	4.90568456362771e-05	No	No
P18428	LBP	-1.95520895465108	0.0001268123141447	No	No
