Protein_Group	Genes	SAX_42001_M1_vs_RAW_42001_M1_logFC	SAX_42001_M1_vs_RAW_42001_M1_pval	Removed?	Contaminant?
A0A075B6I4	IGLV10-54	1.95086667973118	5.25185641345683e-05	No	No
A0A075B6J6	IGLV3-22	4.11852956632652	2.41778265124998e-10	No	No
A0A075B6J9	IGLV2-18	2.83674260271798	6.62289648903076e-06	No	No
A0A075B6K0	IGLV3-16	2.16309782512868	1.57766046441888e-05	No	No
A0A075B6S5	IGKV1-27	1.41773108127268	0.0016068176029937	No	No
A0A0A0MS00	IGLV3-32	3.24739042697443	2.03391864267784e-09	No	No
A0A0A0MS14	IGHV1-45	1.67528128803842	0.0004523120548499	No	No
A0A0A0MS15	IGHV3-49	1.44715467694955	0.0026913807107765	No	No
A0A0A0MT96	IGKJ3	10.6642044027112	2.2925967408928801e-38	No	No
A0A0C4DH25	IGKV3D-20	1.24527381044241	0.0023949792112811	No	No
A0A0C4DH33	IGHV1-24	6.49314405777517	1.90902758063884e-21	No	No
A0A0C4DH38	IGHV5-51	1.52541497639308	0.0085611399373484	No	No
A0A0G2JMI3	IGHV1-69-2	5.34786803673466	9.3800290943022e-18	No	No
A0A0J9YY99	gene	2.95326752681583	3.97097833687925e-06	No	No
A0A1B0GTC6	C3orf85	6.7407925450626	5.526031762570431e-23	No	No
A1L4H1	SSC5D	3.13942346023899	6.19270941796026e-07	No	No
A2NJV5	IGKV2-29	1.42423839361101	0.0008909855548793	No	No
A6NDG6	PGP	5.79730560976092	3.3297231573582204e-14	No	No
A6NHL2	TUBAL3	9.678130438955	1.30252128979031e-26	No	No
A6NMZ7	COL6A6	4.32908003218467	3.0742561909379e-05	No	No
B0I1T2	MYO1G	3.29807511233142	2.58240187864437e-08	No	No
B1AKI9	ISM1	2.7318495391808	0.0066387593697102	No	No
B2RUZ4	SMIM1	5.04699684964807	1.51795202122969e-16	No	No
B9A064	IGLL5	18.0867455422024	9.88256669971603e-42	No	No
E9PAV3	NACA	7.76086526655379	3.0906989301909502e-25	No	No
O00139	KIF2A	9.12328877326935	1.39832337754322e-22	No	No
O00151	PDLIM1	12.1679091110305	4.64071192909739e-34	No	No
O00154	ACOT7	4.25860581971102	1.95980739552843e-07	No	No
O00159	MYO1C	6.80215040221834	1.47891922664362e-19	No	No
O00161	SNAP23	9.63012209637357	8.5234126972098e-34	No	No
O00182	LGALS9	8.88518760371843	2.0108824393571e-31	No	No
O00186	STXBP3	5.75395275157044	2.1067091977153504e-15	No	No
O00187	MASP2	6.39174533634713	5.57036283575178e-23	No	No
O00194	RAB27B	11.1365075099135	8.56808536550116e-35	No	No
O00203	AP3B1	4.32147887771793	1.54266346951905e-13	No	No
O00231	PSMD11	9.56533207635695	1.32813716988936e-27	No	No
O00232	PSMD12	3.53056116392865	9.69500108144735e-06	No	No
O00233	PSMD9	4.11041371856133	1.88379844113031e-07	No	No
O00264	PGRMC1	10.0379215687779	1.18927700140768e-28	No	No
O00299	CLIC1	5.68567583789985	3.31293542237438e-20	No	No
O00303	EIF3F	5.62371854481682	1.9312275509071e-17	No	No
O00339	MATN2	8.70028910854474	7.080404364214281e-14	No	No
O00391	QSOX1	1.21678208756952	0.0097442603024781	No	No
O00410	IPO5	8.09475500711721	4.9944107772195805e-21	No	No
O00429	DNM1L	9.5362786777746	3.9714021056365496e-22	No	No
O00461	GOLIM4	9.75075866575104	1.4398825067388799e-30	No	No
O00468	AGRN	9.34183347288796	4.2160397097782495e-28	No	No
O00483	NDUFA4	4.88023231088778	7.69031413787561e-13	No	No
O00487	PSMD14	7.58734726963892	3.01551750454984e-27	No	No
O00499	BIN1	9.89088958901893	3.68205463169086e-25	No	No
O00501	CLDN5	3.79148985277111	2.2999162661925697e-11	No	No
O00533	CHL1	2.22445429868747	9.55874331381759e-07	No	No
O00534	VWA5A	6.7574571471219	7.30661251922126e-15	No	No
O00560	SDCBP	8.7655520089444	1.4155676006872599e-28	No	No
O00571	DDX3X	5.4302984782008	5.3097226580688404e-14	No	No
O00584	RNASET2	3.05029946910327	5.35512050478978e-07	No	No
O00585	CCL21	4.32258401008257	1.70017186670321e-17	No	No
O00587	MFNG	5.44396199555527	5.105689815053711e-15	No	No
O00592	PODXL	7.30454586295178	1.54857774318431e-29	No	No
O00602	FCN1	6.0552936304043	0.0029828133438445	No	No
O00743	PPP6C	9.14617183682659	3.36132911006502e-24	No	No
O00748	CES2	4.90042940292397	3.92095690276961e-06	No	No
O00754	MAN2B1	2.88853903344234	0.0003474238562136	No	No
O14498	ISLR	3.22794321741361	6.79376190158865e-11	No	No
O14579	COPE	6.85655116499692	4.4908433184111e-22	No	No
O14594	NCAN	7.20880863093224	1.46391925296779e-26	No	No
O14617	AP3D1	3.9475283954029	4.12432350165626e-06	No	No
O14618	CCS	4.63910522861676	5.41883568802768e-06	No	No
O14656	TOR1A	8.58802917666711	1.3172136067171799e-18	No	No
O14657	TOR1B	2.57204688650721	5.12937106707221e-06	No	No
O14672	ADAM10	8.69581570539671	2.64437669777307e-23	No	No
O14734	ACOT8	3.56458498634948	1.2349964186900602e-09	No	No
O14744	PRMT5	6.13404324092561	5.1362220905155e-21	No	No
O14745	SLC9A3R1	2.91649719194917	4.81883301547645e-05	No	No
O14773	TPP1	9.92332329098413	2.94099420622788e-12	No	No
O14786	NRP1	6.67432117136791	2.1174681587177802e-25	No	No
O14791	APOL1	1.33379498285043	0.0009084244389339	No	No
O14818	PSMA7	13.4656847589618	4.90592455939978e-32	No	No
O14828	SCAMP3	5.18184749341787	9.266171571963351e-15	No	No
O14917	PCDH17	5.91390973301852	2.2488332196999502e-14	No	No
O14964	HGS	3.0801890892616	3.28723214425116e-08	No	No
O14974	PPP1R12A	6.7499303689055	8.274875584016201e-21	No	No
O15031	PLXNB2	1.94037748262792	0.0005695944870468	No	No
O15067	PFAS	4.29232694801429	2.65887992682132e-07	No	No
O15116	LSM1	6.67366554847382	1.82741605241239e-20	No	No
O15117	FYB1	10.8527491536625	9.22823882291649e-37	No	No
O15143	ARPC1B	9.66516621762416	5.451993820185039e-26	No	No
O15144	ARPC2	4.5938939390523	1.46211937403944e-15	No	No
O15145	ARPC3	8.43543619839954	4.91623492087383e-27	No	No
O15173	PGRMC2	4.85113869957229	3.3836946604404e-14	No	No
O15204	ADAMDEC1	5.0108308599727	2.89854969021239e-08	No	No
O15230	LAMA5	7.08396870964363	4.41073002677674e-10	No	No
O15231	ZNF185	6.7857438491437	1.8921102247319002e-20	No	No
O15240	VGF	9.34476568967685	1.60953435478859e-32	No	No
O15260	SURF4	5.63266821967208	2.14575210542584e-14	No	No
O15327	INPP4B	2.97827761122387	4.99911592210889e-05	No	No
O15371	EIF3D	7.37960309666981	3.74698072386744e-24	No	No
O15372	EIF3H	4.34229790285159	1.8265418057443102e-09	No	No
O15400	STX7	7.11814491447744	1.35616136260994e-23	No	No
O15427	SLC16A3	6.30587612012759	9.56380558946757e-21	No	No
O15439	ABCC4	5.92053549103927	1.44672876906732e-14	No	No
O15460	P4HA2	3.34413822251655	0.0001541464540344	No	No
O15498	YKT6	2.47985547379147	0.0003556896226686	No	No
O15511	ARPC5	6.68771296070537	1.4880695036828898e-18	No	No
O15533	TAPBP	7.14525539190549	8.46561944120667e-21	No	No
O43149	ZZEF1	5.16586659453892	8.06574023596264e-12	No	No
O43150	ASAP2	6.81727580603963	5.01628796849254e-20	No	No
O43157	PLXNB1	8.08765707331384	7.67471046925446e-24	No	No
O43182	ARHGAP6	7.34167406099764	2.64029275427684e-21	No	No
O43294	TGFB1I1	8.51806060902475	1.48768233034315e-26	No	No
O43306	ADCY6	5.9823982946594	1.04611703964643e-14	No	No
O43312	MTSS1	6.9534580897826	3.15364211977755e-19	No	No
O43396	TXNL1	9.94681045905412	8.0163560880464195e-28	No	No
O43399	TPD52L2	4.20400780529224	9.33521610898755e-08	No	No
O43488	AKR7A2	5.52261992027597	1.42352965426899e-14	No	No
O43491	EPB41L2	5.85012549413459	6.868523597925321e-17	No	No
O43493	TGOLN2	4.47859765596393	2.46531239134428e-18	No	No
O43505	B4GAT1	4.27092394482433	7.01906058806088e-16	No	No
O43516	WIPF1	3.21435051851802	7.25509986925319e-08	No	No
O43529	CHST10	4.76341312361558	1.2210547557466598e-12	No	No
O43639	NCK2	6.90082705715332	6.94287104209631e-26	No	No
O43681	GET3	10.9267674906129	1.5646847651238698e-30	No	No
O43707	ACTN4	11.605361163305	3.59648438560221e-42	No	No
O43747	AP1G1	4.93861754424979	5.85400878097292e-10	No	No
O43765	SGTA	7.00063018787468	1.6086748836533e-20	No	No
O43815	STRN	6.45571021481472	3.66728335148401e-17	No	No
O43847	NRDC	4.32838078031527	2.17818868897211e-07	No	No
O43852	CALU	4.37529664403158	8.8730722432509e-13	No	No
O43866	CD5L	3.45097818678066	1.05175486775557e-07	No	No
O43897	TLL1	4.08312866963213	9.8549741076238e-08	No	No
O43915	VEGFD	1.34588613136789	0.0047471377293678	No	No
O43916	CHST1	4.0857630573106	6.46003849540173e-06	No	No
O60229	KALRN	8.30274922804532	2.39263905726556e-23	No	No
O60234	GMFG	5.15197225795817	5.4851084384630505e-14	No	No
O60240	PLIN1	13.008489106773	4.91264363326076e-38	No	No
O60243	HS6ST1	5.0331023192568	1.16220605213676e-13	No	No
O60245	PCDH7	8.95621369640667	2.09672413929724e-28	No	No
O60256	PRPSAP2	4.66720528109161	2.1718714073458e-07	No	No
O60268	KIAA0513	6.84719469273433	1.41746607705703e-24	No	No
O60271	SPAG9	4.13475251208486	6.438309453336529e-16	No	No
O60279	SUSD5	7.9500730937217	1.93189799018455e-21	No	No
O60306	AQR	3.30849373692735	4.22881979305766e-10	No	No
O60330	PCDHGA12	8.49739740001169	1.2474764401804998e-12	No	No
O60462	NRP2	8.08168959622888	4.97628845797691e-23	No	No
O60496	DOK2	6.56720442023883	7.22557159343871e-24	No	No
O60507	TPST1	5.78993317258146	1.35927129564875e-12	No	No
O60568	PLOD3	9.37006789258196	1.1957795454153501e-20	No	No
O60610	DIAPH1	11.8961397254179	3.33663837088588e-38	No	No
O60613	SELENOF	6.33886883933546	5.07301401654275e-18	No	No
O60664	PLIN3	5.09397859053069	2.32310768948238e-07	No	No
O60667	FCMR	3.56397377644483	6.99169465927583e-08	No	No
O60704	TPST2	9.51201401892284	2.36842470084829e-28	No	No
O60749	SNX2	7.91609766403526	5.208690655927619e-28	No	No
