Protein_Group	Genes	SAX_72001_M3_vs_RAW_72001_M3_logFC	SAX_72001_M3_vs_RAW_72001_M3_pval	Removed?	Contaminant?
A0A075B6H7	IGKV3-7	3.61452950099836	2.1017253309454e-07	No	No
A0A075B6I1	IGLV4-60	8.2959323163788	4.6662039978128e-08	No	No
A0A075B6J9	IGLV2-18	1.54081796508837	0.0093403361716967	No	No
A0A075B6K2	IGLV3-12	3.62301685586703	6.3138785131492e-06	No	No
A0A075B6K4	IGLV3-10	3.31668511672815	6.158242747611369e-11	No	No
A0A075B6K6	IGLV4-3	3.01620249548105	2.14155674408033e-08	No	No
A0A075B6R2	IGHV4-4	1.76253760085835	0.0018669893048545	No	No
A0A075B6S2	IGKV2D-29	2.34083615173843	4.65136709801519e-05	No	No
A0A087WSX0	IGLV5-45	2.34645251882791	0.0041467757599987	No	No
A0A087WSZ0	IGKV1D-8	1.86600731198989	0.0001899434807814	No	No
A0A0A0MRZ9	IGLV5-52	1.62286235355072	0.0061883130345888	No	No
A0A0A0MS00	IGLV3-32	3.48258108842229	2.76325472000676e-10	No	No
A0A0A0MT89	IGKJ1	1.6276873052175	0.0010892687418014	No	No
A0A0A0MTA3	IGKJ5	11.0863974541758	1.38593508709861e-23	No	No
A0A0B4J1U3	IGLV1-36	1.47458654627222	0.0053164702445873	No	No
A0A0B4J1V1	IGHV3-21	2.3630572037728	4.12461075230838e-06	No	No
A0A0B4J2H0	IGHV1-69D	1.19022861363085	0.0016907435234853	No	No
A0A0C4DH33	IGHV1-24	5.06723054805125	1.0085455860932001e-16	No	No
A0A0C4DH39	IGHV1-58	3.70626348437314	1.85647852456509e-06	No	No
A0A0G2JMI3	IGHV1-69-2	6.34521194149712	4.81949551524135e-21	No	No
A0A0G2JS06	IGLV5-39	2.04452633022161	0.0003992396913899	No	No
A0A0J9YY99	gene	2.6559600254554	2.49784299548414e-05	No	No
A0A1B0GTC6	C3orf85	7.2099040142962	2.1241161017012902e-24	No	No
A0AVT1	UBA6	7.41568070527937	1.15601720217323e-16	No	No
A0FGR8	ESYT2	9.90527763344036	2.69839971483518e-25	No	No
A0MZ66	SHTN1	2.77742853499452	3.74203636646047e-06	No	No
A1A4S6	ARHGAP10	8.27765409080165	1.26555269026657e-21	No	No
A1A5C7	SLC22A23	1.53518509814103	0.0033951104078618	No	No
A1L0T0	ILVBL	4.67150239371753	1.14330364072513e-08	No	No
A1L4H1	SSC5D	3.3226936251782	1.80314856116101e-07	No	No
A1X283	SH3PXD2B	12.451532414429	4.37670559957363e-34	No	No
A2NJV5	IGKV2-29	7.51843725906393	3.75843275540496e-26	No	No
A2RRP1	NBAS	6.15787967341524	2.64698516514413e-10	No	No
A2RUS2	DENND3	8.71663432251889	4.26376981609057e-19	No	No
A4D1B5	GSAP	5.66191495693578	2.23835381282719e-22	No	No
