Protein_Group	Genes	SAX_22001_B_vs_RAW_22001_B_logFC	SAX_22001_B_vs_RAW_22001_B_pval	Removed?	Contaminant?
A0A075B6I1	IGLV4-60	4.76101147271579	0.0006582846567718	No	No
A0A075B6J9	IGLV2-18	2.66534813473906	1.93233668065703e-05	No	No
A0A075B6K0	IGLV3-16	2.83263597422667	7.02146637663885e-08	No	No
A0A075B6K4	IGLV3-10	9.61850520272727	3.42207618074072e-31	No	No
A0A0C4DH33	IGHV1-24	3.8260391656323	3.64691276367484e-12	No	No
A0A0C4DH39	IGHV1-58	8.65577455320712	5.41590391262606e-18	No	No
A0A1B0GTC6	C3orf85	5.51230030560758	5.706479205872121e-19	No	No
A0AVT1	UBA6	8.20246069218295	1.6484955606262e-18	No	No
A0FGR8	ESYT2	11.0970611830623	8.72025657370361e-28	No	No
A1A4S6	ARHGAP10	8.49143632793705	3.82897802241504e-22	No	No
A1A5C7	SLC22A23	3.03924022415614	1.10409713165266e-07	No	No
A1L0T0	ILVBL	7.15106733679011	1.51787266258451e-14	No	No
A1L390	PLEKHG3	2.62923654891372	2.26551757136206e-08	No	No
A1L3X0	ELOVL7	7.07866433694401	4.28698782854592e-21	No	No
A1L4H1	SSC5D	2.48088217302636	4.35516618165748e-05	No	No
A1X283	SH3PXD2B	10.2127158033104	1.67143603626034e-29	No	No
A2RRP1	NBAS	8.62382930312863	2.47321363863003e-15	No	No
A2RTX5	TARS3	3.65585540464203	3.79393729431462e-09	No	No
A2RUS2	DENND3	10.9008572575733	1.36615337969657e-23	No	No
A3KMH1	VWA8	4.41885806734787	8.07244026021767e-07	No	No
A4D1B5	GSAP	6.0974350521026	6.38921027960746e-24	No	No
A4D1P6	WDR91	3.93261502741756	7.51752065326308e-10	No	No
A4UGR9	XIRP2	5.89924716642231	1.08040544053677e-17	No	No
A5D8V6	VPS37C	5.11409928059486	1.01894759429022e-18	No	No
A5PLN9	TRAPPC13	3.18409687620974	2.6359270283860296e-11	No	No
A5YKK6	CNOT1	6.96836752119179	2.92464402387803e-13	No	No
A6NDB9	PALM3	2.54731365637418	0.0003305717545751	No	No
A6NDG6	PGP	6.59288495404021	2.24092105816638e-16	No	No
A6NDU8	C5orf51	6.94059990112753	6.15143750266624e-22	No	No
A6NFX1	MFSD2B	6.22022611790259	2.13325130795674e-15	No	No
A6NHL2	TUBAL3	12.8731399310129	4.33757945662745e-33	No	No
A6QL63	BTBD11	7.53190019054896	3.7891838386946095e-18	No	No
A7E2V4	ZSWIM8	6.44665672061664	2.0044624621524e-18	No	No
A7KAX9	ARHGAP32	4.62948913641696	9.19641935421768e-10	No	No
A8MXV4	NUDT19	3.75017207033671	8.93261820291698e-13	No	No
A9UHW6	MIF4GD	2.88954308169291	2.8960849133477e-05	No	No
B0I1T2	MYO1G	6.24741350808907	1.08313785053225e-17	No	No
B2RUZ4	SMIM1	7.36917045969109	6.15675584766777e-24	No	No
B9EJG8	TMEM150C	2.91600731314983	4.6413553180490196e-11	No	No
E9PAV3	NACA	9.73623050345746	2.8195184163979896e-30	No	No
O00116	AGPS	9.9894085915776	1.03580550664269e-27	No	No
O00139	KIF2A	5.11692219172862	2.95572781784508e-12	No	No
O00151	PDLIM1	5.65367826121788	1.11636908344377e-17	No	No
O00154	ACOT7	9.39124564454035	6.29055413328606e-19	No	No
O00159	MYO1C	10.4688113133195	1.24509445253234e-28	No	No
O00160	MYO1F	3.72907390604731	1.23829605348096e-05	No	No
O00161	SNAP23	6.69657427656749	1.4385312727199201e-25	No	No
O00170	AIP	6.01851046398899	1.69206671567733e-16	No	No
O00178	GTPBP1	6.61733867685477	1.87154491472903e-14	No	No
O00186	STXBP3	6.28585715568398	6.00820852463989e-17	No	No
O00187	MASP2	5.03305613602284	2.96752619460061e-18	No	No
O00189	AP4M1	5.25936827210721	1.46195118733976e-14	No	No
O00194	RAB27B	7.00445199888722	2.52711019541403e-24	No	No
O00203	AP3B1	9.47982048396608	6.69377623577165e-29	No	No
O00214	LGALS8	4.755953897878	4.64963166207914e-13	No	No
O00217	NDUFS8	8.67677494811926	1.0010535171091899e-28	No	No
O00231	PSMD11	6.78658576485454	2.2417720245803502e-20	No	No
O00232	PSMD12	8.35002120790702	1.34055187464077e-16	No	No
O00233	PSMD9	6.93375034506839	3.1375828387145304e-14	No	No
O00258	GET1	8.37608619055741	1.09574889964575e-06	No	No
O00264	PGRMC1	5.10759052465609	3.8307553155451005e-15	No	No
O00273	DFFA	2.94968057806657	3.5990048812091204e-09	No	No
O00299	CLIC1	4.36539405706007	2.3394501296445402e-15	No	No
O00303	EIF3F	9.74291537609605	9.2132912694739e-29	No	No
O00330	PDHX	7.48661984076657	4.33486190355892e-16	No	No
O00339	MATN2	4.91315706025657	8.60119668288201e-07	No	No
O00399	DCTN6	7.65232997590625	2.59856142682418e-17	No	No
O00400	SLC33A1	5.33479124170157	5.5040295374934304e-21	No	No
O00408	PDE2A	5.44861201609829	2.27308898178306e-08	No	No
O00410	IPO5	11.4222554950887	2.3187084526516e-28	No	No
O00421	CCRL2	2.32305926594458	4.21513519013018e-07	No	No
O00425	IGF2BP3	5.59336249672663	6.739061412083191e-20	No	No
O00429	DNM1L	6.29461609957346	1.95297014367049e-14	No	No
O00442	RTCA	6.69557289270139	1.01785656342159e-14	No	No
O00443	PIK3C2A	4.38805803460092	3.15590370265626e-08	No	No
O00453	LST1	2.73196078379767	4.30242522770795e-07	No	No
O00461	GOLIM4	8.92173730156258	1.49012541785186e-28	No	No
O00462	MANBA	3.38956597622847	0.0007387177241592	No	No
O00468	AGRN	6.64628036804125	7.11835662944071e-21	No	No
O00469	PLOD2	8.38183637349415	4.646819355535141e-09	No	No
O00471	EXOC5	7.49077011438443	1.6847273984948902e-15	No	No
O00481	BTN3A1	2.58483148961672	2.17088524462626e-08	No	No
O00483	NDUFA4	5.10909780787389	1.51615343820181e-13	No	No
O00487	PSMD14	9.58559883620546	1.46393817177982e-32	No	No
O00499	BIN1	5.46497635096965	6.76763204622734e-14	No	No
O00501	CLDN5	7.4399414763281	2.8519794372129e-23	No	No
O00505	KPNA3	6.55116068402408	3.44928025265414e-14	No	No
O00507	USP9Y	5.69897479425214	5.95303594965886e-22	No	No
O00522	KRIT1	2.89342028680975	2.26396118493433e-07	No	No
O00534	VWA5A	9.89495286884425	5.8147940692606695e-22	No	No
O00559	EBAG9	4.61823004929841	7.18930395662009e-19	No	No
O00560	SDCBP	8.30611528238845	2.24827135607572e-27	No	No
O00562	PITPNM1	3.18676631794507	0.0005206169715111	No	No
O00571	DDX3X	8.63422313371471	1.4392082208292699e-22	No	No
O00584	RNASET2	2.68368487029644	6.53095364692622e-06	No	No
O00587	MFNG	3.83612045084936	6.71515704052107e-10	No	No
O00592	PODXL	5.78614931654995	2.09174856070277e-24	No	No
O00602	FCN1	5.39735808748302	0.0076591580835088	No	No
O00629	KPNA4	6.02595920223509	2.52734960863898e-17	No	No
O00743	PPP6C	10.5673018905511	2.47352923653236e-27	No	No
O00746	NME4	5.80684279975243	8.88034242671741e-19	No	No
O00748	CES2	5.48947922455149	4.02458004628545e-07	No	No
O00754	MAN2B1	6.62258234836992	3.63596606927961e-12	No	No
O14521	SDHD	6.14609623364342	5.1518460723884904e-23	No	No
O14523	C2CD2L	9.11405281137919	1.7127831199179002e-26	No	No
O14530	TXNDC9	6.74856687977867	6.77820346545631e-17	No	No
O14545	TRAFD1	10.6732236710466	3.87328038610032e-20	No	No
O14548	COX7A2L	6.53759787416339	4.9783129988737506e-20	No	No
O14561	NDUFAB1	7.0290214817483	6.83179789867317e-22	No	No
O14579	COPE	10.6430127955863	1.0370724742187998e-31	No	No
O14594	NCAN	5.66211279273587	1.83367500631031e-21	No	No
O14617	AP3D1	12.0020380436937	2.4450696753002697e-22	No	No
O14618	CCS	10.0983115922525	1.01264067808317e-15	No	No
O14639	ABLIM1	7.21332744319533	8.75284928441909e-24	No	No
