Protein_Group	Genes	SAX_42001_M3_vs_RAW_42001_M3_logFC	SAX_42001_M3_vs_RAW_42001_M3_pval	Removed?	Contaminant?
A0A0A0MT96	IGKJ3	9.07900256847612	7.91816542138318e-30	No	No
A0A0C4DH33	IGHV1-24	3.33140865228659	6.3135654945499e-08	No	No
A0A0G2JMI3	IGHV1-69-2	2.33863565794958	5.32524922205299e-05	No	No
A0A1B0GTC6	C3orf85	4.83542505994971	3.37138853997223e-13	No	No
A0AVT1	UBA6	8.46983898844681	1.89625095275354e-15	No	No
A0FGR8	ESYT2	7.75504566229317	1.88486849118595e-16	No	No
A0MZ66	SHTN1	3.02417343662377	2.85404136656867e-05	No	No
A1A4S6	ARHGAP10	8.52214089094008	3.0625020459940897e-18	No	No
A1A5C7	SLC22A23	3.18138756054374	2.98732986292377e-06	No	No
A1L0T0	ILVBL	7.28724100626572	9.87504841105295e-12	No	No
A1L390	PLEKHG3	4.70323906833553	2.30256722499601e-13	No	No
A1L3X0	ELOVL7	7.13978994177015	2.23429668393599e-17	No	No
A1X283	SH3PXD2B	10.0413285828302	1.16558835010213e-24	No	No
A2RRP1	NBAS	9.15326920397999	5.00387622660442e-13	No	No
A2RTX5	TARS3	4.27444184595929	1.28112123177294e-08	No	No
A2RUS2	DENND3	8.92461248215104	7.8118264563742e-16	No	No
A3KMH1	VWA8	3.82179250187618	0.0002516887901705	No	No
A4D126	CRPPA	4.3289458281422	1.14468211221408e-05	No	No
A4D1B5	GSAP	6.67356786014001	1.35561090395966e-21	No	No
A4D1P6	WDR91	4.81622468921291	7.52757569447561e-10	No	No
A4UGR9	XIRP2	6.56787894741382	5.47510477739121e-16	No	No
A5D8V6	VPS37C	5.8627178006006	1.72863898189932e-17	No	No
A5PLL7	PEDS1	2.47951348280165	0.0003588572097057	No	No
A5PLN9	TRAPPC13	3.42833296513062	1.2427856503031502e-09	No	No
A5YKK6	CNOT1	7.95224289994484	3.3643776985826597e-12	No	No
A6NDB9	PALM3	3.32118575803969	0.0001470452167196	No	No
A6NDG6	PGP	6.92868013076456	8.202462117867361e-14	No	No
A6NDU8	C5orf51	6.78377049417861	1.4514126207569502e-17	No	No
A6NFX1	MFSD2B	6.32389693957203	1.94573435713558e-12	No	No
A6NHL2	TUBAL3	13.1284137330256	6.94739834364281e-29	No	No
A6NK58	LIPT2	2.40734508664424	2.17929947424174e-06	No	No
A7E2V4	ZSWIM8	6.30635035925969	1.80088802502931e-14	No	No
A7KAX9	ARHGAP32	4.88847646704401	4.50253061165414e-08	No	No
A8MXV4	NUDT19	6.82187553826705	1.26459787816828e-19	No	No
A9UHW6	MIF4GD	4.8720739834647	5.17904923552291e-08	No	No
B0I1T2	MYO1G	4.09883663552063	1.79172843489592e-08	No	No
B2RUZ4	SMIM1	8.18780954801234	6.46979422500668e-22	No	No
B9EJG8	TMEM150C	3.06181759556043	4.0500689923764e-09	No	No
C9J7I0	UMAD1	3.63184450528517	2.8980117191668503e-10	No	No
C9JLW8	MCRIP1	2.43777938428612	0.002306084555605	No	No
E9PAV3	NACA	3.66010655180321	5.49772454883377e-09	No	No
O00116	AGPS	8.03083943135627	5.81106129246707e-19	No	No
O00139	KIF2A	4.10748132936722	3.47509509977464e-07	No	No
O00142	TK2	9.76426217354051	1.18197482308748e-16	No	No
O00151	PDLIM1	4.07468503585415	1.51239221303393e-09	No	No
O00154	ACOT7	7.19517997402257	3.3865219884216294e-11	No	No
O00159	MYO1C	7.51243046016148	1.31354770957211e-17	No	No
O00160	MYO1F	5.2032878975029	1.08810409505272e-06	No	No
O00161	SNAP23	4.77218909203705	4.74387185869238e-15	No	No
O00170	AIP	3.96259114679233	8.22403084092135e-08	No	No
O00178	GTPBP1	6.96833141944514	4.01270953693679e-12	No	No
O00182	LGALS9	7.35364058251322	8.42278682697604e-23	No	No
O00186	STXBP3	5.85371845337831	1.8818329713020398e-12	No	No
O00187	MASP2	3.78562895790649	1.79272773007527e-10	No	No
O00189	AP4M1	3.71766658271483	2.174306708983e-07	No	No
O00194	RAB27B	5.56002583875109	6.72326311628491e-16	No	No
O00203	AP3B1	6.21416879332782	3.35124188026081e-16	No	No
O00214	LGALS8	5.66811125774372	1.20161285920567e-12	No	No
O00217	NDUFS8	8.73347937848254	1.9994783061556003e-24	No	No
O00231	PSMD11	6.07756667749034	1.1010334105030301e-14	No	No
O00232	PSMD12	3.40838333100226	0.000327061108711	No	No
O00233	PSMD9	4.46066760175551	2.34710683411154e-06	No	No
O00264	PGRMC1	4.64318241871955	1.1609382169194e-10	No	No
O00299	CLIC1	3.47127630500549	3.734323891178711e-09	No	No
O00303	EIF3F	6.74644324351224	4.58401337602533e-17	No	No
O00330	PDHX	8.79446747809792	2.2624681971215603e-15	No	No
O00339	MATN2	7.75021468808575	1.97117605501507e-09	No	No
O00399	DCTN6	7.02454863385627	1.54449355268439e-12	No	No
O00400	SLC33A1	5.66963884391217	3.05665736361616e-18	No	No
O00408	PDE2A	8.00157541963417	1.54023915399865e-10	No	No
O00410	IPO5	6.88802617502573	2.1933501907556e-14	No	No
O00429	DNM1L	4.25971138713417	6.57862432093749e-07	No	No
O00442	RTCA	6.80432598942675	7.65030627907792e-12	No	No
O00443	PIK3C2A	2.31917652899129	0.0079171515339035	No	No
O00453	LST1	4.00821421424232	5.729686308858931e-09	No	No
O00461	GOLIM4	8.78950389436402	8.28167575290074e-24	No	No
O00462	MANBA	4.08623705065362	0.0008791066543551	No	No
O00468	AGRN	4.51387814581789	6.463674414011729e-11	No	No
O00469	PLOD2	8.52939526013226	4.01640331032284e-07	No	No
