Protein_Group	Genes	SAX_62001_B_vs_RAW_62001_B_logFC	SAX_62001_B_vs_RAW_62001_B_pval	Removed?	Contaminant?
O14656	TOR1A	8.83618233315383	3.78733034350768e-19	No	No
O14672	ADAM10	6.5684564022938	9.03244232755459e-18	No	No
O14737	PDCD5	7.23731371816608	3.1077869099140396e-11	No	No
O14744	PRMT5	7.39221109267522	6.91541282297528e-25	No	No
O14745	SLC9A3R1	5.43078898782451	2.9027768291256698e-11	No	No
O14773	TPP1	4.56049592217654	0.0001637756637175	No	No
O14786	NRP1	6.84699876221653	5.91640372008188e-26	No	No
O14791	APOL1	2.05010614192701	1.39876197412983e-06	No	No
O14818	PSMA7	8.08638029243563	6.1418476734973305e-21	No	No
O14828	SCAMP3	6.28430089916554	3.70993845354303e-18	No	No
O14880	MGST3	5.92880065112408	9.29872231641048e-16	No	No
O14907	TAX1BP3	2.81564997957341	7.297256580614861e-09	No	No
O14908	GIPC1	4.78067003403194	1.6266303469295602e-14	No	No
O14917	PCDH17	7.99684330682052	8.77607009981275e-20	No	No
O14936	CASK	4.0127374813099	2.22787929399777e-07	No	No
O14949	UQCRQ	3.92428215725582	1.54878974140352e-10	No	No
O14964	HGS	5.2310148854403	1.40232872625812e-15	No	No
O14974	PPP1R12A	9.67376570720833	1.83317986478106e-28	No	No
O14979	HNRNPDL	6.18534589989391	2.98614331857508e-14	No	No
O14980	XPO1	6.60675899799874	1.4341896122937202e-15	No	No
O15027	SEC16A	5.88896777340633	1.31905684166112e-12	No	No
O15031	PLXNB2	3.11782986170337	2.2739137079974e-07	No	No
O15042	U2SURP	3.2796480759573	1.7387160108856797e-11	No	No
O15061	SYNM	5.09562512506212	2.61756193111801e-09	No	No
O15067	PFAS	2.98758704914057	0.0001537265999749	No	No
O15084	ANKRD28	5.34692549768704	1.33748224861448e-16	No	No
O15116	LSM1	8.96288264777409	1.2306756792224099e-26	No	No
O15117	FYB1	11.5799378737352	2.56673011325197e-38	No	No
O15123	ANGPT2	6.92803216061419	1.4664992926532598e-11	No	No
O15143	ARPC1B	5.6658193478289	1.6682184190835902e-15	No	No
O15144	ARPC2	5.08454653929864	2.36879347909343e-17	No	No
O15145	ARPC3	3.41377802992481	1.2907206784496601e-10	No	No
O15162	PLSCR1	5.58182374487217	8.4603634626138e-18	No	No
O15173	PGRMC2	8.65838716928865	2.89752507299646e-25	No	No
O15204	ADAMDEC1	8.98169440380294	1.30923261966364e-16	No	No
O15212	PFDN6	7.65565022719901	2.35149175222598e-22	No	No
O15230	LAMA5	8.4335300227739	1.78064555557388e-12	No	No
O15231	ZNF185	6.29020808297612	5.60678302326594e-19	No	No
O15240	VGF	6.15331625682609	3.0161665535975996e-23	No	No
O15260	SURF4	6.15239424651901	7.064874950977901e-16	No	No
O15273	TCAP	6.52124946781251	2.44772978200451e-21	No	No
O15305	PMM2	2.24139067688666	0.0001382627189434	No	No
O15335	CHAD	4.07156886446961	5.09772132204263e-06	No	No
O15347	HMGB3	5.81615939316683	2.3704526487773503e-20	No	No
O15355	PPM1G	9.08980907932362	1.07709402741028e-18	No	No
O15357	INPPL1	3.14734836567206	9.62378891303373e-10	No	No
O15371	EIF3D	9.51707816530007	9.465914439243429e-30	No	No
O15372	EIF3H	7.09738582975626	7.53090141790058e-17	No	No
O15400	STX7	3.92037905082947	1.04480046459202e-12	No	No
O15427	SLC16A3	6.63937426637576	8.80000980235572e-22	No	No
O15460	P4HA2	6.02224889042155	9.07792637874548e-10	No	No
O15466	ST8SIA5	4.91153528188446	6.3199809915568106e-09	No	No
O15498	YKT6	5.03506949298811	1.82749798487339e-10	No	No
O15511	ARPC5	5.60888466302218	2.124442608862e-15	No	No
O15514	POLR2D	2.75854252749841	3.9310250976117603e-10	No	No
O15533	TAPBP	6.52050005765407	5.14789638166127e-19	No	No
O15551	CLDN3	5.23870223624816	6.235445050129121e-15	No	No
O15554	KCNN4	3.20520964558592	9.96409713131382e-10	No	No
O43150	ASAP2	6.29488762519405	1.69905906106218e-18	No	No
O43157	PLXNB1	7.66974304819716	9.853467296113751e-23	No	No
O43173	ST8SIA3	4.95975312565194	2.3023343958815e-11	No	No
O43175	PHGDH	5.0269116824926	2.274740629106e-09	No	No
O43182	ARHGAP6	8.62437439696054	1.19748712051581e-24	No	No
O43242	PSMD3	6.52845004796255	5.6859491901066e-09	No	No
O43294	TGFB1I1	8.20130103032609	9.98168914544985e-26	No	No
O43312	MTSS1	5.84211317713737	4.86882276554997e-16	No	No
O43390	HNRNPR	2.6618279679601	0.0003811145699156	No	No
O43396	TXNL1	9.19299514655566	4.3740894779813003e-26	No	No
O43399	TPD52L2	7.04557237628007	1.2651797483831901e-14	No	No
O43432	EIF4G3	5.71143905147212	2.9265097964279e-17	No	No
O43488	AKR7A2	7.28475366571357	1.5444218656220502e-19	No	No
O43491	EPB41L2	8.10075043216822	3.13851984401691e-23	No	No
O43493	TGOLN2	4.08609582338002	1.16527627531571e-16	No	No
O43505	B4GAT1	4.39759795263734	2.16805326643331e-16	No	No
O43516	WIPF1	7.37255410478485	1.57267277393785e-20	No	No
O43529	CHST10	6.44731229551179	1.06449015944058e-17	No	No
O43583	DENR	2.38921611078328	0.009703974834192	No	No
O43592	XPOT	3.27184605118051	4.71984434418252e-06	No	No
O43598	DNPH1	6.06985560259258	9.28154173892261e-17	No	No
O43615	TIMM44	4.67212373134817	7.35956181653776e-11	No	No
O43617	TRAPPC3	7.110038715151	1.3435254167789302e-25	No	No
O43633	CHMP2A	2.89309098057217	3.13638830469414e-06	No	No
O43639	NCK2	6.99902806201619	3.41743062786892e-26	No	No
O43665	RGS10	5.39209709516966	8.51054702197652e-14	No	No
O43670	ZNF207	3.78049539660915	8.46112534888896e-08	No	No
O43681	GET3	12.8732739802503	2.42574623861587e-34	No	No
O43684	BUB3	6.14239325368971	3.68677142466323e-11	No	No
O43707	ACTN4	12.9341651110352	7.84457210329577e-45	No	No
O43708	GSTZ1	6.18122684862844	6.75434093285678e-21	No	No
O43719	HTATSF1	2.79836998974046	6.346540786003031e-09	No	No
O43747	AP1G1	6.00072628933838	1.23687479576917e-12	No	No
O43760	SYNGR2	4.99213625822222	1.87590082757095e-14	No	No
O43765	SGTA	8.71809036271295	4.679145547967651e-25	No	No
O43776	NARS1	4.38889024638996	9.71359146907736e-08	No	No
O43809	NUDT21	7.20601758350327	7.80850577835404e-24	No	No
O43815	STRN	9.82685707311434	1.44941713141836e-25	No	No
O43847	NRDC	6.87692043345323	3.50093752477394e-13	No	No
O43852	CALU	6.0080243835989	3.88472153923839e-18	No	No
O43866	CD5L	4.05072846836782	1.7983238438448101e-09	No	No
O43897	TLL1	6.08285215807283	9.83593103167079e-13	No	No
O43916	CHST1	6.99216872154853	8.78679652943541e-12	No	No
O60216	RAD21	10.6407451637335	2.46306948052595e-22	No	No
O60229	KALRN	7.70046397229441	8.553972525505819e-22	No	No
O60232	ZNRD2	1.95249544005723	0.0039905922181047	No	No
O60234	GMFG	5.26373464454203	2.4729067732278402e-14	No	No
O60240	PLIN1	12.7882137425088	1.26351077454736e-37	No	No
O60243	HS6ST1	5.26587109610729	2.19320994269566e-14	No	No
O60245	PCDH7	9.13806609209366	7.41180664121906e-29	No	No
O60256	PRPSAP2	5.79052565306217	9.31110818580416e-10	No	No
O60268	KIAA0513	7.47301496353242	1.81940994434988e-26	No	No
O60271	SPAG9	8.59271518846176	5.95141037403937e-31	No	No
O60279	SUSD5	8.29463542407063	2.64429771884304e-22	No	No
O60306	AQR	2.81329157450681	3.26714168224833e-08	No	No
O60313	OPA1	6.60244328577397	5.89928010072237e-17	No	No
O60330	PCDHGA12	8.4633501486834	1.43189680475812e-12	No	No
O60437	PPL	4.62143712260879	6.32475517576116e-13	No	No
O60449	LY75	5.84035320895462	6.64841153851085e-07	No	No
O60462	NRP2	8.22011364903569	2.2005435703035601e-23	No	No
O60488	ACSL4	5.32692736102859	8.09364807071225e-19	No	No
O60493	SNX3	5.03396196284614	1.34644603739793e-13	No	No
O60496	DOK2	7.41111778003777	1.8105128296998e-26	No	No
O60502	OGA	3.65455501324583	0.0003059838469918	No	No
O60506	SYNCRIP	8.83503960781717	2.67814405701934e-27	No	No
O60507	TPST1	6.23230111600221	1.00637960621084e-13	No	No
O60512	B4GALT3	3.79824764548704	1.31304496437395e-07	No	No
O60547	GMDS	2.95762418705448	0.0003199091601957	No	No
O60568	PLOD3	10.9861794348051	6.54545422620203e-24	No	No
O60603	TLR2	1.71763946676261	0.000988144875116	No	No
O60610	DIAPH1	12.0167116630649	1.90761477908184e-38	No	No
O60613	SELENOF	8.26013665119187	2.9495817431320403e-23	No	No
O60664	PLIN3	3.02801805655227	0.0009596695867877	No	No
O60667	FCMR	3.45241137653804	1.46198887756054e-07	No	No
O60684	KPNA6	5.67933470782073	2.3832011066993e-13	No	No
O60687	SRPX2	3.05801371111611	6.70848824241299e-07	No	No
O60701	UGDH	6.71763743234414	1.39709204612494e-09	No	No
O60704	TPST2	9.71903500198746	7.77885144077201e-29	No	No
O60716	CTNND1	5.0697176072865	2.89664255612668e-12	No	No
O60749	SNX2	9.38778200512067	6.87656125919228e-32	No	No
O60763	USO1	9.9283355724134	1.12282436233803e-29	No	No
O60784	TOM1	3.72293717271374	0.0011416164495517	No	No
O60841	EIF5B	5.25419413401877	2.8873572396812898e-12	No	No
O60884	DNAJA2	7.43507314302741	1.09717544200249e-22	No	No
O60888	CUTA	6.03810222027707	7.26992226059522e-22	No	No
O60925	PFDN1	5.21640784826897	3.07606378463839e-13	No	No
O60927	PPP1R11	7.8295233877455	2.32581651869229e-21	No	No
O60936	NOL3	8.82443395148213	8.72749525231754e-07	No	No
O75023	LILRB5	3.45776623406068	5.4013956454114e-09	No	No
O75063	FAM20B	4.38030842005607	3.27423797423466e-08	No	No
O75083	WDR1	4.4577303508224	1.3980583057371702e-15	No	No
O75095	MEGF6	7.62429520594757	6.37144799380057e-26	No	No
O75096	LRP4	9.7981269738909	4.0917453728677504e-23	No	No
O75116	ROCK2	10.6018904547768	1.08451810739169e-28	No	No
O75131	CPNE3	7.06223314853983	2.77000038720153e-18	No	No
O75144	ICOSLG	2.45222985897451	3.77640845431462e-07	No	No
O75170	PPP6R2	9.36868962092646	6.05016666181737e-12	No	No
O75197	LRP5	12.2092801627646	3.81698390867505e-38	No	No
O75208	COQ9	7.94587043641576	5.48745209239591e-19	No	No
O75298	RTN2	5.49467572755705	1.39163349958576e-13	No	No
O75309	CDH16	11.012694600697	9.53995255110585e-33	No	No
O75312	ZPR1	5.62800151009037	1.13233239052868e-11	No	No
O75339	CILP	6.13108127212833	1.28615500041474e-19	No	No
O75348	ATP6V1G1	5.65331948755509	7.617509594999721e-14	No	No
O75351	VPS4B	5.71899169291443	3.9874640244831605e-14	No	No
O75354	ENTPD6	3.42514649658218	0.0024484667085995	No	No
O75356	ENTPD5	8.07709648313094	1.4565994719357599e-12	No	No
O75367	MACROH2A1	11.0840753774907	1.29642302158136e-28	No	No
O75368	SH3BGRL	1.52506622685246	0.0053533459224633	No	No
O75369	FLNB	7.01080812157705	3.78470756803222e-07	No	No
O75381	PEX14	5.75442308646051	1.85606158652634e-19	No	No
O75390	CS	5.85297520516742	1.41825149001876e-12	No	No
O75396	SEC22B	8.82193954013943	4.101453940889479e-28	No	No
O75436	VPS26A	7.82519508894922	4.88057379831744e-24	No	No
O75439	PMPCB	3.33148770313426	9.89302303346494e-07	No	No
O75487	GPC4	11.6081580942936	1.27943116319223e-35	No	No
O75489	NDUFS3	6.72392227206816	7.57032161611316e-19	No	No
O75506	HSBP1	6.12834878723767	6.4349598688197205e-15	No	No
O75531	BANF1	6.68179299138187	8.53408604108441e-23	No	No
O75533	SF3B1	3.92781919441475	4.75867158082012e-06	No	No
O75534	CSDE1	5.07571768728365	4.77147897912405e-14	No	No
O75558	STX11	10.1145646273245	5.86003845677643e-31	No	No
O75563	SKAP2	10.634599605249	3.6318097156458397e-34	No	No
O75581	LRP6	6.83094279173878	5.1674076153499206e-20	No	No
O75608	LYPLA1	7.19579829446282	8.5331524049863405e-19	No	No
O75629	CREG1	5.40521328392945	4.56638737972408e-16	No	No
O75643	SNRNP200	3.13117224915838	0.0018826251436828	No	No
O75663	TIPRL	4.44533054207596	3.2848329819186603e-14	No	No
O75688	PPM1B	9.3337752336231	2.49348467353025e-25	No	No
O75695	RP2	8.41896123973406	1.15864709895545e-28	No	No
O75718	CRTAP	6.51005691875503	1.9557127531833e-15	No	No
O75752	B3GALNT1	10.2526970487127	1.3710799349641799e-30	No	No
O75787	ATP6AP2	8.10119319109741	3.2495017376569503e-21	No	No
O75791	GRAP2	7.85800355146453	6.60421696955025e-21	No	No
O75821	EIF3G	8.09504470430244	6.4538349092259205e-24	No	No
O75822	EIF3J	11.19679329098	9.42680319206952e-37	No	No
O75832	PSMD10	6.64948159496654	4.31998112739241e-20	No	No
O75844	ZMPSTE24	3.61292916150832	1.64928866639365e-08	No	No
O75880	SCO1	3.37151820046865	1.4782298589805702e-09	No	No
O75888	TNFSF13	6.66051287653683	2.32737806449983e-14	No	No
O75891	ALDH1L1	8.00256999114472	2.4369373491266302e-15	No	No
O75900	MMP23B	1.92295720707047	0.0003124669864524	No	No
O75935	DCTN3	7.14982760676153	1.41839831734579e-22	No	No
O75947	ATP5PD	9.50335370515715	2.66889898584134e-24	No	No
O75954	TSPAN9	8.82317382219717	6.58579186459602e-25	No	No
O75955	FLOT1	11.1836405997279	6.1331289709343095e-33	No	No
O75964	ATP5MG	9.13637884270392	2.36601273500341e-24	No	No
O75976	CPD	4.38034031974493	1.02011862512231e-05	No	No
O75995	SASH3	4.50252334102224	5.841780410318231e-09	No	No
O76003	GLRX3	11.5029868566612	3.6557255760904397e-28	No	No
O76021	RSL1D1	5.72418830581035	3.29644489505067e-08	No	No
O76024	WFS1	3.05071629143704	0.0023306432023384	No	No
