Protein_Group	Genes	SAX_42001_M3_vs_SAX_42001_B_logFC	SAX_42001_M3_vs_SAX_42001_B_pval	Removed?	Contaminant?
A0A075B6J6	IGLV3-22	2.18409480514156	0.0006201799825951	No	No
A1A5C7	SLC22A23	1.76797417459153	0.0026028933182676	No	No
A4D126	CRPPA	2.94337409024669	0.0007136157003997	No	No
A6NDB9	PALM3	5.58461701627124	4.28792598189816e-10	No	No
A8MXV4	NUDT19	1.30533285820762	0.0064414389985889	No	No
C9J7I0	UMAD1	1.882994040601	6.42454591416862e-05	No	No
O00160	MYO1F	2.48107674919153	0.0061659297603734	No	No
O15230	LAMA5	2.99057572097889	0.0065149471421217	No	No
O15397	IPO8	2.3319085411671	0.008293060771921	No	No
O43175	PHGDH	3.38902817272794	7.71358663976738e-05	No	No
O60240	PLIN1	2.6734822410477	4.33170606887763e-07	No	No
O60499	STX10	1.50732535495081	0.0007065535027591	No	No
O75891	ALDH1L1	3.19754560225461	0.0003385890559148	No	No
O94927	HAUS5	1.87141802040227	0.005017020580556	No	No
O95396	MOCS3	2.47879344977115	9.8014850856056e-05	No	No
O96007	MOCS2	1.28915679839317	0.0054422443250304	No	No
P00325	ADH1B	3.64162460834223	1.28460094794499e-07	No	No
P00915	CA1	2.33434112839367	4.13105617830572e-06	No	No
P01782	IGHV3-9	7.40873815246154	3.7709224508090803e-25	No	No
P01854	IGHE	2.39283835085632	5.99365881084637e-05	No	No
P02792	FTL	2.88106961631756	0.0002627435804367	No	No
P05062	ALDOB	1.95510596066062	0.00015686123795	No	No
P07099	EPHX1	4.9521951102256	0.0079930082972296	No	No
P08319	ADH4	2.49581557569489	0.0081111198668953	No	No
P08833	IGFBP1	1.50876874455465	0.0018437038250228	No	No
P08861	CELA3B	4.89191434356817	2.0103295702348802e-17	No	No
P09914	IFIT1	1.18792744329708	0.0050620130777322	No	No
P10746	UROS	4.02259303398337	1.82923613514571e-07	No	No
P13929	ENO3	3.29674982477082	0.0002943226978595	No	No
P14384	CPM	4.542965707272	0.0017926088021195	No	No
P15056	BRAF	1.68170034811801	0.0034836443739164	No	No
P17706	PTPN2	2.34064065576012	0.0007465874090914	No	No
P30260	CDC27	2.16349857212965	0.0019550430481814	No	No
P32456	GBP2	3.05266693683894	5.87554038538179e-05	No	No
P35408	PTGER4	2.72072927345351	0.006866521019497	No	No
P35612	ADD2	2.19049432883862	0.0002178896849516	No	No
P42345	MTOR	3.23874780826847	0.0036591188208634	No	No
P47929	LGALS7B	2.74614543759725	0.0083893511852825	No	No
P49914	MTHFS	2.2244088532361	0.0002223235294343	No	No
P62070	RRAS2	5.55650710068447	5.30972056964077e-05	No	No
P62699	YPEL5	2.52277449405742	0.0031812660933037	No	No
P69892	HBG2	2.31419896401556	0.0006091248413525	No	No
P80108	GPLD1	1.09663639394004	0.0095793401837106	No	No
P82914	MRPS15	6.24620658124632	8.34355272740732e-22	No	No
Q10589	BST2	4.85639162423136	2.42348531143357e-16	No	No
Q12802	AKAP13	3.58341395969403	1.9643057627775e-05	No	No
Q13103	SPP2	1.17808304859392	0.0047293666528746	No	No
Q13336	SLC14A1	1.67636569001059	0.0054788155695627	No	No
Q13425	SNTB2	2.24291574925573	0.0006945002356678	No	No
Q13620	CUL4B	2.43699608269696	0.000160753602326	No	No
Q15831	STK11	1.31319780876703	0.0054275402895044	No	No
Q16820	MEP1B	3.76461540226878	0.0002815082948002	No	No
Q3SY69	ALDH1L2	2.84310135054169	0.0001919900974125	No	No
Q5H8C1	FREM1	2.28409942660418	0.0002782916787748	No	No
Q5THJ4	VPS13D	3.79184740009308	2.22007710509898e-05	No	No
Q5TZF3	ANKRD45	2.03289362268784	6.34711304281338e-05	No	No
Q6NUK4	REEP3	2.64511758963436	0.0029890251334434	No	No
Q6NXT4	SLC30A6	2.28875876426557	2.59123250767471e-05	No	No
Q6NYC1	JMJD6	8.25490713479022	3.35216967948775e-29	No	No
Q6QNK2	ADGRD1	2.54587019318558	0.0039443580808647	No	No
