Protein_Group	Genes	Bait_vs_Ctrl_logFC	Bait_vs_Ctrl_pval	Removed?	Contaminant?
Q9BRK3	MXRA8	4.94198505205995	3.11990342821932e-05	No	No
Q9BTC8	MTA3	4.372700097992	1.00814668845546e-06	No	No
Q9BTY7	HGH1	3.99489410779166	8.391042653776e-05	No	No
Q9BUB7	TMEM70	5.49403865681659	3.92536284477853e-05	No	No
Q9BW60	ELOVL1	5.50000782379605	1.51727936516458e-10	No	No
Q9BZE1	MRPL37	4.2314017141448	0.0001387735668761	No	No
Q9GZL7	WDR12	6.41299545518741	5.1085606973671396e-11	No	No
Q9GZM7	TINAGL1	4.36412366520551	0.0007800147188647	No	No
Q9H4I3	TRABD	5.21614087234322	2.1924271437920697e-11	No	No
Q9H9Z2	LIN28A	4.43687633146866	6.86295780863942e-08	No	No
Q9NNX1	TUFT1	4.05927026970507	3.04139037064877e-08	No	No
Q9NR12	PDLIM7	4.40733964778809	2.43001252443226e-05	No	No
Q9NV96	TMEM30A	5.94699766496816	1.41024651374199e-06	No	No
Q9P265	DIP2B	3.99787570183678	0.0044653441641571	No	No
Q9UHQ9	CYB5R1	6.33752068688614	1.11333732185196e-11	No	No
Q9UIG0	BAZ1B	5.37104061486482	5.36092723469756e-05	No	No
Q9UIJ7	AK3	4.39267253862387	1.73745523809053e-05	No	No
Q9UKJ3	GPATCH8	5.06970738160217	2.61304344492093e-07	No	No
Q9UKX7	NUP50	4.58804074674405	1.8454591872366502e-09	No	No
Q9ULD2	MTUS1	4.78993958365016	6.20023624901936e-06	No	No
Q9UPN4	CEP131	4.99083522653628	5.79249256444904e-08	No	No
Q9Y2J4	AMOTL2	3.9760508371444	0.0001093626252617	No	No
Q9Y4C2	TCAF1	5.51374373474891	1.7248209046493102e-09	No	No
Q9Y5G0	PCDHGB5	6.9177098585257	1.51670325184717e-08	No	No
Q9Y5H3	PCDHGA10	4.65332674242932	6.09762756898408e-09	No	No
Q9Y5Y6	ST14	4.24395088263747	2.41247866093045e-06	No	No
Q9Y6M1	IGF2BP2	5.33995563946051	3.1001984699834e-05	No	No
O15231	ZNF185	-6.56055564273963	9.10035944148578e-09	No	No
O43157	PLXNB1	-4.23061645734575	0.0015223335755116	No	No
P21980	TGM2	-4.72815481218809	2.56014404265919e-08	No	No
Q96EX3	DYNC2I2	-6.23796082494277	0.0003537308753072	No	No
Q96NY9	MUS81	-4.81014232783226	0.00128347406859	No	No
Q9BR39	JPH2	-6.38664525640589	9.22789315965035e-08	No	No
Q9H2W6	MRPL46	-4.28591783955558	0.000377021852872	No	No
Q9NQ50	MRPL40	-4.17513053249183	0.0055861735437035	No	No
Q9P270	SLAIN2	-5.36133228697678	0.0065673235164042	No	No
Q9UJ70	NAGK	-4.55695913937356	0.0011344413555904	No	No
