Protein_Group	Genes	RANKL1_vs_EmptyVector_logFC	RANKL1_vs_EmptyVector_pval	Removed?	Contaminant?
O43865	AHCYL1	1.81505439530839	3.80660717160454e-05	No	No
O43920	NDUFS5	1.92362201728083	0.0058643228625562	No	No
O60229	KALRN	2.12273796205671	0.0003476010150601	No	No
O60241	ADGRB2	4.62132487062043	0.0011218464280819	No	No
O60242	ADGRB3	4.60977392787505	0.0060747359759955	No	No
O60245	PCDH7	2.92527683823567	1.74028922369253e-07	No	No
O60266	ADCY3	2.54476618105371	1.06296192836685e-07	No	No
O60291	MGRN1	1.85761010770588	2.98694546055344e-07	No	No
O60331	PIP5K1C	1.29811911914431	2.87326094699848e-05	No	No
O60346	PHLPP1	1.70592791055115	0.0075261051351943	No	No
O60353	FZD6	2.10283466456836	2.45935309229914e-05	No	No
O60462	NRP2	2.64046887780074	6.40027231368252e-07	No	No
O60487	MPZL2	3.42719238086276	2.00296197372079e-06	No	No
O60493	SNX3	1.8678966326463	4.64558494868e-06	No	No
O60499	STX10	2.32000945087123	2.42270346145156e-07	No	No
O60503	ADCY9	2.5582011409272	1.32337240848175e-07	No	No
O60504	SORBS3	1.67648891816738	0.007329312255396	No	No
O60641	SNAP91	2.39126083805023	0.0003529688561109	No	No
O60658	PDE8A	1.80598089279949	5.81267405543982e-06	No	No
O60674	JAK2	2.32839901869476	0.0098108348090692	No	No
O60716	CTNND1	2.20092048865115	2.07519581657305e-07	No	No
O60779	SLC19A2	2.53032694644637	9.17229653072618e-08	No	No
O60858	TRIM13	1.85751802571902	4.42927098156704e-06	No	No
O60861	GAS7	1.9917101182136	0.0035274400205844	No	No
O60906	SMPD2	1.44481782439711	7.5274406130901e-05	No	No
O60941	DTNB	2.33749416512399	1.9469934071809e-07	No	No
O75044	SRGAP2	1.56147579650372	8.23744835854352e-06	No	No
O75051	PLXNA2	5.61285099882038	0.0066873378361388	No	No
O75052	NOS1AP	1.95672340444418	2.8946625276895e-06	No	No
O75054	IGSF3	3.79232002448549	5.95551579317853e-08	No	No
O75064	DENND4B	1.65203837060216	9.905190711486e-07	No	No
O75071	EFCAB14	1.88921335381765	0.0025322315209097	No	No
O75096	LRP4	2.74842403531674	1.92111102189071e-06	No	No
O75110	ATP9A	1.5779906597418	2.97148914817623e-06	No	No
O75121	MFAP3L	2.75389774814634	4.64247757973117e-05	No	No
O75140	DEPDC5	1.81695543030304	0.0001078782866816	No	No
O75145	PPFIA3	1.53531177825251	1.6120930228845e-05	No	No
O75147	OBSL1	1.41456030605327	3.32231469791599e-06	No	No
O75154	RAB11FIP3	3.20214073788334	0.0013202794535551	No	No
O75167	PHACTR2	1.46889787114763	8.16798195826618e-06	No	No
