Protein_Group	Genes	RANKL1_vs_EmptyVector_logFC	RANKL1_vs_EmptyVector_pval	Removed?	Contaminant?
Q09019	DMWD	1.44597972007043	0.0010826588237399	No	No
Q0VGL1	LAMTOR4	2.89289888276918	1.53009471717296e-06	No	No
Q10471	GALNT2	1.32410530348408	0.0003345989269656	No	No
Q12767	TMEM94	3.64058183009653	0.0001702335864014	No	No
Q12846	STX4	2.98923364834042	2.42071431272969e-07	No	No
Q12866	MERTK	2.74498489755484	1.84406229930852e-07	No	No
Q12913	PTPRJ	2.63533647652418	7.16460934735257e-07	No	No
Q12923	PTPN13	1.44798032407839	6.86866325354964e-06	No	No
Q12929	EPS8	2.33999830096575	3.77570571085941e-07	No	No
Q12955	ANK3	2.00413313162898	1.05179214805223e-06	No	No
Q12959	DLG1	2.3762647937024	9.16229092998321e-07	No	No
Q12967	RALGDS	1.74462351659653	4.7464468216121e-06	No	No
Q13009	TIAM1	2.28135023443972	1.98293435461234e-05	No	No
Q13136	PPFIA1	1.60439543501846	2.13578713209165e-05	No	No
Q13145	BAMBI	2.32624122087067	0.0087644291781786	No	No
Q13190	STX5	1.52639575845916	4.88482813290227e-05	No	No
Q13237	PRKG2	1.8104511960111	0.0013673829581156	No	No
Q13277	STX3	2.59552737390896	1.07345529535862e-06	No	No
Q13308	PTK7	2.49463087033901	2.35027997000905e-07	No	No
Q13332	PTPRS	2.20975194870781	3.00983758122381e-07	No	No
Q13393	PLD1	2.48096795298351	1.33188666931265e-05	No	No
Q13424	SNTA1	3.31670323283807	6.91196636793008e-07	No	No
Q13425	SNTB2	2.15680366297741	3.23020120234869e-07	No	No
Q13433	SLC39A6	2.72903565987966	2.38002062451677e-07	No	No
Q13439	GOLGA4	1.32123115332415	0.0002718328181143	No	No
Q13443	ADAM9	2.05794338129257	1.5197808912682e-06	No	No
Q13444	ADAM15	1.34058282630601	0.0027509957772064	No	No
Q13464	ROCK1	1.5417130868907	7.9340592038586e-05	No	No
Q13467	FZD5	3.38413725425213	1.36082518513589e-05	No	No
Q13480	GAB1	2.17174942844991	2.75934488944566e-06	No	No
Q13492	PICALM	1.30239812680725	3.62080310252737e-05	No	No
Q13496	MTM1	1.88558798657562	0.0007783080993617	No	No
Q13563	PKD2	1.92192711306344	0.001460614366476	No	No
Q13585	GPR50	1.82237751484037	4.53468047348e-05	No	No
Q13613	MTMR1	1.67551723178275	2.32905421910071e-06	No	No
Q13614	MTMR2	1.43429369755673	2.96255290924666e-05	No	No
Q13683	ITGA7	3.59406879926833	1.62203308633375e-06	No	No
Q13740	ALCAM	3.71763217907391	3.50116730760168e-07	No	No
Q13797	ITGA9	3.77547814225209	1.25561411463213e-06	No	No
Q13813	SPTAN1	1.97304932621405	8.38542171643826e-07	No	No
Q13829	TNFAIP1	1.55828114197596	0.0001439751195774	No	No
Q13873	BMPR2	2.67999814666394	4.45997221030914e-07	No	No
Q13884	SNTB1	2.4481825802499	1.23730252406234e-07	No	No
Q14114	LRP8	2.46179391213183	0.0004498002578022	No	No
Q14118	DAG1	3.61563622965907	2.52778183116533e-08	No	No
Q14126	DSG2	2.43530838112691	4.38914830332293e-07	No	No
Q14141	SEPTIN6	1.6269270736101	6.09040076395532e-06	No	No
Q14156	EFR3A	1.50384692064179	1.29767515069044e-06	No	No
Q14160	SCRIB	1.56874799661669	1.20270810049017e-05	No	No
Q14185	DOCK1	1.38540961646829	0.001207006291781	No	No
Q14318	FKBP8	1.48636924097098	2.89069797908243e-06	No	No
Q14439	GPR176	5.53552818957388	1.57621297466375e-07	No	No
Q14517	FAT1	3.20052923405086	4.6212989631629e-07	No	No
Q14524	SCN5A	2.91066199102664	0.0002625521569586	No	No
Q14542	SLC29A2	2.28134825443818	7.40627329356019e-06	No	No
Q14642	INPP5A	1.63515616524002	5.1040221298105e-05	No	No
Q14644	RASA3	2.44653465465749	1.18053375288173e-07	No	No
Q14654	KCNJ11	1.39836524070041	0.000175292174595	No	No
Q14689	DIP2A	1.5450976114798	0.0001975104054798	No	No
Q14699	RFTN1	2.23901426630439	6.50838137157099e-06	No	No
Q14849	STARD3	2.24437209181227	1.42327440157557e-07	No	No
Q15006	EMC2	2.54265186860736	1.49657614231509e-06	No	No
Q15019	SEPTIN2	1.48804566328224	3.04266548358622e-05	No	No
Q15043	SLC39A14	2.0697357191199	8.68161647102358e-07	No	No
Q15053	KIAA0040	2.73399125320329	7.38960444404179e-07	No	No
Q15057	ACAP2	1.3718640817997	0.0062844770483933	No	No
Q15147	PLCB4	3.49482058611732	9.17759618057267e-07	No	No
Q15223	NECTIN1	4.66569287785774	0.0053368630258861	No	No
Q15262	PTPRK	1.66253812002153	0.0010679454653556	No	No
Q15283	RASA2	2.23563072510904	2.52230604411797e-07	No	No
Q15334	LLGL1	2.39448566467845	4.71495909462714e-08	No	No
Q15375	EPHA7	2.85012532275353	6.0561592380624e-08	No	No
Q15438	CYTH1	1.37288705949191	0.0001602318741947	No	No
Q15464	SHB	2.31143919447468	5.73161845603995e-06	No	No
Q15569	TESK1	2.08603423781189	0.003395520762158	No	No
Q15599	SLC9A3R2	3.06620634520044	7.23882460321903e-05	No	No
Q15643	TRIP11	1.634465081141	6.54797390627232e-05	No	No
Q15678	PTPN14	1.31412029759285	2.48402254441035e-05	No	No
Q15758	SLC1A5	2.3327933808815	6.39735307203436e-07	No	No
Q15768	EFNB3	4.0624302653422	1.14997419515634e-06	No	No
Q15772	SPEG	4.61656500865607	3.48341589035823e-05	No	No
Q15831	STK11	2.81208239274045	2.81429643762061e-07	No	No
Q15836	VAMP3	2.73121710846018	4.21045078261103e-07	No	No
Q15842	KCNJ8	2.07281815604088	0.0080128959506326	No	No
Q16181	SEPTIN7	1.49506042124126	1.74673968323445e-05	No	No
Q16549	PCSK7	7.06175009494914	0.0037534563489674	No	No
Q16584	MAP3K11	1.29394453317812	0.0024245818810153	No	No
Q16585	SGCB	1.73752747441867	6.52440477327037e-05	No	No
Q16625	OCLN	3.04472132199504	1.00126843161583e-05	No	No
Q16720	ATP2B3	1.46408965284933	0.0032915662319564	No	No
Q16760	DGKD	3.34631438695952	2.11741933494755e-05	No	No
Q16832	DDR2	3.85980465482542	1.24589868111279e-07	No	No
Q24JP5	TMEM132A	3.32019714143029	1.87108002740197e-06	No	No
Q2LD37	KIAA1109	1.69065446074536	6.97571112007012e-05	No	No
Q2M1Z3	ARHGAP31	1.49842284205519	0.0006537373937843	No	No
Q2M3C6	TMEM266	3.50374643352565	4.43904032020751e-06	No	No
Q2M3G4	SHROOM1	1.40728938654907	0.000908722845682	No	No
Q2MV58	TCTN1	2.11663219348905	1.21863142668837e-06	No	No
Q2T9K0	TMEM44	2.24392138672381	1.84368818964411e-06	No	No
Q2VWP7	PRTG	5.95652821602576	4.27029831160719e-07	No	No
Q3KR37	GRAMD1B	2.01228341271888	3.80154575842618e-07	No	No
Q3SXY8	ARL13B	1.80606671187236	3.29557121294625e-07	No	No
Q3V6T2	CCDC88A	1.54347664459669	3.83152579530269e-05	No	No
Q3ZAQ7	VMA21	1.79260372990245	5.29360554575905e-05	No	No
Q49AJ0	FAM135B	1.68371551095901	0.0028962722350247	No	No
Q4ADV7	RIC1	1.95960097886795	8.62465631301443e-06	No	No
Q4G148	GXYLT1	1.9460656258475	0.0003607928201592	No	No
Q4KMG0	CDON	3.0188000998161	2.93227482415688e-07	No	No
Q4KMP7	TBC1D10B	1.46989088651066	1.43360347563862e-05	No	No
Q4KMQ2	ANO6	1.94989623168373	4.03566560526128e-07	No	No
Q4KWH8	PLCH1	1.74007644144744	5.69834882190409e-06	No	No
Q4UJ75	ANKRD20A4P	3.25217754629672	0.0019822768944992	No	No
Q53EZ4	CEP55	1.35499182887281	9.77875677232888e-06	No	No
Q53GL0	PLEKHO1	2.71464913467265	0.000483607926526	No	No
Q53SF7	COBLL1	1.36767482660237	0.0005628820311831	No	No
Q587I9	SFT2D3	2.48736699540108	3.8071226914428e-07	No	No
Q58EX2	SDK2	3.93828627538105	8.97066110020678e-08	No	No
Q59EK9	RUNDC3A	5.7319452222338	6.17151835479134e-06	No	No
Q5BKX6	SLC45A4	2.8478433891868	4.60027395346771e-06	No	No
Q5EBL4	RILPL1	2.36821496862741	0.0048808170574614	No	No
Q5EBL8	PDZD11	1.50923429764691	3.86497702501083e-05	No	No
Q5FWE3	PRRT3	1.60529971476488	0.0070577354830165	No	No
Q5HYW2	NHSL2	2.14506235004878	1.8728464985232e-05	No	No
Q5JPF3	ANKRD36C	2.12243663191377	4.47999483192934e-05	No	No
Q5JS13	RALGPS1	2.78481204119811	1.54280999285571e-07	No	No
Q5JSL3	DOCK11	2.1774801466512	4.07601660628527e-07	No	No
Q5JTV8	TOR1AIP1	1.4081284705332	4.34982237773294e-06	No	No
Q5KU26	COLEC12	1.3075683956029	0.0010712791083473	No	No
Q5M775	SPECC1	1.52193740529039	2.83612315493439e-05	No	No
Q5R3F8	ELFN2	8.73094246826491	6.51955026759157e-10	No	No
Q5SQN1	SNAP47	1.75984122622364	1.66204454044479e-06	No	No
Q5SYE7	NHSL1	1.99263099616749	1.56732335833096e-06	No	No
Q5T0F9	CC2D1B	1.47952241547412	2.09773919644827e-06	No	No
Q5T2T1	MPP7	2.26873957951407	3.38452660810501e-06	No	No
Q5T3F8	TMEM63B	1.45820690789347	0.0001657834461834	No	No
Q5T3U5	ABCC10	1.39811437553128	0.0003195978377271	No	No
Q5T4F4	ZFYVE27	1.74215564289456	2.63598515350624e-05	No	No
Q5T5C0	STXBP5	1.71739273622258	1.97781373199671e-06	No	No
Q5T5U3	ARHGAP21	1.35940010425505	0.0001160550648709	No	No
Q5T7P8	SYT6	2.96777551518904	0.0002711851259607	No	No
Q5T7V8	GORAB	1.79649678054561	0.0014783821910521	No	No
Q5TB30	DEPDC1	1.3011530202153	0.0039349425369105	No	No
Q5TC84	OGFRL1	2.36186092012763	1.76660975428188e-06	No	No
Q5TCZ1	SH3PXD2A	1.75091961020054	7.6951207921937e-06	No	No
Q5TH69	ARFGEF3	3.10876799490076	2.44460948339217e-05	No	No
Q5TYW2	ANKRD20A1	5.45557197910559	1.18360263486839e-07	No	No
Q5VT25	CDC42BPA	2.16135392091517	2.59992428537367e-07	No	No
Q5VU97	CACHD1	2.46564610980374	6.70944896112095e-06	No	No
Q5VUB5	FAM171A1	2.18101311626712	6.06329913490148e-07	No	No
Q5VWQ8	DAB2IP	2.26466168684505	3.25614713190531e-07	No	No
Q5VZK9	CARMIL1	2.07606603119454	4.10518023800991e-07	No	No
Q5W0Z9	ZDHHC20	3.62125319330089	3.99440297046206e-06	No	No
Q5XG99	LYSMD4	2.34720107160099	9.16722413065546e-06	No	No
Q5ZPR3	CD276	3.635247386808	5.89185267443077e-08	No	No
Q63HM2	PCNX4	1.52899164226548	0.0012626374110267	No	No
Q658P3	STEAP3	2.63301080718927	5.62173069023548e-08	No	No
Q68CR1	SEL1L3	1.36242167566847	0.0064825963263661	No	No
Q68CZ2	TNS3	1.59376769624682	2.96837481478126e-05	No	No
Q68D51	DENND2C	1.49330668850333	0.0007228481554772	No	No
Q68D85	NCR3LG1	3.60365092776362	0.0096513347011899	No	No
Q68DC2	ANKS6	2.15807677752625	6.08342888930378e-06	No	No
Q68DK2	ZFYVE26	1.34771182395424	2.06142079053779e-05	No	No
Q68DV7	RNF43	5.54300991784844	0.0008238250918422	No	No
Q69YL0	NCBP2AS2	1.77245285642361	0.0009202832466322	No	No
Q6F5E8	CARMIL2	1.45797085770987	8.11726372411172e-05	No	No
Q6GQQ9	OTUD7B	1.6686701516677	2.17729140568905e-05	No	No
Q6IAA8	LAMTOR1	2.80002954744407	5.91939168603296e-07	No	No
Q6IEE7	TMEM132E	3.43779357081469	1.11953698891249e-05	No	No
Q6IQ23	PLEKHA7	2.25858911666101	1.36930599237054e-06	No	No
Q6N022	TENM4	2.55706270265447	5.79484605811897e-05	No	No
Q6NTF9	RHBDD2	1.36771854830247	5.53537798455278e-05	No	No
Q6NUS6	TCTN3	1.2986362710507	5.76629585478435e-05	No	No
Q6NXT4	SLC30A6	1.81647483953542	1.37362479789154e-05	No	No
Q6NZ63	STEAP1B	2.32382390875003	8.81968336500291e-07	No	No
Q6NZI2	CAVIN1	2.66724140146683	0.0054416604375063	No	No
Q6P1M3	LLGL2	2.79365259547107	3.23233124487008e-06	No	No
Q6P4Q7	CNNM4	1.86244275255495	7.71938886326119e-07	No	No
Q6P5Z2	PKN3	1.51325211430736	3.02925693699745e-06	No	No
Q6P6B1	ERICH5	2.20571914247281	0.0004081525266736	No	No
Q6P995	FAM171B	3.51715225529057	2.55750400949924e-08	No	No
Q6P9B6	MEAK7	3.39182155873417	2.39144707155767e-09	No	No
Q6P9F7	LRRC8B	2.32928169479055	9.80635808319989e-08	No	No
Q6P9H4	CNKSR3	2.26430348093286	3.55712330363392e-07	No	No
Q6PCB8	EMB	4.87276756603689	7.41821365205727e-06	No	No
Q6PJF5	RHBDF2	1.43916963502472	2.04392497952225e-05	No	No
Q6PL24	TMED8	1.5598642927729	0.0001373514936078	No	No
Q6QNY1	BLOC1S2	3.28558010166422	3.24967284876058e-07	No	No
Q6R327	RICTOR	1.50116965211112	2.45918873458427e-05	No	No
Q6T4P5	PLPPR3	3.24797011084555	0.0043734255870645	No	No
Q6UVK1	CSPG4	3.69280110084774	3.07716052165258e-07	No	No
Q6UWB1	IL27RA	4.80313126918086	1.86072195276355e-06	No	No
Q6UWE0	LRSAM1	1.5700162857611	2.74178916768122e-05	No	No
Q6UWH6	TEX261	7.82448754120673	5.64300415062483e-12	No	No
Q6UWV2	MPZL3	1.48470269140081	0.0007850040565169	No	No
Q6UX15	LAYN	3.48969006156397	3.06434075948853e-09	No	No
Q6UXM1	LRIG3	1.57782048583301	3.46946403306119e-06	No	No
Q6V0I7	FAT4	2.32201993171313	1.60997550351492e-06	No	No
Q6XR72	SLC30A10	2.75231116366361	1.61813213855905e-07	No	No
Q6ZN54	DEF8	2.12308913617376	0.0002372768613498	No	No
Q6ZNL6	FGD5	3.78346246489239	3.28880866843085e-06	No	No
Q6ZQN7	SLCO4C1	2.31820611087669	6.3459436548677e-05	No	No
Q6ZS30	NBEAL1	1.63011330897923	6.74334017928041e-05	No	No
Q6ZS86	GK5	1.51767896920306	2.05595367971589e-06	No	No
Q6ZT07	TBC1D9	2.68975803526786	8.45753556355666e-06	No	No
Q6ZUT9	DENND5B	1.30498794756068	3.24933501634044e-05	No	No
Q6ZV73	FGD6	3.30241981990703	0.0009914157598183	No	No
Q6ZV89	SH2D5	3.07018978590236	0.0046669311497392	No	No
Q6ZVD7	STOX1	1.54643974187955	0.0021318362207454	No	No
Q6ZVD8	PHLPP2	1.5306164585157	0.0079520484782579	No	No
Q6ZVF9	GPRIN3	2.14522509428553	1.39159800686632e-05	No	No
Q6ZVL6	KIAA1549L	3.95899491140464	6.41339347747686e-06	No	No
Q6ZWE6	PLEKHM3	2.50608299058546	0.0034990841767236	No	No
Q70CQ4	USP31	2.2294386168496	0.0006657303982143	No	No
Q70E73	RAPH1	1.49410461260666	1.67766077508487e-05	No	No
Q70EL4	USP43	2.11379091226079	8.84332907578377e-06	No	No
Q70UQ0	IKBIP	1.58459682570836	0.0010089354913656	No	No
Q70Z35	PREX2	1.37910801045219	0.002659670429034	No	No
Q71H61	ILDR2	3.60856265910604	2.88330969218565e-07	No	No
Q75V66	ANO5	3.56508648399816	2.00604489231185e-06	No	No
Q765P7	MTSS2	1.91276082629661	1.62956047389601e-06	No	No
Q76G19	PDZD4	6.38102772290136	0.0077346301435761	No	No
Q76NI1	KNDC1	2.4730329474278	0.0039470885896862	No	No
Q7KYR7	BTN2A1	2.01173665373242	0.000545433359529	No	No
Q7KZI7	MARK2	1.83597628761168	5.17509328375731e-07	No	No
Q7L0J3	SV2A	1.39007700403594	6.95660429700893e-06	No	No
Q7L1V2	MON1B	1.87980803979453	7.5732974987479e-05	No	No
Q7L1W4	LRRC8D	2.64701110524874	5.99670644875116e-08	No	No
Q7L523	RRAGA	1.46253293580726	6.00112882335401e-06	No	No
Q7L576	CYFIP1	1.84811672312024	1.90333662653701e-07	No	No
Q7L804	RAB11FIP2	1.4264408615315	7.53237991566334e-06	No	No
Q7L9B9	EEPD1	2.70655908405158	1.50016917573377e-07	No	No
Q7RTN6	STRADA	2.63562526681912	5.79982749702227e-05	No	No
Q7RTY0	SLC16A13	1.7175775563737	4.14194367052303e-06	No	No
Q7RTY1	SLC16A9	2.47809934683517	3.45406328282021e-05	No	No
Q7Z2D5	PLPPR4	2.6245112260158	7.43493022394892e-07	No	No
Q7Z2K8	GPRIN1	1.48462996956079	0.0001694954496795	No	No
Q7Z2W4	ZC3HAV1	1.94608724133914	1.26536775010429e-06	No	No
Q7Z3D4	LYSMD3	1.98873818117486	1.47106830246957e-05	No	No
Q7Z3F1	GPR155	2.99205930555266	0.0001297030397193	No	No
Q7Z402	TMC7	5.36733002901137	4.21847663227183e-05	No	No
Q7Z553	MDGA2	1.56787671430908	0.0058080738119501	No	No
Q7Z5H3	ARHGAP22	2.74235708460805	2.38476394071055e-07	No	No
Q7Z5N4	SDK1	3.81133827475237	7.05219602771003e-08	No	No
Q7Z698	SPRED2	4.49138214441885	2.8768124256491e-09	No	No
Q7Z6J0	SH3RF1	3.00096338907195	0.0006866393105035	No	No
Q7Z6J6	FRMD5	1.31931281734885	0.0004973627463929	No	No
Q7Z7G8	VPS13B	1.5401427652182	7.179888150483e-05	No	No
Q7Z7H5	TMED4	1.65265509722015	0.000156393828873	No	No
Q7Z7M0	MEGF8	2.63711590650502	6.9956683942055e-07	No	No
Q86SG6	NEK8	1.56318437793239	9.68375471765118e-06	No	No
Q86SJ2	AMIGO2	2.20522200070328	0.0026376721074874	No	No
Q86SK9	SCD5	1.31168893126956	8.0230057761914e-06	No	No
Q86SQ0	PHLDB2	1.55962519957344	1.55285901277446e-06	No	No
Q86SQ4	ADGRG6	3.55707138040437	5.52366238198074e-07	No	No
Q86T03	PIP4P1	2.34978031775882	1.95853972381998e-07	No	No
Q86T65	DAAM2	2.38292969079854	1.40015186110007e-06	No	No
Q86TL2	STIMATE	2.53993517660918	8.02263032947823e-05	No	No
Q86TM6	SYVN1	1.33207593987461	0.0023016267569664	No	No
Q86TV6	TTC7B	2.10552352428655	2.16500084235921e-07	No	No
Q86UD5	SLC9B2	3.73453422528552	0.0001222559003941	No	No
Q86UL3	GPAT4	1.42578432266741	6.57773516811349e-06	No	No
Q86UU1	PHLDB1	2.055078301732	5.56802500701851e-06	No	No
Q86UW9	DTX2	2.69624067483742	9.34206209698307e-05	No	No
Q86V24	ADIPOR2	1.4861824090298	0.0010898883154676	No	No
Q86VH4	LRRTM4	2.89949474244146	3.46454439859483e-06	No	No
Q86VI4	LAPTM4B	5.38375169058512	1.8184347648044402e-09	No	No
Q86VP3	PACS2	1.9985026171778	3.60207153920502e-05	No	No
Q86VZ5	SGMS1	1.43523541150188	4.20874589313376e-05	No	No
Q86W92	PPFIBP1	2.16820983214143	2.16990769137499e-06	No	No
Q86WA9	SLC26A11	2.42875201206724	1.89883086347253e-06	No	No
Q86WC4	OSTM1	6.57828612375795	4.0731175731262394e-11	No	No
Q86WG5	SBF2	2.27017279901562	8.32369595623502e-06	No	No
Q86WK6	AMIGO1	2.58182575990007	5.60984849123523e-05	No	No
Q86X27	RALGPS2	2.44341741699181	6.11034282727513e-06	No	No
Q86X29	LSR	3.61682829242565	1.49166517093433e-08	No	No
Q86XD5	FAM131B	5.55758222739736	9.28459063449328e-06	No	No
Q86XL3	ANKLE2	1.42623102570396	2.18696408392148e-05	No	No
Q86XS8	RNF130	2.37917522503864	2.17115026610051e-06	No	No
Q86XX4	FRAS1	3.52043786217553	0.0003977921395661	No	No
Q86Y82	STX12	2.15782943527116	2.7799483822587e-06	No	No
Q86YF9	DZIP1	2.25606789094685	7.13583954896982e-05	No	No
Q86YQ8	CPNE8	2.50440529809513	2.98462935109745e-06	No	No
Q86YS7	C2CD5	2.5300007024904	1.48970906020684e-07	No	No
Q86YV5	PRAG1	1.56887496712379	0.0005372517787797	No	No
Q8IUC8	GALNT13	1.39500233271028	0.00085465885057	No	No
Q8IUH4	ZDHHC13	1.73318098250455	1.49505342148308e-05	No	No
Q8IUS5	EPHX4	1.30395989917549	0.0001174550982269	No	No
Q8IUW5	RELL1	4.17944776161002	5.13634858977684e-07	No	No
Q8IVF5	TIAM2	1.99713068344555	0.0096617369384227	No	No
Q8IVF7	FMNL3	2.36316232043731	4.24478284592376e-07	No	No
Q8IVU1	IGDCC3	7.20856546013922	1.2382412011865e-10	No	No
Q8IVW1	ARL17B	1.91604555771495	0.0014445399406137	No	No
Q8IW50	FAM219A	1.52783158509035	0.0009139000373496	No	No
Q8IWE4	DCUN1D3	2.37180595209189	5.79294918814616e-06	No	No
Q8IWE5	PLEKHM2	1.73719751225209	0.0001357943212779	No	No
Q8IWF6	DENND6A	1.37128932719608	2.75983986658005e-05	No	No
Q8IWK6	ADGRA3	2.71691796509367	5.49422385685246e-06	No	No
Q8IWP9	CCDC28A	1.43494951390738	1.63855840580893e-05	No	No
Q8IWR1	TRIM59	1.37311423448842	2.34607041179333e-05	No	No
Q8IWT6	LRRC8A	1.93786328550299	8.35773023205502e-06	No	No
Q8IWW6	ARHGAP12	2.06305483408505	9.34830322543945e-08	No	No
Q8IXS6	PALM2	1.31407607332595	0.0054852146889154	No	No
Q8IY33	MICALL2	1.6463969857309	6.18325309451577e-05	No	No
Q8IYS0	GRAMD1C	1.95870623146882	5.16693328843999e-06	No	No
Q8IZ21	PHACTR4	2.11967824178388	3.29722394882337e-06	No	No
Q8IZA0	KIAA0319L	2.21740531783137	5.95194083410543e-07	No	No
Q8IZC4	RTKN2	1.71738743655574	1.35139380489697e-05	No	No
Q8IZJ1	UNC5B	2.88986371940489	3.7385142174538e-06	No	No
Q8IZN3	ZDHHC14	2.77521252908424	8.23946140534852e-06	No	No
Q8IZP0	ABI1	2.65484147615955	5.7696068627383e-08	No	No
Q8N128	FAM177A1	2.72997909897505	0.0023290936684662	No	No
Q8N183	NDUFAF2	3.19041018821715	3.31632192422092e-07	No	No
Q8N1F8	STK11IP	1.65898142906115	1.21999597632378e-06	No	No
Q8N264	ARHGAP24	3.47202569845776	9.29896815392313e-06	No	No
Q8N2Q7	NLGN1	4.85422136445727	8.81953118532498e-06	No	No
Q8N336	ELMOD1	2.33181756962317	1.77819699455542e-05	No	No
Q8N350	CBARP	2.79048952772218	2.19861362513096e-06	No	No
Q8N370	SLC43A2	1.48865240855768	0.0010842862640642	No	No
Q8N414	PGBD5	1.60553061071552	0.0003387725431968	No	No
Q8N441	FGFRL1	2.17276570675426	3.40401565983188e-06	No	No
Q8N4C8	MINK1	2.16614728742804	4.2444957183246e-06	No	No
Q8N4S9	MARVELD2	3.41227125403471	1.89497949487281e-07	No	No
Q8N4V1	MMGT1	1.56226376209568	1.21259678702267e-05	No	No
Q8N511	TMEM199	1.53800641212015	2.68314608963256e-05	No	No
Q8N565	MREG	4.42599080490424	1.04565249717602e-06	No	No
Q8N5C1	CALHM5	2.29383488954033	6.6028404315694e-07	No	No
Q8N5I2	ARRDC1	3.13100435580242	2.12215580478863e-07	No	No
Q8N5J2	MINDY1	3.21279839381938	0.0004226622589884	No	No
Q8N5K1	CISD2	1.65712854008878	2.84423759243883e-06	No	No
Q8N5Y8	PARP16	2.14065731415693	2.67216084132558e-07	No	No
Q8N6S4	ANKRD13C	1.75814302856644	2.77139550086483e-06	No	No
Q8N6U8	GPR161	2.24759372381306	6.19031484942986e-06	No	No
Q8N6Y1	PCDH20	2.72694673527154	5.73327375628958e-06	No	No
Q8N7R7	CCNYL1	2.09646137510848	6.67191141685946e-07	No	No
Q8N8Z6	DCBLD1	3.82986042936449	1.28099655008082e-08	No	No
Q8N9I0	SYT2	3.37222677425639	2.62641321173819e-06	No	No
Q8N9U0	TC2N	2.26391245363067	1.84420456222753e-07	No	No
Q8NB49	ATP11C	2.10953346803611	2.18657560976949e-07	No	No
Q8NBJ9	SIDT2	2.76296444153406	9.68602119707259e-08	No	No
Q8NBT3	TMEM145	2.1366648498466	0.005676035727125	No	No
Q8NBW4	SLC38A9	3.4584952585786	2.42733636416126e-06	No	No
Q8NC42	RNF149	3.25261685032333	9.81682028351409e-08	No	No
Q8NC44	RETREG2	1.50092110602284	0.0007487764220112	No	No
Q8NC54	KCT2	1.67484589735528	7.12543243871797e-06	No	No
Q8NC67	NETO2	2.11651626671246	6.15742678451156e-07	No	No
Q8NCB2	CAMKV	1.67356854097648	5.60048802345451e-06	No	No
Q8NCS4	TMEM35B	5.81797410402673	7.4323950681641e-10	No	No
Q8NCS7	SLC44A5	3.15499726329613	1.38171286483613e-07	No	No
Q8NCT1	ARRDC4	3.38579476068355	0.0032675682126505	No	No
Q8ND25	ZNRF1	2.45223423650355	1.51076387594563e-05	No	No
Q8ND30	PPFIBP2	2.43528747503511	7.08879471873211e-06	No	No
Q8ND76	CCNY	2.88619011707735	2.07375903249339e-08	No	No
Q8NDL9	AGBL5	1.50976515722739	0.0003848065570962	No	No
Q8NDV3	SMC1B	8.99784969798182	2.98007472488988e-05	No	No
Q8NE00	TMEM104	2.86028736027041	0.0013239416816197	No	No
Q8NE01	CNNM3	2.21468969250086	1.03040315958565e-07	No	No
Q8NF50	DOCK8	1.61485732648026	0.0003719117542833	No	No
Q8NFA0	USP32	1.63411973359264	0.000152060420063	No	No
Q8NFJ5	GPRC5A	5.6767554689026	2.7975232214782497e-11	No	No
Q8NFM7	IL17RD	3.07698980971966	2.2003889284759e-06	No	No
Q8NFT2	STEAP2	2.29421682768481	0.0019199409761909	No	No
Q8NFX7	STXBP6	2.2168691954355	9.03059711688743e-05	No	No
Q8NFZ4	NLGN2	4.14395809672711	1.46207563960684e-07	No	No
Q8NFZ8	CADM4	4.17170597767036	6.34264997601363e-08	No	No
Q8NHG7	SVIP	3.45834526162758	0.0002345429472577	No	No
Q8NHP6	MOSPD2	1.32295933191411	5.94460205185874e-05	No	No
Q8NHS3	MFSD8	2.1603456936087	1.13347278681683e-07	No	No
Q8TAA9	VANGL1	2.85069177784044	7.97447558803389e-08	No	No
Q8TAB3	PCDH19	1.78517252425606	0.0001131070200967	No	No
Q8TAD4	SLC30A5	1.90959909122637	8.70790268053081e-06	No	No
Q8TAE7	KCNG3	4.21866576059585	9.71506770819965e-08	No	No
Q8TAF3	WDR48	1.39983354483327	4.27280382028902e-06	No	No
Q8TB45	DEPTOR	1.72655404502628	6.24420283873572e-05	No	No
Q8TB96	ITFG1	1.72694581799134	3.16340831129603e-05	No	No
Q8TBN0	RAB3IL1	1.69720570980207	0.0001926005630175	No	No
Q8TBZ3	WDR20	2.76661876255233	1.50691827945597e-07	No	No
Q8TC41	RNF217	1.95787942062485	5.90132790877421e-05	No	No
Q8TCT6	SPPL3	1.46983619839347	0.0003484901905231	No	No
Q8TCZ2	CD99L2	3.19323142053072	0.0001426837943752	No	No
Q8TD43	TRPM4	2.13435377228596	1.4767982981265e-06	No	No
Q8TD55	PLEKHO2	2.54851682923559	6.06446921895115e-07	No	No
Q8TDM6	DLG5	1.33693470796814	4.10480741487275e-06	No	No
Q8TDN4	CABLES1	1.9497696268597	3.72277202855832e-06	No	No
Q8TDW0	LRRC8C	2.01168305469027	4.08291166101796e-07	No	No
Q8TDW4	ST7L	2.83676762297632	1.1402026099181e-06	No	No
Q8TDW5	SYTL5	1.67766144983776	2.38111316266586e-05	No	No
Q8TDW7	FAT3	3.44470001831632	1.92881347411273e-07	No	No
Q8TEB7	RNF128	1.83527710936616	1.54587190602597e-06	No	No
Q8TEJ3	SH3RF3	2.03851551260981	0.0010852791640729	No	No
Q8TER5	ARHGEF40	2.09165449577916	0.0011911089942512	No	No
