Protein_Group	Genes	Protein_Names	Ctrl_Piezo1_KO_YODA1-_Avg_Peptide_Count	Ctrl_Piezo1_KO_YODA1+_Avg_Peptide_Count	Piezo1_KO_YODA1-_Avg_Peptide_Count	Piezo1_KO_YODA1+_Avg_Peptide_Count	Ctrl_Piezo1_OE_YODA1-_Avg_Peptide_Count	Ctrl_Piezo1_OE_YODA1+_Avg_Peptide_Count	Piezo1_OE_YODA1-_Avg_Peptide_Count	Piezo1_OE_YODA1+_Avg_Peptide_Count	Species	Intensity_Ctrl_Piezo1_KO_YODA1-_BR1_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR1_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR2_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR2_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR3_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR3_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR4_TR1	Intensity_Ctrl_Piezo1_KO_YODA1+_BR4_TR1	Intensity_Piezo1_KO_YODA1-_BR1_TR1	Intensity_Piezo1_KO_YODA1+_BR1_TR1	Intensity_Piezo1_KO_YODA1-_BR2_TR1	Intensity_Piezo1_KO_YODA1+_BR2_TR1	Intensity_Piezo1_KO_YODA1-_BR3_TR1	Intensity_Piezo1_KO_YODA1+_BR3_TR1	Intensity_Piezo1_KO_YODA1-_BR4_TR1	Intensity_Piezo1_KO_YODA1+_BR4_TR1	Intensity_Piezo1_KO_YODA1-_BR5_TR1	Intensity_Piezo1_KO_YODA1+_BR5_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR1_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR1_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR2_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR2_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR3_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR3_TR1	Intensity_Ctrl_Piezo1_OE_YODA1-_BR4_TR1	Intensity_Ctrl_Piezo1_OE_YODA1+_BR4_TR1	Intensity_Piezo1_OE_YODA1-_BR1_TR1	Intensity_Piezo1_OE_YODA1+_BR1_TR1	Intensity_Piezo1_OE_YODA1-_BR2_TR1	Intensity_Piezo1_OE_YODA1+_BR2_TR1	Intensity_Piezo1_OE_YODA1-_BR3_TR1	Intensity_Piezo1_OE_YODA1+_BR3_TR1	Intensity_Piezo1_OE_YODA1-_BR4_TR1	Intensity_Piezo1_OE_YODA1+_BR4_TR1	Intensity_Ctrl_Piezo1_KO_YODA1-_BR1_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR1_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR2_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR2_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR3_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR3_TR2	Intensity_Ctrl_Piezo1_KO_YODA1-_BR4_TR2	Intensity_Ctrl_Piezo1_KO_YODA1+_BR4_TR2	Intensity_Piezo1_KO_YODA1-_BR1_TR2	Intensity_Piezo1_KO_YODA1+_BR1_TR2	Intensity_Piezo1_KO_YODA1-_BR2_TR2	Intensity_Piezo1_KO_YODA1+_BR2_TR2	Intensity_Piezo1_KO_YODA1-_BR3_TR2	Intensity_Piezo1_KO_YODA1+_BR3_TR2	Intensity_Piezo1_KO_YODA1-_BR4_TR2	Intensity_Piezo1_KO_YODA1+_BR4_TR2	Intensity_Piezo1_KO_YODA1-_BR5_TR2	Intensity_Piezo1_KO_YODA1+_BR5_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR1_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR1_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR2_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR2_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR3_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR3_TR2	Intensity_Ctrl_Piezo1_OE_YODA1-_BR4_TR2	Intensity_Ctrl_Piezo1_OE_YODA1+_BR4_TR2	Intensity_Piezo1_OE_YODA1-_BR1_TR2	Intensity_Piezo1_OE_YODA1+_BR1_TR2	Intensity_Piezo1_OE_YODA1-_BR2_TR2	Intensity_Piezo1_OE_YODA1+_BR2_TR2	Intensity_Piezo1_OE_YODA1-_BR3_TR2	Intensity_Piezo1_OE_YODA1+_BR3_TR2	Intensity_Piezo1_OE_YODA1-_BR4_TR2	Intensity_Piezo1_OE_YODA1+_BR4_TR2
P41225	SOX3	SOX3_HUMAN	10.125	9.875	9.1	10.1	10.125	9.75	9.375	9.375	HUMAN	55364572.0	32627372.0	50268744.0	58889628.0	45933936.0	46658144.0	77808450.0	59810412.0	39004170.0	65740630.0	11267459.0	7523493.0	48008624.0	76862990.0	36575508.0	75629910.0	58904944.0	66364564.0	37472668.0	39637890.0	40255970.0	28064846.0	43779708.0	35839188.0	42184540.0	34048460.0	11423569.0	31799168.0	14679675.0	25542418.0	45750610.0	48846944.0	49121780.0	44499500.0	63902824.0	36405228.0	57795740.0	64317772.0	61008640.0	59227870.0	85330230.0	69256200.0	44200228.0	62288524.0	11570072.0	12204751.0	67289144.0	88323256.0	42946244.0	79709780.0	68077550.0	64660024.0	49874356.0	43068000.0	46553544.0	34002416.0	51804476.0	31190492.0	47900870.0	35545680.0	14057834.0	20750412.0	17844446.0	20558308.0	53604790.0	49097224.0	42741224.0	43829044.0
P41226	UBA7	UBA7_HUMAN	15.0	12.625	20.5	19.5	21.375	19.625	19.75	16.75	HUMAN	3270898.8	332367.7	4989280.0	4360204.0	768324.75	343925.44	2633657.8	1233073.9	6212792.0	3467236.2	933811.1	693756.9	7259855.0	8672642.0	3086577.2	5310838.5	7209969.5	5867362.5	4133666.2	6467579.0	3263870.2	5344601.5	7328403.5	3945946.2	2457643.2	3756870.8	3840712.5	6103242.0	1867135.0	6494585.0	4359417.0	3168131.5	5703720.0	656086.7	2816954.8	1839513.6	4474760.5	6292800.5	1328162.1	854819.3	1300331.4	919042.56	2121114.5	5266847.0	1498212.2	570388.56	6954356.0	7966695.5	4503318.5	1612402.6	7027144.5	3970453.5	7944335.5	6136046.0	5803958.5	2730731.2	5058511.5	3106325.2	4512392.0	2455567.8	5103245.0	2522426.8	4300868.5	4969117.0	2619968.8	4171178.5	1980877.6	1148966.0
P41227	NAA10	NAA10_HUMAN	14.625	14.25	14.6	14.6	14.875	14.375	14.5	14.875	HUMAN	179070780.0	65385676.0	121493520.0	147276100.0	99339440.0	107298616.0	188320640.0	178735780.0	125982730.0	162916320.0	127832056.0	112461790.0	143102990.0	203225400.0	135265150.0	129251260.0	164872770.0	142781730.0	181394140.0	176799890.0	156919100.0	133390880.0	216120340.0	138959700.0	188456980.0	180858980.0	118547620.0	199671500.0	117108240.0	169720480.0	183009490.0	143443520.0	188841470.0	132583740.0	165056930.0	96139630.0	127713170.0	136027970.0	103931880.0	92715520.0	168653420.0	157534420.0	107108600.0	127148536.0	106781310.0	88938640.0	121130800.0	163015040.0	112891650.0	107536104.0	143319170.0	114663840.0	188951900.0	176665810.0	156260600.0	128144670.0	178442750.0	114552980.0	162148510.0	159367980.0	120559460.0	142381760.0	111394750.0	168704960.0	158569820.0	142156030.0	161631020.0	109003944.0
P41229	KDM5C	KDM5C_HUMAN	34.875	33.875	33.1	33.7	35.375	34.625	34.75	35.375	HUMAN	19430360.0	10879288.0	14740529.0	15522932.0	15969035.0	17706170.0	23671444.0	18998792.0	16278067.0	28983346.0	14993207.0	15329318.0	21009402.0	21491302.0	16278122.0	19115630.0	26311582.0	22521200.0	27939470.0	22215954.0	23971910.0	19894108.0	22846766.0	19583232.0	27189966.0	19834868.0	13534519.0	32778754.0	17235626.0	23197308.0	29074994.0	25087148.0	20686874.0	20717136.0	19714390.0	14013691.0	19216112.0	16134438.0	21817124.0	20732772.0	22426712.0	20039318.0	18061614.0	27877554.0	12311014.0	16616377.0	20392288.0	16297126.0	15404270.0	16767355.0	23063276.0	20814452.0	26582770.0	19300118.0	23031182.0	19803126.0	20541996.0	18283336.0	19096184.0	22983414.0	13407912.0	21517824.0	12338922.0	26594088.0	25889280.0	26120526.0	19948936.0	20039402.0
P41236	PPP1R2	IPP2_HUMAN	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	HUMAN	33220900.0	11141062.0	19905080.0	22965704.0	17746128.0	19144398.0	29501048.0	28514418.0	18539788.0	23998428.0	17477908.0	15271060.0	19663468.0	30932088.0	16087508.0	20539466.0	25817048.0	20800320.0	36875030.0	29525252.0	27796762.0	26820056.0	36532292.0	20810462.0	29270028.0	23736640.0	23796782.0	35185280.0	21895894.0	28399798.0	33908810.0	28701942.0	35262610.0	20387780.0	39500036.0	16793602.0	26479142.0	24247668.0	22337604.0	21179642.0	32074260.0	28547716.0	19155238.0	23231408.0	17803380.0	14620402.0	21626604.0	30104456.0	15064851.0	21588672.0	28584376.0	22137292.0	39894140.0	29732392.0	30788346.0	27183336.0	36771990.0	22036888.0	29316108.0	25879160.0	25424888.0	24195860.0	22582052.0	30697916.0	34239200.0	29495564.0	36310216.0	19872396.0
P41240	CSK	CSK_HUMAN	30.875	29.0	31.1	30.3	32.5	31.625	32.125	30.625	HUMAN	262584850.0	105988460.0	89499790.0	114665720.0	146985760.0	161654700.0	194417360.0	186537600.0	155522770.0	171187180.0	174042420.0	161614830.0	110907600.0	148895710.0	137042140.0	122949784.0	181911580.0	143417500.0	276778620.0	319190880.0	277441340.0	245702480.0	310014800.0	202101230.0	233899440.0	246368400.0	205181170.0	317882020.0	213365760.0	241178130.0	281489900.0	211361650.0	266253260.0	180816830.0	269839580.0	149849780.0	116063530.0	121520010.0	187312530.0	158315380.0	205069300.0	188631790.0	157453170.0	153959890.0	163464200.0	149053070.0	103938800.0	136445420.0	124330530.0	118205540.0	174848240.0	133334184.0	301986700.0	305603040.0	272778660.0	217958100.0	294098620.0	193174460.0	238209630.0	247512460.0	207510320.0	210764460.0	198693060.0	225306990.0	242287950.0	213392600.0	264806020.0	176632140.0
P41247	PNPLA4	PLPL4_HUMAN	10.25	10.875	10.9	11.4	9.625	10.625	9.625	9.625	HUMAN	9038337.0	4417102.0	3381406.0	6690920.0	7471762.0	10758045.0	4482040.5	7703357.0	4913376.5	6433366.5	6387459.5	9459937.0	8826157.0	13098358.0	7910300.0	10228080.0	5960376.5	13469480.0	3262495.0	2826897.0	2974876.8	11491597.0	2830962.5	3613121.5	7515858.5	2926551.0	6607511.0	10115011.0	8837253.0	10516860.0	3840773.0	2284429.5	3033584.5	2716367.0	7418010.5	5557986.5	4405214.5	8533489.0	5333761.5	6095508.5	9807369.0	9767443.0	4384523.0	5456420.5	9800409.0	8192940.5	6026311.0	9760552.0	8694606.0	11440139.0	10323857.0	13948985.0	2946231.8	3266719.2	6634436.5	7003387.0	2650882.2	9797306.0	6328180.0	2875521.2	3219399.8	8308547.5	6881517.0	8921116.0	2966683.5	2848772.0	2211061.0	2478089.2
P41250	GARS1	GARS_HUMAN	53.125	53.375	53.2	53.1	54.0	53.875	54.0	54.375	HUMAN	2308526600.0	1292528100.0	837533950.0	1245486500.0	1163545200.0	1443605400.0	1665938400.0	1764036100.0	1427024600.0	1676705400.0	1930464100.0	1794052000.0	1364219000.0	1952522600.0	1197797900.0	1196060300.0	2033894800.0	1666588800.0	2333910000.0	2655130600.0	2218033000.0	2087650000.0	2525849300.0	1764150300.0	2016380000.0	2490872800.0	1596100000.0	2861212000.0	1555748700.0	2114836000.0	2602372900.0	2228094700.0	2492880400.0	1859632300.0	2499286300.0	1784139300.0	1052745540.0	1284912500.0	1395665000.0	1389073300.0	1664738700.0	1721690200.0	1359747200.0	1462146300.0	1730313700.0	1600624500.0	1337672800.0	1842171900.0	1082702300.0	1054088200.0	1769961700.0	1422809500.0	2508399600.0	2609027300.0	2225486000.0	1961027100.0	2371535000.0	1738753700.0	1849786900.0	2327020800.0	1633360500.0	1929288300.0	1446443400.0	2036775800.0	2248085200.0	2234095400.0	2396503000.0	1822666000.0
P41252	IARS1	SYIC_HUMAN	83.0	81.375	83.8	84.7	85.75	82.375	84.5	83.0	HUMAN	2035911800.0	1084713000.0	1536937600.0	1727035400.0	1637260400.0	1733781200.0	2139388700.0	1937872400.0	1658061200.0	2172734000.0	2492015000.0	2355053300.0	1786087200.0	2111610100.0	1480377700.0	1635947400.0	2296012300.0	2131780100.0	2219894000.0	2266270700.0	2218035200.0	1976593500.0	2268130300.0	1855064300.0	2155104000.0	2069494500.0	1643522400.0	2580758000.0	1770230800.0	2050002300.0	2284705500.0	1935034100.0	2358149400.0	1800267800.0	1987408600.0	1437947000.0	1784141300.0	1740072000.0	1964720100.0	1660396000.0	2145512000.0	1845136100.0	1570514000.0	1891388300.0	2298775800.0	2063461100.0	1695195400.0	1875963600.0	1339690000.0	1431360400.0	2080949900.0	1900565600.0	2281620000.0	2142066200.0	2173183700.0	1790193300.0	2138707000.0	1711662800.0	2038017900.0	1906722600.0	1551130500.0	1744193500.0	1624674300.0	1930598300.0	2093754800.0	1894588300.0	2209495300.0	1688406900.0
P41361	SERPINC1	ANT3_BOVIN	50.0	51.125	53.9	51.7	45.75	48.75	52.0	49.5	BOVIN	2386381800.0	2563316700.0	2900759800.0	3875416800.0	2476598500.0	4083559200.0	1635390300.0	1650867200.0	4054068200.0	2660417300.0	4713645000.0	5829743000.0	3240778800.0	2737230300.0	5196999700.0	4540434400.0	5216339000.0	6525163500.0	1222001400.0	1739729800.0	1222807000.0	4691451400.0	1810503000.0	4978027000.0	1584939900.0	1836291200.0	5707912000.0	3822189800.0	4488025000.0	2583371300.0	1824116100.0	1873114600.0	1859630000.0	3036842800.0	2422785300.0	3740098800.0	3452938200.0	3931953400.0	3006338300.0	4046653000.0	1614662100.0	1527047600.0	3796719900.0	2335999000.0	4357758000.0	5150693000.0	3052734500.0	2451412000.0	4818242000.0	4138601500.0	4638743000.0	5858993700.0	1402949000.0	1645772000.0	1216629800.0	4312146400.0	1722912800.0	4703751000.0	1472566500.0	1667144600.0	5904111000.0	2558602800.0	4428764000.0	2508422000.0	1734357000.0	1865344500.0	1825074000.0	2979334700.0
P41440	SLC19A1	S19A1_HUMAN	8.5	8.875	9.1	10.2	8.75	8.375	8.875	8.5	HUMAN	4313817.0	3842751.0	5458346.5	7231089.5	2860417.2	3880285.0	5262129.5	5308584.0	4693828.0	5091754.5	6155856.5	7082000.0	6943770.5	10084276.0	6135407.5	8426920.0	7778389.5	9311797.0	4888490.0	4807402.0	4780700.5	6509261.5	5168995.0	5665668.0	4920295.5	3943121.8	4408155.0	6940922.0	4664590.5	5653181.0	4620418.0	3661936.8	4615976.5	4615257.5	4261504.5	5580318.0	5676757.0	7073722.0	3013129.5	4150714.5	5158794.5	5301621.5	4934295.5	5133806.0	5720720.0	6108548.5	6822274.0	8542347.0	4966183.5	7848175.0	6565625.5	8078311.5	4847029.5	5074392.0	4582387.0	5454357.5	4494302.0	5614837.5	4635533.0	3995169.0	5118057.5	4545732.0	4665461.5	5471064.0	4591436.0	4289325.5	4755995.0	4264704.5
P41567	EIF1	EIF1_HUMAN	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	HUMAN	145309630.0	67819290.0	94792184.0	130272750.0	88138380.0	115875860.0	152324270.0	165930430.0	104959380.0	147472450.0	93925250.0	90496770.0	105828776.0	157955730.0	96257280.0	131321810.0	151493420.0	131315730.0	177418860.0	207721390.0	166116530.0	170303870.0	184465550.0	147503570.0	155525070.0	167672180.0	119990500.0	242102860.0	120045176.0	161825740.0	171682050.0	161472300.0	178735940.0	120238776.0	175054300.0	102927460.0	124061860.0	151353380.0	131109976.0	125496870.0	168413010.0	161184690.0	103315620.0	113069576.0	96281016.0	87138100.0	104497440.0	144179940.0	98282710.0	118055176.0	138753310.0	130234024.0	183096910.0	201842830.0	182551260.0	159017010.0	189878610.0	149780020.0	156249650.0	163500590.0	124272520.0	151674460.0	100553144.0	171758270.0	166945010.0	169437460.0	158343140.0	114241970.0
P41732	TSPAN7	TSN7_HUMAN	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	HUMAN			963536.56	589168.56			140191.53	262483.84			1123420.5	1247293.9								189063.8		288129.03			363637.8		258559.4	543976.44	333824.88	635923.7		186503.03					575209.0	586855.4				357246.12			1197342.9	881980.3								269277.16				231863.75			459164.06	583072.06	561739.7	488092.56				
P41743	PRKCI	KPCI_HUMAN	19.625	19.75	19.2	18.9	20.625	19.5	20.125	19.25	HUMAN	51562950.0	26498156.0	35601400.0	44156508.0	39007390.0	49937110.0	55795028.0	65224696.0	40580532.0	52650228.0	44606910.0	41137524.0	38224240.0	52893444.0	47143164.0	46521624.0	55670680.0	47284110.0	68391944.0	82578320.0	64248964.0	54140364.0	69747950.0	51665996.0	63875696.0	63292924.0	54799868.0	84746740.0	54416560.0	67797144.0	63986444.0	55290580.0	69014880.0	44428604.0	56656532.0	38835864.0	39823360.0	50541404.0	54254250.0	50630580.0	65246124.0	66825336.0	40174588.0	46986404.0	43072384.0	42188796.0	41178156.0	49663572.0	46306372.0	44636760.0	53676868.0	42763564.0	75640280.0	70625400.0	62840544.0	53646880.0	73943220.0	49588372.0	64634052.0	63844388.0	53632100.0	56720190.0	51657564.0	66443770.0	66398830.0	59755680.0	70487910.0	47437612.0
P41970	ELK3	ELK3_HUMAN	8.25	8.125	7.3	7.8	8.625	9.125	7.25	9.375	HUMAN	2067826.5	2007108.5	1221012.6	1932455.8	1076051.2	1484372.6	644353.7	1812646.5	1566911.2	2900098.5	1659561.6	1771916.8	1062660.1	1653338.0	476084.84	752162.6	1679969.0	2632627.0	2542326.0	3045951.0	2327353.5	2564143.2	2273295.8	2930173.2	2693303.0	2656613.5	1369944.8	3763604.5	641639.8	3741434.0	2350643.2	2938850.2	1874005.6	1935534.6	2269901.8	2848340.0	1288033.5	1609992.5	1678004.6	1564838.1	1749907.9	2200210.5	1479697.2	1977635.1	1632598.1	1546344.8	352050.8	1353173.5	386182.6	1679765.8	1623778.2	2211175.8	2085351.5	2536880.0	1990525.1	2973893.5	2251831.2	2111910.0	2246814.8	2496815.2	1555978.4	2778491.8	605050.75	3151300.2	2000932.4	2489291.8	2248035.8	2428588.0
P42025	ACTR1B	ACTY_HUMAN	10.0	10.375	10.8	10.6	10.5	9.75	10.0	10.375	HUMAN	25924420.0	11464298.0	21162120.0	21460792.0	20882286.0	22203632.0	24088062.0	23828980.0	52175060.0	60381800.0	11378790.0	35787290.0	42925804.0	50671732.0	45611204.0	22176356.0	58892536.0	46319464.0	67727020.0	74646660.0	24988758.0	58937256.0	28850130.0	47215796.0	60137776.0	65961116.0	18828006.0	78770360.0	20710276.0	28815378.0	25485266.0	27145166.0	27449858.0	51761044.0	29590176.0	17106154.0	24970264.0	48614880.0	58513960.0	54093220.0	24693642.0	61335496.0	51043830.0	56236868.0	14571783.0	32095256.0	41702028.0	48032824.0	43231976.0	44869308.0	51574684.0	43528936.0	77010984.0	25301560.0	66242880.0	55216130.0	70930070.0	50882716.0	62973548.0	21693388.0	17813748.0	22614120.0	58408616.0	29076328.0	65824236.0	55278440.0	70654430.0	52055520.0
P42126	ECI1	ECI1_HUMAN	14.625	14.625	14.3	14.6	14.5	14.125	14.25	14.125	HUMAN	1052619600.0	1179676700.0	1211971100.0	1356887600.0	1497985800.0	1936329100.0	1596667000.0	1529351300.0	1404424000.0	1427594100.0	963470460.0	1045490100.0	1572320500.0	1924373200.0	1235707400.0	1337198800.0	1543928700.0	1975095200.0	1290622300.0	1579043800.0	1485974900.0	1661618800.0	1373793900.0	1517148800.0	1195086300.0	1262718500.0	1057413800.0	1841502600.0	1085607400.0	1269008500.0	1471736600.0	1153150500.0	1207987500.0	1203972000.0	1116190600.0	1620293000.0	1552703600.0	1460458500.0	1538210700.0	2042315600.0	1560091800.0	1546746500.0	1293465500.0	1479230500.0	1093977600.0	1044967600.0	1665328900.0	1412451600.0	1145408300.0	1589096800.0	1473836700.0	1764755800.0	1447181400.0	1353002600.0	1392015700.0	1477662500.0	1256049400.0	1496561200.0	1218988400.0	1244857900.0	1027697540.0	1213858800.0	1056026100.0	1361323500.0	1200048000.0	1244604200.0	1156772500.0	1051574140.0
P42166	TMPO	LAP2A_HUMAN	57.25	57.0	57.0	57.2	57.875	56.5	57.125	57.375	HUMAN	2244317200.0	1729401000.0	1820986900.0	2140769300.0	1887392900.0	2575161600.0	2814537000.0	2526359000.0	2505984000.0	3154705400.0	2480615400.0	2527274200.0	2410107600.0	2722236000.0	2392401000.0	2933333000.0	2914464500.0	2985301000.0	2469554400.0	2521435100.0	2394247700.0	2859677400.0	2643132400.0	2711992800.0	2640831700.0	2461776400.0	1861059500.0	3297039000.0	2073915300.0	2610727700.0	2820917200.0	2423555300.0	2745367800.0	2455886800.0	2256102000.0	2460480300.0	2062879200.0	2288324600.0	2359018800.0	2569059600.0	2889410800.0	2473868500.0	2437521400.0	2766234400.0	2319280400.0	2186097200.0	2280284700.0	2462916400.0	2149675500.0	2681807600.0	2579876400.0	2654160600.0	2751848400.0	2545256700.0	2597864700.0	2590239200.0	2530789600.0	2574523000.0	2573613000.0	2416629800.0	1866761700.0	2201814800.0	1930791700.0	2499066400.0	2673401300.0	2457128700.0	2608259000.0	2348126000.0
P42224	STAT1	STAT1_HUMAN	43.5	42.625	42.9	42.2	43.5	42.625	44.5	44.0	HUMAN	214672080.0	90997900.0	134800100.0	155155060.0	207379540.0	212867250.0	237262430.0	221015400.0	149378300.0	173857970.0	202687840.0	186108210.0	173685460.0	206411570.0	169490110.0	154217230.0	225188370.0	184097540.0	340728800.0	352895520.0	324450560.0	268983700.0	352730240.0	244740660.0	325180100.0	309773700.0	247979200.0	376231940.0	274302980.0	275443400.0	320815870.0	252195800.0	354600320.0	219116290.0	221274910.0	113971950.0	154450640.0	154457090.0	256832100.0	218533870.0	244312530.0	211132860.0	155348910.0	153224000.0	185291260.0	168589150.0	171108030.0	183661730.0	161937280.0	138262960.0	204199440.0	159486190.0	354322370.0	310714780.0	304070270.0	231239340.0	333257860.0	225308060.0	285403840.0	276723200.0	244264930.0	232594260.0	237931700.0	266413280.0	303683680.0	251744740.0	318445150.0	211637920.0
P42229	STAT5A	STA5A_HUMAN	2.5	2.0	2.1666666666666665	2.0	2.0	2.2	2.1666666666666665	2.2	HUMAN							962784.2						76988.89	831750.9	75879.516	78623.516				1077470.4	58086.164						63946.156	98682.29	102438.28	70890.86	1141394.1	824449.1	58864.586		737851.25					51284.965			58989.79				65376.14		770305.1	60067.76	59340.773			46722.65		1057753.8	65740.75	50798.723		56463.766	67592.44	678451.94		930962.5			41899.055	
P42285	MTREX	MTREX_HUMAN	83.625	85.125	86.9	86.0	87.375	85.5	87.125	87.125	HUMAN	1138149200.0	1039237950.0	904803900.0	1255159600.0	997704800.0	1437768100.0	1341502000.0	1309658000.0	1206802700.0	1336142600.0	1407896700.0	1410984700.0	1105845200.0	1240721300.0	1161450000.0	1420307300.0	1385124400.0	1505838100.0	1303064000.0	1469034100.0	1374584200.0	1641030100.0	1305841200.0	1566720400.0	1325617700.0	1363591600.0	1158624600.0	2011149600.0	1238136600.0	1521437300.0	1485060000.0	1315496400.0	1329864100.0	1408131800.0	1078717400.0	1362243200.0	1052178940.0	1275217200.0	1256765000.0	1416404600.0	1356875900.0	1269270300.0	1170584700.0	1202196100.0	1330702500.0	1248953600.0	1038459400.0	1130463900.0	1055161340.0	1333078300.0	1258349300.0	1334543700.0	1312969700.0	1355969800.0	1324517500.0	1508902800.0	1214512600.0	1478537900.0	1334303600.0	1246871900.0	1084013700.0	1311846500.0	1114564100.0	1406353500.0	1326037400.0	1315019500.0	1286879000.0	1357553200.0
P42330	AKR1C3	AK1C3_HUMAN	8.75	7.75	9.3	8.7	7.5	7.75	5.25	6.375	HUMAN	8471038.0	1276949.4	5283442.0	6930515.5	2153330.8	2635477.2	4889124.0	6634692.5	6227385.0	7432324.0	8942549.0	8561341.0	4868452.0	8889605.0	5468722.5	3941837.8	7777344.0	8117415.5	5197930.5	6812183.5	6286910.0	4855584.0	6460343.5	4009449.2	5135497.5	6206313.0	2442698.5	8184715.5	3776732.8	6334005.0	4215219.0	2334804.2	3038933.8	2220127.0	12610724.0	5011254.5	7237623.5	8596284.0	4144466.5	4082436.5	6572643.5	6203024.0	6824940.0	8247798.0	9697289.0	8756929.0	6160407.0	9277277.0	5118301.0	5304620.0	8369278.5	5532371.0	5257689.0	8212426.0	6510077.0	5430512.0	6915619.5	3440614.2	4548070.5	5582019.5	3952827.8	4717514.5	3895750.5	7029987.5	3054874.0	3983768.0	3255480.8	1345698.9
P42336	PIK3CA	PK3CA_HUMAN	38.125	37.125	38.3	34.5	41.25	39.375	39.75	38.25	HUMAN	30384126.0	12220154.0	17046288.0	25793340.0	17363634.0	11502979.0	31505800.0	27954038.0	27070524.0	23402220.0	17254768.0	13931964.0	25187728.0	29235016.0	23747252.0	18839266.0	34683980.0	21072566.0	37627400.0	34110412.0	41781892.0	33054486.0	38085200.0	23710676.0	30682192.0	37116908.0	32908932.0	42571904.0	38877456.0	36843284.0	21528536.0	29234842.0	31051848.0	29056572.0	32752692.0	20937942.0	28476136.0	27301342.0	25601800.0	19468810.0	27904954.0	28259156.0	29657986.0	21457358.0	22067148.0	12828427.0	28618712.0	28250290.0	23415984.0	20526762.0	32469704.0	20712578.0	40164652.0	39355124.0	31039076.0	23964174.0	40028870.0	24940930.0	29082724.0	23982402.0	28163412.0	28003568.0	31104756.0	18849318.0	33043856.0	22289400.0	32298180.0	26798348.0
P42338	PIK3CB	PK3CB_HUMAN	23.375	20.875	22.3	19.8	23.75	22.5	22.875	21.125	HUMAN	10553648.0	1719296.0	7939157.5	8692930.0	11675877.0	6786015.0	13400348.0	11494266.0	8017355.5	8126131.0	10434973.0	5481659.0	10904754.0	13681887.0	11602034.0	7272517.0	16161436.0	14802799.0	12592700.0	20301840.0	16414299.0	13866371.0	18465976.0	12223780.0	10924409.0	10958286.0	13644059.0	21303860.0	12234343.0	14020349.0	17401700.0	9017920.0	10202142.0	8956359.0	13621369.0	5131607.0	10532278.0	10497155.0	11693574.0	9272563.0	11145550.0	12211433.0	8140912.5	13198010.0	6236493.5	4538848.0	14591380.0	15017446.0	7515749.5	5209223.0	13644042.0	6229025.5	16620942.0	19088730.0	14115086.0	9363883.0	18579232.0	9941441.0	11129959.0	16979268.0	13913814.0	10840845.0	14453205.0	11728515.0	14630108.0	9387344.0	14275213.0	7629317.0
P42345	MTOR	MTOR_HUMAN	152.0	148.125	147.6	150.6	149.375	148.875	149.125	147.25	HUMAN	428787520.0	241796240.0	381623460.0	419153600.0	317435840.0	377113950.0	428615600.0	433149470.0	384005280.0	409205950.0	347100930.0	373982100.0	412406460.0	506562050.0	428352540.0	429816450.0	537973100.0	489017150.0	488989820.0	567833000.0	466011970.0	458943400.0	533714340.0	362481300.0	455208350.0	439440450.0	358998240.0	581494400.0	386211140.0	431682880.0	472531330.0	409284580.0	484198750.0	428095580.0	408320860.0	344397730.0	409563550.0	465730560.0	365437400.0	316706880.0	433167100.0	407200830.0	336439140.0	366143580.0	353089600.0	312791870.0	496253300.0	511771520.0	413120030.0	445764100.0	436659620.0	439173920.0	548888450.0	528161760.0	500256860.0	446609700.0	442034660.0	386102850.0	414796160.0	471498140.0	333497250.0	367630240.0	391916000.0	411143300.0	445747680.0	406444130.0	461762430.0	355153900.0
