Protein_Group	Genes	SAX_22001_M1_vs_RAW_22001_M1_logFC	SAX_22001_M1_vs_RAW_22001_M1_pval	Removed?	Contaminant?
Q16836	HADH	8.2573043758095	5.02888948606173e-10	No	No
Q16881	TXNRD1	3.90148538112764	0.0052249706518323	No	No
Q16891	IMMT	8.5004157546573	4.2808988901250605e-15	No	No
Q17RC7	EXOC3L4	3.01301361806436	0.0021135334883528	No	No
Q1KMD3	HNRNPUL2	7.03716588479125	2.16779004081158e-10	No	No
Q24JP5	TMEM132A	7.72075455404965	1.3598639557959499e-11	No	No
Q27J81	INF2	9.83732362679889	1.7462112437621e-17	No	No
Q2TAA5	ALG11	3.80064772487043	0.0005080679493361	No	No
Q2TAL6	VWC2	7.52581854156329	2.45917000873934e-12	No	No
Q2UY09	COL28A1	3.86689979637231	0.0003056191852409	No	No
Q32MZ4	LRRFIP1	8.36746991645984	1.81514528856726e-16	No	No
Q32P44	EML3	5.92342496182521	4.08921072124372e-08	No	No
Q3LXA3	TKFC	6.82385508313463	2.46019987521301e-08	No	No
Q3SXM5	HSDL1	5.13425404265081	7.17300614213993e-05	No	No
Q3YEC7	RABL6	5.74321252359833	5.25494014442921e-08	No	No
Q3ZAQ7	VMA21	4.68873326757874	2.13384488455178e-06	No	No
Q3ZCQ8	TIMM50	5.67918660787701	1.54787719523446e-09	No	No
Q3ZCW2	LGALSL	8.83757011723073	4.39821552760945e-15	No	No
Q4G0F5	VPS26B	7.92055935530756	2.73388571533137e-09	No	No
Q4G0N4	NADK2	3.91587326870249	0.0006814888853709	No	No
Q4G148	GXYLT1	8.67818113573456	4.37814456902606e-09	No	No
Q4KMP7	TBC1D10B	5.45609243318487	6.45520603003334e-05	No	No
Q4KMQ2	ANO6	8.84371969204466	1.32207366688078e-07	No	No
Q4LDE5	SVEP1	4.63183787696175	5.49925033897989e-08	No	No
Q4V328	GRIPAP1	6.35710828971168	2.58311674611594e-10	No	No
Q504Y2	PKDCC	7.89551222865099	1.41858640240493e-13	No	No
Q53GL0	PLEKHO1	3.68594520440444	0.0009477321006457	No	No
Q53H12	AGK	4.98749101326534	1.59908421124437e-06	No	No
Q53H96	PYCR3	3.9392284505192	0.0004529265977433	No	No
Q53HC9	EIPR1	4.3358666910339	3.28210483615068e-05	No	No
Q53T59	HS1BP3	8.57899220685503	4.5136491889879305e-15	No	No
Q53TN4	CYBRD1	2.81125996007889	0.0011472867976036	No	No
Q562R1	ACTBL2	3.728737183915	1.7436856122572699e-12	No	No
Q58EX2	SDK2	6.37257434025744	1.56558938329885e-05	No	No
Q5BKT4	ALG10	3.62116828559536	0.0002994279336106	No	No
Q5BLP8	C4orf48	8.20881440166539	2.91695992390425e-13	No	No
Q5EG05	CARD16	2.56630434685239	0.0063374580511924	No	No
Q5H9R7	PPP6R3	6.04956619863463	1.50935430154971e-10	No	No
Q5JQS6	GCSAML	4.66375628463767	6.72580425212665e-06	No	No
Q5JRA6	MIA3	9.48961167476805	3.12283503800471e-12	No	No
Q5JRX3	PITRM1	4.77074666092315	3.47419817369133e-05	No	No
Q5JSH3	WDR44	10.0405055037775	1.6373046555342699e-28	No	No
Q5JSL3	DOCK11	5.5828258959692	2.48411663604693e-07	No	No
Q5JSP0	FGD3	4.44921644990151	1.44612764457611e-05	No	No
Q5JU69	TOR2A	6.80033282669255	2.62225343194299e-09	No	No
Q5JWF2	GNAS	7.36113894959946	4.58944385333885e-10	No	No
Q5K4L6	SLC27A3	6.98547110701488	8.18071730229974e-09	No	No
Q5M775	SPECC1	5.88897961737408	4.20202233512739e-07	No	No
Q5SGD2	PPM1L	6.29234711680515	6.444697287017371e-09	No	No
Q5SQ64	LY6G6F	8.34706781189489	2.75625535648321e-16	No	No
Q5SW79	CEP170	4.79339077585033	7.50290572048075e-06	No	No
Q5SW96	LDLRAP1	6.41917044575394	1.97944140067355e-09	No	No
