Protein_Group	Genes	SAX_42001_B_vs_RAW_42001_B_logFC	SAX_42001_B_vs_RAW_42001_B_pval	Removed?	Contaminant?
A0AVT1	UBA6	3.60437939098084	0.0009256425311327	No	No
A1L0T0	ILVBL	4.84499591487229	8.46196690592341e-07	No	No
A1X283	SH3PXD2B	5.97046265551373	7.37780097069885e-06	No	No
A2RRP1	NBAS	6.31974788368061	1.02871746139819e-06	No	No
A2RUS2	DENND3	5.45648303310231	3.69926487835843e-06	No	No
A4D1B5	GSAP	3.75138658272929	7.5487245542852e-05	No	No
A5D8V6	VPS37C	3.18604622700303	0.0016347932053932	No	No
A5YKK6	CNOT1	5.17311732102731	1.06498704522585e-05	No	No
A6NFX1	MFSD2B	3.25696044773929	0.0009928114414395	No	No
A6NHL2	TUBAL3	3.94739101102974	0.0008608229228524	No	No
A7E2V4	ZSWIM8	3.18451186687366	0.0004650523448356	No	No
B5ME19;Q99613	EIF3C;EIF3CL	4.09559306606755	0.0004990099117245	No	No
B7ZAQ6;P0CG08	GPR89A;GPR89B	3.86035792066261	0.00022227711674	No	No
O00116	AGPS	3.94545420467695	4.54784368831753e-05	No	No
O00170	AIP	4.64068299571802	0.0003302317239493	No	No
O00178	GTPBP1	3.99916621270551	4.96258781325689e-05	No	No
O00217	NDUFS8	5.81507024073587	8.90280507215225e-08	No	No
O00303	EIF3F	3.92518713923531	0.0002514158321596	No	No
O00330	PDHX	5.92797436253866	1.40053687972005e-07	No	No
O00339	MATN2	4.56534885570013	0.0001133065474627	No	No
O00399	DCTN6	5.23898331842401	3.41795770485637e-06	No	No
O00400	SLC33A1	3.2999248940899	0.0010104769714483	No	No
O00408	PDE2A	4.19185225189772	0.0004184130146581	No	No
O00461	GOLIM4	5.44424892722519	6.91281248157197e-08	No	No
O00469	PLOD2	5.83770170273589	0.0006985978820201	No	No
O00499	BIN1	4.48912210681253	0.0007500457795117	No	No
O00562	PITPNM1	3.83114347794234	0.0051014266845164	No	No
O00629	KPNA4	4.33386075523093	0.0014224788297327	No	No
O00743	PPP6C	3.85525099524899	4.70641462614754e-05	No	No
O00746	NME4	4.91387495884208	8.15737209634274e-06	No	No
O00748	CES2	3.91194809270373	0.0010799349942257	No	No
O00754	MAN2B1	6.0635621684518	6.11832037618237e-07	No	No
O14521	SDHD	3.79549842848219	0.0001470280267855	No	No
O14530	TXNDC9	3.4930281666379	0.0017645896632653	No	No
O14545	TRAFD1	5.18551678162483	8.31079710629124e-07	No	No
O14561	NDUFAB1	4.23920994343248	6.56933051679597e-06	No	No
O14639	ABLIM1	4.00258662849891	7.90386681091445e-05	No	No
O14656	TOR1A	3.86185863148418	0.0003314247277007	No	No
O14662	STX16	4.57357971902271	1.10343622340868e-05	No	No
O14727	APAF1	3.30404621010695	0.0004107143598986	No	No
O14734	ACOT8	6.69218397277462	1.11904827359092e-10	No	No
O14735	CDIPT	3.25049669018128	0.0019243174011815	No	No
O14775	GNB5	3.58611112771702	0.0004522392583105	No	No
O14786	NRP1	3.98234837260423	5.40479758904404e-07	No	No
O14787	TNPO2	4.15424760465805	0.002569571360545	No	No
O14818	PSMA7	3.37556707097036	5.82104870704581e-06	No	No
O14841	OPLAH	5.35650922661057	1.06065230269384e-05	No	No
O14920	IKBKB	5.76316291966171	5.70368341504979e-06	No	No
O14949	UQCRQ	5.13497136273105	1.89434092112117e-06	No	No
O14957	UQCR11	5.42502082583994	4.754056238452791e-09	No	No
O14966	RAB29	4.70824367077974	6.52337365133303e-05	No	No
O14972	VPS26C	4.35069772504061	4.3502289752162e-05	No	No
O14974	PPP1R12A	3.7417794125479	1.24675201720364e-05	No	No
O14976	GAK	9.49623031727365	8.27138684271083e-09	No	No
O15013	ARHGEF10	4.93024516643145	0.0019608011147467	No	No
O15021	MAST4	5.0789356891468	0.0001210341983151	No	No
O15027	SEC16A	5.35804003652751	8.84922952233791e-07	No	No
O15066	KIF3B	4.56502117657092	9.38905056646804e-05	No	No
O15067	PFAS	3.27875786440831	0.0036272284006999	No	No
O15084	ANKRD28	5.74002530496661	4.66555026863237e-07	No	No
O15111	CHUK	6.84001753894567	1.52116021455434e-06	No	No
O15116	LSM1	5.70073954145826	1.63305153557188e-06	No	No
O15117	FYB1	3.63901565967902	1.08813567483446e-07	No	No
O15155	BET1	4.73196481222229	1.00472987643815e-06	No	No
O15162	PLSCR1	3.39894148927125	0.0012562148308734	No	No
O15211	RGL2	4.04228568708322	0.0002175695450437	No	No
O15212	PFDN6	6.00212107143366	5.90711555858885e-10	No	No
O15228	GNPAT	3.99837376382637	1.28477777825365e-05	No	No
O15230	LAMA5	3.90119756657887	0.0025155680668265	No	No
O15239	NDUFA1	3.94711453299072	0.0001623466452545	No	No
O15240	VGF	4.53463448904422	7.0455211613704e-08	No	No
O15269	SPTLC1	6.04038084724349	9.622237333201921e-09	No	No
O15294	OGT	4.58691154010621	9.84710910467591e-05	No	No
O15321	TM9SF1	3.58931917874334	0.0005955188265496	No	No
O15357	INPPL1	6.57870444033814	1.22191758730778e-10	No	No
O15372	EIF3H	5.13709583956654	9.02097340699936e-06	No	No
O15382	BCAT2	4.03484943860172	4.22116471839432e-05	No	No
O15438	ABCC3	5.1996462646063	4.72136403670446e-06	No	No
O15530	PDPK1	3.55960147211454	0.0013318239152087	No	No
O43169	CYB5B	5.38973764791785	7.60683433751289e-08	No	No
O43181	NDUFS4	5.95884727275829	9.05219939691122e-07	No	No
O43237	DYNC1LI2	4.59076284521004	2.64936908569625e-05	No	No
O43252	PAPSS1	3.53315049523044	0.0005219010626862	No	No
O43304	SEC14L5	4.9796843982949	1.13400223979383e-07	No	No
O43310	CTIF	4.38567263630851	0.000103424253925	No	No
O43314	PPIP5K2	4.03652939052729	0.0003235615090573	No	No
O43318	MAP3K7	4.79328928990561	9.24088018821723e-06	No	No
O43427	FIBP	5.63635358468762	1.57035188218066e-06	No	No
O43432	EIF4G3	4.04727818448395	0.0017586621729983	No	No
O43464	HTRA2	4.47950250903741	1.09146878680276e-05	No	No
O43561	LAT	5.86073536301725	8.74339945352183e-10	No	No
O43572	AKAP10	3.21605757414492	0.0011220897469656	No	No
O43592	XPOT	4.37466385727544	0.0002002117439551	No	No
O43676	NDUFB3	5.47822828242981	6.53685587458465e-08	No	No
O43678	NDUFA2	5.41688614899889	6.81507037468986e-07	No	No
O43681	GET3	3.42436278333056	6.39954918791332e-05	No	No
O43707	ACTN4	3.84092226286456	5.32885500653463e-06	No	No
O43708	GSTZ1	4.2965474144778	7.99099696049164e-06	No	No
O43741	PRKAB2	4.72563411135384	8.2067122461919e-06	No	No
