Protein_Group	Genes	SAX_72001_B_vs_RAW_72001_B_logFC	SAX_72001_B_vs_RAW_72001_B_pval	Removed?	Contaminant?
P28074	PSMB5	7.64353880220323	4.2261010891467597e-13	No	No
P29144	TPP2	5.51747546308585	7.31077480050984e-07	No	No
P29692	EEF1D	6.49128968011768	4.52858298895355e-08	No	No
P30153	PPP2R1A	7.04297394767702	2.14189447234881e-06	No	No
P30405	PPIF	5.81392383722095	3.88238838048097e-10	No	No
P31040	SDHA	4.86366897417143	3.01710712423296e-05	No	No
P31323	PRKAR2B	5.78586345473714	1.21263276513749e-06	No	No
P31930	UQCRC1	5.72378423449543	3.64763886431771e-08	No	No
P33176	KIF5B	5.7502262536194	2.99682126751308e-08	No	No
P35222	CTNNB1	5.89933423639834	0.0078977400638254	No	No
P35232	PHB	6.29005629371366	3.70315003489993e-10	No	No
P35442	THBS2	6.28160485944185	1.88967671022909e-06	No	No
P35611	ADD1	5.61026006088987	4.25296665937999e-07	No	No
P35998	PSMC2	5.13146812582201	8.56835370791109e-09	No	No
P36957	DLST	4.80355442552938	0.0001220470159923	No	No
P38117	ETFB	5.06425131790464	1.01107533223688e-07	No	No
P40763	STAT3	6.26980250199972	6.74227323669715e-08	No	No
P40939	HADHA	6.85928106545941	1.2974157918048399e-11	No	No
P40967	PMEL	6.03374764722836	6.449078332492529e-11	No	No
P41240	CSK	5.35603137702327	4.21441839746306e-08	No	No
P41250	GARS1	5.32827016890106	0.0001346875163686	No	No
P42356	PI4KA	4.8614665571299	2.74607464779317e-05	No	No
P42566	EPS15	5.43905873545604	1.2556950686163e-08	No	No
P42768	WAS	5.62150981778523	2.14614394208931e-07	No	No
P42892	ECE1	5.55087182593491	2.79158860476592e-09	No	No
P43304	GPD2	7.79451293247432	1.40764879869304e-13	No	No
P45974	USP5	6.47573089959113	3.35018951257797e-08	No	No
P46109	CRKL	6.15529090072988	1.4947100049003501e-10	No	No
P46939	UTRN	5.03329764589488	1.60274279415367e-06	No	No
P46977	STT3A	4.82191222217942	2.52854027174374e-06	No	No
P47712	PLA2G4A	6.15174240380051	5.6986865268544405e-09	No	No
P48444	ARCN1	6.18600149460287	1.45254975338877e-07	No	No
P48507	GCLM	4.75337809177506	7.17934933324825e-06	No	No
P49257	LMAN1	5.77252396608806	1.17709516817406e-07	No	No
P49411	TUFM	6.77736683316004	7.38759691494876e-12	No	No
P49588	AARS1	5.48213307328485	5.25509492514532e-06	No	No
P49593	PPM1F	7.47123961252325	2.01448254298741e-08	No	No
P49746	THBS3	5.15521336358632	1.23563636271862e-08	No	No
P49748	ACADVL	6.28241912098757	4.13496295467171e-10	No	No
P49755	TMED10	5.97079648202658	1.60329807219347e-07	No	No
P50416	CPT1A	5.35605441400788	4.0998702266096206e-09	No	No
P50454	SERPINH1	5.00235509136481	3.8470259175568e-06	No	No
P50570	DNM2	4.86269315077683	0.0003258532768697	No	No
P50851	LRBA	7.14992020227618	2.01530531923726e-08	No	No
P51571	SSR4	4.64061360534285	1.00606653386948e-06	No	No
P51572	BCAP31	6.51796809145321	5.41722872622303e-07	No	No
P51692	STAT5B	5.96079206571407	2.98521776096009e-05	No	No
P51884	LUM	5.03704270546188	5.74560322060852e-20	No	No
P53396	ACLY	6.62473378425458	6.840700856140901e-10	No	No
P53602	MVD	4.77329300416758	1.94048003672554e-06	No	No
P53618	COPB1	6.29083498657888	1.5393997574138e-11	No	No
P54136	RARS1	4.63775459746943	0.0013554780670933	No	No
P54819	AK2	5.15511235124309	1.04519863763191e-05	No	No
P54920	NAPA	6.11174769791483	1.75506120991622e-10	No	No
P55084	HADHB	6.0963855094667	9.682309750350519e-11	No	No
P55160	NCKAP1L	4.89060421278894	9.62560489282103e-05	No	No
P55809	OXCT1	4.88289726018895	2.72445462094216e-07	No	No
P60985	KRTDAP	4.70538029577714	1.83109233692389e-05	No	No
P61225	RAP2B	5.89833575193088	1.3840172677574e-07	No	No
P61604	HSPE1	6.46957437765542	6.34759225152009e-10	No	No
P61978	HNRNPK	5.64219782602666	9.72806267998643e-08	No	No
P62195	PSMC5	5.06641685865233	0.000112990148298	No	No
P62333	PSMC6	5.09963644632122	1.42838218020101e-07	No	No
P62495	ETF1	6.39841084149102	1.97749761580508e-06	No	No
P62714	PPP2CB	4.65304869362102	9.01519373290565e-07	No	No
P63010	AP2B1	5.90668645944893	4.49321882934808e-07	No	No
P63027	VAMP2	5.24868579974922	2.12230955822837e-06	No	No
P63151	PPP2R2A	6.73733737910501	2.40127448289451e-09	No	No
P78371	CCT2	7.11107932590129	7.32137227473876e-13	No	No
P78527	PRKDC	4.82665507799924	0.0011500580629444	No	No
P80303	NUCB2	5.23282354821978	1.94665665113792e-07	No	No
P98095	FBLN2	6.00636933902324	8.39253722345072e-09	No	No
P98172	EFNB1	4.85166495554423	0.0007907798638198	No	No
Q00722	PLCB2	4.59759764037314	2.65828451129514e-07	No	No
Q01082	SPTBN1	7.59408056013275	1.30814119997269e-08	No	No
Q01970	PLCB3	4.84676061462552	3.21877352682068e-07	No	No
Q02153	GUCY1B1	6.57452116544881	5.29103323930896e-09	No	No
Q03252	LMNB2	5.50643236970502	1.28170408589122e-07	No	No
Q03518	TAP1	4.84274247998943	4.38173481533395e-07	No	No
Q03519	TAP2	4.85094399049336	1.97787455534252e-06	No	No
Q04637	EIF4G1	6.58129314781959	3.16909484816762e-06	No	No
Q05209	PTPN12	6.29799509611719	1.92402669074826e-07	No	No
Q05707	COL14A1	5.29918925861199	3.25753699272427e-08	No	No
Q06033	ITIH3	5.39756703132603	1.41866595047406e-17	No	No
Q07021	C1QBP	6.12132960100743	1.7734849373802e-09	No	No
Q08174	PCDH1	6.37484673695671	9.81504650413137e-10	No	No
Q08426	EHHADH	4.71283558388649	0.0009872610776393	No	No
Q0VD83	APOBR	5.78112642007116	2.01275027806214e-09	No	No
Q10567	AP1B1	5.36248241564819	1.8392515606210101e-09	No	No
Q12982	BNIP2	4.75678164954556	0.0005452937297102	No	No
Q13011	ECH1	5.55505583257216	1.63806576060517e-08	No	No
Q13043	STK4	6.34801603178334	2.27310963108052e-09	No	No
Q13045	FLII	6.41922839453521	1.24531888915256e-06	No	No
Q13126	MTAP	4.6552606923572	0.0072750413569531	No	No
Q13162	PRDX4	6.53934285319037	1.1436775470479e-08	No	No
Q13283	G3BP1	4.89711824275478	3.327887869647e-05	No	No
Q13423	NNT	7.44655714933776	2.9840643994095698e-12	No	No
Q13459	MYO9B	5.26906199491355	2.50011472558743e-05	No	No
Q13464	ROCK1	5.72200743708124	8.394883445328501e-10	No	No
Q13813	SPTAN1	7.6912666746032	1.91426681576675e-13	No	No
Q13976	PRKG1	5.98901451842069	3.18193138203021e-06	No	No
Q14008	CKAP5	7.28396723336	2.2193307896533896e-11	No	No
Q14112	NID2	5.33408098201078	1.24146525868147e-05	No	No
Q14165	MLEC	6.267639379887	1.90971247805616e-10	No	No
Q14204	DYNC1H1	8.59213077886624	6.59262929681196e-13	No	No
Q14677	CLINT1	6.86080775385745	3.37268291691053e-08	No	No
Q14BN4	SLMAP	5.51511388380026	3.24277681910166e-08	No	No
Q15067	ACOX1	4.73880177872719	6.97976201706808e-06	No	No
Q15149	PLEC	5.89324670750572	1.0004832526528599e-11	No	No
Q15435	PPP1R7	5.57647939555365	2.77444964210849e-08	No	No
Q15631	TSN	4.92473204291795	1.04816591535594e-07	No	No
Q15642	TRIP10	5.26550295330058	4.83692142608149e-08	No	No
Q15762	CD226	6.3530754623323	1.32216617874769e-09	No	No
Q16531	DDB1	5.45821284628045	9.89858293375455e-07	No	No
Q16539	MAPK14	5.1723642321152	5.08837149379639e-07	No	No
Q16555	DPYSL2	6.63892225569629	3.0893463595785703e-09	No	No
Q16762	TST	5.84168980416865	5.83473289487657e-10	No	No
Q16799	RTN1	5.93312187921521	1.88527562906308e-06	No	No
Q16836	HADH	5.54717659984906	6.9483871722469e-06	No	No
Q16891	IMMT	6.05876787701388	6.95155185215894e-10	No	No
Q32MZ4	LRRFIP1	4.81298781356478	3.247313864036e-08	No	No
Q4G0F5	VPS26B	4.77389794236255	0.0001034743412832	No	No
Q5SQ64	LY6G6F	5.75533088421625	2.63066396673742e-10	No	No
Q5T4S7	UBR4	5.9756073206297	2.08203876122363e-08	No	No
Q684P5	RAP1GAP2	5.98395232199778	5.93928452851982e-09	No	No
Q6DD88	ATL3	5.98136283156037	4.24946695297242e-09	No	No
Q6IAA8	LAMTOR1	4.65905474428093	1.61786386276709e-06	No	No
Q6PJW8	CNST	5.74085538245359	3.9670264081794e-05	No	No
Q6PL24	TMED8	4.81445389417047	0.0001525834747949	No	No
Q6V0I7	FAT4	6.55530691683312	1.59836735083718e-07	No	No
Q6WCQ1	MPRIP	6.64059939844471	9.62239114568952e-09	No	No
Q6ZU35	CRACD	5.1537652320633	5.47295055501499e-07	No	No
Q6ZVM7	TOM1L2	5.30068618469589	3.63888445964009e-08	No	No
Q7Z406	MYH14	7.68212746338915	1.26176831581949e-14	No	No
Q86TP1	PRUNE1	5.52835194888809	5.55436434942701e-08	No	No
Q86TV6	TTC7B	5.27211680448903	5.47608015909005e-05	No	No
Q86UP2	KTN1	5.66487636456871	3.26237393024005e-06	No	No
Q86WR7	PROSER2	4.62129139497446	2.77545608229557e-07	No	No
Q8IUX7	AEBP1	4.90095973694507	9.29884392207769e-06	No	No
