Protein_Group	Genes	SAX_62001_M1_vs_RAW_62001_M1_logFC	SAX_62001_M1_vs_RAW_62001_M1_pval	Removed?	Contaminant?
A0A075B6I1	IGLV4-60	8.0433979447692	1.88871794469247e-05	No	No
A0A075B7D8	IGHV3OR15-7	6.93052710704795	1.2838744158200699e-11	No	No
A0A0C4DH33	IGHV1-24	3.08387559209896	6.2981935230263e-05	No	No
A0AVT1	UBA6	3.99285240869114	0.0002751410951037	No	No
A0FGR8	ESYT2	6.60069896343344	1.2928447169227401e-10	No	No
A4D1P6	WDR91	4.54865662210456	4.75775104614922e-05	No	No
A6NDB9	PALM3	7.30525634909545	1.02258428690447e-09	No	No
A6NHL2	TUBAL3	7.33773456513435	1.20716887546163e-08	No	No
A8MWD9;P62308	SNRPG;SNRPGP15	2.80983589685536	0.0017821611105909	No	No
B2RUZ4	SMIM1	5.38604525009903	1.12730313497502e-07	No	No
E9PAV3	NACA	9.97113093596164	6.69597816874008e-20	No	No
O00116	AGPS	2.79404919316737	0.0029311292436361	No	No
O00139	KIF2A	8.30781397994517	6.51870239445842e-12	No	No
O00151	PDLIM1	10.5962438677891	4.28300455830302e-23	No	No
O00154	ACOT7	5.41314918721283	3.44695761248403e-05	No	No
O00159	MYO1C	7.12423155446308	1.83075620020001e-07	No	No
O00161	SNAP23	8.66670671295172	2.0894416106614001e-10	No	No
O00170	AIP	5.58356617004972	2.26944551566932e-05	No	No
O00186	STXBP3	5.60141028451424	3.01146749141955e-05	No	No
O00187	MASP2	4.1615815238858	1.4667673122809e-09	No	No
O00194	RAB27B	9.74510255413333	5.2193506286584703e-20	No	No
O00203	AP3B1	7.17764197901421	2.10662505604729e-12	No	No
O00217	NDUFS8	5.48310075228607	3.48087765053122e-07	No	No
O00231	PSMD11	6.11069294075111	4.67280535450363e-08	No	No
O00232	PSMD12	6.04250168384914	1.84164823600179e-08	No	No
O00264	PGRMC1	3.14193897340794	2.36623263223405e-05	No	No
O00299	CLIC1	2.38267275865961	0.0016854317275008	No	No
O00303	EIF3F	7.15059135422594	1.21158850880396e-09	No	No
O00330	PDHX	5.40143629769162	1.0979034749645e-06	No	No
O00339	MATN2	11.0754830568954	7.046937768917521e-15	No	No
O00401	WASL	3.2890700650389	0.002933524915035	No	No
O00410	IPO5	8.21922557653851	2.5555981683858704e-09	No	No
O00429	DNM1L	3.84818402745946	0.0027512428392112	No	No
O00442	RTCA	3.33503108923575	0.0005856919128093	No	No
O00461	GOLIM4	10.8195241984598	1.73957783176137e-18	No	No
O00469	PLOD2	4.41924890158248	0.008995806028171	No	No
O00483	NDUFA4	6.7195096591907	4.59455689340752e-08	No	No
O00487	PSMD14	8.48098507740358	1.1911527590343101e-09	No	No
O00499	BIN1	5.20044018030702	0.0001166918555254	No	No
O00501	CLDN5	4.89219038129072	5.70952688485982e-07	No	No
O00505	KPNA3	7.89037952106078	4.32432085404327e-13	No	No
O00560	SDCBP	9.47157297812279	7.070957433755419e-11	No	No
O00571	DDX3X	8.31261188942397	5.37490040818037e-13	No	No
O00584	RNASET2	6.24158415818053	1.4685121936509e-07	No	No
O00587	MFNG	6.42976872839959	2.69848118446706e-08	No	No
O00592	PODXL	2.95808220501009	0.0012298743617905	No	No
O00629	KPNA4	4.76107991774488	0.0005034730273187	No	No
O00743	PPP6C	8.4512466316785	3.7864911957612e-14	No	No
