Protein_Group	Genes	SAX_62001_B_vs_RAW_62001_B_logFC	SAX_62001_B_vs_RAW_62001_B_pval	Removed?	Contaminant?
A0A075B6J6	IGLV3-22	3.53157953439539	0.0061331180949839	No	No
A0A0C4DH33	IGHV1-24	3.49127953990286	8.1157670227379e-06	No	No
A0A1B0GTC6	C3orf85	5.93878373487283	6.1753282436277e-09	No	No
A0AVT1	UBA6	4.0578963746055	0.0002230777308057	No	No
A0FGR8	ESYT2	5.17735350411382	1.0711785224055e-07	No	No
A4D1S0	KLRG2	3.67714100368802	0.003979357759988	No	No
A5D8V6	VPS37C	4.83196898694844	4.69185263459654e-06	No	No
A6NDB9	PALM3	7.6153161549193	2.93139266734786e-10	No	No
A6NDG6	PGP	3.25207326641145	0.0019282872502111	No	No
A6NDU8	C5orf51	4.05713291119332	6.34188010526341e-05	No	No
A6NHL2	TUBAL3	7.84225296632368	1.92752208352976e-09	No	No
A8MWD9;P62308	SNRPG;SNRPGP15	3.5711471476417	0.0001001694675207	No	No
B0I1T2	MYO1G	4.90488597020195	3.86591821849705e-06	No	No
B1AKI9	ISM1	3.61044311365998	0.0016401810005061	No	No
B2RUZ4	SMIM1	5.71472870423898	2.61264982879792e-08	No	No
B5ME19;Q99613	EIF3C;EIF3CL	8.11602359722344	5.13188119712271e-10	No	No
E9PAV3	NACA	10.228936943367	1.92694417067092e-20	No	No
O00139	KIF2A	7.96338438454246	2.74103915616732e-11	No	No
O00151	PDLIM1	3.74387409923555	1.54101123604102e-06	No	No
O00154	ACOT7	5.11061267588871	8.30407441752589e-05	No	No
O00159	MYO1C	5.55425688749569	2.4567189895117e-05	No	No
O00161	SNAP23	8.25196831958842	9.23068251341577e-10	No	No
O00170	AIP	4.94688299063914	0.000142298293366	No	No
O00186	STXBP3	5.91684086043018	1.19923085631079e-05	No	No
O00187	MASP2	3.96266410570997	5.83058478135288e-09	No	No
O00194	RAB27B	9.4006659205069	2.94528557761813e-19	No	No
O00203	AP3B1	6.03401488615783	6.25418613932509e-10	No	No
O00231	PSMD11	10.1411540020959	2.41245000171418e-15	No	No
O00232	PSMD12	7.71276370115562	1.2249429509127799e-11	No	No
O00264	PGRMC1	2.50576894659721	0.0005616038483485	No	No
O00273	DFFA	2.91848137983719	0.000796216052044	No	No
