Protein_Group	Genes	SAX_72001_M1_vs_RAW_72001_M1_logFC	SAX_72001_M1_vs_RAW_72001_M1_pval	Removed?	Contaminant?
A0FGR8	ESYT2	7.21384540965138	6.8353884278422495e-12	No	No
A1L0T0	ILVBL	4.36631080729737	6.58321196663306e-06	No	No
A1L3X0	ELOVL7	2.60283988845851	0.0047723851450738	No	No
A1X283	SH3PXD2B	6.02496229859925	6.24818687076571e-06	No	No
A2A2Y4	FRMD3	3.92784288847085	0.0045283014004538	No	No
A2NJV5	IGKV2-29	3.7038445996377	5.40932308929046e-06	No	No
A2RRP1	NBAS	6.05777716388132	2.4298261231109e-06	No	No
A2RTX5	TARS3	2.8441163828805	0.0044223711764523	No	No
A2RUS2	DENND3	7.38446740969785	3.0218305791299303e-09	No	No
A3KMH1	VWA8	3.67871206542737	0.0037018440067674	No	No
A4D1B5	GSAP	3.68685762284536	9.72413462363624e-05	No	No
A4D1P6	WDR91	2.86973981635468	0.0078063800127557	No	No
A4UGR9	XIRP2	3.51294432568871	0.0005974191395954	No	No
A5D8V6	VPS37C	3.52256158389172	0.0005490508251677	No	No
A5YKK6	CNOT1	5.33984482299252	6.00666348426218e-06	No	No
A6NCE7;Q9GZQ8	MAP1LC3B;MAP1LC3B2	2.71121896891289	0.0096040706468859	No	No
A6NDG6	PGP	5.00220247251829	4.92467478284039e-06	No	No
A6NDU8	C5orf51	3.44044923778946	0.0005693512619245	No	No
A6NFX1	MFSD2B	2.89031148009817	0.0032193564869778	No	No
A6QL63	BTBD11	4.62179800815265	1.14770674922208e-05	No	No
A7E2V4	ZSWIM8	3.1049283674092	0.0006264766172786	No	No
B0I1T2	MYO1G	2.8991720472068	0.0040963536624131	No	No
B2RUZ4	SMIM1	5.5715691709909	4.95177086905311e-08	No	No
B5ME19;Q99613	EIF3C;EIF3CL	5.71202467655581	2.92583094061425e-06	No	No
B7ZAQ6;P0CG08	GPR89A;GPR89B	3.18933380440747	0.001949911101858	No	No
C4AMC7;Q6VEQ5	WASH2P;WASH3P	3.56780493277629	0.0005968307704087	No	No
O00116	AGPS	7.39995991896086	1.0706649131514898e-11	No	No
O00139	KIF2A	3.54088640730011	0.0007402782415931	No	No
O00151	PDLIM1	2.29993596787696	0.0018758193383764	No	No
O00159	MYO1C	7.21409399091502	1.3662778592095e-07	No	No
O00160	MYO1F	3.04480665702701	0.0049610660947238	No	No
O00170	AIP	5.11057694627848	8.96969965483382e-05	No	No
O00178	GTPBP1	4.54298030427895	5.72769253507849e-06	No	No
O00187	MASP2	3.47770965260117	1.5931803572117e-07	No	No
O00194	RAB27B	3.35440754629689	3.18933409213947e-05	No	No
O00214	LGALS8	3.34151846915208	0.0020038474976123	No	No
O00217	NDUFS8	5.43062321456658	4.30875855523284e-07	No	No
O00232	PSMD12	6.02310926049974	2.00198861062088e-08	No	No
O00233	PSMD9	2.72268078779457	0.0069638563425602	No	No
O00244	ATOX1	2.37077890369256	0.009883536277034	No	No
O00303	EIF3F	7.47237832850491	3.24793229689053e-10	No	No
O00330	PDHX	4.94722212254409	6.14186995049828e-06	No	No
O00339	MATN2	5.68221365009611	2.91748907427107e-06	No	No
O00399	DCTN6	4.5384134845703	4.16459079352697e-05	No	No
O00400	SLC33A1	2.8778171342862	0.0038076494394332	No	No
O00408	PDE2A	3.33844494007235	0.0042888853042711	No	No
O00410	IPO5	3.63067319872739	0.0034563624792357	No	No
O00425	IGF2BP3	3.88512336983191	0.0006010405733876	No	No
O00442	RTCA	5.05025429676684	7.20262766404091e-07	No	No
O00453	LST1	2.8195544129934	0.0058936364410795	No	No
O00458	IFRD1	2.59784776792101	0.0014850155500384	No	No
O00461	GOLIM4	5.57866465683531	3.77834235719771e-08	No	No
O00469	PLOD2	5.35139753329862	0.0017601148429119	No	No
O00471	EXOC5	5.03638649614605	0.0002668453458888	No	No
O00478	BTN3A3	3.08193105453454	0.0003792717100636	No	No
O00481	BTN3A1	2.57007971434977	0.0068613019752408	No	No
O00483	NDUFA4	6.07511290602952	4.85181492883773e-07	No	No
O00487	PSMD14	6.78879035794941	3.61083720950674e-07	No	No
O00501	CLDN5	4.43975079848711	4.10098640945503e-06	No	No
O00507	USP9Y	3.15938025746736	0.0016774979443962	No	No
O00534	VWA5A	6.82973957228218	9.83159223030683e-10	No	No
O00559	EBAG9	2.66153797005773	0.0068744387649718	No	No
O00587	MFNG	4.15852597759016	0.0001272054444793	No	No
O00629	KPNA4	5.29641002283902	0.0001271041265793	No	No
O00743	PPP6C	7.56105593636462	2.43768857934542e-12	No	No
O00746	NME4	2.91265900201781	0.0055880145220933	No	No
O00754	MAN2B1	5.67001093983843	2.44430467094111e-06	No	No
O14521	SDHD	4.06086297773709	5.51609847792519e-05	No	No
O14523	C2CD2L	6.61519795678823	2.47272394755791e-08	No	No
O14530	TXNDC9	4.07722226205673	0.0003112937702746	No	No
O14545	TRAFD1	5.78787848843245	6.80238861437625e-08	No	No
O14548	COX7A2L	4.53616500689766	1.5275549523316e-05	No	No
O14561	NDUFAB1	3.86641106666367	3.19392032440646e-05	No	No
O14579	COPE	7.56481094812825	3.98749983326741e-08	No	No
O14594	NCAN	4.42624645378308	3.28840781328093e-06	No	No
O14617	AP3D1	7.64361664522083	6.07670633014085e-08	No	No
O14639	ABLIM1	5.20433099223511	7.18773062409417e-07	No	No
O14653	GOSR2	4.93388951654547	1.46888973965842e-06	No	No
O14656	TOR1A	4.70436616113536	1.85445075727432e-05	No	No
O14662	STX16	4.44926172606898	1.77528319166487e-05	No	No
O14727	APAF1	4.13825075961045	1.55326099894552e-05	No	No
O14730	RIOK3	2.76469055684349	0.0038753786278564	No	No
O14734	ACOT8	5.36529130510581	5.64146511713395e-08	No	No
O14735	CDIPT	4.55535073818912	2.51522619536451e-05	No	No
O14737	PDCD5	4.76421393310964	7.25159592290848e-05	No	No
O14744	PRMT5	6.32136264475273	2.24252353719167e-09	No	No
O14775	GNB5	3.33244451856649	0.0010425189819803	No	No
O14786	NRP1	3.35215316955113	1.52387863589981e-05	No	No
O14787	TNPO2	4.42112711816471	0.0013976807554634	No	No
O14793	MSTN	3.19070484047998	0.0059307560840184	No	No
O14817	TSPAN4	2.82960497171694	0.0020291284348366	No	No
O14818	PSMA7	3.62484283499471	1.455701411529e-06	No	No
O14828	SCAMP3	6.45182090369756	5.2226756179950006e-11	No	No
O14841	OPLAH	6.2086637756989	5.86962762297239e-07	No	No
O14874	BCKDK	4.46926726933945	1.58646470485034e-05	No	No
O14880	MGST3	4.45003901389206	0.0002065571402471	No	No
O14907	TAX1BP3	2.94703686170963	0.0040303679793718	No	No
O14908	GIPC1	3.87037146888449	0.0034352004640992	No	No
O14917	PCDH17	2.59409705285263	0.0097702320180033	No	No
O14920	IKBKB	6.44144858217072	6.13921745485857e-07	No	No
O14949	UQCRQ	5.2101389499258	1.41116748382126e-06	No	No
O14957	UQCR11	4.74923208615697	1.41969216786869e-07	No	No
O14972	VPS26C	3.21843248332345	0.0018903449566904	No	No
O14974	PPP1R12A	2.8786584814681	0.0005499242061029	No	No
O14976	GAK	9.33411379573481	1.30997782221332e-08	No	No
O14979	HNRNPDL	2.77600374666103	0.0059860952980858	No	No
O15013	ARHGEF10	4.60194426804821	0.0036999357400983	No	No
O15021	MAST4	3.77967313930889	0.0033997811838272	No	No
O15027	SEC16A	6.6202093558546	5.257877520014491e-09	No	No
O15084	ANKRD28	6.18344238102582	8.40313213775176e-08	No	No
O15111	CHUK	7.0195076253583	8.8933599506214e-07	No	No
O15116	LSM1	5.87917751906114	8.63006137840741e-07	No	No
O15117	FYB1	3.83110439476931	3.06868734062755e-08	No	No
O15126	SCAMP1	5.22346916463789	3.55742403222476e-06	No	No
O15127	SCAMP2	6.66450383629234	9.27235418572772e-06	No	No
O15155	BET1	4.6347070322687	1.54214780033899e-06	No	No
O15162	PLSCR1	3.84299124047544	0.0003052506194275	No	No
O15194	CTDSPL	4.82386832609926	1.05373483963465e-05	No	No
O15211	RGL2	2.9407906890205	0.0059021939769542	No	No
O15212	PFDN6	6.14778979820447	2.85112694867339e-10	No	No
O15228	GNPAT	4.26854884392702	3.90488136075167e-06	No	No
O15230	LAMA5	6.18926133520199	4.64655347173807e-06	No	No
O15239	NDUFA1	3.20421825428879	0.0018404876106473	No	No
O15240	VGF	5.17472912126875	2.14828575179737e-09	No	No
O15258	RER1	3.51748191467818	0.000786726412093	No	No
O15260	SURF4	2.70009711138902	0.0014085600233499	No	No
O15269	SPTLC1	5.94059530951391	1.49701380729154e-08	No	No
O15270	SPTLC2	4.25327538980033	6.83777358938263e-05	No	No
O15294	OGT	4.33807334006058	0.0002125572032198	No	No
O15321	TM9SF1	3.14916183750846	0.0023517712839596	No	No
O15327	INPP4B	7.60418551264868	1.1093034198238e-11	No	No
O15357	INPPL1	7.15767265683022	7.50255831981002e-12	No	No
O15371	EIF3D	7.17840799124137	4.40812024949983e-12	No	No
O15372	EIF3H	5.45137548955119	2.9795547929371e-06	No	No
O15382	BCAT2	4.74868206475112	2.38357018139273e-06	No	No
O15431	SLC31A1	2.44548250985833	0.002850604581678	No	No
O15439	ABCC4	7.08297518445732	3.61167939601693e-06	No	No
O15498	YKT6	4.76200747687729	8.61681433754701e-07	No	No
O15530	PDPK1	2.97177928981755	0.0067429477057906	No	No
O15533	TAPBP	7.98510877572105	2.21491838016806e-13	No	No
O15551	CLDN3	2.87059021854832	0.0020893591054743	No	No
O43149	ZZEF1	7.67439014694182	1.03244371102836e-07	No	No
O43150	ASAP2	7.88698248820184	5.1588535070545e-11	No	No
O43169	CYB5B	4.98351915647196	4.64888756194818e-07	No	No
O43181	NDUFS4	5.60492947814346	3.12044527039386e-06	No	No
O43242	PSMD3	5.93927611867195	8.17928913935996e-06	No	No
O43304	SEC14L5	5.086607395298	6.79717373611143e-08	No	No
O43306	ADCY6	6.81865785044708	2.70449731112155e-12	No	No
O43310	CTIF	2.90253847263566	0.00806165694939	No	No
O43312	MTSS1	3.19221055433164	0.0002732240392528	No	No
O43314	PPIP5K2	4.60767998113852	5.12081580293927e-05	No	No
O43318	MAP3K7	4.89993221836578	6.200445031016e-06	No	No
O43324	EEF1E1	4.86176180406757	6.01644738564813e-06	No	No
O43402	EMC8	2.72145838290689	0.0084918337522228	No	No
O43427	FIBP	5.65035777417036	1.49301169556394e-06	No	No
O43432	EIF4G3	6.0591427339076	6.83357623374018e-06	No	No
O43464	HTRA2	5.39047664471576	2.65147272044622e-07	No	No
O43491	EPB41L2	3.23876348180141	0.0016605494267174	No	No
O43561	LAT	5.89808862860994	7.24203845628094e-10	No	No
O43572	AKAP10	3.35079591237339	0.0007151634995126	No	No
O43592	XPOT	5.02437572229065	2.57896452495571e-05	No	No
O43598	DNPH1	2.9287846795852	0.006186159125094	No	No
O43615	TIMM44	6.42910977611784	6.031886746883551e-09	No	No
O43617	TRAPPC3	5.3561208497465	4.73125970783205e-08	No	No
O43633	CHMP2A	4.4878729052123	7.41730777295629e-06	No	No
O43676	NDUFB3	5.5673408407311	4.38730200680846e-08	No	No
O43678	NDUFA2	5.26990985912821	1.2160651658822e-06	No	No
O43681	GET3	3.40725638769439	6.89797736091766e-05	No	No
O43707	ACTN4	4.16716374297413	1.06753096483737e-06	No	No
O43708	GSTZ1	4.37467764757739	5.7471517530519e-06	No	No
O43741	PRKAB2	5.67641017024223	1.91566361334485e-07	No	No
O43752	STX6	4.26920541860084	5.48622916003528e-05	No	No
O43760	SYNGR2	4.22705885483062	0.0001619389916364	No	No
O43765	SGTA	5.55889558262393	1.15643395062539e-05	No	No
O43772	SLC25A20	4.96343522880163	6.26293199835058e-06	No	No
O43776	NARS1	5.20841685616239	5.63327845465867e-06	No	No
O43813	LANCL1	3.36891102531594	0.0007993336912724	No	No
O43815	STRN	8.21267937072511	1.99397364194188e-14	No	No
O43837	IDH3B	5.55370936598682	5.39449875710481e-07	No	No
O43847	NRDC	6.28980663455512	7.58671474920542e-07	No	No
O43865	AHCYL1	4.00366390389134	0.0002518378948857	No	No
O43920	NDUFS5	5.41940513661659	5.189689024186351e-09	No	No
O43930;P51817	PRKX;PRKY	3.93856572340454	4.78553182411424e-05	No	No
O43933	PEX1	3.18138915836439	0.003727058624244	No	No
O60229	KALRN	4.27607346790617	0.0009162072048153	No	No
O60240	PLIN1	6.43752431086465	1.98209106343193e-09	No	No
O60243	HS6ST1	2.72657067054629	0.0064817065245944	No	No
O60245	PCDH7	4.26862971635034	3.04070069060728e-05	No	No
O60256	PRPSAP2	4.69877304914718	9.04211965719182e-05	No	No
O60268	KIAA0513	7.36271676985887	1.39564203372521e-13	No	No
O60271	SPAG9	4.6989032926875	4.12620269133756e-07	No	No
O60313	OPA1	6.79282109421856	6.582109271747839e-11	No	No
O60330	PCDHGA12	3.59221563994564	8.84041026407367e-05	No	No
O60331	PIP5K1C	6.46699862485886	1.10252907558585e-07	No	No
O60333	KIF1B	2.65837087950859	0.0041059565671439	No	No
