,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
50,GO:2000427,positive regulation of apoptotic cell clearance,GO:2000427,0.07590671,355.1071,1828.309,CCL2,Positive Regulation Of Apoptotic Cell Clearance (GO:2000427)
51,GO:0071347,cellular response to interleukin-1,GO:0071347,0.07590671,19.30994,98.96073,EGR1;CCL2,Cellular Response To Interleukin-1 (GO:0071347)
52,GO:0033139,regulation of peptidyl-serine phosphorylation of STAT protein,GO:0033139,0.07590671,inf,inf,LIF,Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033139)
53,GO:0072677,eosinophil migration,GO:0072677,0.07590671,118.3452,527.6149,CCL2,Eosinophil Migration (GO:0072677)
54,GO:0010212,response to ionizing radiation,GO:0010212,0.07590671,11.43519,47.56883,MYC;AEN,Response To Ionizing Radiation (GO:0010212)
55,GO:0050810,regulation of steroid biosynthetic process,GO:0050810,0.07590671,88.75,375.9919,EGR1,Regulation Of Steroid Biosynthetic Process (GO:0050810)
56,GO:0007167,enzyme-linked receptor protein signaling pathway,GO:0007167,0.07590671,15.93881,76.0331,RYK;LIF,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167)
57,GO:1902255,positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,GO:1902255,0.07590671,177.5357,842.3268,MYC,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255)
58,GO:0070303,negative regulation of stress-activated protein kinase signaling cascade,GO:0070303,0.07590671,88.75,375.9919,MYC,Negative Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303)
59,GO:0045741,positive regulation of epidermal growth factor-activated receptor activity,GO:0045741,0.07590671,177.5357,842.3268,HBEGF,Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741)
60,GO:0045655,regulation of monocyte differentiation,GO:0045655,0.07590671,70.99286,287.9192,MYC,Regulation Of Monocyte Differentiation (GO:0045655)
61,GO:0050869,negative regulation of B cell activation,GO:0050869,0.07590671,88.75,375.9919,TNFAIP3,Negative Regulation Of B Cell Activation (GO:0050869)
62,GO:0000165,MAPK cascade,GO:0000165,0.07590671,10.91985,44.50556,MYC;CCL2,MAPK Cascade (GO:0000165)
63,GO:0071219,cellular response to molecule of bacterial origin,GO:0071219,0.07590671,13.31852,59.12613,CCL2;TNFAIP3,Cellular Response To Molecule Of Bacterial Origin (GO:0071219)
64,GO:1902807,negative regulation of cell cycle G1/S phase transition,GO:1902807,0.07590671,31.95169,193.4163,CCL2;E2F7,Negative Regulation Of Cell Cycle G1/S Phase Transition (GO:1902807)
65,GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",GO:0007187,0.07616926,59.15476,230.8727,CCL2,"G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)"
