"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:2000050","GO:2000050",15,"GO:2000050",0.84449301171409,26,"regulation of non-canonical Wnt signaling pathway","regulation of non-canonical Wnt signaling pathway",0.923319587628866,1,0
"GO:0007220","GO:0007220",12,"GO:0007220",0.84449301171409,9,"Notch receptor processing","Notch receptor processing",0.910134020618557,1,0
"GO:0097503","GO:0097503",9,"GO:0097503",0.84449301171409,8,"sialylation","sialylation",0.935587628865979,1,0
"GO:1905165","GO:1905165",2,"GO:1905165",0.84449301171409,11,"regulation of lysosomal protein catabolic process","regulation of lysosomal protein catabolic process",0.866659793814433,1,0
"GO:0051241","GO:0051241",1,"GO:0051241",0.84449301171409,1247,"negative regulation of multicellular organismal process","negative regulation of multicellular organismal process",0.861773195876289,1,0
"GO:0030857","GO:0030857",4,"GO:0030857",0.84449301171409,56,"negative regulation of epithelial cell differentiation","negative regulation of epithelial cell differentiation",0.855938144329897,0.6225,0
"GO:1902746","GO:1902746",4,"GO:0030857",0.84449301171409,9,"regulation of lens fiber cell differentiation","negative regulation of epithelial cell differentiation",0.857814432989691,0.6225,0.755
"GO:0040014","GO:0040014",13,"GO:0040014",0.84449301171409,63,"regulation of multicellular organism growth","regulation of multicellular organism growth",0.885587628865979,0.596,0
"GO:0033574","GO:0033574",3,"GO:0033574",0.84449301171409,45,"response to testosterone","response to testosterone",0.952958762886598,0.581,0
"GO:0071635","GO:0071635",8,"GO:0071635",0.84449301171409,12,"negative regulation of transforming growth factor beta production","negative regulation of transforming growth factor beta production",0.828474226804124,0.5645,0
"GO:0032908","GO:0032908",8,"GO:0071635",0.84449301171409,14,"regulation of transforming growth factor beta1 production","negative regulation of transforming growth factor beta production",0.839298969072165,0.5645,0.871
"GO:0006054","GO:0006054",16,"GO:0006054",0.84449301171409,12,"N-acetylneuraminate metabolic process","N-acetylneuraminate metabolic process",0.870876288659794,0.5485,0
"GO:0006040","GO:0006040",16,"GO:0006054",0.84449301171409,42,"amino sugar metabolic process","N-acetylneuraminate metabolic process",0.896731958762887,0.5485,0.903
"GO:0001574","GO:0001574",7,"GO:0001574",0.84449301171409,17,"ganglioside biosynthetic process","ganglioside biosynthetic process",0.865134020618557,0.518142857142857,0
"GO:0042987","GO:0042987",17,"GO:0042987",0.84449301171409,68,"amyloid precursor protein catabolic process","amyloid precursor protein catabolic process",0.874865979381443,0.5105,0
"GO:0050435","GO:0050435",11,"GO:0050435",0.84449301171409,65,"amyloid-beta metabolic process","amyloid-beta metabolic process",0.899474226804124,0.506,0
"GO:0034205","GO:0034205",11,"GO:0050435",0.84449301171409,56,"amyloid-beta formation","amyloid-beta metabolic process",0.867185567010309,0.506,0.988
"GO:1905671","GO:1905671",6,"GO:1905671",0.84449301171409,12,"regulation of lysosome organization","regulation of lysosome organization",0.940886597938144,0.451333333333333,0
"GO:0071391","GO:0071391",18,"GO:0071391",0.84449301171409,19,"cellular response to estrogen stimulus","cellular response to estrogen stimulus",0.93240206185567,0.4232,0
"GO:0042339","GO:0042339",14,"GO:0042339",0.84449301171409,18,"keratan sulfate metabolic process","keratan sulfate metabolic process",0.866927835051546,0.391333333333333,0
"GO:0009313","GO:0009313",10,"GO:0009313",0.84449301171409,18,"oligosaccharide catabolic process","oligosaccharide catabolic process",0.902752577319588,0.382857142857143,0
"GO:0018146","GO:0018146",14,"GO:0042339",0.84449301171409,16,"keratan sulfate biosynthetic process","keratan sulfate metabolic process",0.857690721649485,0.373,0.99
"GO:0010561","GO:0010561",7,"GO:0001574",0.84449301171409,25,"negative regulation of glycoprotein biosynthetic process","ganglioside biosynthetic process",0.808505154639175,0.347714285714286,0.533
"GO:0042984","GO:0042984",7,"GO:0001574",0.84449301171409,27,"regulation of amyloid precursor protein biosynthetic process","ganglioside biosynthetic process",0.803443298969072,0.347285714285714,0.534
"GO:0042985","GO:0042985",7,"GO:0001574",0.84449301171409,20,"negative regulation of amyloid precursor protein biosynthetic process","ganglioside biosynthetic process",0.79379381443299,0.344285714285714,0.524
"GO:0010962","GO:0010962",10,"GO:0009313",0.84449301171409,31,"regulation of glucan biosynthetic process","oligosaccharide catabolic process",0.854360824742268,0.330428571428571,0.59
"GO:0070873","GO:0070873",10,"GO:0009313",0.84449301171409,38,"regulation of glycogen metabolic process","oligosaccharide catabolic process",0.859329896907217,0.326142857142857,0.599
