Protein_Group	Genes	PTEN_sg_#6_Tr_vs_PTEN_sg_#6_logFC	PTEN_sg_#6_Tr_vs_PTEN_sg_#6_pval	Removed?	Contaminant?
A0A2R8Y4M4		1.37330600583425	0.008490664213828	No	No
A1A5D9	BICDL2	1.52425721112538	7.5214146095331795e-22	No	No
A6NC05	C5orf63	1.30208380938344	0.0018639309285456	No	No
A6NLP5	TTC36	2.23318496980727	3.3983494925018404e-14	No	No
A6NMD0	IFITM10	2.39731280559625	6.871890338528e-10	No	No
A7MCY6	TBKBP1	1.03998370331112	5.59566075865564e-05	No	No
A8MSI8	LYRM9	1.02166097121603	2.00970985599609e-05	No	No
H3BPM6	MKRN2OS	1.3460701382896	0.004646270036858	No	No
O00526	UPK2	1.31091378296311	0.0031988900328797	No	No
O00534	VWA5A	1.10600576414304	5.94324164618491e-05	No	No
O00622	CCN1	1.18338309495817	1.04522675023492e-08	No	No
O00716	E2F3	1.28467475438559	2.5995004660935703e-15	No	No
O14638	ENPP3	2.09499335679264	7.60852858077473e-12	No	No
O15050	TRANK1	1.64836147579541	1.29003406897031e-07	No	No
O15243	LEPROT	1.08105480744208	5.99674619673051e-05	No	No
O15393	TMPRSS2	1.52447507108655	5.524851024343e-17	No	No
O15484	CAPN5	1.40848143034176	4.114294466484231e-09	No	No
O15503	INSIG1	1.25566428371341	0.0006007844210345	No	No
O43609	SPRY1	1.13281230011867	0.0003350748377446	No	No
O43610	SPRY3	1.20314059677983	0.0006431753842633	No	No
O43795	MYO1B	1.24730518241415	2.78131369986945e-44	No	No
O60238	BNIP3L	1.13516369055943	1.91723722369881e-17	No	No
O60243	HS6ST1	1.51994853306534	1.80444559045991e-05	No	No
O60262	GNG7	1.68925318446276	0.0001447855513666	No	No
O60268	KIAA0513	1.11337651275881	1.4277853783485102e-23	No	No
O60443	GSDME	1.43839722537683	4.71634934214019e-12	No	No
O60890	OPHN1	1.15102124875503	1.31199365979398e-16	No	No
O75056	SDC3	1.60019680192926	0.0001056883568512	No	No
O75128	COBL	1.04847993837371	1.03972398458912e-27	No	No
