Protein_Group	Genes	PTEN_sg_#6_vs_LCv2_EV_Blast_logFC	PTEN_sg_#6_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
A6NCS6	C2orf72	1.34659240956278	1.32989791324984e-19	No	No
O00712	NFIB	1.28949035647952	8.473267366294089e-18	No	No
O14967	CLGN	1.46387195380251	1.02236316709953e-05	No	No
O15229	KMO	1.01039563139142	1.7644731256240098e-11	No	No
O15393	TMPRSS2	1.87580692605248	3.65529668006885e-26	No	No
O43240	KLK10	1.11666789050965	2.96879916663469e-05	No	No
O43248	HOXC11	1.02083555257587	7.48878055662582e-07	No	No
O60259	KLK8	1.9213597825681	0.0001436732702488	No	No
O75326	SEMA7A	1.53453328582451	8.19237252973775e-05	No	No
O94910	ADGRL1	1.02060139018787	2.3826245138435e-24	No	No
P01876	IGHA1	3.46979665468387	3.19985357509602e-07	No	No
P05204	HMGN2	1.53940441916946	0.0058118024238441	No	No
P06865	HEXA	1.51497130594697	9.10562934765338e-33	No	No
P08195	SLC3A2	1.39123588398536	8.00578711635791e-10	No	No
P08247	SYP	1.88331297660646	1.13895931840046e-16	No	No
P08833	IGFBP1	1.9929025988083	0.0054218142051625	No	No
P08913	ADRA2A	1.33140225977178	2.71755860861306e-05	No	No
P10909	CLU	1.05044930112287	2.34349153353274e-06	No	No
P12277	CKB	1.47418431634088	1.27711911565233e-08	No	No
P12429	ANXA3	1.14088757490485	2.8505162953887498e-11	No	No
P14061	HSD17B1	3.29553988721509	6.4098366700331e-14	No	No
P14778	IL1R1	1.81402678703742	1.8758031382164e-06	No	No
P26651	ZFP36	1.1361856959543	0.0017842458287402	No	No
P29966	MARCKS	1.75619136887963	0.0002868825349149	No	No
P31513	FMO3	1.11278482050617	0.0006123612761674	No	No
P34741	SDC2	1.44801852520907	4.68906885043976e-32	No	No
P43356	MAGEA2B	4.38297476815789	5.12251888391287e-72	No	No
P43357	MAGEA3	2.21684016227173	1.1774053802966699e-11	No	No
P43360	MAGEA6	3.40624619893136	3.80205833474489e-45	No	No
P43365	MAGEA12	2.90934053036549	1.7707501090955198e-26	No	No
P47712	PLA2G4A	2.82342711297802	2.21386613921447e-25	No	No
P47895	ALDH1A3	2.0859042326182	2.52324593359549e-11	No	No
P49703	ARL4D	1.17289723777585	0.0003248066564427	No	No
P49789	FHIT	1.32573799359226	1.64461008347845e-21	No	No
P52799	EFNB2	1.43876302559783	1.32340488895577e-06	No	No
P55273	CDKN2D	1.40338952449099	0.0035727397048806	No	No
P61812	TGFB2	1.26213670866045	0.0076627938910967	No	No
P78380	OLR1	2.76125580559376	1.6183157758037098e-11	No	No
Q01650	SLC7A5	1.62076056704004	8.2908885339478e-09	No	No
Q0D2K0	NIPAL4	1.99890451079016	8.20367629709264e-15	No	No
Q0VD83	APOBR	1.36486643950574	0.0001323569167717	No	No
Q13145	BAMBI	1.24092546754226	0.001825054315749	No	No
Q13275	SEMA3F	1.49824208285431	1.2178217851144899e-33	No	No
Q14469	HES1	1.18597445138427	5.6850528645632495e-11	No	No
Q14721	KCNB1	1.24292984242719	1.05737978862192e-07	No	No
Q14934	NFATC4	1.09982765072249	3.90398234439894e-08	No	No
Q16270	IGFBP7	3.04994899801829	2.40960147713974e-10	No	No
Q16799	RTN1	1.459629016603	0.00284421155496	No	No
Q16875	PFKFB3	1.02237889768065	1.50465586678226e-14	No	No
Q1RMZ1	BMT2	1.09116229255618	0.000791977093833	No	No
Q3YBR2	TBRG1	1.02390732683527	7.34266487327763e-05	No	No
Q68CZ2	TNS3	1.03423169407961	2.95777724178538e-12	No	No
Q6NSJ2	PHLDB3	1.49409155342357	1.36194446054598e-27	No	No
Q6NUP7	PPP4R4	1.11802872561145	8.29023139026012e-21	No	No
Q6PCB8	EMB	1.20384533296657	1.16715755063093e-10	No	No
Q6UWP8	SBSN	1.46268428882016	0.0041350219791262	No	No
Q6UXT9	ABHD15	1.41159588452206	0.0005280751882441	No	No
Q6ZRF7	ZNF818P	1.13981225300132	0.0062789591278945	No	No
Q6ZUT6	CCDC9B	1.0006763645667	1.44792265270906e-05	No	No
Q7KYR7	BTN2A1	1.27800162232047	5.1946526315245e-06	No	No
Q7Z4K8	TRIM46	1.07805984510206	0.0016122529404535	No	No
Q7Z6K5	ARPIN	1.0973529329656	2.01433392695561e-25	No	No
Q7Z7A4	PXK	1.05742254760994	9.11864674674744e-17	No	No
Q7Z7D3	VTCN1	1.97192776383442	6.04941243933394e-18	No	No
Q86Y38	XYLT1	1.06872308940098	0.0006251144832813	No	No
