Protein_Group	Genes	T47D_ResA_p36_vs_T47D_logFC	T47D_ResA_p36_vs_T47D_pval	Removed?	Contaminant?
A8K8V0	ZNF785	3.5982425597391	2.2587840940013597e-36	No	No
O15347	HMGB3	1.20738424709566	1.62626733251487e-26	No	No
O15440	ABCC5	1.17732338476983	2.7722831319502398e-33	No	No
O43463	SUV39H1	1.38874446821533	1.54201008282898e-14	No	No
O43521	BCL2L11	1.11601509690183	0.0040749848146435	No	No
O60765	ZNF354A	1.20316967692463	0.0015673461342302	No	No
O75365	PTP4A3	1.2655736653783	0.0007027952843905	No	No
O75417	POLQ	1.0019366162999	6.78235901724814e-06	No	No
O75462	CRLF1	1.31540033205793	0.0005611025216063	No	No
O75787	ATP6AP2	1.00813714287601	2.90704105474208e-26	No	No
O76087;P0CL80;P0CL81;P0CL82	GAGE7;GAGE12F;GAGE12G;GAGE12I	1.84789020668988	3.21810197064709e-21	No	No
O95069	KCNK2	1.36509562166566	4.1605182275836e-29	No	No
O95243	MBD4	1.27320422767086	1.50343036602299e-28	No	No
O95631	NTN1	1.06743035649984	1.34350155218655e-07	No	No
O95864	FADS2	1.32920451373416	9.431305911416451e-14	No	No
P01833	PIGR	1.22187554589436	0.0004091925371791	No	No
P02751	FN1	1.49277524512167	7.36765764051534e-07	No	No
P04279	SEMG1	1.54898045668105	0.00816883184309	No	No
P07996	THBS1	1.22272212577497	1.24442783872976e-36	No	No
P08185	SERPINA6	1.37951447022887	3.85018557928555e-19	No	No
P0DTW1	GAGE1	3.73647434193862	1.55162098909968e-08	No	No
P10244	MYBL2	1.01752582328555	0.0001478551372295	No	No
P10589	NR2F1	2.73651489185002	5.47710665558197e-23	No	No
P11926	ODC1	1.00943042514361	0.0065025656692277	No	No
P13196	ALAS1	1.20349161861915	6.72909793934171e-16	No	No
P14778	IL1R1	1.24852252225591	0.001519605545453	No	No
P15391	CD19	1.76504258053865	0.0003051685456476	No	No
P15822	HIVEP1	1.11590112570799	2.57661893012856e-17	No	No
P16104	H2AX	1.01249057708903	0.006807658373368	No	No
P16671	CD36	2.56675144411622	4.0203249574768797e-11	No	No
P17081	RHOQ	1.15268507477423	0.0014183105447569	No	No
P21583	KITLG	1.12228283203343	7.206241305687571e-09	No	No
P22492	H1-6	1.05356108707822	0.0064732206287593	No	No
P22528	SPRR1B	1.81105348292891	4.60568180493853e-06	No	No
P24593	IGFBP5	1.29498595634054	1.50526208241281e-25	No	No
P29536	LMOD1	1.17995625382053	0.0068247108270424	No	No
P30550	GRPR	1.15603844211813	0.0040198077606699	No	No
P31274	HOXC9	1.56036224500804	0.0001818984314077	No	No
P34741	SDC2	2.81838056478169	4.15405969782028e-50	No	No
P41271	NBL1	1.84260631477158	9.708422779841871e-14	No	No
P43355	MAGEA1	2.64172351179667	9.12227305178312e-23	No	No
P43356	MAGEA2B	4.5672694725699	7.47339037108441e-71	No	No
P43357	MAGEA3	3.07009644951854	4.94037163638097e-16	No	No
P43360	MAGEA6	3.28985904349631	1.07745466711943e-41	No	No
P46013	MKI67	1.01737268451012	0.0009077876316565	No	No
P48431	SOX2	2.05483650039943	8.676044619080429e-22	No	No
P48539	PCP4	2.17129659402428	5.8136985545867205e-09	No	No
P49184	DNASE1L1	1.24807423049207	5.30981185979698e-06	No	No
P49454	CENPF	1.18305426608105	3.10376511558049e-07	No	No
P49674	CSNK1E	1.26223064207252	1.31591893982294e-15	No	No
P50402	EMD	1.1245907385875	2.14481049768765e-37	No	No
P51606	RENBP	1.04904766758131	0.002450528820685	No	No
P52789	HK2	1.21624478964013	3.3085788837161703e-25	No	No
P52803	EFNA5	1.4707927153413	3.32426215971789e-06	No	No
P53985	SLC16A1	1.47326152642174	7.3500435673047e-16	No	No
P54108	CRISP3	2.19526566250952	1.5055740348620801e-09	No	No
P54253	ATXN1	1.60089241036112	2.70341664556683e-27	No	No
P54764	EPHA4	2.21471911179477	8.879022104827279e-16	No	No
P55011	SLC12A2	1.42507004442647	1.9229686966335999e-19	No	No
P55809	OXCT1	1.6535435198825	3.08371186471664e-06	No	No
P55851	UCP2	2.27353018503546	3.3586896168615404e-15	No	No
P57087	JAM2	2.0548208455736	8.676573370772252e-09	No	No
P59796	GPX6	1.08195932581156	3.96551925654759e-05	No	No
P61925	PKIA	3.12014833688072	2.0755148151146797e-42	No	No
P78540	ARG2	2.06747614286131	8.58578718501752e-34	No	No
Q00013	MPP1	1.09051708283044	2.41665211641629e-12	No	No
Q02952	AKAP12	2.53710917416821	9.526362070326181e-15	No	No
Q06055	ATP5MC2	1.81220497021792	0.00277385958247	No	No
Q12791	KCNMA1	1.3159246244978	1.14075354540732e-16	No	No
Q13069	GAGE5	3.21716726438974	7.64641958578245e-20	No	No
Q14320	FAM50A	1.05998799194976	4.33432432755461e-28	No	No
Q14739	LBR	1.04998897130751	7.566037311475309e-36	No	No
Q14807	KIF22	1.09788724503416	1.56170740651739e-05	No	No
Q15738	NSDHL	1.07860706032215	3.89320710733761e-26	No	No
Q15768	EFNB3	1.09971909885417	1.90924296430862e-07	No	No
Q2I0M4	LRRC26	1.96486439220651	6.439833846407071e-09	No	No
Q3SXZ3	ZNF718	1.30877371356527	2.77322064478087e-08	No	No
