Protein_Group	Genes	TP53_sg_#3_vs_LCv2_EV_Blast_logFC	TP53_sg_#3_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
A2A2Y4	FRMD3	1.64463803501862	0.0006074801410279	No	No
A4D1S0	KLRG2	2.56031592424196	7.8312090366015e-54	No	No
O00622	CCN1	1.26734934686018	2.97091226065024e-12	No	No
O00748	CES2	1.05821032004749	8.95572176491954e-16	No	No
O14613	CDC42EP2	1.58078625761842	3.78091895181001e-05	No	No
O14682	ENC1	1.38326872890694	8.36714984246823e-06	No	No
O14904	WNT9A	1.10736966101732	7.39734481175753e-07	No	No
O14957	UQCR11	1.16822829869174	0.0076341051182397	No	No
O15197	EPHB6	1.30709776340408	1.88991782180433e-10	No	No
O15393	TMPRSS2	1.05265266548372	1.7180031839780599e-13	No	No
O43157	PLXNB1	1.09741128726938	5.2592253589329e-22	No	No
O43761	SYNGR3	1.61401463947861	4.43327292014474e-25	No	No
O60437	PPL	1.17100823547961	2.70154257900425e-40	No	No
O60504	SORBS3	1.0887224542545	1.08190281012015e-32	No	No
O75452	RDH16	1.33938708782477	1.0979120826351e-11	No	No
O76070	SNCG	1.27342411753524	1.1350743088070501e-35	No	No
O95164	UBL3	1.27624176812617	6.07847550541175e-13	No	No
O95361	TRIM16	1.68407337614825	5.776868874432619e-11	No	No
O95670	ATP6V1G2	1.53996414544686	0.0005638475323914	No	No
O95817	BAG3	1.14962319510841	4.46088454858278e-29	No	No
P00966	ASS1	1.40102058702626	9.92483582723446e-37	No	No
P02511	CRYAB	2.84286157957655	1.02057868118999e-32	No	No
P02753	RBP4	1.86039113872264	1.34417915191304e-20	No	No
P04216	THY1	4.14193291679349	3.31948965544352e-40	No	No
P05090	APOD	1.12605696668917	1.38216664742198e-18	No	No
P05091	ALDH2	1.09810977671342	1.19851725500453e-24	No	No
P05109	S100A8	1.74579771633191	0.0003290668543481	No	No
P05362	ICAM1	1.66924921146464	1.68905074808728e-12	No	No
P06702	S100A9	1.52368123208634	0.0018985957986368	No	No
P07949	RET	1.49047767737875	0.0043243648284969	No	No
P08842	STS	1.2560906999755	4.31458512956351e-16	No	No
P08913	ADRA2A	2.91666139330143	3.286834709096e-15	No	No
P09493	TPM1	1.29415224908608	1.1489744503132e-22	No	No
P10415	BCL2	1.94841293066592	1.1821486155061301e-10	No	No
P11137	MAP2	1.433322986592	2.7753528820590503e-15	No	No
P11498	PC	1.03035368514745	1.7289841557625301e-46	No	No
P12429	ANXA3	1.24923079959784	1.05931956547848e-12	No	No
P12644	BMP4	1.33142515501578	5.71284371112497e-06	No	No
P14061	HSD17B1	2.61760368621443	2.77538690593039e-10	No	No
P15104	GLUL	1.62861883207726	5.68875077975368e-33	No	No
P15907	ST6GAL1	1.04570929789926	1.20009819870141e-12	No	No
P17655	CAPN2	1.23901645494129	2.73891244777794e-37	No	No
P19971	TYMP	1.00303910384796	8.86930059841637e-15	No	No
P21291	CSRP1	1.08455582454251	2.4275072186352002e-32	No	No
P22676	CALB2	1.87603756556209	1.58707539060886e-08	No	No
P23378	GLDC	1.87338499643587	6.18300976437693e-14	No	No
P26447	S100A4	2.28482353463703	1.24286306265506e-41	No	No
P29034	S100A2	1.18743357963583	0.0004568585321208	No	No
P29536	LMOD1	1.14665548951491	0.0046586793476458	No	No
P30874	SSTR2	2.75349612811116	1.3694128097287801e-14	No	No
P31321	PRKAR1B	1.15337743206377	2.2527679461371202e-15	No	No
P32004	L1CAM	1.55884098360574	7.12210354319924e-25	No	No
P32455	GBP1	2.11162012663623	1.23826270241953e-14	No	No
P32456	GBP2	1.53229723954124	7.12174329867662e-08	No	No
P42330	AKR1C3	1.14318821683806	0.0008711299206997	No	No
P42892	ECE1	1.23296015980729	2.1728143139696597e-36	No	No
P43155	CRAT	1.3634951448974	1.94493735489219e-51	No	No
P48061	CXCL12	1.11184803248649	1.84111604841212e-08	No	No
