Protein_Group	Genes	TP53_sg_#3_vs_LCv2_EV_Blast_logFC	TP53_sg_#3_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
P49703	ARL4D	1.50690164886862	6.58118306774372e-06	No	No
P49746	THBS3	1.03067824554178	0.0014273580617936	No	No
P50226	SULT1A2	1.60581391196958	4.48620343858441e-10	No	No
P50897	PPT1	1.02586817788264	2.13126103092013e-23	No	No
P51788	CLCN2	1.10550368420433	7.621877398527759e-30	No	No
P52803	EFNA5	1.19971147644423	3.30088048339804e-05	No	No
P56177	DLX1	1.54854935467059	3.38639806204266e-08	No	No
P61812	TGFB2	2.09982567072373	1.89746702935107e-05	No	No
P78337	PITX1	1.0715830724783	5.52188187892733e-13	No	No
P80365	HSD11B2	2.53912093339745	3.22659004270542e-23	No	No
Q00587	CDC42EP1	1.23847252279028	6.81234964013492e-26	No	No
Q03112	MECOM	1.06379097169987	1.21227901622851e-05	No	No
Q03167	TGFBR3	3.18321240777106	1.57189807985568e-19	No	No
Q07687	DLX2	1.20364075939986	2.00704406287542e-06	No	No
Q08722	CD47	1.03676556891512	5.4090209886004105e-25	No	No
Q08AI8	MAB21L4	1.79518466358696	1.92974141031005e-05	No	No
Q12778	FOXO1	1.09734296744453	0.0073330137342613	No	No
Q12841	FSTL1	1.11751350731165	2.68908540266059e-05	No	No
Q13003	GRIK3	1.38763348973573	7.08365999763521e-14	No	No
Q13275	SEMA3F	1.0173847724048	3.2222581015867704e-23	No	No
Q13636	RAB31	1.7883924535017	1.40834982418931e-20	No	No
Q13740	ALCAM	1.00026184278339	1.73496344284188e-05	No	No
Q14393	GAS6	1.28934254483266	8.35792298361775e-06	No	No
Q14469	HES1	1.42034283487377	6.8807874255163e-14	No	No
Q14511	NEDD9	1.47953180423371	0.0001371269886069	No	No
Q14644	RASA3	1.16339070353766	5.22787311016252e-08	No	No
Q14721	KCNB1	1.52968204364501	3.09771278698075e-10	No	No
Q16719	KYNU	1.81150031876785	7.22109542446799e-39	No	No
Q16842	ST3GAL2	1.40777523573404	1.01698042409994e-05	No	No
Q2M3V2	SOWAHA	1.47989900762967	9.21021326319378e-16	No	No
Q2Y0W8	SLC4A8	1.13957549517918	4.8909028793400204e-09	No	No
Q5SRE7	PHYHD1	1.34811770085031	2.30538517731394e-05	No	No
Q5T2W1	PDZK1	1.67636049656321	4.6861204304349e-30	No	No
Q5T5P2	KIAA1217	1.06597767655639	3.06849801861712e-43	No	No
Q5VT97	SYDE2	1.84816250473385	7.93444516932553e-18	No	No
Q5VUD6	DIPK1B	1.14102001543941	1.79420131118432e-08	No	No
Q5VX52	SPATA1	1.63030589366499	2.53222412900285e-09	No	No
Q60I27	ALS2CL	1.23903278940732	3.20341067925728e-13	No	No
Q658P3	STEAP3	1.72762315163243	3.1523681880795703e-35	No	No
Q6MZZ7	CAPN13	2.43585599706663	7.05512157646228e-05	No	No
Q6P9A2	GALNT18	1.04477629538362	0.000827388109509	No	No
Q6QHC5	DEGS2	1.02699141271047	3.899404080310411e-15	No	No
Q6T4P5	PLPPR3	1.13376657228353	1.6736603191162e-06	No	No
Q6UXH9	PAMR1	3.83351348261729	1.14872700967573e-69	No	No
Q6UXI9	NPNT	1.31275946374033	1.63563409135321e-05	No	No
Q6ZN17	LIN28B	1.28833905206316	0.0004502904777316	No	No
Q6ZUT6	CCDC9B	1.69688074719724	1.8049184524985597e-11	No	No
Q7KYR7	BTN2A1	1.18158599056418	2.12896155205754e-05	No	No
Q7Z591	AKNA	1.59436685184883	4.76731469630846e-10	No	No
Q7Z5Q1	CPEB2	1.00399328589555	0.0006524740592756	No	No
Q7Z7D3	VTCN1	3.26860500775774	1.84731238183374e-30	No	No
Q7Z7K6	CENPV	1.15030465873295	8.80384743356633e-07	No	No
Q86UP2	KTN1	1.04193739700135	9.005806620997051e-25	No	No
Q86VR8	FJX1	1.2704401913088	1.11977074467535e-07	No	No
Q86YD5	LDLRAD3	1.34844017474272	8.60708141991008e-08	No	No
Q86YQ8	CPNE8	1.11948069971857	6.09243557823049e-11	No	No
Q8IV01	SYT12	1.90443297137855	1.69331271381559e-11	No	No
Q8IWU6	SULF1	1.42112032282546	0.0001547880225211	No	No
Q8IZJ3	CPAMD8	1.01797428313251	6.27492471145805e-08	No	No
Q8N1L4	CYP4Z2P	2.32162664741333	1.10187235554256e-11	No	No
Q8N3V7	SYNPO	1.05464554248112	0.0003430449916567	No	No
Q8N755	SLC66A3	1.07004501301746	1.28735700472377e-06	No	No
Q8N8J6	ZNF615	1.1703584210906	0.0070814303001413	No	No
Q8NI32	LYPD6B	2.06002146115032	4.1758835764187003e-10	No	No
Q8TE58	ADAMTS15	1.83997441596283	7.07928650973246e-05	No	No
Q8WUP2	FBLIM1	1.79032454600181	9.195068027953959e-30	No	No
Q8WXX7	AUTS2	1.21159584534726	2.73402069301943e-22	No	No
Q92569	PIK3R3	1.28959458029068	2.4674043488449102e-15	No	No
Q92597	NDRG1	1.95334656415127	2.3914019711675297e-16	No	No
Q92870	APBB2	1.27992693956884	5.1763727396838e-33	No	No
Q96AD5	PNPLA2	1.06727295614251	2.87111317949895e-13	No	No
Q96DX5	ASB9	1.07952659645886	0.0051748514977791	No	No
Q96JA1	LRIG1	1.58623811108012	1.49419783106156e-21	No	No
Q96L08	SUSD3	2.68314941060996	2.5708092562993e-12	No	No
Q96P15	SERPINB11	1.08345993300826	0.0004621222156932	No	No
Q96S99	PLEKHF1	1.18107531274415	1.28173070156655e-07	No	No
Q99708	RBBP8	1.18919505858136	1.67752789843883e-10	No	No
Q9BTL4	IER2	1.20406619751838	0.000911353597016	No	No
Q9BUP0	EFHD1	1.32674654496237	4.9034037081067896e-48	No	No
Q9BXM9	FSD1L	1.18230466581807	8.13251651937891e-07	No	No
Q9BZI1	IRX2	1.56230718564296	7.589550648388499e-12	No	No
Q9C002	NMES1	1.97180842657975	2.3279204179460603e-15	No	No
Q9GZV5	WWTR1	1.1837619863768	3.83713849279276e-15	No	No
Q9H320;Q9H321;Q9H322;Q9NNX9	VCX;VCX3B;VCX2;VCX3A	1.12917533718058	0.0025527624043934	No	No
Q9H568	ACTL8	1.6871492417542	3.14834250076282e-08	No	No
Q9H6L5	RETREG1	1.20041948781695	2.13349751420228e-05	No	No
Q9H7D0	DOCK5	1.08703503191223	3.0929330129144e-34	No	No
Q9H7J1	PPP1R3E	1.00883509523215	0.0015790605420563	No	No
Q9H857	NT5DC2	1.02339138371663	1.78598318002218e-41	No	No
Q9H898	ZMAT4	1.95533769590173	1.9806016525252e-08	No	No
Q9H8L6	MMRN2	1.99218843812998	3.0083161089412696e-11	No	No
Q9H9K5	ERVMER34-1	1.19950847510876	0.0024696946919694	No	No
Q9HB63	NTN4	1.16820348463767	6.81795165048688e-05	No	No
Q9HBL0	TNS1	1.33193714301732	3.3604945384732596e-11	No	No
Q9HCY8	S100A14	2.38257473562556	7.30932218255546e-10	No	No
Q9HD64	XAGE1B	1.48394350620227	2.77075966980394e-10	No	No
Q9NQZ6	ZC4H2	1.2894984989092	5.43058741418038e-05	No	No
Q9NRJ3	CCL28	2.10898453163943	4.92692213781971e-07	No	No
Q9NW07	ZNF358	1.13699977281796	0.0003380433190616	No	No
Q9NX95	SYBU	1.42133758476304	0.0008229092003424	No	No
Q9NY57	STK32B	1.08759056124474	0.0001998232589913	No	No
Q9NYP7	ELOVL5	1.24363344291342	9.06327361490942e-10	No	No
Q9NYQ7	CELSR3	1.13823754948994	3.31260717144738e-17	No	No
Q9NZU0	FLRT3	1.3271487317097	3.41619916802531e-06	No	No
Q9NZV1	CRIM1	1.01323661030867	4.07924002282618e-05	No	No
Q9P0V3	SH3BP4	1.05274535099292	5.0769356192441e-19	No	No
Q9P212	PLCE1	3.28984555391466	6.84662725976809e-18	No	No
Q9UBR2	CTSZ	1.13938355920733	3.0031865863920804e-15	No	No
Q9UFP1	GASK1A	1.19165026982132	0.0001034935151934	No	No
Q9UHQ7	TCEAL9	1.19908826166473	0.0008277207261062	No	No
Q9UHX3	ADGRE2	1.00624926199876	0.0008432724855162	No	No
Q9UJY1	HSPB8	1.04904817658501	3.6204926171683397e-13	No	No
Q9UKI9	POU2F3	1.7144611660827	1.19368762828432e-10	No	No
Q9UKV0	HDAC9	4.52968667198536	1.39707568812062e-49	No	No
Q9UKW6	ELF5	1.02923426006363	0.0008768633832669	No	No
Q9ULD9	ZNF608	1.99127764899431	1.06376529174583e-15	No	No
Q9ULW5	RAB26	1.13717559495486	6.9778953504630105e-09	No	No
Q9ULW8	PADI3	1.21631659330873	1.50351928267189e-19	No	No
Q9UPQ0	LIMCH1	2.39484248045882	3.2446226630054604e-47	No	No
Q9Y2E6	DTX4	2.22336644471085	3.3293486574339398e-12	No	No
Q9Y3L5	RAP2C	1.31818829702742	3.0165085176677904e-19	No	No
Q9Y5R4	HEMK1	1.04562487871572	0.0042144413103147	No	No
Q9Y6G1	TMEM14A	2.55616182197666	0.0008221514484508	No	No
Q9Y6U3	SCIN	2.27714054836964	6.37916595418939e-16	No	No
A0A1B0GWB2	PRRT1B	-1.0472450184727	2.77767197010983e-05	No	No
A1A4S6	ARHGAP10	-1.82956462549898	7.008921796326811e-17	No	No
A4D126	CRPPA	-1.72564356121026	2.42266284211228e-13	No	No
A4D161	FAM221A	-1.42918980776973	0.0003489738886493	No	No
A6NDB9	PALM3	-2.10573438608543	1.08436058799041e-18	No	No
A6NKN8	PCP4L1	-1.42787115652087	9.02601967859027e-07	No	No
A6NMD0	IFITM10	-1.6288354076058	1.67919374549215e-07	No	No
A8MWY0	ELAPOR2	-1.46513637217609	3.1201098349857305e-15	No	No
O00423	EML1	-1.84132987455967	2.14580070072537e-31	No	No
O00526	UPK2	-2.30908712505456	8.4629530829919e-09	No	No
O00560	SDCBP	-1.48636287228201	2.67963221451947e-35	No	No
O14683	TP53I11	-1.1808691120474	1.8976913448791102e-35	No	No
O14717	TRDMT1	-1.0094666633069	4.30940056848924e-05	No	No
O14798	TNFRSF10C	-3.16794209840117	7.38665032387797e-21	No	No
O14975	SLC27A2	-2.57742350296441	9.06602520380098e-29	No	No
O15232	MATN3	-1.67719172114997	4.16945054371371e-22	No	No
O15440	ABCC5	-2.01590596262576	2.97571836504997e-52	No	No
O15484	CAPN5	-2.04669097437076	1.2049848680132699e-18	No	No
O60268	KIAA0513	-1.03401576463333	2.07474587837466e-26	No	No
O60443	GSDME	-2.23986570330919	3.2006635021223804e-25	No	No
O60488	ACSL4	-1.06590063611767	1.41895161004302e-05	No	No
O75155	CAND2	-1.48652805122917	7.37365260432884e-20	No	No
O75204	TMEM127	-1.28133868841989	0.0088464217811183	No	No
O75487	GPC4	-1.04536862654525	1.90442921978299e-08	No	No
O75952	CABYR	-1.10818844089472	0.0013264487061216	No	No
O76074	PDE5A	-1.36745445661525	5.30228296815461e-09	No	No
O94919	ENDOD1	-1.03475931315641	1.5610994929082199e-34	No	No
O95294	RASAL1	-2.52165136119247	4.37061934321363e-19	No	No
O95340	PAPSS2	-2.78479012104046	1.1076993073634399e-22	No	No
O95528	SLC2A10	-2.40899857688519	9.2710325796308e-12	No	No
O95759	TBC1D8	-1.03811958703167	0.0015171298669387	No	No
O95816	BAG2	-1.0667164399674	2.63720353598069e-18	No	No
O95848	NUDT14	-1.55582964946473	2.53023499396955e-08	No	No
O95994	AGR2	-1.34573920110145	3.0187243022889696e-40	No	No
P00813	ADA	-1.27517765749346	1.00643939476323e-11	No	No
P01033	TIMP1	-1.41498858999987	4.77020396174906e-10	No	No
P01893	HLA-H	-1.00005792267445	5.23521064404787e-16	No	No
P01911	HLA-DRB1	-2.54584113970246	4.69260155224291e-18	No	No
P01920	HLA-DQB1	-2.46499097702137	1.3040190162339398e-11	No	No
P02649	APOE	-1.40659734129339	1.9553324658706299e-16	No	No
P02751	FN1	-1.23114643631895	7.7343787417168e-06	No	No
P04233	CD74	-2.35833396670427	6.32636139004205e-21	No	No
P04637	TP53	-5.21408606454998	3.07487495524637e-73	No	No
P05089	ARG1	-1.53996196015089	5.86463674799222e-05	No	No
P05161	ISG15	-1.00484429115244	1.4059772349296e-07	No	No
P06276	BCHE	-2.26370725210749	3.62365820344804e-06	No	No
P06731	CEACAM5	-2.98788233246379	1.30127926497631e-18	No	No
P07948	LYN	-2.20829004639634	3.39204944441733e-41	No	No
P08648	ITGA5	-2.06471436669729	2.10906189981762e-42	No	No
P09668	CTSH	-2.78507855025404	3.10559811081982e-60	No	No
P09913	IFIT2	-1.45436340574142	0.0005962915276641	No	No
P09914	IFIT1	-1.29936858008782	4.78010834005496e-07	No	No
P10321	HLA-C	-1.63227131219198	0.0014960671934089	No	No
P11532	DMD	-4.01913083686475	2.9754837163522697e-18	No	No
P12109	COL6A1	-1.7464349515778	1.07656318471027e-10	No	No
P12273	PIP	-2.3840125870082	6.39334048700837e-10	No	No
P14543	NID1	-1.83631102532892	1.10689350127568e-06	No	No
P15514	AREG	-2.70024123767172	5.39074385539085e-21	No	No
P15863	PAX1	-1.16550895044791	4.29215320322446e-05	No	No
P16070	CD44	-1.87238021310761	3.78015819640293e-29	No	No
P16219	ACADS	-1.81747796944168	1.7410463597074299e-43	No	No
P16885	PLCG2	-2.36043092759683	6.44730186585963e-31	No	No
P17026	ZNF22	-1.32055267858674	6.140627630789119e-12	No	No
P17252	PRKCA	-1.21968080050024	1.8144085002408e-07	No	No
P17540	CKMT2	-1.92986618391691	5.22453546328424e-33	No	No
P17600	SYN1	-1.19427070298947	1.00545171484087e-05	No	No
P20337	RAB3B	-1.40841129026366	0.0001244829474998	No	No
P20591	MX1	-1.63713899306336	9.2313892897312e-08	No	No
P21695	GPD1	-1.7369995442351	1.37563852635946e-29	No	No
P21741	MDK	-1.19489549065809	2.9957756274834e-07	No	No
P21926	CD9	-1.04923277086236	4.6228564059750605e-31	No	No
P22352	GPX3	-1.67482736137472	2.72123259315784e-07	No	No
P22492	H1-6	-1.17019755720825	0.0012354664808271	No	No
P22570	FDXR	-1.10184868398122	3.99186682034243e-54	No	No
P24588	AKAP5	-2.70449662133073	1.14575259303913e-14	No	No
P25815	S100P	-2.33808853536451	1.33286937378129e-19	No	No
P25942	CD40	-3.78094130490864	3.4853314114509395e-36	No	No
P28067	HLA-DMA	-2.48338083293192	1.4975197609625e-08	No	No
P28289	TMOD1	-2.09007979711312	1.3912681776577e-22	No	No
P29728	OAS2	-3.04488643232389	1.0535725959825e-30	No	No
P29762	CRABP1	-2.607703937865	8.57269162737149e-12	No	No
P30533	LRPAP1	-1.04880202865675	6.3299586601976395e-40	No	No
P30988	CALCR	-1.07447778306947	1.54790801843483e-07	No	No
P31323	PRKAR2B	-1.02503814584612	5.0116045884506505e-09	No	No
P35080	PFN2	-1.50200351904677	4.0282753700131296e-28	No	No
P35568	IRS1	-1.53603445092112	2.18757726110568e-07	No	No
P35611	ADD1	-1.11801567521859	1.02663562581108e-47	No	No
P36959	GMPR	-1.89666717124172	7.89739136193726e-14	No	No
P41271	NBL1	-1.5274554255492	6.96475539897134e-12	No	No
P43005	SLC1A1	-1.85817795085245	1.19124180702607e-05	No	No
P43234	CTSO	-1.07248709467914	1.69801618303178e-07	No	No
P43355	MAGEA1	-3.45099642459971	7.51793989722533e-32	No	No
P45844	ABCG1	-2.93052557011849	7.91000297164475e-18	No	No
P47712	PLA2G4A	-1.58318545825751	5.796398352712399e-13	No	No
P48066	SLC6A11	-1.33387048806938	0.0001385552046685	No	No
P48539	PCP4	-1.64140786788562	9.17868913087705e-07	No	No
P49326	FMO5	-3.42389735170969	8.130573315218011e-44	No	No
P49753	ACOT2	-1.1400802057874	8.456737303988711e-31	No	No
P51589	CYP2J2	-1.61497179121035	2.24262431312201e-17	No	No
P52566	ARHGDIB	-2.13247845436071	1.37252169454487e-27	No	No
P53634	CTSC	-1.26208835510945	1.7840935422311698e-22	No	No
P54108	CRISP3	-1.63704871442401	4.45730935749669e-07	No	No
P54289	CACNA2D1	-1.03076547421546	1.73640826476037e-26	No	No
P55082	MFAP3	-1.53596618096435	4.92722558524331e-38	No	No
P56159	GFRA1	-1.53943275098816	5.64282221389495e-08	No	No
P57087	JAM2	-1.25816971942576	5.72529742625871e-05	No	No
P61647	ST8SIA6	-1.61314910283386	5.23510507959509e-11	No	No
P61764	STXBP1	-2.56554707246677	2.0616438075972e-36	No	No
P61952	GNG11	-1.06382208661523	3.88163651463619e-15	No	No
P78559	MAP1A	-1.6006960617342	3.90115270741672e-37	No	No
P80217	IFI35	-1.75209660814381	8.852421945770339e-40	No	No
P98082	DAB2	-1.67861756856382	1.34721233178099e-10	No	No
Q00534	CDK6	-1.69144041935748	2.21374484090886e-16	No	No
Q02318	CYP27A1	-1.13296580079923	0.0002733352317243	No	No
Q02952	AKAP12	-1.29336814105464	1.31607045298815e-06	No	No
Q05823	RNASEL	-1.05723824054876	9.53332969013869e-29	No	No
Q07065	CKAP4	-1.01170420193253	4.5511431752452e-46	No	No
Q07654	TFF3	-1.85128689303798	4.2151923075796397e-16	No	No
Q07954	LRP1	-2.25568243940751	4.65530984766259e-47	No	No
Q08380	LGALS3BP	-1.85173242956173	2.89410679267454e-43	No	No
Q08426	EHHADH	-1.13601329821499	3.0231912180068196e-26	No	No
Q08AF3	SLFN5	-2.88831774397361	2.67878031526011e-58	No	No
Q12791	KCNMA1	-1.7790093749312	2.28816923993578e-25	No	No
Q12800	TFCP2	-1.01886459119576	2.16732268308089e-25	No	No
Q12840	KIF5A	-1.36346541907284	7.21262045029939e-07	No	No
Q12948	FOXC1	-1.09032392759063	0.0039463940047139	No	No
Q12983	BNIP3	-1.37805455499688	6.79738877828263e-13	No	No
Q13018	PLA2R1	-1.21660827752955	0.0003048503279878	No	No
Q13216	ERCC8	-1.01105463274522	1.20358069059509e-07	No	No
Q13287	NMI	-1.56714830246892	7.38716668324377e-42	No	No
Q13576	IQGAP2	-1.29959712050947	9.99003749912199e-05	No	No
Q13867	BLMH	-1.3740394412471	8.14079621759492e-43	No	No
Q13938	CAPS	-1.30440456825956	0.0002374340814877	No	No
Q14142	TRIM14	-2.81116790900052	1.9130647117922502e-21	No	No
Q15120	PDK3	-1.07120388950786	5.94405311643693e-26	No	No
Q15269	PWP2	-1.68545973437496	4.87575931043847e-06	No	No
Q15438	CYTH1	-1.02197142071432	1.99175895229765e-20	No	No
Q15746	MYLK	-1.22181101441118	9.35529547582693e-08	No	No
Q15768	EFNB3	-1.53843204511642	5.55033406678381e-13	No	No
Q16678	CYP1B1	-2.59988386624721	3.03884672867502e-11	No	No
Q3KR16	PLEKHG6	-1.19748502835953	5.82677366163748e-06	No	No
Q3SY69	ALDH1L2	-1.42418771284354	3.75453869438276e-14	No	No
Q3SY77	UGT3A2	-4.14902252698724	7.52257932442979e-27	No	No
Q495W5	FUT11	-1.11351984296661	2.0191713720954996e-12	No	No
Q49AH0	CDNF	-2.09992536624874	6.936301191241e-09	No	No
Q53FA7	TP53I3	-4.74420174967594	7.599973668534261e-68	No	No
Q53FZ2	ACSM3	-1.02595485717005	6.89097197281355e-13	No	No
Q53GG5	PDLIM3	-3.45297733588755	2.6608271449073404e-15	No	No
Q5I0X7	TTC32	-1.02861020830433	0.0001882393747129	No	No
Q5JSL3	DOCK11	-1.18128969018321	2.0993940049412902e-19	No	No
Q5MNZ9	WIPI1	-1.80563491098498	5.25223393833714e-31	No	No
Q5MY95	ENTPD8	-1.28406402785608	1.96144706265302e-05	No	No
Q5T013	HYI	-1.09480132084973	1.51029727804763e-05	No	No
Q5T7M9	DIPK1A	-1.097287954019	0.0005916752299138	No	No
Q5T848	GPR158	-1.22177942908843	5.15292183058468e-05	No	No
Q5U4P2	ASPHD1	-1.39850174481404	7.899570519597391e-10	No	No
Q5U649	C12orf60	-1.19654722756647	4.58421206663307e-05	No	No
Q5VUG0	SFMBT2	-1.24977252882231	0.0001940854873038	No	No
Q684P5	RAP1GAP2	-2.84478650399057	1.6541818777282402e-15	No	No
Q68BL7	OLFML2A	-1.31894201430637	8.62622268359323e-06	No	No
Q6BCY4	CYB5R2	-1.41872598025914	1.91415129832204e-18	No	No
Q6PCE3	PGM2L1	-1.02875949141406	2.1404476157943103e-15	No	No
Q6PJ21	SPSB3	-1.05424423571796	0.0055406987705966	No	No
Q6UX53	METTL7B	-1.7185030334738	3.26871667561646e-14	No	No
Q6XZF7	DNMBP	-1.51784392958986	9.91929315540091e-10	No	No
Q6YHK3	CD109	-1.03547421262267	0.0019753032160711	No	No
Q6ZMZ3	SYNE3	-1.66527350263244	3.13989782364063e-38	No	No
Q6ZNL6	FGD5	-1.36474728201916	0.0006969382431761	No	No
Q71RC9	SMIM5	-1.3438687191962	0.0004118625279636	No	No
Q76EJ3	SLC35D2	-1.13319838421856	0.0002612291755352	No	No
Q7L266	ASRGL1	-2.49410317004197	6.734342353344639e-11	No	No
Q7L311	ARMCX2	-1.15975868946433	1.56479252750324e-14	No	No
Q7L5N7	LPCAT2	-1.26315573443346	8.02075195727841e-21	No	No
Q7Z2H8	SLC36A1	-1.2963876826563	4.97756678367663e-07	No	No
Q7Z7L1	SLFN11	-1.02932550351568	2.64029663530133e-13	No	No
Q86SG6	NEK8	-1.11478990696511	0.0023016965129494	No	No
Q86TV6	TTC7B	-1.06114857453112	8.49807939596042e-10	No	No
Q86UK0	ABCA12	-1.58099859734964	3.64734414127277e-13	No	No
Q86UW7	CADPS2	-1.1677207659834	1.2204790178010501e-21	No	No
Q86YB8	ERO1B	-1.42668638184562	1.02702591314829e-26	No	No
Q8IU85	CAMK1D	-2.17677215483788	8.650750013531511e-19	No	No
Q8IUX4	APOBEC3F	-1.24145896217793	5.03288437041959e-10	No	No
Q8IV56	PRR15	-1.488793614275	5.521902227193901e-10	No	No
Q8IVF2	AHNAK2	-1.93347928024958	2.16140274462303e-41	No	No
Q8IVF7	FMNL3	-1.89655436258178	6.6063234307204e-07	No	No
Q8IVU3	HERC6	-1.82590888680849	1.95164325899198e-07	No	No
Q8IVW6	ARID3B	-1.19946513271526	1.71680931213389e-18	No	No
Q8IY22	CMIP	-1.03678860465029	2.02709128582181e-14	No	No
Q8IYS0	GRAMD1C	-1.08909114685915	1.63872390992021e-05	No	No
Q8N1Q1	CA13	-1.25275269096789	6.80147137243748e-08	No	No
Q8N2A8	PLD6	-3.41253456098721	2.98053261790396e-12	No	No
Q8N5V2	NGEF	-2.28422045118906	1.90205872425467e-10	No	No
Q8N720	ZNF655	-1.64100198647626	0.0045827425822503	No	No
Q8N8A2	ANKRD44	-1.04136829232561	8.70105130728521e-24	No	No
Q8N9F7	GDPD1	-1.04208505348159	1.66608495417776e-25	No	No
Q8N9Z2	CCDC71L	-1.12593970985287	1.24321392926248e-12	No	No
Q8NAT2	TDRD5	-1.94083197848798	3.42724096334918e-07	No	No
Q8NBQ7	AQP11	-1.75841261421179	7.889173939329339e-12	No	No
Q8NF50	DOCK8	-2.39170858070928	7.354601223844041e-21	No	No
Q8NFW9	MYRIP	-2.8204064234868	4.00243413746697e-13	No	No
Q8NG08	HELB	-1.60436611380551	1.8097588407136802e-09	No	No
Q8TB45	DEPTOR	-1.16266902661555	9.80909146002599e-15	No	No
Q8TBN0	RAB3IL1	-1.06716140908268	0.0001327585768887	No	No
Q8TD55	PLEKHO2	-1.10968278739625	1.06960970143264e-23	No	No
Q8TDD5	MCOLN3	-1.14743832622941	0.0043730029234398	No	No
Q8TDN7	ACER1	-1.28859486828121	0.0019845069952507	No	No
Q8TE96	DQX1	-1.88980185191481	0.0005745767552872	No	No
Q8TF71	SLC16A10	-1.89554750873172	2.1100018344443697e-12	No	No
Q8WU67	ABHD3	-1.56923857493516	6.51015640456942e-06	No	No
Q8WVV4	POF1B	-2.44199123704711	7.73647414041988e-32	No	No
Q8WW22	DNAJA4	-1.19705533585341	7.11372249303773e-40	No	No
Q8WW38	ZFPM2	-1.23550255020811	7.82719218625028e-06	No	No
