Protein_Group	Genes	pLVX_CyclinE1_OE_vs_pLVX_EV_logFC	pLVX_CyclinE1_OE_vs_pLVX_EV_pval	Removed?	Contaminant?
Q96H40	ZNF486	-1.73907387506214	1.70986166447141e-05	No	No
Q9BXC0	HCAR1	-1.01052618078192	0.0020627161466218	No	No
Q9BY76	ANGPTL4	-1.10939031619411	0.0054004498738827	No	No
Q9H4D0	CLSTN2	-1.47074711737979	0.0030943977277814	No	No
Q9H4M3	FBXO44	-1.28783675165384	0.0043532360046563	No	No
Q9H5J4	ELOVL6	-2.40417045063259	0.0003195591184377	No	No
Q9HB63	NTN4	-1.06298734853511	0.0021037773461507	No	No
Q9HCH5	SYTL2	-1.39041395951686	2.32723411878943e-07	No	No
Q9NUN7	ACER3	-1.69237674274189	0.0096682620191863	No	No
Q9P296	C5AR2	-1.11402451414892	0.0004260342055943	No	No
Q9UJV3	MID2	-1.51892107449172	0.0076693813684031	No	No
Q9ULR5	PAIP2B	-1.27997685635515	9.65385817637133e-05	No	No
Q9Y2E6	DTX4	-1.1645289716227	0.0005968282537607	No	No
Q9Y5R4	HEMK1	-2.43693568845625	1.93704183915083e-07	No	No
