Protein_Group	Genes	pLVX_EV_Tr_vs_pLVX_EV_logFC	pLVX_EV_Tr_vs_pLVX_EV_pval	Removed?	Contaminant?
Q9NS87	KIF15	-1.48617708498706	1.22412611527616e-10	No	No
Q9NS91	RAD18	-1.46415731595718	2.47628461374984e-22	No	No
Q9NSP4	CENPM	-1.04038598484666	1.67490581869049e-05	No	No
Q9NTJ3	SMC4	-1.29264717682663	3.06155344069252e-26	No	No
Q9NVI1	FANCI	-1.98777718938255	1.64628457271153e-13	No	No
Q9NVP2	ASF1B	-1.05142065930956	1.84445659620452e-05	No	No
Q9NXG0	CNTLN	-1.13829971396112	2.27356271554768e-07	No	No
Q9NY47	CACNA2D2	-1.01935963499544	0.0043125700505889	No	No
Q9NYP9	MIS18A	-1.18973548776204	1.18471441574141e-13	No	No
Q9NYZ3	GTSE1	-2.21002671359675	2.0872818001581e-08	No	No
Q9NZJ0	DTL	-1.45073329357333	6.85742356809498e-09	No	No
Q9P209	CEP72	-2.18738369930198	3.41147114443289e-08	No	No
Q9P2W1	PSMC3IP	-2.61456183359594	8.0750028911126e-15	No	No
Q9UBC3	DNMT3B	-1.24343931362915	8.68391487125142e-06	No	No
Q9UH17	APOBEC3B	-1.58521244987265	1.9280739382224699e-13	No	No
Q9UJG1	MOSPD1	-1.06363802791392	1.79678527382681e-05	No	No
Q9UKT4	FBXO5	-2.03450769106381	1.24474612260112e-13	No	No
Q9UKW6	ELF5	-1.35700020389613	0.0002934525129133	No	No
Q9ULW0	TPX2	-2.28232241800015	9.122682718231849e-11	No	No
Q9ULX9	MAFF	-2.39796101173878	1.57444873802729e-05	No	No
Q9UNS1	TIMELESS	-1.41455189594925	3.59786864790496e-19	No	No
Q9UQR0	SCML2	-1.11433957644309	4.19048591736277e-22	No	No
Q9UQV4	LAMP3	-2.93275398509031	3.59832438621547e-19	No	No
Q9Y248	GINS2	-1.30078573924389	2.51663136885351e-11	No	No
Q9Y2E6	DTX4	-2.03377511000994	1.98602940516704e-08	No	No
Q9Y448	KNSTRN	-1.94087853390845	3.62602522953921e-10	No	No
Q9Y5T4	DNAJC15	-1.31552273086571	6.580760632452379e-11	No	No
Q9Y5U5	TNFRSF18	-2.25334817800225	2.58831174354253e-08	No	No
Q9Y620	RAD54B	-1.41169733833327	2.0512454171410201e-10	No	No
Q9Y6A5	TACC3	-1.75256874308051	2.25684502531696e-09	No	No
