Protein_Group	Genes	pLVX_EV_Tr_vs_pLVX_EV_logFC	pLVX_EV_Tr_vs_pLVX_EV_pval	Removed?	Contaminant?
Q96FE7	PIK3IP1	1.21582069333895	0.0013230043562873	No	No
Q96FL8	SLC47A1	1.42228820404149	1.97571402211338e-07	No	No
Q96GX8	C16orf74	1.96090292058621	0.0001016622453098	No	No
Q96NY7	CLIC6	1.32583737087978	4.7527210775627e-07	No	No
Q99500	S1PR3	1.91661357719078	7.48675364786132e-09	No	No
Q99574	SERPINI1	1.44146844345893	2.2453453263641397e-18	No	No
Q9BS91	SLC35A5	1.06632661471349	9.94719050479424e-05	No	No
Q9BW04	SARG	1.09895027334985	0.0020860635459847	No	No
Q9BYN7	ZNF341	1.62244915884447	0.000250732259904	No	No
Q9C0K1	SLC39A8	1.05810395390685	0.0053691698426302	No	No
Q9H3M7	TXNIP	1.08034907511927	5.0312778003412e-05	No	No
Q9H3S4	TPK1	1.3722070109386	0.0003446178844703	No	No
Q9HB63	NTN4	1.47625700786187	3.15737060718206e-05	No	No
Q9NP84	TNFRSF12A	1.22524981410087	0.0015522388057094	No	No
Q9NRH3	TUBG2	1.10188705675147	7.01242586158394e-06	No	No
Q9NX95	SYBU	1.31380930182237	0.0091535677385463	No	No
Q9NZ71	RTEL1	1.06095708163698	0.0013925294664222	No	No
Q9P232	CNTN3	1.05791469957258	9.54797616417918e-06	No	No
Q9UBN1	CACNG4	1.15596853866154	0.0007440373825028	No	No
Q9UHX3	ADGRE2	1.90293178174008	5.4836691483546e-07	No	No
Q9UJT0	TUBE1	1.09182277544193	0.0004575519931324	No	No
Q9UKI2	CDC42EP3	1.55288978064639	6.78371233971877e-05	No	No
Q9UKY0	PRND	1.31282372959412	0.0071525569400163	No	No
Q9UNA1	ARHGAP26	1.40733301986344	7.49001171286876e-05	No	No
Q9Y2D0	CA5B	1.01997227650478	8.015901218098909e-11	No	No
Q9Y4H4	GPSM3	2.01061547341633	4.35049670572729e-05	No	No
Q9Y566	SHANK1	1.14362044008259	0.0037369746003753	No	No
Q9Y5I1	PCDHA11	1.29282894276164	0.0029779329988054	No	No
Q9Y5U4	INSIG2	1.13712379041736	0.0003299113607732	No	No
A8MT69	CENPX	-1.29355395674552	3.28910749862291e-08	No	No
H0Y354;Q6L9T8	FAM72C;FAM72D	-1.66888953668339	2.07299821353454e-06	No	No
O00311	CDC7	-1.60053192998298	1.6399449332500897e-11	No	No
O00762	UBE2C	-2.08095233803634	2.12965557637331e-07	No	No
O14578	CIT	-1.70318957719069	3.12485308484879e-15	No	No
O14732	IMPA2	-1.22475834642993	3.01176609258016e-12	No	No
O14757	CHEK1	-1.50862489771652	1.0691290205371599e-11	No	No
O14775	GNB5	-1.25603175842725	9.26551361302759e-05	No	No
O14777	NDC80	-1.98863372243634	4.54997705152953e-08	No	No
O14965	AURKA	-1.98947674166737	9.04227889412301e-12	No	No
O14975	SLC27A2	-1.08704274833593	3.50178592595287e-08	No	No
O15062	ZBTB5	-1.12173405474688	3.956076634344151e-09	No	No
O15287	FANCG	-1.42961320957529	3.34435241597415e-08	No	No
O15297	PPM1D	-1.11924586398114	0.0002462341745248	No	No
O15304	SIVA1	-1.33676592993341	5.11968793989625e-05	No	No
O15350	TP73	-1.87445613236728	9.378438038846941e-20	No	No
O15360	FANCA	-1.17965698139429	3.64887060266489e-05	No	No
O15392	BIRC5	-2.4340532719852	1.57892180669815e-06	No	No
O43248	HOXC11	-1.10404830397531	6.50924347065214e-06	No	No
O43379	WDR62	-2.22577717539385	2.25357114047973e-17	No	No
O43463	SUV39H1	-1.69686220462834	2.83535537341938e-16	No	No
O43482	OIP5	-1.15802326815775	8.853312829975401e-11	No	No
O43542	XRCC3	-1.08323368647156	1.8798685983966e-07	No	No
O43663	PRC1	-2.20264558448028	4.5890133073149296e-11	No	No
O43683	BUB1	-1.81320690916918	5.76104982545259e-10	No	No
O60427	FADS1	-1.08883718675819	5.161685306464551e-15	No	No
O60566	BUB1B	-1.05427905368725	1.8578740395900398e-12	No	No
O75330	HMMR	-2.18739632456115	1.8378184286015701e-09	No	No
O75417	POLQ	-1.09818590982566	9.38190982573932e-06	No	No
O75419	CDC45	-2.00360609089242	3.86873292824005e-09	No	No
O75446	SAP30	-1.44582482562772	5.58929096344275e-19	No	No
O75462	CRLF1	-2.08547833983347	2.1905450428295e-06	No	No
O75496	GMNN	-1.82815072687014	5.76444318878363e-10	No	No
O75717	WDHD1	-1.25333896895322	9.50837860927215e-17	No	No
O75764	TCEA3	-1.37872697731118	2.31227592507921e-23	No	No
O94761	RECQL4	-1.31926645915975	1.72845226419076e-14	No	No
O94782	USP1	-1.16693128225821	9.260183151415049e-12	No	No
O95067	CCNB2	-2.19511361037972	1.91452976225913e-10	No	No
O95229	ZWINT	-1.21991506284362	1.62186119459721e-07	No	No
O95235	KIF20A	-2.50765224710627	9.25559579110812e-10	No	No
O95239	KIF4A	-2.33851360571853	9.91797906332642e-16	No	No
O95347	SMC2	-1.20044133530072	1.51407369747341e-22	No	No
O95997	PTTG1	-2.62149313039361	3.27027820587371e-18	No	No
O96024	B3GALT4	-1.52748718755938	0.0060702025400653	No	No
O96028	NSD2	-1.62520850634379	3.12405055054434e-19	No	No
P00374	DHFR	-2.03687620168229	2.57506194144478e-06	No	No
P01106	MYC	-1.34743752299725	9.98572558540132e-05	No	No
P02795	MT2A	-1.05721577225976	0.0006217074235076	No	No
P04183	TK1	-2.2752779995408	1.81629572758587e-09	No	No
P04818	TYMS	-2.55427057664831	5.673721983942221e-09	No	No
P06493	CDK1	-1.60608629266461	2.2667727225619e-15	No	No
P09884	POLA1	-1.18405021135852	4.46448819000074e-20	No	No
P0DJ93	SMIM13	-1.35688067261285	1.11271394642356e-08	No	No
P10244	MYBL2	-2.07668174120381	2.04683928750939e-10	No	No
P11388	TOP2A	-2.1467910813078	3.6433052998208594e-11	No	No
P12004	PCNA	-1.16546260639556	1.1916413016348801e-17	No	No
P14635	CCNB1	-2.48814671347885	2.60759680409343e-08	No	No
P16402	H1-3	-1.82446403510286	6.6233529411704395e-18	No	No
P16403	H1-2	-1.18559341476602	1.24612234797212e-16	No	No
P16949	STMN1	-1.15821297829977	7.43176317019876e-17	No	No
P17707	AMD1	-1.03119421105093	0.0038355029920943	No	No
P18858	LIG1	-1.25598834037871	3.9348039579354e-14	No	No
P19544	WT1	-1.61232147081085	0.0004464728120449	No	No
P20248	CCNA2	-1.87227955947164	7.92214305839383e-12	No	No
P22352	GPX3	-1.41175796001607	0.0001748528646344	No	No
P23527	H2BC17	-1.49921435855903	0.0002758015038057	No	No
P26358	DNMT1	-1.22228932351512	4.4027819896856604e-23	No	No
P28749	RBL1	-1.26282211541774	2.30733358802342e-08	No	No
P30305	CDC25B	-2.52795151479474	1.839738765777e-15	No	No
P30307	CDC25C	-1.60044970982481	3.81614105304861e-07	No	No
P30793	GCH1	-1.22425511865584	0.000363253278892	No	No
P31350	RRM2	-1.87608070681902	1.8548324547313e-06	No	No
P33316	DUT	-1.79807091637738	3.6912730578464304e-19	No	No
P33552	CKS2	-1.89980882929262	3.1213947211782204e-09	No	No
P38398	BRCA1	-1.25369905054335	2.77390973388796e-09	No	No
P41002	CCNF	-1.7011140079612	4.732095770675171e-09	No	No
P42166	TMPO	-1.03190820925602	7.14042484163662e-38	No	No
P42575	CASP2	-1.14992276741746	2.10021012630881e-12	No	No
P42695	NCAPD3	-1.44496008753131	1.9403306046468e-21	No	No
P43007	SLC1A4	-1.09923554522344	2.1106573687501298e-18	No	No
P46013	MKI67	-2.23436175722836	1.91237750847485e-09	No	No
P48067	SLC6A9	-1.06221610777797	0.0003728845337315	No	No
P49454	CENPF	-2.14348831710048	6.85393876149733e-14	No	No
P49642	PRIM1	-1.39428413024302	2.33516185897483e-14	No	No
P49643	PRIM2	-1.22820306746677	6.27913043378779e-14	No	No
P49862	KLK7	-1.26929710478407	4.97743220005165e-29	No	No
P51530	DNA2	-1.58259715074223	4.171914855625971e-09	No	No
P51693	APLP1	-1.00758024403792	0.0041898321212013	No	No
P51955	NEK2	-1.80619734640832	2.7463656769599104e-15	No	No
