Protein_Group	Genes	T47D_ResB_Tr_vs_T47D_ResB_logFC	T47D_ResB_Tr_vs_T47D_ResB_pval	Removed?	Contaminant?
P15498	VAV1	-1.40225182371761	6.62100027464585e-05	No	No
P17676	CEBPB	-1.32257204014567	1.3231153835958102e-15	No	No
P20248	CCNA2	-1.00645495348919	4.59629844235421e-05	No	No
P31350	RRM2	-1.00723148373155	0.0070549892147171	No	No
P35638	DDIT3	-1.37245240498318	1.97352073825236e-05	No	No
P37088	SCNN1A	-1.08571888995068	0.0026516544047776	No	No
P48539	PCP4	-1.12587077769522	0.003239755816848	No	No
P59796	GPX6	-1.04230467070328	0.0003238410697919	No	No
Q01664	TFAP4	-1.29945799582942	0.0003679390639749	No	No
Q12815	TROAP	-1.07968909344234	0.0034932114064933	No	No
Q14012	CAMK1	-1.19050069913856	0.0027508278296543	No	No
Q14807	KIF22	-1.16162030278109	3.78685107841701e-05	No	No
Q15828	CST6	-1.7122133688793	0.0006394582027313	No	No
Q16659	MAPK6	-1.13987729829949	0.006183837999944	No	No
Q5JSP0	FGD3	-1.41567493174122	1.75151552077675e-06	No	No
Q6MZZ7	CAPN13	-2.15924300051557	0.0027549198902312	No	No
Q71DI3	H3C13	-1.51614817956701	0.0003061593919308	No	No
Q86UD4	ZNF329	-1.45471390963325	0.0035844540015633	No	No
Q86XT2	VPS37D	-1.33031538870898	0.0009101360077319	No	No
Q8IYW5	RNF168	-1.01397889618849	8.26990073518052e-06	No	No
Q8IZJ1	UNC5B	-1.18792278703734	8.24614728989388e-16	No	No
Q8NFI4	ST13P5	-5.18045417413373	2.73567475800199e-13	No	No
Q8TF42	UBASH3B	-1.02438107089597	0.0035831598636314	No	No
Q96CX2	KCTD12	-1.0715668241461	0.0069122292041347	No	No
Q96EN9	REX1BD	-1.10154205978556	0.0032346332118704	No	No
Q96GM1	PLPPR2	-2.11051427072112	7.3347185591727e-05	No	No
Q96GT9	XAGE2	-1.48575152914671	0.0029583238172639	No	No
Q96MW7	TIGD1	-1.16522347348795	0.0010576800576866	No	No
Q96RU7	TRIB3	-1.56116517330526	0.0073881333442891	No	No
Q9BW11	MXD3	-1.08442959109802	8.79659272549984e-06	No	No
Q9BXM9	FSD1L	-1.03684882680964	0.0001980121013251	No	No
Q9HB96	FANCE	-1.19490365860671	6.65871733348895e-05	No	No
Q9UK33	ZNF580	-1.17435595972569	0.0024130668194428	No	No
Q9UKI9	POU2F3	-1.90186992554371	1.5427394900265202e-09	No	No
Q9UKT4	FBXO5	-1.1616996547072	2.18564304917485e-06	No	No
Q9Y5H7	PCDHA5	-1.23705736877703	0.0097618724099759	No	No
Q9Y617	PSAT1	-1.21286728239188	6.322065446294559e-12	No	No
Q9Y6B2	EID1	-1.20496139653445	0.0052691345194054	No	No
