Protein_Group	Genes	T47D_ResA_p26_Tr_vs_T47D_ResA_p26_logFC	T47D_ResA_p26_Tr_vs_T47D_ResA_p26_pval	Removed?	Contaminant?
A2RUS2	DENND3	1.85175556413522	9.64958589864755e-06	No	No
A8MTW9		1.0562666013065	0.0068981625841582	No	No
A8MWL7;Q9NUH8	TMEM14DP;TMEM14B	1.77397030644844	0.0008024967910793	No	No
B3EWG3;B3EWG5;B3EWG6	FAM25A;FAM25C;FAM25G	1.06407090221438	1.23669022067801e-05	No	No
H3BPM6	MKRN2OS	1.29897441137462	0.0062150251176379	No	No
O60241	ADGRB2	1.13930806851738	0.0027858743903726	No	No
O75204	TMEM127	1.54047132203366	0.0089118391869289	No	No
O94819	KBTBD11	1.4239009512731	0.0012870681611747	No	No
O95848	NUDT14	1.6703146182745	4.14912543561705e-07	No	No
P01920	HLA-DQB1	1.16104253645618	0.0027001771659779	No	No
P05981	HPN	1.00474800774189	1.6238456813685e-08	No	No
P07195	LDHB	1.91567411280716	1.92989015863804e-07	No	No
P07476	IVL	1.03173986023536	6.2363501316185e-12	No	No
P0DPH7;P0DPH8	TUBA3C;TUBA3D	1.60129390685291	1.77339806809681e-05	No	No
P18564	ITGB6	1.16056633226602	7.11409606633555e-05	No	No
P21217	FUT3	2.2379288607759	1.9549194085480002e-21	No	No
P22415	USF1	1.55151662547717	0.0022162219510958	No	No
P24385	CCND1	1.36430745729393	3.82691169268357e-21	No	No
P29034	S100A2	2.26377207402462	1.34518896137437e-07	No	No
P29508	SERPINB3	3.08148248311288	0.0005101078163079	No	No
P31944	CASP14	4.35630409672578	2.62397731509447e-07	No	No
P36959	GMPR	1.02985421244165	0.000105228552262	No	No
P43365	MAGEA12	1.38191535784112	1.4493788190429e-08	No	No
P55822	SH3BGR	1.07898903049451	0.0002342904382225	No	No
P61647	ST8SIA6	1.08971759583088	5.44547988912441e-05	No	No
P68106	FKBP1B	1.12808404310841	0.0069580449498573	No	No
P81605	DCD	1.40362201257367	0.003911517635927	No	No
Q01469	FABP5	4.0282541974569	9.3252871087953e-06	No	No
Q05682	CALD1	1.06599224636548	4.18839540677035e-05	No	No
Q08554	DSC1	2.97511275625237	4.97883775731115e-05	No	No
Q0IIM8	TBC1D8B	1.250587565066	6.77229602542996e-10	No	No
Q14031	COL4A6	1.24658111704678	0.0022922604461081	No	No
Q15828	CST6	2.94664543880463	3.41789465887182e-08	No	No
Q1RMZ1	BMT2	1.49338229433842	0.0001577522576803	No	No
Q2TAC2	CCDC57	1.39956866802965	0.0027850856250049	No	No
Q2TAP0	GOLGA7B	1.01064081540753	0.0055295255207203	No	No
Q5BKX6	SLC45A4	2.13736364455957	1.4347636126842501e-15	No	No
Q5T750	XP32	3.42918125364293	5.41024792115572e-07	No	No
Q5T7B8	KIF24	1.51767200254368	0.0076362614481499	No	No
Q5TC79	ZBTB37	1.65781317257549	0.0093750960871597	No	No
Q6P2H8	TMEM53	1.35492427452486	2.78715800416245e-05	No	No
Q6UWP8	SBSN	2.72823252095846	1.72731009810225e-05	No	No
Q6UY01	LRRC31	1.57604417058146	1.5951584321959e-11	No	No
Q6ZNA4	RNF111	1.34282764296417	0.0035666459646733	No	No
Q6ZSY5	PPP1R3F	1.31639883296706	0.0011169770195428	No	No
Q6ZVX7	NCCRP1	2.65422718988084	5.53001445820258e-09	No	No
Q6ZW13	C16orf86	1.61616507035954	0.0045245278825575	No	No
Q7Z402	TMC7	1.39581988328271	0.0003617186211221	No	No
Q7Z494	NPHP3	1.28572657572259	3.43076728258545e-05	No	No
Q8N2H9	PELI3	1.26415960886506	1.40023705853186e-06	No	No
Q8N4M1	SLC44A3	1.24928420420573	2.6548763030892e-05	No	No
Q8NFZ3	NLGN4Y	1.09602201439758	0.0042580425410098	No	No
Q8TCB0	IFI44	1.12355699873531	9.76331432681633e-08	No	No
Q8WV48	CCDC107	2.33601175982195	3.52104977776142e-13	No	No
Q92902	HPS1	1.30731145862257	1.01729610174932e-05	No	No
Q969W9	PMEPA1	1.00734842988706	0.0002637395350493	No	No
Q96AP4	ZUP1	1.43169628822509	0.0041663807301693	No	No
Q96E17	RAB3C	2.0163334565655	0.0013663509135504	No	No
Q96EF9	ZHX1-C8orf76	1.48255477458659	0.0007784189638201	No	No
Q96FE7	PIK3IP1	1.33234460856008	0.0004710789715875	No	No
Q96FL8	SLC47A1	1.50694376951392	4.76085107490624e-08	No	No
Q96GM1	PLPPR2	2.55224245092269	2.66149801530224e-06	No	No
Q96L34	MARK4	1.50269558780617	0.0008113107570459	No	No
Q99666	RGPD6	1.346730990841	0.0004342821733517	No	No
Q9BXI9	C1QTNF6	2.49202812495806	5.769639383973179e-13	No	No
Q9BY84	DUSP16	1.62954957773326	4.0917367203563e-09	No	No
Q9H6L4	ARMC7	1.05675098247244	0.0013489277207058	No	No
Q9NRN5	OLFML3	1.32683599443447	4.5442403521100703e-14	No	No
