Protein_Group	Genes	RB1_sg_vs_LCv2_EV_Blast_logFC	RB1_sg_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q9HBL0	TNS1	1.05597009655248	1.24497764435415e-07	No	No
Q9HCM1	RESF1	1.84143116217358	0.0020001029457987	No	No
Q9NR34	MAN1C1	2.17340653477474	2.20486170399198e-18	No	No
Q9NRJ3	CCL28	2.99873649125851	1.18940589163105e-10	No	No
Q9NRZ5	AGPAT4	1.40690720854894	8.62455383285066e-06	No	No
Q9NX95	SYBU	2.40777434854588	2.89869699996087e-07	No	No
Q9UF47	DNAJC5B	1.38426642335047	1.9265181228406503e-09	No	No
Q9UHE8	STEAP1	1.26755391971552	0.0002738281814169	No	No
Q9UJ37	ST6GALNAC2	1.03115079813858	5.12346319950343e-07	No	No
Q9ULW8	PADI3	1.69913661192456	1.71269844734559e-26	No	No
Q9UNQ0	ABCG2	1.93266746283531	0.0001056781076316	No	No
Q9Y2J8	PADI2	2.08499431619414	9.87341007045001e-20	No	No
A1IGU5	ARHGEF37	-1.23957615801467	1.4704840477972e-09	No	No
A4D1S0	KLRG2	-1.76089501567794	2.12795995499525e-40	No	No
A5YM69	ARHGEF35	-1.11190453623795	1.37499016019427e-06	No	No
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	-1.03412255502518	3.09652158910108e-13	No	No
A6NMD0	IFITM10	-1.70000759214185	1.95772418531565e-07	No	No
A8MWL7;Q9NUH8	TMEM14DP;TMEM14B	-3.1935947850297	3.26751003914953e-10	No	No
C9J069	AJM1	-1.2917750250028	8.80345350914192e-13	No	No
O00526	UPK2	-1.74818948436748	1.33503925210913e-05	No	No
O14684	PTGES	-1.8179355212855	1.23230904206294e-23	No	No
O14957	UQCR11	-1.33093703430163	0.0039482015408514	No	No
O15440	ABCC5	-1.04982674211576	8.800074957026331e-31	No	No
O43237	DYNC1LI2	-1.04447303466686	3.4182705315596997e-37	No	No
O60262	GNG7	-1.11537684138028	0.0033898758757028	No	No
O60879	DIAPH2	-1.04588688591675	0.0086395304358932	No	No
O75084	FZD7	-1.84596028677207	1.1828505725556e-10	No	No
O75208	COQ9	-1.10639909650453	9.36244794782232e-24	No	No
O75452	RDH16	-2.61710459761459	1.9540543978086302e-24	No	No
O76070	SNCG	-1.91488939108543	1.06906858606482e-46	No	No
O77932	DXO	-1.12532517413955	4.96520325600725e-05	No	No
O95057	DIRAS1	-1.37706873823391	6.08101879083727e-08	No	No
O95406	CNIH1	-1.15875667660118	0.0087021744624924	No	No
O95819	MAP4K4	-1.04060294870537	2.76321303710007e-16	No	No
P00326	ADH1C	-1.84002388500911	0.0086478871917891	No	No
P00966	ASS1	-1.7656839763991	2.83755883835604e-42	No	No
P00973	OAS1	-1.54606077944168	0.0001183221461966	No	No
P01033	TIMP1	-2.44053206757756	7.769118600580299e-19	No	No
P01911	HLA-DRB1	-1.08286472675398	1.88012620227632e-05	No	No
P02511	CRYAB	-3.04527877532425	2.79551079294891e-33	No	No
P04216	THY1	-2.65190219220491	4.6762120347133004e-26	No	No
P06276	BCHE	-3.14195212474898	4.65077611522989e-09	No	No
P06400	RB1	-4.55662053527624	6.90353079801392e-22	No	No
P07195	LDHB	-1.60746486626656	4.79436427058831e-07	No	No
P08842	STS	-1.36302111595073	9.714943568188491e-17	No	No
P09913	IFIT2	-2.26237534028524	1.03566218338032e-06	No	No
P10636	MAPT	-2.69897161574309	3.87229798177127e-27	No	No
P11532	DMD	-2.09712772728282	2.55724647216352e-07	No	No
P14543	NID1	-1.68053410815657	1.58133288517976e-05	No	No
P15514	AREG	-1.64155763406448	1.13185942352115e-10	No	No
P17081	RHOQ	-1.72236361659117	2.51852704994026e-06	No	No
P17302	GJA1	-5.79839020001531	1.00724826232627e-49	No	No
P17600	SYN1	-3.11360879198179	6.28457328763196e-19	No	No
P17813	ENG	-1.59296847217214	3.2980205173729304e-23	No	No
P18848	ATF4	-4.39223368630854	4.79908561970309e-28	No	No
P19784	CSNK2A2	-1.10559162217346	1.19742640997817e-46	No	No
P24385	CCND1	-1.07487032516847	7.89726234965792e-19	No	No
P29762	CRABP1	-1.88221042486481	4.50460631806081e-07	No	No
P30039	PBLD	-1.12380217586535	3.38536207485956e-17	No	No
P35670	ATP7B	-1.31472964580976	9.050760704368341e-35	No	No
P36941	LTBR	-1.73017284231265	1.9918191330685e-10	No	No
P42785	PRCP	-1.67619512896301	1.93108333779618e-46	No	No
P43355	MAGEA1	-2.38636377209617	5.56971843042454e-21	No	No
P47712	PLA2G4A	-1.49554155027249	2.8236682158920096e-11	No	No
P48066	SLC6A11	-1.43411074127315	9.93116831187938e-05	No	No
P49746	THBS3	-2.06873707374308	1.48050529370166e-08	No	No
P50219	MNX1	-1.07591356489872	0.0001432586340419	No	No
P50461	CSRP3	-1.35703440576996	3.05821392342902e-05	No	No
P51511	MMP15	-1.28361604862772	2.1634610787935898e-16	No	No
P51688	SGSH	-1.10343946151291	5.31582113517123e-25	No	No
P52741	ZNF134	-1.2670583946712	6.34868119815697e-05	No	No
P52797	EFNA3	-1.36543424354139	1.69796733538114e-07	No	No
P53985	SLC16A1	-1.09444554140139	3.31864909749989e-11	No	No
P56159	GFRA1	-1.48896252641009	4.09029751306053e-07	No	No
P58005	SESN3	-3.17626946279445	3.42102973310488e-05	No	No
P60520	GABARAPL2	-1.14272338787154	3.2903696607988498e-18	No	No
P63096	GNAI1	-1.95579350946211	1.03067321423778e-10	No	No
P67936	TPM4	-5.19996856876018	5.94192475690396e-27	No	No
P78395	PRAME	-1.42729920810751	1.28169818312017e-13	No	No
P86397	HTD2	-3.27773098120986	1.17216256958526e-21	No	No
P98082	DAB2	-1.82811199858408	4.02356394234366e-11	No	No
Q00597	FANCC	-1.10381581309961	0.0057020953264643	No	No
Q05639	EEF1A2	-1.50150587533361	2.59463013926e-37	No	No
Q0P5N6	ARL16	-1.17784112564158	0.0042124073118356	No	No
Q13740	ALCAM	-1.76050974315829	3.91882998034844e-11	No	No
Q14106	TOB2	-1.03978179584598	9.92717340153156e-05	No	No
Q14393	GAS6	-2.0229169958679	4.42387702314129e-10	No	No
Q14449	GRB14	-1.90899901336715	3.6308063699945e-05	No	No
Q16842	ST3GAL2	-1.20064306178799	0.0002557005339727	No	No
Q4V321	GAGE13	-1.60091865667036	1.12468278735985e-10	No	No
Q5SZD1	C6orf141	-1.39033782201004	6.97777320011202e-08	No	No
Q684P5	RAP1GAP2	-1.00637622066787	0.0012810805271135	No	No
Q6F5E8	CARMIL2	-1.06978112852123	1.27555420804027e-08	No	No
Q6FI81	CIAPIN1	-1.05250974294658	5.43936029454364e-26	No	No
Q6NT55	CYP4F22	-2.14956724070202	7.39425461905919e-08	No	No
Q6P2D0	ZFP1	-1.26748523412158	7.72671769130685e-05	No	No
Q6P3W2	DNAJC24	-1.16387795802289	0.0005569460259733	No	No
Q6P4A8	PLBD1	-1.38519300142728	5.2266705057913505e-14	No	No
Q6PCB0	VWA1	-1.20831714783549	3.7777108924969904e-23	No	No
Q6UX53	METTL7B	-2.07603007757935	6.83796591903567e-17	No	No
Q6UXT9	ABHD15	-1.11667159065286	0.0079799384287462	No	No
Q6ZNL6	FGD5	-2.91302217940359	3.5385390074174e-10	No	No
Q6ZS17	RIPOR1	-1.39040469986229	3.9852061214562e-31	No	No
Q76KP1	B4GALNT4	-1.04732950507161	6.04187050215044e-05	No	No
Q7L311	ARMCX2	-1.00397314270343	2.6232300307440298e-11	No	No
Q7Z5Q1	CPEB2	-1.07631983445403	0.0005132004784196	No	No
Q86SQ0	PHLDB2	-1.37253158607322	1.22070808356925e-14	No	No
Q86UK0	ABCA12	-1.55135776720293	4.79251899685145e-12	No	No
Q86VR7	VSIG10L	-1.2834057769147	2.65170435390255e-14	No	No
Q86VV4	RANBP3L	-1.64220437114141	2.45826333542513e-10	No	No
Q86W47	KCNMB4	-1.23504391940146	0.0048340087813115	No	No
Q86WH2	RASSF3	-1.6116130948456	7.29670179400239e-08	No	No
Q8IVF7	FMNL3	-1.09908095949618	0.0037839653258578	No	No
Q8IVG5	SAMD9L	-1.41620849230735	1.74458099149626e-05	No	No
Q8IWY4	SCUBE1	-1.64035892016365	1.93350280241355e-05	No	No
Q8IX07	ZFPM1	-1.01149512280228	7.70078899712715e-05	No	No
Q8IZR5	CMTM4	-1.30071697719886	1.15781851959029e-27	No	No
Q8N0Z2	ABRA	-1.34206060220507	0.0024777491687204	No	No
Q8N2H9	PELI3	-1.47985106825266	7.42427793259712e-10	No	No
Q8N398	VWA5B2	-1.14497563530136	2.95913956208159e-10	No	No
Q8N3F8	MICALL1	-1.07816563586792	2.16689866294739e-43	No	No
Q8NBR0	TP53I13	-2.51099606636422	2.90095979949359e-14	No	No
Q8NCW0	KREMEN2	-1.25889392523753	1.8412854053604e-08	No	No
Q8NDW4	ZNF248	-1.3103414154595	0.0024912288607184	No	No
Q8NDZ4	DIPK2A	-1.24778030480575	5.00870218593267e-41	No	No
Q8NET8	TRPV3	-1.34907497554051	2.26494045538236e-17	No	No
Q8TB05	UBALD1	-1.06422380101781	0.0030559308972988	No	No
Q8TBK2	SETD6	-1.24907097217312	6.818924446316259e-12	No	No
Q8TC76	FAM110B	-1.15118739993886	6.18311624326949e-07	No	No
Q8TCD1	C18orf32	-1.0965823160911	0.0025246324342045	No	No
Q8WUH6	TMEM263	-1.09299350574717	2.16750065648116e-05	No	No
Q8WV19	SFT2D1	-1.81326431771067	0.0001608203776855	No	No
Q8WVV4	POF1B	-1.62274045851626	4.6728099376866504e-20	No	No
Q8WWB7	GLMP	-1.17544910208681	0.0028223809010993	No	No
Q8WXK3	ASB13	-1.32869870801292	6.45892159151404e-06	No	No
Q92478	CLEC2B	-2.54690022252263	1.17690337417465e-18	No	No
Q92870	APBB2	-1.00181761666523	5.3322082854799905e-25	No	No
Q96AY3	FKBP10	-1.52122644244109	1.6627719490977e-48	No	No
Q96CD0	FBXL8	-1.02988541285271	6.865581230295211e-09	No	No
Q96D09	GPRASP2	-1.0219475459518	1.8693124269830503e-15	No	No
Q96FL9	GALNT14	-1.53455897779287	0.001486590363076	No	No
Q96GY0	ZC2HC1A	-2.08224727119827	1.65239432097141e-28	No	No
Q96IF1	AJUBA	-1.0359123573826	6.7265047619534e-19	No	No
Q96IL0	COA8	-1.52979948157129	4.74506631360968e-05	No	No
Q96L08	SUSD3	-1.62994328230057	7.79156717625399e-06	No	No
Q96MK2	RIPOR3	-2.86916120872453	0.0072777690794425	No	No
Q96MY1	NOL4L	-1.08687586883007	3.26205717307804e-14	No	No
Q96N38	ZNF714	-1.12664448033971	0.0008707855087769	No	No
Q96P15	SERPINB11	-1.51139830580278	6.02092107871633e-06	No	No
Q96PD5	PGLYRP2	-1.53281436560027	6.40796425762105e-08	No	No
Q96PN7	TRERF1	-1.41163888036843	1.51088942866436e-13	No	No
Q96PX6	CCDC85A	-1.48417391819806	0.0001954918276079	No	No
Q99500	S1PR3	-1.00906279148964	0.000197390358127	No	No
Q99541	PLIN2	-1.15031304448496	9.17717104477514e-05	No	No
Q9BQE3	TUBA1C	-1.31890224061793	1.70751899743101e-07	No	No
Q9BQT9	CLSTN3	-1.34221642537187	1.1301571174073e-06	No	No
Q9BSK0	MARVELD1	-1.48341368867471	5.791010755269751e-09	No	No
Q9BTX3	TMEM208	-1.16403250982626	5.55576089460856e-05	No	No
Q9BVG8	KIFC3	-1.05931406580212	3.45088289053578e-13	No	No
Q9BYZ2	LDHAL6B	-1.65632347505297	2.19172529421473e-05	No	No
Q9H1K4	SLC25A18	-1.32764247557183	1.54761150818655e-28	No	No
Q9H6D3	XKR8	-1.26857894875677	2.94005993830825e-05	No	No
Q9H9R9	DBNDD1	-1.32110516815216	2.05494478975411e-06	No	No
Q9HD67	MYO10	-1.14771081882634	1.50812648251568e-12	No	No
Q9NQ36	SCUBE2	-2.10661748227594	5.4900146954058e-28	No	No
Q9NQX7	ITM2C	-1.24321828486481	3.68141109520848e-07	No	No
Q9NQZ7	ENTPD7	-1.20187727221193	2.24702195913022e-13	No	No
Q9NTN9	SEMA4G	-1.58605049428081	3.64943879183886e-18	No	No
Q9NUU6	OTULINL	-1.13914144162563	6.795067840459879e-11	No	No
Q9NY47	CACNA2D2	-1.72326987066638	2.06064141144739e-07	No	No
Q9NZU0	FLRT3	-1.03422189116134	0.0003865784297182	No	No
Q9P0M2	AKAP7	-1.01629140352568	0.0032292061905106	No	No
Q9P1F3	ABRACL	-1.35809986330107	1.14229526087036e-06	No	No
Q9P1U0	POLR1H	-1.19520999069613	0.0014730608348446	No	No
Q9UGT4	SUSD2	-1.29782439819319	4.4113515577827997e-13	No	No
Q9UNX3	RPL26L1	-1.91693461142402	6.8522884837278e-06	No	No
Q9Y2B5	VPS9D1	-1.24386499085756	6.43855846528338e-11	No	No
Q9Y2E6	DTX4	-1.50962064731884	9.75294589803239e-07	No	No
Q9Y2Y0	ARL2BP	-1.74981641147614	3.00042037129489e-23	No	No
Q9Y342	PLLP	-4.7137496711048	5.02028987403256e-27	No	No
Q9Y5E9	PCDHB14	-1.13943444223918	0.0065190315959442	No	No
Q9Y617	PSAT1	-1.85652380577246	2.3885135556771102e-23	No	No
Q9Y625	GPC6	-1.19948053687366	2.10804881426878e-17	No	No
Q9Y653	ADGRG1	-1.14734320751086	1.9348059226911098e-28	No	No
Q9Y680	FKBP7	-1.51581217055631	3.95641033005449e-06	No	No
Q9Y6M1	IGF2BP2	-2.29547120632059	2.7783645863868998e-31	No	No
Q9Y6N8	CDH10	-1.19528382120382	0.0051969223307288	No	No
