Protein_Group	Genes	cMyc_OE_vs_pLVX_EV_logFC	cMyc_OE_vs_pLVX_EV_pval	Removed?	Contaminant?
Q6F5E8	CARMIL2	-2.52029069934258	3.50068919015603e-19	No	No
Q6NZI2	CAVIN1	-1.13545362805497	0.00180521637037	No	No
Q6P179	ERAP2	-1.06668042960533	1.93213607770767e-10	No	No
Q6P4A8	PLBD1	-1.06853281405572	3.17433049495943e-07	No	No
Q6P5Z2	PKN3	-1.24669940716642	4.71060832474507e-08	No	No
Q6PCE3	PGM2L1	-1.78151264775846	4.62240218615868e-21	No	No
Q6UVW9	CLEC2A	-1.6861613175713	2.16010110449525e-05	No	No
Q6UWH4	GASK1B	-1.11941215481817	0.000607991607321	No	No
Q6UX53	METTL7B	-1.00715361815778	0.0001040464484172	No	No
Q6UX71	PLXDC2	-1.11822512984866	3.21392044182011e-08	No	No
Q6UXD7	SLC49A3	-1.72867264356961	2.06632067220921e-10	No	No
Q6UXI9	NPNT	-1.13269487635495	0.0037403909229202	No	No
Q6UXT9	ABHD15	-1.61680831054368	0.0025113231042162	No	No
Q6YHK3	CD109	-1.1742111011862	0.0076558217271773	No	No
Q6ZN08	ZNF66	-1.23883572815102	0.0001245062823906	No	No
Q6ZNC8	MBOAT1	-1.34941497307947	2.35338066576333e-21	No	No
Q6ZNL6	FGD5	-2.60420973962504	2.4819751597604e-06	No	No
Q6ZW31	SYDE1	-1.75539810476426	0.0026398707104146	No	No
Q7L5N7	LPCAT2	-2.04279444886495	1.07686489143568e-25	No	No
Q7Z2H8	SLC36A1	-1.29736096270762	8.82023153586501e-05	No	No
Q7Z3J2	VPS35L	-1.05160991064494	7.39461989820366e-34	No	No
Q7Z404	TMC4	-1.08609778942437	1.4116110451203899e-11	No	No
Q7Z7L1	SLFN11	-1.91864176773315	4.2536246774267405e-20	No	No
Q86SQ0	PHLDB2	-1.65269012256482	8.66583617216816e-14	No	No
Q86WN1	FCHSD1	-1.23617073596173	1.1952989832757902e-15	No	No
Q86WV1	SKAP1	-1.17088767723929	0.0034657850464298	No	No
Q86WV6	STING1	-2.99737872305446	5.67824044874609e-11	No	No
Q86YQ8	CPNE8	-1.21221911360536	2.64251482615044e-08	No	No
Q8IVA1	PCP2	-1.29461573013231	1.57606141685837e-05	No	No
Q8IVF2	AHNAK2	-3.42137463324487	1.67117057293656e-50	No	No
Q8IVT2	MISP	-2.35661724673452	1.203558284663e-37	No	No
Q8IWZ6	BBS7	-1.22993814166556	1.6782708703310198e-11	No	No
Q8IX05	CD302	-1.21473349384892	0.0007425474963657	No	No
Q8IXL6	FAM20C	-1.61068038840646	8.56911388678196e-08	No	No
Q8IY21	DDX60	-1.06197935397829	7.34084488069001e-06	No	No
Q8IY42	C4orf19	-1.05547978922134	1.91207611053249e-10	No	No
Q8IYT4	KATNAL2	-1.74479241728864	9.85081760870509e-05	No	No
Q8IYT8	ULK2	-1.25165069445593	0.0002626618642574	No	No
Q8IZQ5	SELENOH	-1.23779479170749	0.0001442089488362	No	No
Q8IZW8	TNS4	-1.18449446926486	7.35196007824525e-08	No	No
Q8N0T1	RBIS	-1.06954352484414	3.40022785330994e-18	No	No
Q8N118	CYP4X1	-4.92254951882689	4.72327009029682e-51	No	No
Q8N2H9	PELI3	-1.80749809098595	2.01360135621999e-09	No	No
Q8N370	SLC43A2	-1.01370709695261	7.9779728743044e-09	No	No
Q8N398	VWA5B2	-2.37396347967266	3.5769026524146e-19	No	No
Q8N3S3	PHTF2	-1.07844985483891	4.51110097067411e-05	No	No
Q8N3V7	SYNPO	-1.01634115516288	0.0080147671929428	No	No
Q8N3Y7	SDR16C5	-1.56849231578526	1.48194001433139e-21	No	No
Q8N490	PNKD	-1.30846562810046	1.82746140489249e-11	No	No
Q8N556	AFAP1	-1.14307426020542	1.28999936485737e-08	No	No
Q8N752	CSNK1A1L	-4.55337703485059	2.53892871698353e-21	No	No
Q8NBI5	SLC43A3	-2.37688836010476	4.56229595381857e-13	No	No
Q8NCU8	MTLN	-2.55284605749024	0.0037938785322751	No	No
Q8ND90	PNMA1	-1.14667975435792	1.48510397560754e-24	No	No
Q8NDW8	TTC21A	-1.34465394680632	0.0002579877557399	No	No
Q8NFJ5	GPRC5A	-1.26048659061749	1.7429034694223802e-17	No	No
Q8NFR3	SPTSSB	-1.11996474688897	1.56652976114527e-07	No	No
Q8NFX7	STXBP6	-2.53552820695115	0.0003614628249379	No	No
Q8TAM1	BBS10	-1.54613928407952	0.0004893638672558	No	No
Q8TD06	AGR3	-1.41521725228536	1.42584713693938e-23	No	No
Q8TDD5	MCOLN3	-1.84820000998567	0.0006232499820994	No	No
Q8WUM9	SLC20A1	-1.39583079096052	6.81338227256549e-14	No	No
Q8WV24	PHLDA1	-2.3539739790851	2.7639776777292e-10	No	No
Q8WV28	BLNK	-1.20274118699674	2.00593869804332e-16	No	No
Q8WVN6	SECTM1	-1.89384611281444	2.69777141870835e-06	No	No
Q8WVP5	TNFAIP8L1	-2.28525551905289	5.14763234787308e-10	No	No
Q8WVV4	POF1B	-1.00919186464191	4.20566164969206e-08	No	No
Q8WWA1	TMEM40	-1.9676374425791	2.71182814097227e-23	No	No
Q8WWI1	LMO7	-1.25248316747235	1.4387579636311899e-41	No	No
Q8WWK9	CKAP2	-1.00415727066512	0.0025751105644327	No	No
Q8WWW0	RASSF5	-1.88674580593526	3.24628198683439e-09	No	No
Q8WWX9	SELENOM	-1.17336715165507	5.2415880130653e-06	No	No
Q8WWY8	LIPH	-1.42483082101485	2.15531861435822e-13	No	No
Q8WWZ3	EDARADD	-1.93393437564902	1.41925684217478e-07	No	No
Q8WXE9	STON2	-1.8689116454886	3.53740725555099e-06	No	No
Q8WXF7	ATL1	-1.35568834279928	0.0001974663563736	No	No
Q92478	CLEC2B	-2.66980522237414	6.619862539062741e-15	No	No
Q92537	SUSD6	-1.316369964523	0.0052971437812359	No	No
Q92619	ARHGAP45	-1.96710001062714	5.56493155501855e-21	No	No
Q92729	PTPRU	-1.10404294139159	0.0002813373933671	No	No
Q92730	RND1	-1.42949431015096	1.12264276873104e-05	No	No
Q92828	CORO2A	-1.13187412276409	5.0926381741243795e-11	No	No
Q92854	SEMA4D	-1.18382222314963	1.75624157364108e-08	No	No
Q93084	ATP2A3	-1.22782320069919	1.712254640168e-37	No	No
Q969W1	ZDHHC16	-2.12909180793283	2.92261227028483e-06	No	No
Q969W9	PMEPA1	-1.08784002291641	0.0003419290743722	No	No
Q969X0	RILPL2	-1.0770390325164	3.70796303757561e-06	No	No
Q96A58	RERG	-1.13740097813975	9.25960069323584e-06	No	No
Q96AH0	NABP1	-5.4388459698353	1.0618099398336299e-29	No	No
Q96AH8	RAB7B	-1.07695833363411	0.00475029261885	No	No
Q96AP7	ESAM	-2.30260305288345	8.15944373044236e-06	No	No
Q96AZ6	ISG20	-1.20366283521814	0.0053504709171146	No	No
Q96BY9	SARAF	-1.16061365893355	5.83451717740862e-11	No	No
Q96C24	SYTL4	-1.10000342558406	3.23069061150236e-22	No	No
Q96CX6	LRRC58	-2.82434770964135	2.37429445358545e-11	No	No
Q96EG1	ARSG	-1.58278632275044	2.3089075704757502e-09	No	No
Q96F07	CYFIP2	-2.63061965300894	2.99541949018789e-33	No	No
Q96FL8	SLC47A1	-2.09196048397365	5.04417969752996e-11	No	No
Q96FZ5	CMTM7	-2.58085639934647	2.0022069211315e-05	No	No
Q96GN5	CDCA7L	-1.19096369649118	2.43068397888135e-06	No	No
Q96GT9	XAGE2	-1.54977821485916	0.0047828530727647	No	No
Q96GX1	TCTN2	-1.58976836583802	0.0001138716669939	No	No
Q96HE9	PRR11	-1.05775029177173	0.0001549788809635	No	No
Q96I45	TMEM141	-1.68230589658881	4.04180773413039e-06	No	No
Q96J84	KIRREL1	-1.43538209095676	6.2365146962166e-23	No	No
Q96JQ2	CLMN	-1.76130948537684	7.781839905994569e-56	No	No
Q96L50	LRR1	-1.06980568509212	9.28472122982351e-06	No	No
Q96ME7	ZNF512	-1.14248214015122	9.80058090417644e-16	No	No
Q96NL6	SCLT1	-1.28955341950189	4.013595648621e-08	No	No
Q96NR8	RDH12	-1.57005380772577	4.68296461537236e-05	No	No
Q96NY7	CLIC6	-2.69194452788326	6.887056925183309e-16	No	No
Q96PD2	DCBLD2	-1.0083989011785	1.08631855739495e-09	No	No
Q96QE2	SLC2A13	-1.37765352097266	1.68220025671108e-05	No	No
Q96R05	RBP7	-2.1663624627209	5.0015668812122103e-23	No	No
Q99618	CDCA3	-1.20457634226551	0.0002431838944712	No	No
Q99650	OSMR	-1.06627570510663	2.57158518336897e-05	No	No
Q99675	CGRRF1	-1.14700674799043	0.000299211068376	No	No
Q99698	LYST	-1.00438135289334	3.0992678640656504e-09	No	No
Q99708	RBBP8	-2.0881271725104	3.9809672607660204e-15	No	No
Q99715	COL12A1	-1.57658332739875	2.32511443108574e-05	No	No
Q99732	LITAF	-1.18026696667722	2.64773282670699e-14	No	No
Q99741	CDC6	-1.7786481851441	2.09822747178525e-07	No	No
Q99959	PKP2	-1.15946400803049	9.57582612891345e-23	No	No
Q99967	CITED2	-1.66179744358312	0.0001240118794225	No	No
Q99990	VGLL1	-1.938949091467	2.14741317663313e-05	No	No
Q9BPU9	B9D2	-1.77330952765008	1.39307273733449e-06	No	No
Q9BQT9	CLSTN3	-1.59050620126658	4.08908754910201e-06	No	No
Q9BR39	JPH2	-3.11719350613382	1.8348118239730899e-40	No	No
Q9BRK3	MXRA8	-3.52779153032177	1.43612592106213e-48	No	No
Q9BS92	NIPSNAP3B	-1.91630377576898	5.52762068131352e-07	No	No
Q9BSK0	MARVELD1	-1.37587149227619	7.38766499527618e-06	No	No
Q9BSW2	CRACR2A	-3.98477336961215	1.84069650294365e-36	No	No
Q9BT76	UPK3B	-1.6496750118945	0.0001707767584331	No	No
Q9BTY2	FUCA2	-1.04694698638293	6.47204414417127e-25	No	No
Q9BU68	PRR15L	-1.09905685783554	0.0004464078366913	No	No
Q9BVX2	TMEM106C	-1.49481801827575	7.98387334237264e-06	No	No
Q9BWM7	SFXN3	-1.44257586160998	4.7657800781822795e-33	No	No
Q9BX63	BRIP1	-1.05198472923257	9.38042324295489e-06	No	No
Q9BXI9	C1QTNF6	-3.76162252432338	4.479405417547111e-19	No	No
Q9BXS6	NUSAP1	-1.33013723994414	0.0025678072323902	No	No
Q9BY78	RNF26	-1.0428263551304	2.44267359824932e-06	No	No
Q9BY84	DUSP16	-1.20538416416244	2.89561394250932e-05	No	No
Q9BZD2	SLC29A3	-1.80723609458524	0.0001748253303601	No	No
Q9BZF2	OSBPL7	-1.36883463505648	4.23553702706884e-06	No	No
Q9BZM5	ULBP2	-1.25986177105841	6.83739555181253e-10	No	No
Q9C002	NMES1	-1.30686196783815	4.67467739282257e-06	No	No
Q9GZV1	ANKRD2	-1.55468821485415	9.801688149586119e-11	No	No
Q9GZV5	WWTR1	-1.32787813330547	3.18372749053878e-12	No	No
Q9GZX9	TWSG1	-1.43320533048988	1.9358057728111404e-09	No	No
Q9GZY6	LAT2	-1.57683168916831	1.01839039452008e-05	No	No
Q9H1C3	GLT8D2	-2.08001105206276	4.76347327085538e-08	No	No
Q9H1E1	RNASE7	-2.99407921951538	0.0004487332039471	No	No
Q9H211	CDT1	-1.36170395262235	1.40506524290181e-13	No	No
Q9H2X8	IFI27L2	-1.70071465697763	2.1045004848869902e-17	No	No
Q9H3G5	CPVL	-3.19806576830407	4.96237793471741e-45	No	No
Q9H4F1	ST6GALNAC4	-1.23932337325847	0.0032010954253057	No	No
Q9H4G4	GLIPR2	-1.43981778208301	1.76181900898733e-05	No	No
Q9H4H8	FAM83D	-1.20688926614484	0.0001658294319221	No	No
Q9H6X2	ANTXR1	-1.51737670990527	1.42514040196763e-06	No	No
Q9H7X0	NAA60	-1.11651738296345	0.0033483471884439	No	No
Q9H898	ZMAT4	-2.77969460792035	2.8406258775607604e-09	No	No
Q9H8J5	MANSC1	-1.94940067716541	6.02905726840995e-05	No	No
Q9H930	SP140L	-1.32732705810999	3.3616781388818e-13	No	No
Q9H9H5	MAP6D1	-1.65932519326256	1.7386775553684698e-11	No	No
Q9HB19	PLEKHA2	-2.49308040418289	6.79314267209211e-28	No	No
Q9HBL0	TNS1	-1.65402731997178	2.96002069761009e-10	No	No
Q9HCD6	TANC2	-1.08447376770094	8.340165956806159e-22	No	No
Q9HCH5	SYTL2	-1.37468354353373	2.46462184092716e-06	No	No
Q9HCS4	TCF7L1	-1.08265139639719	5.36327755697978e-06	No	No
Q9HCS5	EPB41L4A	-1.63385775524635	1.2155811066954401e-25	No	No
Q9NNZ3	DNAJC4	-1.08051937868713	0.0002333449136115	No	No
Q9NPB0	SAYSD1	-1.03173861529333	4.72976342923114e-07	No	No
Q9NPB6	PARD6A	-1.9613845007995	2.2026899465147204e-09	No	No
Q9NQ36	SCUBE2	-2.03858964213102	2.8316619298545203e-21	No	No
Q9NQ84	GPRC5C	-1.54154949628757	9.174710851661421e-25	No	No
Q9NQW6	ANLN	-1.13846122289585	0.0008461671738609	No	No
Q9NQX5	NPDC1	-1.03079830819737	8.764551876442389e-13	No	No
Q9NQX7	ITM2C	-3.03205195111563	4.6403817510608604e-17	No	No
Q9NR34	MAN1C1	-2.0182704777794	1.45848110855489e-12	No	No
Q9NRN5	OLFML3	-1.2266778619099	3.42204848064604e-11	No	No
Q9NRZ5	AGPAT4	-3.10323189889556	2.14922874754594e-12	No	No
Q9NS15	LTBP3	-1.43895706008937	1.10639869563585e-19	No	No
Q9NSD4	ZNF275	-1.74476088482453	0.0001986921913276	No	No
Q9NSD5	SLC6A13	-1.46684500446987	0.0001234575953045	No	No
Q9NUN7	ACER3	-2.38033270734517	0.001111882283574	No	No
Q9NVN8	GNL3L	-1.13951012568262	6.85234694307244e-29	No	No
Q9NX95	SYBU	-2.08097708099722	0.0002465286660769	No	No
Q9NXU5	ARL15	-1.06374850969015	1.250715693452e-10	No	No
Q9NZR1	TMOD2	-1.54124408213739	2.58013649510297e-20	No	No
Q9NZU0	FLRT3	-1.24149522200194	0.0007062086549564	No	No
Q9NZV1	CRIM1	-1.50185630702345	5.89563141734998e-06	No	No
Q9NZV5	SELENON	-1.25063767204092	6.80890190390814e-08	No	No
Q9P291	ARMCX1	-1.54648989542172	1.12083008480301e-07	No	No
Q9P299	COPZ2	-3.17651672600427	1.2564507105087501e-25	No	No
Q9P2F8	SIPA1L2	-1.07857822111393	0.0040813074224669	No	No
Q9UBN1	CACNG4	-1.05941755960361	0.0045711517397376	No	No
Q9UBR2	CTSZ	-1.3595608164399	2.42096683893828e-13	No	No
Q9UDR5	AASS	-1.87311821603064	3.0664168760997e-09	No	No
Q9UDT6	CLIP2	-1.67905216406882	4.55667073167448e-11	No	No
Q9UEY8	ADD3	-1.8053552559718	4.6746191960406203e-39	No	No
Q9UF47	DNAJC5B	-2.94579319205548	2.05406567418215e-18	No	No
Q9UGQ3	SLC2A6	-1.12166124744603	5.16944063178464e-06	No	No
Q9UGT4	SUSD2	-1.66714744105172	2.22941157801859e-13	No	No
Q9UHB6	LIMA1	-1.03360511717034	2.0571531748618003e-10	No	No
Q9UHF1	EGFL7	-1.23806361604591	1.02169592304711e-05	No	No
Q9UHI5	SLC7A8	-1.66578032027266	1.31792572456094e-16	No	No
Q9UHL4	DPP7	-1.10814381727445	5.10230720875224e-28	No	No
Q9UHN6	CEMIP2	-1.15824202028553	2.39046592073494e-23	No	No
Q9UJX0	OSGIN1	-1.29658410644126	6.80432133613677e-06	No	No
Q9UKB3	DNAJC12	-1.50043681654179	0.0084621719629109	No	No
Q9UKC9	FBXL2	-1.25055744284872	9.684154238790921e-09	No	No
Q9UKK3	PARP4	-1.97942517230238	3.36223362201867e-13	No	No
Q9UKL6	PCTP	-1.10405053312308	3.74515273213074e-15	No	No
Q9ULM0	PLEKHH1	-1.24223260962797	4.60324552194392e-07	No	No
Q9ULW8	PADI3	-3.15272069357189	2.2316173776304998e-37	No	No
Q9ULZ3	PYCARD	-5.57936640459681	5.8244231641186396e-33	No	No
Q9UMS5	PHTF1	-1.06729663050014	0.0050003148403597	No	No
Q9UN66	PCDHB8	-1.14037372455743	1.61685173134748e-20	No	No
Q9UN72	PCDHA7	-1.70643610964924	1.95288110810663e-15	No	No
Q9UN74	PCDHA4	-1.43670356538154	9.1905643623881e-05	No	No
Q9UNN8	PROCR	-2.22204707858373	2.15767804961354e-27	No	No
Q9UPI3	FLVCR2	-1.49212757042319	3.30072851675006e-06	No	No
Q9UQV4	LAMP3	-2.98156285299246	1.90948534830113e-17	No	No
Q9Y284	WDR83OS	-1.18254740954542	8.56554666467885e-05	No	No
Q9Y2A9	B3GNT3	-2.10994101123169	1.83328928549558e-06	No	No
Q9Y2C2	UST	-1.10553321359975	1.07161047503065e-06	No	No
Q9Y2E6	DTX4	-1.84586266252216	1.90641461706083e-06	No	No
Q9Y2Y6	TMEM98	-1.78680755960621	2.74118355591446e-07	No	No
Q9Y2Y9	KLF13	-1.36815951423517	0.0002870671501656	No	No
Q9Y394	DHRS7	-1.11687377436547	4.45683200337006e-17	No	No
Q9Y519	TMEM184B	-1.15756533823464	1.74667321134351e-05	No	No
Q9Y572	RIPK3	-2.79232550118316	3.37456993849718e-10	No	No
Q9Y5E3	PCDHB6	-1.36118042660142	0.0014737909574195	No	No
Q9Y5E7	PCDHB2	-1.40965528164773	2.6695883799343604e-15	No	No
Q9Y5F0	PCDHB13	-1.49816241260263	5.838361946795919e-16	No	No
Q9Y5G2	PCDHGB2	-1.13791588876224	1.46351314621948e-05	No	No
Q9Y5G3	PCDHGB1	-1.27938764661035	3.53119968954254e-10	No	No
Q9Y5H4	PCDHGA1	-1.55301127978666	2.08937728863434e-06	No	No
Q9Y617	PSAT1	-1.17429283184107	4.96091565475023e-10	No	No
Q9Y646	CPQ	-1.19034321783731	5.66603562745967e-24	No	No
Q9Y6B2	EID1	-1.43831815799811	0.0026139615205449	No	No
Q9Y6U3	SCIN	-1.69537616385201	2.09587991280212e-07	No	No
