Protein_Group	Genes	cMyc_OE_vs_pLVX_EV_logFC	cMyc_OE_vs_pLVX_EV_pval	Removed?	Contaminant?
Q7Z7K6	CENPV	3.77242685459452	1.19639239316776e-21	No	No
Q86UK0	ABCA12	1.59674084442952	3.7357599294871904e-09	No	No
Q86WK6	AMIGO1	1.21111029458252	0.0015340881431118	No	No
Q8IVL6	P3H3	1.24070479230213	0.0002736487907929	No	No
Q8IW92	GLB1L2	1.64626810191029	1.97172667492674e-15	No	No
Q8IWY4	SCUBE1	1.7324129214513	0.0002788043660864	No	No
Q8IXV7	KLHDC8B	1.12954127111634	0.0005715251276291	No	No
Q8N884	CGAS	1.04029158087339	0.0067817116003059	No	No
Q8NAT2	TDRD5	1.3311897827456	0.0051078614401744	No	No
Q8NBR0	TP53I13	2.9660344941602	4.22074291442694e-13	No	No
Q8NEA4	FBXO36	2.17247746978244	2.19341400577517e-06	No	No
Q8NEB5	PLPP5	1.0836327051904	1.23209845752094e-05	No	No
Q8NEY4	ATP6V1C2	1.35502660366409	0.006750274676866	No	No
Q8NHA6	OR2W6P	1.35989190262931	0.0029779451995061	No	No
Q8TC76	FAM110B	1.35347645002444	2.75916868976998e-06	No	No
Q8TD30	GPT2	1.943082753996	8.80116311832462e-24	No	No
Q8TDI0	CHD5	1.09684217475458	0.0002963005871671	No	No
Q8WV19	SFT2D1	1.87154788523223	0.001744799744576	No	No
Q8WY54	PPM1E	1.87756937644485	6.16807566680215e-14	No	No
Q8WYL5	SSH1	1.03612362696809	1.69779653222572e-05	No	No
Q92871	PMM1	1.13104983895042	3.96272797982432e-09	No	No
Q93096	PTP4A1	1.20097904756587	2.1422268788173e-11	No	No
Q96AD5	PNPLA2	1.01266270497727	1.79203588431568e-08	No	No
Q96AQ2	TMEM125	1.13132850435404	0.0097613251885411	No	No
Q96BM1	ANKRD9	1.18755123749414	0.0001170571251666	No	No
Q96D70	R3HDM4	1.22613751440629	0.0008866539587294	No	No
Q96E17	RAB3C	2.61290157938025	0.0001984324010456	No	No
Q96EK9	KTI12	1.29998267168679	3.14235089217563e-16	No	No
Q96FL9	GALNT14	2.79219920620256	9.12592858525007e-06	No	No
Q96FX8	PERP	3.25594330294507	4.8161991465391e-11	No	No
Q96GJ1	TRMT2B	1.42211523677943	0.0007977458423031	No	No
Q96JA1	LRIG1	1.34035225099904	1.6401241097447099e-12	No	No
Q96K30	RITA1	1.57297008829673	3.08618924966336e-05	No	No
Q96NU1	SAMD11	1.33164278041408	4.51138556047329e-07	No	No
Q96RU7	TRIB3	2.43410263443685	0.0002075470658748	No	No
Q96S53	TESK2	1.51426750047817	8.18544055301943e-22	No	No
Q99541	PLIN2	1.09506035887704	0.0026093487513181	No	No
Q9BQR3	PRSS27	1.00015480016143	0.0001529521281662	No	No
Q9BS91	SLC35A5	1.32453565933009	1.4609921717576e-05	No	No
Q9BU19	ZNF692	1.11497329472559	7.03876262102418e-05	No	No
Q9BVM4	GGACT	1.20113056226948	2.60918167039734e-05	No	No
Q9BYN7	ZNF341	1.98183784350822	5.7724790818723e-05	No	No
Q9BZI1	IRX2	1.76612029190014	1.4630167823899902e-09	No	No
Q9BZM6	ULBP1	1.17609014616196	0.0006257033141099	No	No
Q9BZQ8	NIBAN1	1.0363245332038	8.43663031455532e-10	No	No
Q9H3S4	TPK1	1.76236595014217	3.86689996691806e-05	No	No
Q9H568	ACTL8	5.26570441899083	7.61376246005878e-24	No	No
Q9H6R3	ACSS3	1.24028609806163	5.69009396057393e-36	No	No
Q9HD67	MYO10	1.52868693831906	1.89285506882792e-13	No	No
Q9NPA3	MID1IP1	1.50730247024245	2.1839149254247202e-10	No	No
Q9NPB8	GPCPD1	1.33778377947048	7.25693831818329e-11	No	No
Q9NPF2	CHST11	1.09642117408293	2.40686204008051e-06	No	No
Q9NUD5	ZCCHC3	1.0557227059247	1.3021942533187998e-12	No	No
Q9NZ71	RTEL1	1.2301171815591	0.0008029342394665	No	No
Q9NZJ9	NUDT4	1.54578301101792	6.022545705181401e-16	No	No
Q9P1U0	POLR1H	2.0623032238588	2.27797552727324e-05	No	No
Q9P273	TENM3	1.16760820066791	1.9837712079745003e-36	No	No
Q9UI15	TAGLN3	1.38597358261965	0.0090382533325813	No	No
Q9UKW6	ELF5	1.05697180885141	0.0089875794363854	No	No
Q9UNX3	RPL26L1	2.22131857925995	3.06863067411578e-05	No	No
Q9UPG8	PLAGL2	2.26441237728078	0.0004364797934002	No	No
Q9UPY5	SLC7A11	1.51071088029621	0.0023332672119232	No	No
Q9UQ16	DNM3	1.00942114494602	2.19422793464635e-05	No	No
Q9Y2D0	CA5B	1.56364026647218	1.59993456916873e-16	No	No
Q9Y2D5	AKAP2	1.10726283327063	8.93678012259283e-05	No	No
Q9Y2G9	SBNO2	1.4628484044896	1.15415730581206e-07	No	No
A6NDB9	PALM3	-1.1063561373529	1.64205079796082e-05	No	No
A6NEE1	PLEKHD1	-1.54243419767867	4.30745617833568e-05	No	No
A6NMD0	IFITM10	-1.3234618969729	0.0007245717846325	No	No
A6NMX2	EIF4E1B	-1.10476530338373	5.63272322833721e-05	No	No
A8MQ03	CYSRT1	-1.17463264934492	4.16136563945463e-08	No	No
A8MWY0	ELAPOR2	-1.3349471641194	2.6230122209088804e-09	No	No
B2RUZ4	SMIM1	-1.56265870750291	2.26958139682264e-15	No	No
O00391	QSOX1	-1.48312276002692	7.51188573809095e-28	No	No
O00469	PLOD2	-1.38150299746767	8.37778013376164e-39	No	No
O00478	BTN3A3	-1.12832530395475	5.72199509849684e-06	No	No
O00499	BIN1	-1.14687985663937	0.0002754066115575	No	No
O00526	UPK2	-1.45658774919346	0.0029666500631294	No	No
O00560	SDCBP	-1.8580746048594	1.41754182835362e-33	No	No
O00562	PITPNM1	-1.82430736357753	2.1020287878318002e-18	No	No
O00635	TRIM38	-2.1700795231244	4.0549129715382006e-10	No	No
O14494	PLPP1	-1.3127126983627	6.44045492116888e-08	No	No
O14798	TNFRSF10C	-1.81224414065093	4.45176284703734e-07	No	No
O14832	PHYH	-1.34731246772882	1.07099638456776e-29	No	No
O14924	RGS12	-1.01107209703208	0.0014433642432914	No	No
O14965	AURKA	-1.11950531183928	0.0001056725140901	No	No
O14972	VPS26C	-1.13481955610202	6.59198026095922e-25	No	No
O14975	SLC27A2	-1.08451092172746	3.93229793675354e-07	No	No
O15050	TRANK1	-1.24265990795896	0.0001567968037234	No	No
O15162	PLSCR1	-1.49642442304595	5.97156737082306e-14	No	No
O15232	MATN3	-2.64064312430336	2.0426389926094398e-26	No	No
O15243	LEPROT	-1.12999312088375	0.0001307321838504	No	No
O15297	PPM1D	-1.44494533443971	2.31426171263616e-05	No	No
O15393	TMPRSS2	-1.5183743928136	5.2515812988642704e-15	No	No
O15427	SLC16A3	-2.20856155295463	1.91496758884446e-39	No	No
O15438	ABCC3	-2.29026887548796	1.39530948535195e-08	No	No
O15460	P4HA2	-1.72548820336225	4.6184497744146103e-35	No	No
O15484	CAPN5	-1.51472957604381	8.191927256151081e-09	No	No
O43295	SRGAP3	-2.39552738435135	5.73429840395816e-36	No	No
O43439	CBFA2T2	-1.03568466980141	0.0007259785668825	No	No
O43688	PLPP2	-1.18712354245693	4.64516256049725e-12	No	No
O43761	SYNGR3	-1.90542266474794	3.3918581991974003e-22	No	No
O60268	KIAA0513	-1.0654038949877	3.2477117287348005e-20	No	No
O60488	ACSL4	-1.02076556149959	0.0012673142756861	No	No
O75081	CBFA2T3	-2.19888167549237	2.35751377710037e-10	No	No
O75155	CAND2	-1.63880507997638	5.73469386036928e-16	No	No
O75317	USP12	-1.21229144162265	6.19726073513623e-05	No	No
O75325	LRRN2	-2.28989215764966	1.05763732502831e-07	No	No
O75330	HMMR	-1.23607502097902	0.0008038570962874	No	No
O75363	BCAS1	-2.58205246369207	2.72235794111162e-48	No	No
O75828	CBR3	-1.40522725384023	4.85986027089993e-28	No	No
O76024	WFS1	-1.6526843653622	2.0266948101573999e-19	No	No
O76082	SLC22A5	-1.20073288043331	1.27262417052845e-14	No	No
O94921	CDK14	-1.42633965993973	0.0043238087830112	No	No
O95057	DIRAS1	-2.10885459436413	2.41471778322698e-10	No	No
O95147	DUSP14	-1.45934800758327	8.842603678262259e-11	No	No
O95235	KIF20A	-1.20804245868359	0.003205288251616	No	No
O95259	KCNH1	-1.06690412992536	0.0025127119429799	No	No
O95340	PAPSS2	-2.97260440783427	9.25688160573101e-18	No	No
O95466	FMNL1	-1.58719959378617	3.76149344935249e-05	No	No
O95528	SLC2A10	-1.06267636800956	0.0095051341639453	No	No
O95744	PMS2P2	-3.85867846876589	3.58001709082865e-13	No	No
O95754	SEMA4F	-1.26923097647293	0.0002804568037955	No	No
O95864	FADS2	-1.81902251022619	9.84727033442619e-16	No	No
O95994	AGR2	-1.41597773714986	2.35979626727666e-33	No	No
P00533	EGFR	-1.10049708895419	0.0013484148613743	No	No
P00973	OAS1	-2.10734831419114	3.68839980481405e-05	No	No
P01009	SERPINA1	-2.5284486368202	7.016652536751309e-40	No	No
P01033	TIMP1	-3.47754883071666	1.37562129956939e-21	No	No
P01034	CST3	-1.06847006248066	1.1419009503378602e-15	No	No
P01911	HLA-DRB1	-2.85013114785435	1.0790365323607301e-14	No	No
P02649	APOE	-2.36017893184679	1.43011600146036e-21	No	No
P03923	MT-ND6	-1.68997270469277	3.48522157752631e-05	No	No
P04066	FUCA1	-1.15570105530129	4.2158722385335804e-24	No	No
P04083	ANXA1	-3.58024834802642	1.08466334033099e-37	No	No
P04155	TFF1	-2.82896908265217	1.13159198655704e-06	No	No
P04183	TK1	-1.09981924051056	0.0037941550837227	No	No
P04233	CD74	-2.51562166070983	3.08622993863753e-16	No	No
P04439	HLA-A	-1.10478989681302	3.65939947553844e-18	No	No
P05155	SERPING1	-1.63424878628271	2.22033689777776e-05	No	No
P05161	ISG15	-1.39466371004599	4.52608284918703e-08	No	No
P06276	BCHE	-1.80638753072382	0.0036245910009594	No	No
P06703	S100A6	-1.24901326112561	2.8573918074324598e-12	No	No
P06731	CEACAM5	-1.39218445561597	0.0001161123720219	No	No
P06737	PYGL	-1.96452977369471	1.63578436252587e-36	No	No
P06865	HEXA	-1.29843043274942	2.65965506013285e-21	No	No
P07476	IVL	-1.94052392140889	1.07399112480047e-22	No	No
P07948	LYN	-2.51699896791448	1.3198531202470599e-36	No	No
P08185	SERPINA6	-2.34155972187468	5.35037437827471e-27	No	No
P08294	SOD3	-1.1535917793785	1.59990974417201e-05	No	No
P08582	MELTF	-1.53882083618605	3.8312925306175e-05	No	No
P08648	ITGA5	-2.2646480589965	1.26769024133628e-36	No	No
P08962	CD63	-1.672419694424	7.33643403477111e-14	No	No
P09603	CSF1	-1.3011903683161	0.0084033763922948	No	No
P09668	CTSH	-1.52451603370702	1.71308405561681e-32	No	No
P09914	IFIT1	-2.01136728916072	1.00490289963666e-08	No	No
P0C024	NUDT7	-1.4683441500187	6.09582486905974e-18	No	No
P10075	GLI4	-1.50400496611235	0.0031105275232717	No	No
P11388	TOP2A	-1.32127171073459	4.98740866431591e-05	No	No
P11464	PSG1	-1.6835784286208	2.96889108129492e-05	No	No
P11473	VDR	-1.39880905937924	9.812219162382221e-23	No	No
P11926	ODC1	-1.29812608730258	0.0045008722468281	No	No
P12109	COL6A1	-1.71171258397998	4.56074077396005e-07	No	No
P12273	PIP	-3.21202158543008	3.89452161308798e-10	No	No
P12429	ANXA3	-2.40120091637589	5.55907110177649e-20	No	No
P12821	ACE	-1.86337265283604	1.83809267098361e-23	No	No
P14061	HSD17B1	-3.3067206298388	1.2546611503823802e-09	No	No
P15153	RAC2	-1.16282745105223	3.62794993721287e-11	No	No
P15260	IFNGR1	-1.88623791077855	1.0247191836353001e-11	No	No
P15328	FOLR1	-1.24308515557969	1.55483651343157e-15	No	No
P15863	PAX1	-1.03253524916521	0.004903889555231	No	No
P16035	TIMP2	-1.73292446992087	3.10603762482845e-14	No	No
P16219	ACADS	-2.02179195678594	4.34240963247256e-38	No	No
P17026	ZNF22	-1.27179149516773	9.82738050256184e-08	No	No
P17302	GJA1	-1.12972855330201	6.80923981881862e-07	No	No
P17655	CAPN2	-1.28417110949499	3.68464161313392e-30	No	No
P17707	AMD1	-1.16170295702822	0.0031517704376551	No	No
P17900	GM2A	-1.09410674518049	8.112333583645841e-19	No	No
P18564	ITGB6	-1.61258896349722	1.07582696980349e-06	No	No
P19544	WT1	-2.09207128345575	4.57729255233693e-05	No	No
P20591	MX1	-2.50712590405028	1.85290441031835e-09	No	No
P21802	FGFR2	-1.43769726421573	5.8450588851161e-08	No	No
