Protein_Group	Genes	PTEN_sg_#3_vs_LCv2_EV_Blast_logFC	PTEN_sg_#3_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q8TCZ2	CD99L2	1.26978889832799	1.6384594080265e-22	No	No
Q8TE69;Q96DE9	EOLA1;EOLA2	1.33691570618062	2.91473852613236e-12	No	No
Q8WTP8	AEN	1.30483053759384	3.8382401436998e-05	No	No
Q8WU39	MZB1	1.40659862309928	1.96853945822237e-14	No	No
Q8WXF7	ATL1	1.62247797246203	2.45661008925785e-08	No	No
Q8WY54	PPM1E	2.27783665737931	3.39396035597264e-24	No	No
Q92698	RAD54L	1.8250606071537	4.55025105217407e-19	No	No
Q92985	IRF7	1.04959336514932	0.0003757145275116	No	No
Q96B97	SH3KBP1	1.06282036569948	7.47277139389906e-05	No	No
Q96DA2	RAB39B	2.24097910320431	3.60437589699447e-09	No	No
Q96E17	RAB3C	5.8382491934114	1.19021130703574e-18	No	No
Q96GY0	ZC2HC1A	2.49044643004218	5.78038065048538e-35	No	No
Q96L08	SUSD3	1.9322172319513	6.71622528542475e-08	No	No
Q96P15	SERPINB11	1.40353579566544	9.52740031136319e-06	No	No
Q96QP1	ALPK1	1.35999127621847	1.20742034524988e-08	No	No
Q99608	NDN	4.03347944002253	6.07932857899059e-12	No	No
Q99715	COL12A1	1.24831312260499	9.92346782800268e-06	No	No
Q9BQE6	LBHD1	1.32899351525995	2.32252561457885e-06	No	No
Q9BSE5	AGMAT	1.07747884663276	1.6161743367881802e-09	No	No
Q9BSW7	SYT17	1.00397493153637	0.0019100000573047	No	No
Q9BWD3	RTL8A	1.33412030230616	3.13625740225918e-23	No	No
Q9GZP1	NRSN2	1.01410975194496	0.0008112165034023	No	No
Q9H079	KATNBL1	1.05744630454889	4.52995223583201e-06	No	No
Q9H257	CARD9	2.55159621412821	1.57664509421372e-22	No	No
Q9H320;Q9H321;Q9H322;Q9NNX9	VCX;VCX3B;VCX2;VCX3A	2.13234964508407	9.23038954306211e-08	No	No
Q9H898	ZMAT4	2.28722978217403	1.93844905748374e-10	No	No
Q9HCI6	KIAA1586	1.19754818972312	9.67110424492543e-05	No	No
Q9HCK4	ROBO2	1.12791693652517	1.0910877585436e-15	No	No
Q9HD64	XAGE1B	3.8934932206121	4.45934626827112e-31	No	No
Q9NPG8	ZDHHC4	1.20603913550654	4.95724257811628e-06	No	No
Q9NRJ5	PAPOLB	1.00167398047563	0.0012659890908428	No	No
Q9NSD4	ZNF275	1.23069020835552	0.0004675462254871	No	No
Q9NYT0	PLEK2	1.08086204401089	0.000404896079607	No	No
Q9NZI6	TFCP2L1	1.08293847648126	0.0001727974404624	No	No
Q9P291	ARMCX1	2.09365738388512	1.35462471790319e-16	No	No
Q9UBM1	PEMT	1.14193951470176	0.0013131756677169	No	No
Q9UHE8	STEAP1	1.99446747801374	1.60506584341006e-08	No	No
Q9UII4	HERC5	1.40461397006332	5.6303140860596e-05	No	No
Q9UN67	PCDHB10	1.79751686435238	1.31028465587694e-13	No	No
Q9UPY5	SLC7A11	1.12524762480839	0.0026210897634521	No	No
Q9UQV4	LAMP3	2.68730540409139	2.1277780497883e-21	No	No
Q9Y6G1	TMEM14A	2.56991310584371	0.0007738376197167	No	No
A0A024R1R8;Q9Y2S6	hCG_2014768;TMA7	-1.07125950874646	1.95351950007545e-05	No	No
A4D1S0	KLRG2	-1.54755398295382	5.71138000394603e-38	No	No
A6NCQ9	RNF222	-2.0775520078473	2.79876218621714e-05	No	No
A6NCS6	C2orf72	-1.21662282707394	2.04623482164361e-17	No	No
A6NKN8	PCP4L1	-2.10287571629516	1.7213333725024798e-11	No	No
A6NNY8	USP27X	-1.43699603384266	0.0064748990872939	No	No
C9JA33	PALM2AKAP2	-1.7507047636432	2.5947686229393896e-26	No	No
O00526	UPK2	-1.61001225424085	2.3613561726737e-05	No	No
O15232	MATN3	-1.2724222664257	4.52333208376189e-16	No	No
O15488	GYG2	-1.86135914201368	2.68610228707344e-08	No	No
O60356	NUPR1	-1.33612593825677	4.15213952412832e-06	No	No
O60443	GSDME	-1.03081716216583	6.88171167801797e-10	No	No
O60704	TPST2	-1.12440450754775	4.0177036203379e-15	No	No
O60879	DIAPH2	-2.42022886410628	5.48812867047302e-09	No	No
O75056	SDC3	-1.41308873581276	4.19255919244954e-05	No	No
O75325	LRRN2	-1.06961536860615	0.0005094794240811	No	No
O75452	RDH16	-1.06724387119794	1.35268645181687e-08	No	No
O75888	TNFSF13	-2.50495280683177	1.99517397430396e-06	No	No
O75953	DNAJB5	-1.83815526767752	1.1084069776594198e-11	No	No
O76054	SEC14L2	-1.07932328325892	0.0001854884626883	No	No
O76070	SNCG	-1.13076249386244	3.19371799026204e-32	No	No
O95164	UBL3	-1.31185289201593	2.06995863154681e-13	No	No
O95259	KCNH1	-1.26602403097191	4.78672733567017e-06	No	No
O95340	PAPSS2	-1.59194040575744	1.5304727512938798e-11	No	No
P00533	EGFR	-1.06136391697168	5.79262808335944e-05	No	No
P01033	TIMP1	-1.08206174867484	5.98236444687234e-07	No	No
P02511	CRYAB	-1.67514016458416	3.68683698880318e-19	No	No
P04083	ANXA1	-1.98075277734018	8.645061159621669e-29	No	No
P04279	SEMG1	-2.66832451329116	2.86948149768581e-06	No	No
P05114	HMGN1	-1.87163810686701	0.0004966176655542	No	No
P05155	SERPING1	-1.39955699383908	2.0856975763205e-06	No	No
P05177	CYP1A2	-1.27476375013489	0.0001623935744663	No	No
P05981	HPN	-1.23064030679985	2.87713839727285e-14	No	No
P06396	GSN	-1.07641315117748	1.8757233305489998e-30	No	No
P06731	CEACAM5	-1.05869093575606	0.0001028123748539	No	No
P07948	LYN	-1.16287345372758	3.5899112925342996e-23	No	No
P08294	SOD3	-1.40154490831776	1.24582127378265e-10	No	No
P08493	MGP	-1.43473011864389	4.6445672660009305e-31	No	No
P08833	IGFBP1	-3.37361265437906	6.3185303468864e-06	No	No
P08913	ADRA2A	-1.21897871978414	0.0001067610587728	No	No
P0C869	PLA2G4B	-1.21329167875705	4.20430535623026e-10	No	No
P10070	GLI2	-1.00734369352975	0.0010546685485425	No	No
P10176	COX8A	-1.91109676232939	1.61014534714926e-07	No	No
P10909	CLU	-1.20370670538236	1.12883330082953e-07	No	No
P11464	PSG1	-1.18836835515903	8.34589654783417e-05	No	No
P12273	PIP	-1.49807250619913	3.08328468902606e-05	No	No
P14543	NID1	-1.28627204549409	0.0003978917166336	No	No
P15104	GLUL	-1.05883987029882	1.3097498256976801e-21	No	No
P17302	GJA1	-5.81687394496302	2.06328637639489e-51	No	No
P17600	SYN1	-2.40959328125018	9.590868535660771e-15	No	No
P18848	ATF4	-1.16017711614644	1.03214222138215e-05	No	No
P20337	RAB3B	-1.28768896903406	0.0004091951113232	No	No
P20962	PTMS	-1.40747109969238	0.0012257208161819	No	No
P23297	S100A1	-1.43604826041417	2.09961045111562e-10	No	No
P23378	GLDC	-3.21474699405383	7.68281451223277e-26	No	No
P24311	COX7B	-2.21464939925896	0.0014862125859865	No	No
P29400	COL4A5	-1.06858446945192	8.73340564911034e-06	No	No
P30988	CALCR	-1.08808222248046	1.14153106086032e-07	No	No
P32929	CTH	-1.2428722866394	2.18285493176813e-23	No	No
P36269	GGT5	-1.67977399054826	6.368801887852589e-11	No	No
P42785	PRCP	-1.40227527343145	2.1879023531522897e-42	No	No
P43353	ALDH3B1	-1.24171739641309	5.41335146281588e-24	No	No
P47712	PLA2G4A	-2.48733467525188	3.15577538113937e-22	No	No
P47974	ZFP36L2	-1.04301950174554	2.05963118720072e-12	No	No
P48436	SOX9	-1.11104110689353	2.05303012428478e-07	No	No
P49703	ARL4D	-1.60323198833858	1.95711549442798e-06	No	No
P50135	HNMT	-1.78395218470081	4.405308118803e-09	No	No
P50225	SULT1A1	-1.38976554789885	4.41702795747227e-33	No	No
P50440	GATM	-1.37839224216402	1.1435376667475001e-20	No	No
