Protein_Group	Genes	T47D_ResB_vs_T47D_logFC	T47D_ResB_vs_T47D_pval	Removed?	Contaminant?
Q6ZTW0	TPGS1	-2.57711092254187	1.73359452343964e-21	No	No
Q709C8	VPS13C	-1.08623091942384	7.3580431869051e-44	No	No
Q70J99	UNC13D	-1.35517545518409	1.35875427409237e-43	No	No
Q71RC9	SMIM5	-1.05155887013539	0.0090563361414865	No	No
Q76EJ3	SLC35D2	-1.25561592315649	0.0001827942113811	No	No
Q7L5A8	FA2H	-1.30267768714314	5.28706742021561e-21	No	No
Q7L5Y6	DET1	-1.49455331227588	5.60835956285054e-05	No	No
Q7Z401	DENND4A	-1.03774802844952	3.2010395412092e-18	No	No
Q7Z7L1	SLFN11	-1.39252823410225	1.3029906238820301e-17	No	No
Q86SR1	GALNT10	-1.01273093016468	4.67736948376208e-18	No	No
Q86TG7	PEG10	-1.2542098194158	1.79984592934386e-05	No	No
Q86UR1	NOXA1	-1.05906706478992	3.20681941784418e-06	No	No
Q86VZ6	JAZF1	-3.62968773633515	4.6125415360103005e-10	No	No
Q86WV6	STING1	-1.06564158120537	0.0013858901662516	No	No
Q86X40	LRRC28	-1.34511153347185	3.01834837178225e-07	No	No
Q86Y38	XYLT1	-1.27919538907349	0.0001669399829958	No	No
Q86YB7	ECHDC2	-1.12520474122005	5.1147811061566e-05	No	No
Q86YR5	GPSM1	-1.00291603693523	5.44832943002488e-30	No	No
Q8IVL6	P3H3	-1.18128466753501	2.69260158226009e-05	No	No
Q8IVS8	GLYCTK	-1.40612466772304	0.0043218886671067	No	No
Q8IVT2	MISP	-1.02408464739007	9.86678803692753e-21	No	No
Q8IWU6	SULF1	-2.03138763748069	1.17265194245035e-06	No	No
Q8IXL7	MSRB3	-1.21548116537278	1.16198015020324e-17	No	No
Q8IZ13	ZBED8	-1.27912670478104	0.0001536940293706	No	No
Q8N0T1	RBIS	-1.10445756373994	1.0235403309653201e-23	No	No
Q8N142	ADSS1	-1.40878102847801	7.91794427369175e-17	No	No
Q8N8U2	CDYL2	-1.17023460443311	5.45281367109178e-06	No	No
Q8N9W5	DNAAF3	-1.20678527747754	2.10566256948479e-07	No	No
Q8NA23	WDR31	-1.25580354163415	8.25951825650149e-06	No	No
Q8NB16	MLKL	-1.01995989338807	7.0624927568691e-25	No	No
Q8NCH0	CHST14	-1.11292487207835	1.24095975104238e-20	No	No
Q8NDN9	RCBTB1	-1.01606783708272	5.09251622618989e-05	No	No
Q8NDW8	TTC21A	-1.45924968071816	2.23386376407943e-06	No	No
Q8TD06	AGR3	-1.12943041494387	4.22744025012383e-23	No	No
Q8TD19	NEK9	-1.13141708363293	6.18132803908807e-46	No	No
Q8TDZ2	MICAL1	-2.63713080402583	1.5229651101412e-33	No	No
Q8TF42	UBASH3B	-1.25535838930403	9.79658179394281e-05	No	No
Q8WUM9	SLC20A1	-1.15957173834253	2.87266750343987e-14	No	No
Q8WV41	SNX33	-1.10273851895204	1.2145979002105999e-29	No	No
Q8WVB3	HEXD	-1.43106294531941	7.420756161921901e-10	No	No
Q8WVC6	DCAKD	-2.44901540604596	1.22074053085401e-53	No	No
Q8WW22	DNAJA4	-1.42891598699823	5.36664788739959e-43	No	No
Q8WW38	ZFPM2	-1.11654596549654	0.0001375237542639	No	No
Q8WWI1	LMO7	-1.3697568774312	6.27355156082809e-51	No	No
Q8WWY8	LIPH	-1.7382401273929	1.01495949449192e-21	No	No
Q8WWZ3	EDARADD	-1.6112412365528	7.90655651120381e-08	No	No
Q92478	CLEC2B	-4.40965002012383	7.16959322181078e-32	No	No
Q92484	SMPDL3A	-1.48269977295251	1.29601943823131e-20	No	No
Q92633	LPAR1	-1.4003621495263	4.47547852441597e-05	No	No
Q92791	P3H4	-1.21884486588834	3.54325431456076e-30	No	No
Q92854	SEMA4D	-1.0377400429746	2.1373739324565e-09	No	No
Q96A19	CCDC102A	-1.50497678880022	2.87674251651356e-19	No	No
Q96A25	TMEM106A	-1.74133319749177	2.00547238453946e-06	No	No
Q96AP7	ESAM	-1.25361347367857	0.0020071983389623	No	No
Q96AY3	FKBP10	-2.1537573119955	6.00424249249268e-59	No	No
Q96B21	TMEM45B	-1.25524133302522	2.1915601305844001e-10	No	No
Q96BI1	SLC22A18	-1.7591915303245	1.08089866978247e-32	No	No
Q96C74	ROPN1L	-1.64262002400608	1.16959439428863e-07	No	No
Q96CM8	ACSF2	-1.22336090170681	3.49452588502491e-27	No	No
Q96CX6	LRRC58	-2.52774635813792	7.219348308552169e-13	No	No
Q96DR4	STARD4	-1.96856321953484	2.95464162800983e-08	No	No
Q96EN8	MOCOS	-1.7396628775396	2.7563567538530703e-15	No	No
Q96FE7	PIK3IP1	-1.20735480136553	0.0004125657309399	No	No
Q96FL8	SLC47A1	-2.3966985393734	4.75997149707924e-17	No	No
Q96FN4	CPNE2	-2.05582802504635	4.88999822470523e-21	No	No
Q96GT9	XAGE2	-1.33922340511833	0.0028120707491125	No	No
Q96M32	AK7	-1.75604111535987	1.98826470019153e-09	No	No
Q96PX9	PLEKHG4B	-1.70829366381712	4.8611954189503396e-12	No	No
Q96R05	RBP7	-1.88069313943361	1.19944237606351e-24	No	No
Q96RL7	VPS13A	-1.22629093166017	8.18674291095922e-46	No	No
Q96ST8	CEP89	-1.0402554580117	7.131977801086431e-09	No	No
Q99424	ACOX2	-1.35023187431518	4.32595242833967e-07	No	No
Q99490	AGAP2	-1.9038759455192	4.08104895470086e-06	No	No
Q99959	PKP2	-1.097805063783	1.3693457664859098e-26	No	No
Q9BSW7	SYT17	-1.15842153536841	0.000947073077306	No	No
Q9BT76	UPK3B	-1.10689528056335	0.001668368869898	No	No
Q9BTE0	NAT9	-1.06033538796613	1.59521333849977e-05	No	No
Q9BUM1	G6PC3	-1.01052159914808	1.90400251874546e-08	No	No
Q9BUW7	BBLN	-1.16310795153253	1.15169322818429e-09	No	No
Q9BVG8	KIFC3	-1.15923007045274	2.65082030486825e-14	No	No
Q9BXC9	BBS2	-1.22324989467711	1.9661074171489403e-15	No	No
Q9BXI9	C1QTNF6	-3.35337871707122	3.7632515227007705e-21	No	No
Q9BXM9	FSD1L	-1.12461415926234	9.90871067513256e-06	No	No
Q9BYL1	SAMD10	-1.48398362383279	1.33526002766101e-08	No	No
Q9BZF2	OSBPL7	-1.66439848664885	1.35705048434554e-10	No	No
Q9BZG1	RAB34	-1.21902416545004	8.88447589697796e-33	No	No
Q9C0H9	SRCIN1	-1.23558430735322	3.1802538820608697e-18	No	No
Q9GZV1	ANKRD2	-1.61038250001174	1.0571559867073401e-14	No	No
Q9H2Y7	ZNF106	-1.11776347258997	2.78848865046711e-15	No	No
Q9H3G5	CPVL	-1.58971912721748	2.5865924445336798e-30	No	No
Q9H553	ALG2	-2.05195260308312	5.8784349736461e-43	No	No
Q9HB65	ELL3	-1.08387816069018	1.52914390376929e-22	No	No
Q9HBG6	IFT122	-1.29889720812451	7.472932289967989e-33	No	No
Q9NP72	RAB18	-1.23443196896667	5.603265863336019e-12	No	No
Q9NP74	PALMD	-1.18219150813846	7.18251943940218e-07	No	No
Q9NPB6	PARD6A	-1.39766719246141	8.0240592564181e-08	No	No
Q9NQX4	MYO5C	-1.60805053073203	2.81729274100218e-49	No	No
Q9NQX7	ITM2C	-2.40693063064231	1.4528506143854002e-16	No	No
Q9NRX4	PHPT1	-1.43197964099016	4.89406119597525e-18	No	No
Q9NSD5	SLC6A13	-1.75159834026174	7.65304470933012e-08	No	No
Q9NUB1	ACSS1	-1.3759276779138	6.56657348623835e-27	No	No
Q9NUV7	SPTLC3	-1.16936470975852	8.67316404928935e-10	No	No
Q9NVC3	SLC38A7	-1.2187912663831	4.3510166632134605e-15	No	No
Q9NVN8	GNL3L	-1.28260480665382	2.959903369517e-38	No	No
Q9NW38	FANCL	-1.09936389710835	0.0001096332266458	No	No
Q9NW97	TMEM51	-1.21886617379205	0.0002435253627482	No	No
Q9NX95	SYBU	-1.24246101442986	0.0060880068179736	No	No
Q9NXG0	CNTLN	-1.00273778795542	3.40859560732531e-07	No	No
Q9NXG6	P4HTM	-1.44562601575201	1.65685002645843e-21	No	No
Q9NXL2	ARHGEF38	-1.53230621750254	1.19719655969656e-17	No	No
Q9NXL9	MCM9	-1.20060211937619	0.0011294468179569	No	No
Q9NZU0	FLRT3	-1.67244578402885	1.12022981698067e-07	No	No
Q9P107	GMIP	-1.6171844798523	3.2731054232926896e-40	No	No
Q9P1T7	MDFIC	-1.04862191413986	7.40556593950403e-05	No	No
Q9P209	CEP72	-1.01778704287667	0.0021238517732714	No	No
Q9UBT7	CTNNAL1	-1.05296107687201	5.8947966693996e-25	No	No
Q9UDY2	TJP2	-1.16085553832321	5.992088974141029e-48	No	No
Q9UGQ3	SLC2A6	-1.47502058657035	1.33803101308229e-11	No	No
Q9UJ14	GGT7	-1.22200534175711	1.22249524613767e-16	No	No
Q9UJ37	ST6GALNAC2	-1.30292291488803	2.45254447919137e-09	No	No
Q9UJ83	HACL1	-1.03766187148742	1.378935088393e-27	No	No
Q9UKE5	TNIK	-1.54979913102814	5.6406478657488e-33	No	No
Q9UKK3	PARP4	-1.07523834227989	1.1639484621814e-07	No	No
Q9ULM0	PLEKHH1	-1.35660207866845	1.412914316665e-10	No	No
Q9UNQ0	ABCG2	-1.59777548889421	0.0015117994320354	No	No
Q9UNT1	RABL2B	-1.18786060348197	6.960907267577421e-14	No	No
Q9UP95	SLC12A4	-1.02112217160477	1.3473706909587199e-28	No	No
Q9UPI3	FLVCR2	-1.27766534865164	1.15701288520778e-06	No	No
Q9UPW5	AGTPBP1	-1.00529401843054	5.6148635358493e-08	No	No
Q9Y2B5	VPS9D1	-1.18384027586923	7.46562110638541e-10	No	No
Q9Y2E5	MAN2B2	-1.09043119906209	7.04098213487576e-21	No	No
Q9Y2J2	EPB41L3	-1.45261548441545	7.57788856439006e-05	No	No
Q9Y2J8	PADI2	-1.10596980847207	1.76884854724931e-08	No	No
Q9Y2Y0	ARL2BP	-1.31329840914707	2.91321221429842e-16	No	No
Q9Y6U3	SCIN	-1.52688131443086	1.60265289588499e-08	No	No
Q9Y6X4	FAM169A	-1.40128978325023	1.53419461607402e-17	No	No
