Protein_Group	Genes	T47D_ResB_vs_T47D_logFC	T47D_ResB_vs_T47D_pval	Removed?	Contaminant?
P53985	SLC16A1	1.62477468662163	7.61092522558407e-18	No	No
P54253	ATXN1	1.56849652148576	9.40791429054283e-27	No	No
P54289	CACNA2D1	1.90681905618802	4.5031500281524895e-42	No	No
P54803	GALC	1.15451243281075	1.98314161032008e-36	No	No
P54868	HMGCS2	5.54038058352303	6.18717940402972e-33	No	No
P55809	OXCT1	2.68311299354426	4.4899693391419294e-12	No	No
P55851	UCP2	1.15820142526708	3.7982109697062e-06	No	No
P56277	CMC4	1.02917623234322	0.0081798442517201	No	No
P56748	CLDN8	1.8597752195136	0.0098580936429945	No	No
P61925	PKIA	2.58135493335042	1.2253208682209798e-36	No	No
P62324	BTG1	1.39881767731006	6.54372223255303e-10	No	No
P67775	PPP2CA	1.08888089820603	0.0004056844864456	No	No
P68106	FKBP1B	1.19084047162288	0.0016274203369002	No	No
P68366	TUBA4A	1.174245131397	1.42498734993476e-19	No	No
P78337	PITX1	1.5072663034763	4.9275562894577694e-18	No	No
P78395	PRAME	1.02926311623979	1.7205255069294e-08	No	No
P80365	HSD11B2	1.55626299634181	8.739434458106569e-12	No	No
P98198	ATP8B2	1.1457894609876	5.21290944875622e-05	No	No
Q00534	CDK6	2.16373104189244	5.2286474168229203e-20	No	No
Q00978	IRF9	2.33828063047846	7.319312821895531e-09	No	No
Q00G26	PLIN5	1.45613692927078	3.38048233117748e-07	No	No
Q01628	IFITM3	1.36767791827203	3.74010951925472e-08	No	No
Q03167	TGFBR3	1.41300936613515	4.07068669403768e-06	No	No
Q04828	AKR1C1	1.41135937673814	5.29405735715651e-08	No	No
Q05481	ZNF91	1.09122026324362	0.0003175003968541	No	No
Q06055	ATP5MC2	1.75462542702515	0.0037114806729513	No	No
Q12791	KCNMA1	1.41063832667616	4.14702821383992e-18	No	No
Q13069	GAGE5	4.41860224901255	1.0735979405406e-27	No	No
Q13325	IFIT5	1.29010967064982	4.9054939323927404e-23	No	No
Q13576	IQGAP2	1.93349872458183	2.42397686154504e-07	No	No
Q13740	ALCAM	1.02124212725228	4.3193848681976e-05	No	No
Q14019	COTL1	1.40643485133052	3.6649434584454e-17	No	No
Q14449	GRB14	2.22426790661258	3.85247725700364e-06	No	No
Q14749	GNMT	1.0039613496887	0.0030179747450281	No	No
Q14894	CRYM	4.00482078119542	3.68738165928484e-16	No	No
Q15111	PLCL1	1.48557779018141	0.0002239602108726	No	No
Q15646	OASL	2.23562030134655	2.7403956077761498e-18	No	No
Q16143	SNCB	1.36372984661518	4.4888875857612e-06	No	No
Q16659	MAPK6	1.26435691119495	0.0008166709081501	No	No
Q2I0M4	LRRC26	1.51102071267659	3.31691867157884e-06	No	No
Q2M3V2	SOWAHA	1.32787254883618	1.7845481028093598e-12	No	No
Q460N5	PARP14	1.15455002371174	4.25056939373377e-22	No	No
Q4V321	GAGE13	3.04809961250494	1.13047969901641e-22	No	No
Q58EX7	PLEKHG4	2.02730979789751	7.57366937635271e-09	No	No
Q5H9U9	DDX60L	1.11214570621585	7.69425996568923e-05	No	No
Q5HY92	FIGN	1.10849508521862	0.0090679985258262	No	No
Q5K651	SAMD9	2.51240758892093	6.398215538996111e-19	No	No
Q5SXH7	PLEKHS1	1.08165027655601	3.07540269331812e-05	No	No
Q5T013	HYI	1.65445833156275	7.884560108788231e-09	No	No
Q5T9A4	ATAD3B	1.29776511863236	9.31495381629192e-10	No	No
Q5VUG0	SFMBT2	1.20446754518239	0.0007855421264008	No	No
Q68D51	DENND2C	1.56786502073057	4.92856755842269e-06	No	No
Q6IQ19	CCSAP	1.23774420696082	0.000401063269954	No	No
Q6P3S1	DENND1B	1.37893539614391	0.0001274906974276	No	No
Q6PCE3	PGM2L1	1.46003191816724	3.1015946909722802e-21	No	No
Q6QHC5	DEGS2	1.08506220598147	9.549653645944291e-15	No	No
Q6T4P5	PLPPR3	1.04656998083744	2.99228531851158e-05	No	No
Q6TCH7	PAQR3	1.14710921760827	3.91905697899671e-08	No	No
Q6ZRF7	ZNF818P	1.66865597361416	0.0002733640487012	No	No
Q71DI3	H3C13	1.38867925745675	0.0002312237118869	No	No
Q7L266	ASRGL1	2.48168357011173	8.99902714674584e-10	No	No
Q7Z7D3	VTCN1	1.75786453644902	3.29358473751279e-14	No	No
Q86V24	ADIPOR2	1.35780856584353	0.0001717125781859	No	No
