Protein_Group	Genes	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_logFC	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_pval	Removed?	Contaminant?
Q8NFP9	NBEA	1.05644857579136	4.1919219324262804e-14	No	No
Q8NFW9	MYRIP	1.45021262208151	0.000379538361475	No	No
Q8TB45	DEPTOR	1.15292893080268	1.7943721818151698e-11	No	No
Q8TBZ8	ZNF564	1.04743129866399	0.0014450052200387	No	No
Q8WV19	SFT2D1	1.99771172137378	0.0002717561209394	No	No
Q8WWZ7	ABCA5	1.09018610621917	5.23114183815147e-05	No	No
Q8WXK1	ASB15	1.02765643380177	8.81492102231149e-06	No	No
Q8WYR4	RSPH1	2.39196789877479	2.33710870715115e-08	No	No
Q92478	CLEC2B	1.01080816031752	0.0001379446927734	No	No
Q92508	PIEZO1	1.09069389452508	1.51059784486388e-16	No	No
Q92597	NDRG1	1.63082604685809	3.3834679509621503e-10	No	No
Q92777	SYN2	1.41880547064868	0.003513329986208	No	No
Q969W9	PMEPA1	1.11849912243585	5.97193214566647e-05	No	No
Q96B97	SH3KBP1	1.49362181635853	5.39069871918164e-06	No	No
Q96DA0	ZG16B	1.23739780568662	0.001277806398609	No	No
Q96DA2	RAB39B	1.88622753236748	1.33294629891023e-05	No	No
Q96EG1	ARSG	1.06148846607613	3.59979913779777e-06	No	No
Q96L08	SUSD3	1.04987980238373	0.0086842067167065	No	No
Q96NY7	CLIC6	1.56279594217081	7.609252500794631e-09	No	No
Q99489	DDO	1.52740043238555	0.0003993028539482	No	No
Q99574	SERPINI1	1.7675945536854	4.52864627805682e-23	No	No
Q99576	TSC22D3	1.13009093743528	0.000294965595461	No	No
Q9BQR3	PRSS27	1.02801481649555	2.26082607505233e-05	No	No
Q9BT76	UPK3B	1.42903971578824	0.0003162354149338	No	No
Q9BWT7	CARD10	1.14249834063502	0.0076567370422495	No	No
Q9H095	IQCG	1.13492957433738	0.0043052421519345	No	No
Q9H1Z9	TSPAN10	1.38529200605681	7.9203226608489e-05	No	No
Q9H3M7	TXNIP	1.25598886966933	3.5711007216951e-06	No	No
Q9H841	NIPAL2	1.09722297655036	0.0033893395704431	No	No
Q9HB63	NTN4	1.6672188113589	3.56141174741403e-06	No	No
Q9NSK7	C19orf12	1.21023711512961	7.358236631247961e-09	No	No
Q9NUL5	SHFL	1.23238265442975	0.0039532152441924	No	No
Q9NX95	SYBU	1.69076172737854	0.0009364136036238	No	No
Q9NZI6	TFCP2L1	1.78375780399656	6.92074239490327e-07	No	No
Q9P232	CNTN3	1.32616312088882	7.51022641314128e-08	No	No
Q9UHE8	STEAP1	1.15001213534793	0.0034318428855627	No	No
Q9Y2D2	SLC35A3	1.33772135362817	4.81354334066461e-08	No	No
Q9Y4H4	GPSM3	1.95843563123695	6.54772387738356e-05	No	No
Q9Y572	RIPK3	1.1287892305824	0.001980032963082	No	No
Q9Y5I1	PCDHA11	1.12566393666443	0.0092356199768702	No	No
V9GZ13		1.52514588384982	0.0008808378923862	No	No
A8MT69	CENPX	-1.07107379284405	2.52397254978118e-06	No	No
B4DXR9	ZNF732	-1.37341775509587	0.0020339278618622	No	No
O00762	UBE2C	-1.42498531290141	0.0002061417971754	No	No
O14578	CIT	-1.25890312109776	2.80723643955198e-10	No	No
O14757	CHEK1	-1.06514464960659	2.78851427331494e-07	No	No
O14777	NDC80	-1.29637794950202	0.0001714615676575	No	No
O14810	CPLX1	-1.11003028932687	0.0049866305439604	No	No
O14965	AURKA	-1.50571303506012	4.56375795160634e-08	No	No
O14975	SLC27A2	-1.05578464059646	7.36584734250785e-08	No	No
O15287	FANCG	-1.04453530556755	2.53640887968873e-05	No	No
O15350	TP73	-1.25795220472215	4.33139771055264e-12	No	No
O15392	BIRC5	-2.11431761804977	2.22241287963091e-05	No	No
O43379	WDR62	-1.16113591505508	2.15901401431049e-07	No	No
O43463	SUV39H1	-1.53182526172267	2.4748380616417202e-14	No	No
O43502	RAD51C	-1.08026537216479	2.00585227748633e-08	No	No
O43542	XRCC3	-1.10575584402376	1.14556353090229e-07	No	No
O43663	PRC1	-1.59284145486231	4.20166508695608e-07	No	No
O43683	BUB1	-1.17591096681455	1.71348603712089e-05	No	No
O60673	REV3L	-1.10217740039215	0.0056758750322058	No	No
O75330	HMMR	-1.67764977667363	1.45332080655516e-06	No	No
O75417	POLQ	-1.14430821667946	4.34000190963817e-06	No	No
O75419	CDC45	-1.22981699445015	0.0001117626652766	No	No
O75446	SAP30	-1.06945836181485	4.10505371541336e-13	No	No
O75496	GMNN	-1.30532647381816	2.87192274754458e-06	No	No
O75717	WDHD1	-1.0396607784835	2.91816525958282e-13	No	No
O75764	TCEA3	-1.21168451362586	2.7024061823851202e-20	No	No
O94761	RECQL4	-1.39156243336873	1.7369065362256e-15	No	No
O94768	STK17B	-1.68551220921569	1.17603940954063e-05	No	No
O95067	CCNB2	-1.51200901392461	2.94267887561321e-06	No	No
O95235	KIF20A	-1.63747438240021	1.98339376568602e-05	No	No
O95239	KIF4A	-1.64627826682915	5.74272927016961e-10	No	No
O95347	SMC2	-1.04228520574377	2.84646457745386e-19	No	No
O95997	PTTG1	-1.68931304568861	1.9860100433187701e-10	No	No
O96028	NSD2	-1.20649424078888	2.26831191288393e-13	No	No
P00374	DHFR	-1.22605104163152	0.0030975980226673	No	No
P00747	PLG	-1.35767603967391	0.0001643812383441	No	No
P01859	IGHG2	-1.93937063706712	8.26743831152428e-13	No	No
P02763	ORM1	-2.11426219975393	2.3901265183889e-10	No	No
P04183	TK1	-1.66927694028403	3.54106358469239e-06	No	No
P04216	THY1	-1.42336600107028	1.39439801721722e-10	No	No
P04818	TYMS	-1.43531091423386	0.0004329090347913	No	No
P06493	CDK1	-1.26276510121142	2.82057131192854e-11	No	No
P09884	POLA1	-1.0175065314186	8.05482332552103e-17	No	No
P10244	MYBL2	-1.31661208910524	1.44025822422313e-05	No	No
P11388	TOP2A	-1.56880998388554	2.83098421297681e-07	No	No
P12004	PCNA	-1.01449539684682	6.623786607141921e-15	No	No
P14635	CCNB1	-1.80525559095507	2.43285265570018e-05	No	No
P16402	H1-3	-1.71453553127941	1.26529226674972e-16	No	No
P16949	STMN1	-1.06269202059005	3.60572738146699e-15	No	No
P18858	LIG1	-1.03429496609542	5.7313778610083e-11	No	No
P19544	WT1	-1.67998488207057	0.0002656595455624	No	No
P20248	CCNA2	-1.48798948344604	1.13177171841125e-08	No	No
P23527	H2BC17	-1.44168334186853	0.0004513983626244	No	No
P26358	DNMT1	-1.01403678817454	9.3210150984246e-19	No	No
P30305	CDC25B	-1.6629916193807	6.46290761928727e-09	No	No
P30307	CDC25C	-1.30061368419482	2.27361151549535e-05	No	No
P31274	HOXC9	-1.4051602632242	0.0021595705760271	No	No
P31350	RRM2	-1.0338997112365	0.0057405666780818	No	No
P33316	DUT	-1.35060644393062	1.61973071731806e-13	No	No
P33552	CKS2	-1.70057147348671	6.28965665626686e-08	No	No
P35638	DDIT3	-1.85434855387475	3.17664602644404e-08	No	No
P41002	CCNF	-1.02509437477576	0.0001600885623556	No	No
P42695	NCAPD3	-1.15745776065658	1.36329517900613e-16	No	No
P46013	MKI67	-1.5189986409251	1.50011802320949e-05	No	No
P49454	CENPF	-1.50941648269204	1.04471444675573e-08	No	No
P49642	PRIM1	-1.15057730368124	3.47990193511152e-11	No	No
P51530	DNA2	-1.11087602439064	1.36812393309387e-05	No	No
P51955	NEK2	-1.44818672556672	1.66058496376473e-11	No	No
P52732	KIF11	-1.51538464412771	3.69518708538719e-07	No	No
P53350	PLK1	-1.67991494909059	1.15274214523556e-07	No	No
P54132	BLM	-1.54404317984486	1.10610528662695e-15	No	No
P55273	CDKN2D	-2.46297038024689	3.61065595437163e-05	No	No
P55851	UCP2	-1.27227840309925	5.11210526265756e-06	No	No
P56282	POLE2	-1.13745794605702	9.76146087414753e-10	No	No
P59796	GPX6	-1.7048108595948	3.00010790486249e-08	No	No
P61024	CKS1B	-1.57369047333158	7.57900307047645e-10	No	No
P67936	TPM4	-4.43615178625282	1.0121081758406601e-19	No	No
P78549	NTHL1	-1.37202592802369	1.93905611140381e-08	No	No
P81274	GPSM2	-1.02252113151422	0.0042158553989382	No	No
Q01664	TFAP4	-2.66869900519171	4.3402678513133694e-11	No	No
Q02241	KIF23	-1.24428563199447	2.3236420466529197e-11	No	No
Q02446	SP4	-1.764607185129	8.047099793011971e-09	No	No
Q05D32	CTDSPL2	-1.26865552736161	3.40763470568476e-36	No	No
Q06609	RAD51	-1.14885852157223	0.0002545510379369	No	No
Q08050	FOXM1	-1.12983140757361	0.0015493043345845	No	No
Q12815	TROAP	-1.50301627521394	7.17243013375013e-05	No	No
