Protein_Group	Genes	cMyc_OE_Tr_vs_cMyc_OE_logFC	cMyc_OE_Tr_vs_cMyc_OE_pval	Removed?	Contaminant?
Q60I27	ALS2CL	1.0607213123693	2.25261605516714e-08	No	No
Q67FW5	B3GNTL1	1.69739868361493	5.32575169680917e-17	No	No
Q6AZY7	SCARA3	1.14238555998021	0.0092627224542069	No	No
Q6P2H8	TMEM53	1.25590037423834	9.11879220306528e-05	No	No
Q6P5R6	RPL22L1	1.0889537218362	5.08230169989142e-11	No	No
Q6ZN28	MACC1	1.288393200275	2.92615367615453e-20	No	No
Q7Z7D3	VTCN1	1.02072879037091	7.01565924827498e-06	No	No
Q86SQ0	PHLDB2	1.18925952062158	3.70663014684062e-10	No	No
Q86WV6	STING1	1.21643989247125	0.0010862193669129	No	No
Q8IVA1	PCP2	1.04829493614246	9.738637334782e-05	No	No
Q8IVI9	NOSTRIN	1.05931952409746	8.96862831066813e-07	No	No
Q8IXL6	FAM20C	1.06448102145726	4.86804924370463e-05	No	No
Q8IYT4	KATNAL2	1.27147982967546	0.0014755269298749	No	No
Q8IYT8	ULK2	1.05842799436985	0.0006284333385718	No	No
Q8IZJ3	CPAMD8	1.41090827279393	1.2639113192793902e-09	No	No
Q8N118	CYP4X1	1.54599197298667	1.32912816002342e-20	No	No
Q8N2H9	PELI3	1.42780043669133	8.70237980139236e-08	No	No
Q8N370	SLC43A2	1.33308518590878	1.98547382616644e-14	No	No
Q8N6N6	NATD1	1.20664457372634	7.91459094483688e-14	No	No
Q8NEP3	DNAAF1	1.13805074504061	0.001816707767683	No	No
Q8NEY4	ATP6V1C2	1.25455680014121	0.0057591504368487	No	No
Q8NFW9	MYRIP	1.47500651503711	0.0003062899710793	No	No
Q8NG27	PJA1	1.34303233267004	8.81823965844621e-05	No	No
Q8TAM1	BBS10	1.52777165530352	0.0001628028597851	No	No
Q8TB45	DEPTOR	1.52597811919524	2.11783302574347e-16	No	No
Q8TF21	ANKRD24	1.52860700715007	0.0028090159742693	No	No
Q8WUP2	FBLIM1	1.0163596661433	8.11731565342413e-13	No	No
Q8WVN6	SECTM1	1.55216275539213	1.79095078112239e-05	No	No
Q8WWA1	TMEM40	1.02193785035565	6.0110227647907e-12	No	No
Q8WWW0	RASSF5	1.13586046332127	3.08134919211363e-05	No	No
Q8WWY8	LIPH	1.05514516309759	3.06734274936956e-10	No	No
Q8WYR4	RSPH1	2.72205562419326	5.65627765412077e-10	No	No
Q92537	SUSD6	1.2587874141045	0.0033842639974237	No	No
Q92597	NDRG1	1.34631076329807	7.6490658628786e-08	No	No
Q92748	THRSP	1.1256421456428	1.43940366865124e-06	No	No
Q92777	SYN2	1.50682868022854	0.0020043269530653	No	No
Q93099	HGD	1.44512727244402	2.82229991139134e-06	No	No
Q969W9	PMEPA1	1.11287904082983	6.45097281291039e-05	No	No
Q96AZ6	ISG20	1.05775213834725	0.0069115768544307	No	No
Q96CX6	LRRC58	2.97798656194507	8.364207542318751e-14	No	No
Q96FE7	PIK3IP1	1.21847160650068	0.0012931280906631	No	No
Q96FL8	SLC47A1	1.08865113454228	3.8190939715036e-05	No	No
Q96N38	ZNF714	5.06717430790304	2.44474770193615e-22	No	No
Q99489	DDO	1.68991975961552	0.0001025390962908	No	No
Q99574	SERPINI1	1.37013659850034	2.6319645630149602e-17	No	No
Q9BQT9	CLSTN3	1.06138381730928	0.0004821690927626	No	No
Q9BT76	UPK3B	1.72286903483781	1.97508057157663e-05	No	No
Q9BXI9	C1QTNF6	3.28328965486897	3.12417956740188e-18	No	No
Q9BY84	DUSP16	1.43402026202706	1.20958307458464e-07	No	No
Q9C035	TRIM5	1.06364205061172	2.52963284357992e-10	No	No
Q9C0H2	TTYH3	1.05317609245846	1.52605456920371e-07	No	No
Q9GZV1	ANKRD2	1.10181201488392	1.1729522225417e-07	No	No
Q9H568	ACTL8	1.01477959317358	0.002946888515155	No	No
Q9H841	NIPAL2	1.0799933775307	0.0038968019006089	No	No
Q9H8J5	MANSC1	1.47759562084567	0.000671414929087	No	No
Q9HB19	PLEKHA2	1.09885259895916	3.5614657288651098e-12	No	No
Q9NQX7	ITM2C	1.99616552645166	2.3684444741730098e-11	No	No
Q9NR34	MAN1C1	1.82946888586251	1.5223637291320001e-12	No	No
Q9NRH3	TUBG2	1.14080591929396	3.61513907750428e-06	No	No
Q9NRN5	OLFML3	1.39866564981866	4.9227858332564806e-15	No	No
Q9NS15	LTBP3	1.0739580866842	1.31657369448749e-15	No	No
Q9NSC2	SALL1	1.3919552595878	0.0024324431683605	No	No
Q9NXJ5	PGPEP1	1.017185862322	5.10231569731096e-05	No	No
Q9NZV1	CRIM1	1.04747379448691	0.0003540315909538	No	No
Q9UBN1	CACNG4	1.28383825664388	0.0002023054345598	No	No
Q9UDR5	AASS	1.13044212860401	2.86484632175931e-05	No	No
Q9UEE5	STK17A	1.28362688907024	1.27455224830584e-10	No	No
Q9UI42	CPA4	1.6721379309659	1.68199354340607e-06	No	No
Q9UIY3	RWDD2A	1.23763458893978	6.47175181543024e-05	No	No
Q9UJX0	OSGIN1	1.01877583801952	7.62420126491163e-05	No	No
Q9UKK3	PARP4	1.33725759087035	6.7284583665804305e-09	No	No
Q9ULD0	OGDHL	1.03671854702252	3.69584820937319e-13	No	No
Q9Y2A9	B3GNT3	1.24776481836908	0.0012039812375604	No	No
Q9Y5I1	PCDHA11	1.18920351557871	0.0060794183400262	No	No
A8MT33	SYCE1L	-3.85256026366186	7.19261931665535e-06	No	No
O00458	IFRD1	-2.19776586613364	9.30495139865966e-09	No	No
O15392	BIRC5	-1.39579663028019	0.0038526642835439	No	No
O15403	SLC16A6	-2.03979593752232	0.0009548547132431	No	No
O43663	PRC1	-1.07445202713622	0.0003672077209041	No	No
O43805	SSNA1	-1.06588238882161	1.15928983512273e-14	No	No
O75462	CRLF1	-1.61816560923405	0.0001600226675997	No	No
P01591	JCHAIN	-1.52882696557486	0.0008696165662735	No	No
P04818	TYMS	-1.27039031270588	0.0016860611215051	No	No
P05546	SERPIND1	-1.00808684762459	0.0037406865088717	No	No
P05997	COL5A2	-1.79402561520639	2.06391508380637e-05	No	No
P07195	LDHB	-1.01304280937505	0.0034171698551631	No	No
P16401	H1-5	-1.1942366562103	3.04422248590098e-32	No	No
P16402	H1-3	-1.78957707372907	1.6818646372316e-17	No	No
P16403	H1-2	-1.22194660431299	3.02417451505785e-17	No	No
P17041	ZNF32	-1.12603911163031	0.0003067405765073	No	No
P20248	CCNA2	-1.26132282812856	6.65834020298491e-07	No	No
P21731	TBXA2R	-1.77789938127842	0.0005242927546941	No	No
P22492	H1-6	-1.30812571906445	0.0025774424470439	No	No
P23527	H2BC17	-1.21498816602407	0.0027972925529108	No	No
