Protein_Group	Genes	NF1_sg_Tr_vs_NF1_sg_logFC	NF1_sg_Tr_vs_NF1_sg_pval	Removed?	Contaminant?
Q562F6	SGO2	-2.80890621655185	3.33583338390736e-22	No	No
Q56A73	SPIN4	-1.66945565552401	1.21778828479865e-18	No	No
Q56NI9	ESCO2	-3.01749045885984	3.93385601049543e-12	No	No
Q5EE01	CENPW	-1.52180197285803	3.45477884304126e-07	No	No
Q5FBB7	SGO1	-2.64676847082321	2.2979317733419402e-20	No	No
Q5JTW2	CEP78	-1.35242541991038	3.70052885264342e-16	No	No
Q5JUR7	TEX30	-1.03401257106233	2.61021105463082e-07	No	No
Q5SZD1	C6orf141	-1.28688418567009	7.16469217315516e-06	No	No
Q5T0B9	ZNF362	-1.11828666445736	4.32362046857931e-07	No	No
Q5T6S3	PHF19	-3.90776397479132	4.34414114037207e-29	No	No
Q5UIP0	RIF1	-1.53536527468464	9.180592292605439e-40	No	No
Q5W0B1	OBI1	-1.02634357224606	1.3029756691665e-06	No	No
Q5XXA6	ANO1	-2.17371562778618	6.687212892319949e-11	No	No
Q67FW5	B3GNTL1	-1.09725214097654	1.1090977224919e-09	No	No
Q68D06	SLFN13	-1.72403658323918	9.22689204312499e-13	No	No
Q68D85	NCR3LG1	-1.6298946540747	6.88377639850359e-18	No	No
Q69YH5	CDCA2	-2.46668184356321	4.754452816012381e-15	No	No
Q6IBW4	NCAPH2	-2.08336284465403	1.4714931836965502e-31	No	No
Q6IE81	JADE1	-1.26717264095981	1.53585692252442e-12	No	No
Q6IPU0	CENPP	-2.11911076889083	1.47067706302869e-11	No	No
Q6NZ36	FAAP20	-1.07791854196024	0.0014655380669579	No	No
Q6P0N0	MIS18BP1	-3.15898607215601	9.851563684345439e-28	No	No
Q6P444	MTFR2	-1.15323163898097	6.19835943316171e-13	No	No
Q6P4F7	ARHGAP11A	-3.17975334135421	2.42408666903233e-15	No	No
Q6P582	MZT2A	-1.08755703886224	2.65657882458606e-05	No	No
Q6PCD5	RFWD3	-1.58233431708863	1.48272892967216e-17	No	No
Q6PGN9	PSRC1	-3.74212004428321	2.98688015701949e-17	No	No
Q6PIW4	FIGNL1	-1.60831813882274	1.84090796781151e-29	No	No
Q6PL18	ATAD2	-2.06135697414189	1.4419295208879398e-30	No	No
Q6SJ93	FAM111B	-3.98465562539366	1.83954756830098e-19	No	No
Q6UVJ0	SASS6	-1.05077601847402	3.92955444152782e-10	No	No
Q6UVK1	CSPG4	-1.36041958888872	6.06790478142197e-05	No	No
Q6UVW9	CLEC2A	-1.62773610630241	7.21671670365755e-06	No	No
Q6YHK3	CD109	-1.5907500640986	0.000104775053224	No	No
Q6ZRQ5	MMS22L	-2.09304572254638	7.05116837682744e-25	No	No
Q71DI3	H3C13	-1.20141842876337	0.0036847186314096	No	No
Q71F23	CENPU	-2.3977983987022	1.9561240485877802e-21	No	No
Q7L2K0	TEDC2	-1.47332842925128	1.32468204631727e-06	No	No
Q7L2Z9	CENPQ	-2.22122352429893	1.5501161553833601e-15	No	No
Q7L590	MCM10	-2.18407781698254	4.03465618255708e-10	No	No
Q7Z591	AKNA	-1.24093963063299	1.61760667808255e-05	No	No
Q7Z7L1	SLFN11	-1.88144873237366	6.70492603166322e-22	No	No
Q86SX3	TEDC1	-1.50666426336234	5.53823304543545e-19	No	No
Q86T82	USP37	-2.566229147405	8.82131671663671e-15	No	No
Q86UD0	SAPCD2	-1.39196382722059	2.24028977526511e-13	No	No
Q86VI3	IQGAP3	-4.8020868991566	3.04746323803164e-24	No	No
Q86W47	KCNMB4	-2.2806173169176	1.2005164157885e-05	No	No
Q86XI2	NCAPG2	-2.46661611999424	9.69803438264542e-32	No	No
Q86XK3	SFR1	-1.44050638344659	2.94459205517084e-07	No	No
Q86Y91	KIF18B	-2.53417808747139	5.160831081502971e-15	No	No
Q86Y97	KMT5C	-1.3027095531643	7.10169286535846e-16	No	No
Q86YC2	PALB2	-1.34521368289489	7.86348877183353e-06	No	No
Q8IX21	SLF2	-2.15196890074532	3.59932943656896e-12	No	No
Q8IX90	SKA3	-3.63991578595375	3.36338043092857e-18	No	No
Q8IXM6	NRM	-1.03962364017276	2.32806270875566e-20	No	No
Q8IXQ3	C9orf40	-1.05759220084924	2.44759034082457e-07	No	No
Q8IYA6	CKAP2L	-3.83453660946042	8.916400215925521e-14	No	No
Q8IYN6	UBALD2	-3.301661201031	1.02655408383008e-08	No	No
Q8IYW5	RNF168	-2.511582582046	4.0434142714848105e-19	No	No
Q8IZ13	ZBED8	-1.20085861804182	0.0012530193012512	No	No
Q8IZC4	RTKN2	-1.91045243446868	9.51649892551584e-13	No	No
Q8IZT6	ASPM	-1.99274697843873	8.558555147762001e-27	No	No
Q8N0S6	CENPL	-1.58602691513995	2.35746605275929e-19	No	No
Q8N2Z9	CENPS	-1.50396045928789	5.822454722400731e-15	No	No
Q8N3J2	METTL4	-1.01973755090199	0.0003441756104291	No	No
Q8N3J3	HROB	-1.04535288714946	1.92255754245303e-06	No	No
Q8N4T4	ARHGEF39	-1.39505278375409	0.0011064733846071	No	No
Q8N806	UBR7	-1.15597776483188	1.44281859517505e-25	No	No
Q8NB91	FANCB	-1.94065425713999	5.37232354912371e-12	No	No
Q8NBI5	SLC43A3	-2.81665552413324	3.5952682671333495e-18	No	No
Q8NBT0	POC1A	-1.61286320204098	2.0488830866595002e-16	No	No
Q8NBT2	SPC24	-3.98211630165162	7.912867617384611e-20	No	No
Q8NCN4	RNF169	-1.14804676218427	8.20070432078835e-28	No	No
Q8NCW0	KREMEN2	-1.01636541030459	3.17253195625046e-05	No	No
Q8NEM0	MCPH1	-1.41432717268081	9.22520737071664e-05	No	No
Q8NEM2	SHCBP1	-3.44929532421716	2.1276530388436202e-23	No	No
Q8NG31	KNL1	-2.90446617138621	3.29066490603523e-24	No	No
Q8NI77	KIF18A	-2.93236716830084	3.01934360644874e-34	No	No
Q8TAA5	GRPEL2	-1.07395975055561	4.1916230014071003e-20	No	No
Q8TAD7	OCC1	-1.34943240617374	1.7322428771528102e-09	No	No
Q8TBN0	RAB3IL1	-1.28541380330279	0.0001310945949135	No	No
Q8TCG1	CIP2A	-2.26595879976094	9.6853481158923e-23	No	No
Q8TD30	GPT2	-1.38578063377416	3.35933295515489e-18	No	No
Q8TF76	HASPIN	-1.69217750754258	2.95433334382481e-08	No	No
Q8WTP8	AEN	-1.22087885249244	0.001084518512094	No	No
Q8WUD6	CHPT1	-1.00556548128621	6.16752307957382e-15	No	No
Q8WUY9	DEPDC1B	-1.66903635390272	0.0024125426251879	No	No
Q8WVB6	CHTF18	-1.06606882060632	1.8880539175566e-38	No	No
Q8WVK7	SKA2	-2.70786293161596	8.49241810917863e-16	No	No
Q8WVN6	SECTM1	-2.62878661195489	2.8853482432672196e-11	No	No
Q8WVP5	TNFAIP8L1	-2.27081988446494	2.5920992224759096e-11	No	No
Q8WWK9	CKAP2	-3.64828788401688	2.58136854794415e-20	No	No
Q8WXX5	DNAJC9	-1.13557939725025	6.57848535594707e-22	No	No
Q92522	H1-10	-1.46899622289436	2.8835294398861904e-23	No	No
Q92547	TOPBP1	-1.33526077857425	8.94061024088603e-32	No	No
Q92674	CENPI	-1.75515277460308	1.96175064636112e-19	No	No
Q92686	NRGN	-1.53815539175004	0.0008132228871176	No	No
Q92771	DDX12P	-2.23790954641771	9.65848460269936e-17	No	No
Q96AP7	ESAM	-1.89641680472655	4.2897777161083e-05	No	No
Q96AY2	EME1	-1.36176353134972	5.625450801535321e-10	No	No
Q96B01	RAD51AP1	-2.54339833828624	7.95120146771847e-18	No	No
Q96BD8	SKA1	-4.62245743129502	5.1663933148473404e-24	No	No
Q96BT3	CENPT	-1.3051143414468	2.00514448893829e-18	No	No
Q96BZ8	LENG1	-1.04721808031679	3.7845386228157e-18	No	No
Q96CG3	TIFA	-1.528266764463	2.93110828636822e-06	No	No
Q96CN5	LRRC45	-2.05382534594052	1.03438438679756e-16	No	No
Q96CS2	HAUS1	-1.17810803874589	3.25413296753203e-09	No	No
Q96CX2	KCTD12	-2.2634936640628	1.02998696579662e-07	No	No
Q96D05	FAM241B	-1.21401584044139	1.61345991445699e-07	No	No
Q96DN5	TBC1D31	-1.01042052034551	1.56817197157434e-06	No	No
Q96E14	RMI2	-1.56594215435393	1.46602780148716e-14	No	No
Q96EA4	SPDL1	-1.63397098746157	1.54020010356476e-28	No	No
Q96EX3	DYNC2I2	-1.28970088903015	3.24136368722621e-13	No	No
Q96FC9	DDX11	-1.72146604195777	4.48719407676433e-08	No	No
Q96FF9	CDCA5	-5.01035960022278	7.31252772214439e-24	No	No
Q96FX8	PERP	-1.29482103229309	0.0012804368454147	No	No
Q96GD4	AURKB	-4.21974086654744	7.58161032415414e-22	No	No
Q96GN5	CDCA7L	-2.84328008844541	5.8163356544582e-22	No	No
Q96GX5	MASTL	-2.41200292001773	9.641686193838089e-13	No	No
Q96H22	CENPN	-1.54368800167587	1.47643994183843e-15	No	No
Q96HA7	TONSL	-1.97637485005052	8.3412869987038e-27	No	No
Q96HE9	PRR11	-3.26857305283528	3.0412571533075e-22	No	No
Q96K30	RITA1	-2.85355449552572	2.0440055800094899e-13	No	No
Q96K80	ZC3H10	-1.05281196242105	5.6843765631146e-11	No	No
Q96KB5	PBK	-4.10253839250695	1.4946835208998e-22	No	No
Q96L08	SUSD3	-1.33131265484537	0.0010175413815893	No	No
Q96L50	LRR1	-2.28037385355035	7.70331651527285e-18	No	No
Q96M11	HYLS1	-1.45463494318812	6.922560912601451e-09	No	No
Q96MW7	TIGD1	-1.50359684679443	3.50822671990351e-05	No	No
Q96NY9	MUS81	-1.37229733832344	4.15888307374693e-20	No	No
Q96PY5	FMNL2	-1.79125087588476	5.64039583807975e-06	No	No
Q96PZ2	FAM111A	-1.0783103272129	1.75357673594488e-19	No	No
Q96Q89	KIF20B	-2.7097776299174	7.75377513334361e-34	No	No
Q96QE3	ATAD5	-2.59402645368455	4.75402543987321e-28	No	No
Q96R06	SPAG5	-3.50526712296342	2.41025872300951e-23	No	No
Q96T88	UHRF1	-3.59183742268327	5.0377952897685505e-23	No	No
Q99550	MPHOSPH9	-1.24584369349314	7.23142826996319e-08	No	No
Q99618	CDCA3	-3.61463351177902	9.10980742345898e-21	No	No
Q99624	SLC38A3	-1.65657850807478	0.0002712831403319	No	No
Q99640	PKMYT1	-3.57598411740399	4.6839433310808895e-28	No	No
Q99661	KIF2C	-4.10732721774333	1.1568538272928402e-25	No	No
Q99728	BARD1	-2.5759580451667	1.2292132745259001e-26	No	No
Q99741	CDC6	-3.6844549552131	2.9388018076616603e-21	No	No
Q99784	OLFM1	-1.98477023733741	8.31778373030484e-12	No	No
Q99808	SLC29A1	-1.18946959976396	2.16130201017286e-08	No	No
Q9BPX3	NCAPG	-2.30674805667062	3.2629328453862597e-26	No	No
Q9BQI6	SLF1	-2.34334643091119	1.82103617765961e-08	No	No
Q9BRT9	GINS4	-1.83670513176646	1.58888836017893e-16	No	No
Q9BRX5	GINS3	-1.86013475870152	1.58670080438155e-16	No	No
Q9BS16	CENPK	-1.70866166529822	3.15156217062468e-17	No	No
Q9BSJ6	PIMREG	-2.68492340092007	3.4246623731643597e-16	No	No
Q9BTE3	MCMBP	-1.30398501299908	4.793681932319991e-19	No	No
Q9BU64	CENPO	-1.83993934022747	3.09415714062131e-16	No	No
Q9BVC3	DSCC1	-1.22763232668397	4.5526490548567196e-26	No	No
Q9BVW5	TIPIN	-2.14416669770562	1.01784029983316e-24	No	No
Q9BVX2	TMEM106C	-1.57569863935545	3.67062341686105e-07	No	No
Q9BW11	MXD3	-2.15765127576273	1.26924178690731e-14	No	No
Q9BW19	KIFC1	-4.37214554237425	5.87065216528592e-27	No	No
Q9BW71	HIRIP3	-1.36722970879281	1.30474344764373e-20	No	No
Q9BWF2	TRAIP	-1.29441676198332	3.32238126391877e-05	No	No
Q9BWT6	MND1	-3.35268413823798	2.2074007686261e-17	No	No
Q9BX63	BRIP1	-2.16560494235091	4.1924447449831e-17	No	No
Q9BXS6	NUSAP1	-5.03054274677691	2.99728233080304e-21	No	No
Q9BXW9	FANCD2	-2.75047576781632	5.38552088744293e-24	No	No
Q9BZD4	NUF2	-4.28360162253517	2.72696708229837e-20	No	No
Q9BZR6	RTN4R	-1.05384507393637	0.0016849204484384	No	No
Q9C099	LRRCC1	-1.57679185271029	0.0005888380890264	No	No
Q9C0D2	CEP295	-1.21307127067845	3.5307010054137e-11	No	No
Q9H0H5	RACGAP1	-3.53842493855294	2.82272077609385e-29	No	No
Q9H211	CDT1	-2.80669579601694	5.70297633879298e-33	No	No
Q9H228	S1PR5	-1.17710673353717	8.50912788990379e-05	No	No
Q9H2Y7	ZNF106	-1.31529668178302	2.56370080832492e-16	No	No
Q9H3R5	CENPH	-1.76177654634844	3.54203169919381e-22	No	No
Q9H467	CUEDC2	-1.05456571097616	3.61550460176754e-11	No	No
Q9H4D0	CLSTN2	-1.76883560217923	0.0004380385503813	No	No
Q9H4H8	FAM83D	-3.43331947553989	3.40833274334342e-20	No	No
Q9H6D7	HAUS4	-1.25680865426756	2.0035298689934402e-20	No	No
Q9H6L5	RETREG1	-1.92804207548666	4.91067207450712e-08	No	No
Q9H816	DCLRE1B	-1.42047743077827	9.98501329980483e-06	No	No
Q9H8V3	ECT2	-2.66825536909692	8.53510131219144e-27	No	No
Q9H967	WDR76	-4.89655135413154	1.19112070205565e-27	No	No
Q9H9A7	RMI1	-1.63578252764655	4.91917950209528e-19	No	No
Q9HAW4	CLSPN	-2.79544011096163	1.31703361128628e-16	No	No
Q9HBM1	SPC25	-3.82618129789403	4.2509574464781494e-18	No	No
Q9NPD8	UBE2T	-3.37649920505037	4.60191881623045e-19	No	No
Q9NQ31	AKIP1	-1.60822210232155	1.14604873403488e-05	No	No
Q9NQR1	KMT5A	-1.21196427986458	2.89555524953046e-10	No	No
Q9NQS7	INCENP	-4.18261105167641	2.37518764068314e-27	No	No
Q9NQV5	PRDM11	-2.88007695235809	5.51956307561896e-32	No	No
Q9NQW6	ANLN	-4.00461697831332	4.28652415937338e-22	No	No
Q9NRZ9	HELLS	-3.90897115782179	8.948030601601111e-25	No	No
Q9NS37	CREBZF	-1.26034219792439	0.002984308409273	No	No
Q9NS87	KIF15	-2.41965832550508	1.3878856740813902e-19	No	No
Q9NS91	RAD18	-2.12725519222545	3.30302707142156e-32	No	No
Q9NSG2	C1orf112	-1.60567430842088	1.86979224638454e-23	No	No
Q9NSP4	CENPM	-1.52639570619814	2.48817641198489e-09	No	No
Q9NSV4	DIAPH3	-1.30730419011252	1.0694045254411302e-31	No	No
Q9NTJ3	SMC4	-1.74993323715858	1.17223852520698e-34	No	No
Q9NUU6	OTULINL	-1.11424476177998	8.62687456987144e-09	No	No
Q9NVI1	FANCI	-3.49407012918422	7.779038438430009e-26	No	No
Q9NVP2	ASF1B	-2.55175778645425	1.03665369806108e-17	No	No
Q9NW38	FANCL	-1.70742919752498	2.25568626047156e-07	No	No
Q9NXG0	CNTLN	-1.25525714754066	1.95504965299584e-08	No	No
Q9NYP3	DONSON	-2.25608359950915	7.45056737697514e-08	No	No
Q9NYP9	MIS18A	-1.81169805483064	1.91374564841663e-22	No	No
Q9NYZ3	GTSE1	-3.44384147260149	4.0402036232477504e-15	No	No
Q9NZJ0	DTL	-3.25090862733789	5.0264410730018304e-24	No	No
Q9P0K8	FOXJ2	-1.31660496055594	8.94050321537538e-07	No	No
Q9P209	CEP72	-1.06491587323284	0.0038308387098937	No	No
Q9P2W1	PSMC3IP	-3.98997812423207	4.31851327635883e-24	No	No
Q9UBC3	DNMT3B	-1.94765725691965	1.02018290298706e-10	No	No
Q9UBT6	POLK	-1.01780591782419	1.15072701929431e-06	No	No
Q9UH17	APOBEC3B	-2.53978309917096	2.1795473463372302e-23	No	No
Q9UII4	HERC5	-1.40992504011867	0.0006480594098054	No	No
Q9UJA3	MCM8	-1.56060812948462	5.434498959915639e-13	No	No
Q9UKL3	CASP8AP2	-1.1000829835897	6.57468788735153e-06	No	No
Q9UKT4	FBXO5	-2.16643189191817	9.24009984807217e-15	No	No
Q9ULW0	TPX2	-4.34659197503528	1.7363490219071602e-23	No	No
Q9UNS1	TIMELESS	-1.9330175228751	9.28411959737327e-27	No	No
Q9UPG8	PLAGL2	-1.93086530693582	0.0009023749021531	No	No
Q9UQ84	EXO1	-1.15745143573608	8.34725032211798e-06	No	No
Q9UQR0	SCML2	-1.27300541410845	2.05666578521368e-25	No	No
Q9Y242	TCF19	-2.56522971597291	4.60446686185721e-13	No	No
Q9Y248	GINS2	-1.91036952727873	2.3689874902735197e-18	No	No
Q9Y253	POLH	-1.24817549072124	2.88044854632223e-06	No	No
Q9Y2D8	SSX2IP	-1.5824676360118	7.26205143983139e-08	No	No
Q9Y2Y6	TMEM98	-1.43549624262821	3.69413950314352e-06	No	No
Q9Y3L3	SH3BP1	-1.14370487204479	2.1120816249614202e-14	No	No
Q9Y448	KNSTRN	-3.66195611559037	3.19285690424243e-22	No	No
Q9Y4U1	MMACHC	-1.03960089339825	3.79143207103904e-08	No	No
Q9Y592	CEP83	-1.0456387143768	0.0005202103710658	No	No
Q9Y5N6	ORC6	-2.10542903122172	1.48885679137809e-10	No	No
Q9Y5T4	DNAJC15	-1.14881579654339	4.44494614701051e-09	No	No
Q9Y5U5	TNFRSF18	-1.16053647714032	0.0020680642864903	No	No
Q9Y620	RAD54B	-2.54002695504275	1.62257637751004e-21	No	No
Q9Y6A5	TACC3	-3.43521869720467	1.0526221956922e-21	No	No
Q9Y6R9	CCDC61	-1.65387795198504	1.34468354478754e-13	No	No
