Protein_Group	Genes	T47D_ResC_Tr_vs_T47D_ResC_logFC	T47D_ResC_Tr_vs_T47D_ResC_pval	Removed?	Contaminant?
A6NC05	C5orf63	-1.91732854519245	9.29103179376385e-06	No	No
A6NKF2	ARID3C	-2.06148965687157	0.0003749117154457	No	No
O00458	IFRD1	-1.06851424376347	0.0024998631034437	No	No
O15304	SIVA1	-1.27994628309006	9.86581134797565e-05	No	No
O43805	SSNA1	-1.08874157133578	4.67355512499817e-15	No	No
O60602	TLR5	-1.06599000270053	0.006183265556234	No	No
O95997	PTTG1	-1.03902064660334	2.38501613470401e-05	No	No
P02795	MT2A	-1.21031325914703	0.0001065513593545	No	No
P04818	TYMS	-1.05124867705053	0.0086871622621622	No	No
P16402	H1-3	-1.12490843915653	1.2404911077432502e-09	No	No
P17676	CEBPB	-1.00555104548846	5.84561792548233e-11	No	No
P23527	H2BC17	-1.07848801960274	0.0076073296207596	No	No
P30305	CDC25B	-1.02551992685244	0.0001352153443751	No	No
P31350	RRM2	-1.00160549485029	0.0073652931401575	No	No
P36383	GJC1	-1.20202873730203	0.0090449719997061	No	No
P43308	SSR2	-2.35407601917326	0.000338162243871	No	No
P51956	NEK3	-1.13470085198789	0.0019706932456537	No	No
P59796	GPX6	-1.41884399536306	2.11933265574095e-06	No	No
P78364	PHC1	-1.63245444178739	0.0002190375317412	No	No
Q01664	TFAP4	-1.48798859318292	5.54707855424119e-05	No	No
Q12815	TROAP	-1.160967771237	0.0017617295022776	No	No
Q14807	KIF22	-1.10159638310713	8.59033875154689e-05	No	No
Q15468	STIL	-1.12780570632766	2.47211305775521e-05	No	No
Q16385	SSX2B	-1.05041283574761	2.79440037260934e-05	No	No
Q4AE62	GTDC1	-1.26343771171893	0.0013122933474415	No	No
Q5VZY2	PLPP4	-1.86654368715633	2.46531198768301e-06	No	No
Q68CR1	SEL1L3	-2.02329692976038	7.70387349138889e-06	No	No
Q6P4F7	ARHGAP11A	-1.00583202166465	0.0026017049485514	No	No
Q7Z402	TMC7	-1.26165221429596	0.0011671041079574	No	No
Q7Z7K6	CENPV	-1.53254581156489	8.32069022699903e-08	No	No
Q86Y91	KIF18B	-1.00033923948856	0.0002699194910275	No	No
Q8IYW5	RNF168	-1.18909292620226	3.08183014048992e-07	No	No
Q8N2A8	PLD6	-1.43857616924835	0.0050014465463091	No	No
Q969L4	LSM10	-1.52461348930729	7.62386987650276e-07	No	No
Q96BR9	ZBTB8A	-1.28635412764686	4.16964187337063e-07	No	No
Q96CX2	KCTD12	-1.05914316834701	0.0075598517834485	No	No
Q96FF9	CDCA5	-1.03391030658315	0.0037861389549322	No	No
Q96GM1	PLPPR2	-1.44198772256623	0.0054198320627699	No	No
Q96N19	GPR137	-2.13579122952939	9.3042824084674e-05	No	No
Q9BQI6	SLF1	-1.02269368020099	0.0076879487493598	No	No
Q9BRL6	SRSF8	-1.63443180673757	7.01844218945656e-06	No	No
Q9H898	ZMAT4	-1.03217360378847	0.0075767363212245	No	No
Q9H967	WDR76	-1.08581868333979	0.0003815436795185	No	No
Q9NPI7	KRCC1	-1.33043963919764	0.0001900673994427	No	No
Q9UHQ7	TCEAL9	-1.59727376057167	0.0002399332604149	No	No
Q9UPZ9	CILK1	-1.06870836394318	0.0007527922250694	No	No
