Protein_Group	Genes	T47D_ResA_p26_vs_T47D_logFC	T47D_ResA_p26_vs_T47D_pval	Removed?	Contaminant?
Q8WVP5	TNFAIP8L1	-2.74405645001748	1.48185964839027e-16	No	No
Q8WVZ9	KBTBD7	-1.14647474515639	6.16635596190445e-13	No	No
Q8WWI1	LMO7	-1.14444950549009	3.39902678931082e-45	No	No
Q8WWY8	LIPH	-1.57678801647199	1.76972703076444e-19	No	No
Q8WWZ3	EDARADD	-2.31630907322723	8.91069681174655e-13	No	No
Q92633	LPAR1	-1.6528314894468	2.27848467902509e-06	No	No
Q92817	EVPL	-1.03997260718575	2.5591131765754498e-36	No	No
Q92902	HPS1	-1.02587832493494	8.97150556476781e-05	No	No
Q95460	MR1	-1.06808949659268	6.81891017203085e-05	No	No
Q96A19	CCDC102A	-1.62996019155022	4.43054513371529e-21	No	No
Q96AP7	ESAM	-1.06972839977171	0.0078749199895676	No	No
Q96AY3	FKBP10	-1.45905245353683	2.49166825106648e-46	No	No
Q96B02	UBE2W	-1.1382868321625	0.0041529616590492	No	No
Q96B21	TMEM45B	-1.17976424839851	1.5066409381248501e-09	No	No
Q96BI1	SLC22A18	-1.36683575051377	8.646318596762e-26	No	No
Q96CM8	ACSF2	-1.05732101725429	1.93211488050927e-23	No	No
Q96CX2	KCTD12	-1.11017718181089	0.0019456908887707	No	No
Q96DR4	STARD4	-1.64855958517961	1.84450473341354e-06	No	No
Q96DX5	ASB9	-1.34133080514317	0.0013969293837445	No	No
Q96EN8	MOCOS	-1.36530595197747	3.5020197489932895e-11	No	No
Q96FE7	PIK3IP1	-1.60507546870789	4.9483879578138e-06	No	No
Q96FL8	SLC47A1	-1.6630506824589	1.09032191476282e-10	No	No
Q96FN4	CPNE2	-1.35983716520844	9.1407425607553e-13	No	No
Q96GM1	PLPPR2	-2.60470627000114	1.53985961117997e-07	No	No
Q96L94	SNX22	-1.2986391730253	1.25627650939825e-07	No	No
Q96M32	AK7	-1.15951151842026	2.52453904865774e-05	No	No
Q96MF6	COQ10A	-1.40859610866539	7.65080566230185e-08	No	No
Q96NL8	C8orf37	-1.07591626092987	1.47071721689579e-10	No	No
Q96NR8	RDH12	-1.3325866753012	2.34770086250058e-05	No	No
Q96PX6	CCDC85A	-1.13639086590403	0.0046438566613264	No	No
Q96PX9	PLEKHG4B	-1.64993827846864	1.6866431948466597e-11	No	No
Q96R05	RBP7	-1.63387391656884	3.24460731951145e-21	No	No
Q99959	PKP2	-1.05239876383868	1.7231257110842502e-25	No	No
Q9BPZ2	SPIN2B	-1.00523954503943	6.95887924932917e-07	No	No
Q9BS92	NIPSNAP3B	-1.53208935373376	8.09294239477553e-07	No	No
Q9BSW7	SYT17	-1.52747721404501	2.07262615699021e-05	No	No
Q9BUM1	G6PC3	-1.04446454155798	7.714742105258621e-09	No	No
Q9BW62	KATNAL1	-1.06149582159665	6.90038105054962e-11	No	No
Q9BWC9	CCDC106	-1.77796485897389	2.5310601248411698e-11	No	No
Q9BXI9	C1QTNF6	-2.38174692948899	4.47275296414138e-14	No	No
Q9BXM9	FSD1L	-1.31432575743495	4.18030758167577e-07	No	No
Q9BY84	DUSP16	-1.65010279081623	9.42007730731565e-11	No	No
Q9BZF2	OSBPL7	-1.08678022030089	6.72390677314517e-06	No	No
Q9BZG1	RAB34	-1.25149933012709	1.55400523515084e-33	No	No
Q9C0H9	SRCIN1	-1.23887083240017	2.79045780009189e-18	No	No
Q9GZV1	ANKRD2	-1.91407955556149	3.87957900980596e-18	No	No
Q9H0H3	KLHL25	-1.098954024667	8.90099833387662e-15	No	No
Q9H1C3	GLT8D2	-1.1229266909724	0.0001371126868147	No	No
Q9H3G5	CPVL	-2.29176991147402	4.41708654867704e-41	No	No
Q9H553	ALG2	-1.41146017361313	8.84673470877874e-32	No	No
Q9H792	PEAK1	-1.04184435727149	0.0008498281007354	No	No
Q9H9S4	CAB39L	-1.14538216696928	1.49727177387898e-25	No	No
Q9HA77	CARS2	-1.02360555099202	5.87745500952398e-27	No	No
Q9HBG6	IFT122	-1.04672528045291	6.83666822566558e-27	No	No
Q9HBL0	TNS1	-1.36836089267126	1.72194356034224e-10	No	No
Q9HCK5	AGO4	-1.16131907126668	0.0005142569684882	No	No
Q9NP74	PALMD	-1.27940212097998	1.15521451614262e-07	No	No
Q9NQX4	MYO5C	-1.51949945271672	1.81945939369404e-47	No	No
Q9NQX7	ITM2C	-1.41545610608459	2.94692531398355e-08	No	No
Q9NRX4	PHPT1	-1.19977020946968	1.54122077858905e-14	No	No
Q9NSY2	STARD5	-1.04751237331916	8.910889701987111e-17	No	No
Q9NUB1	ACSS1	-1.12654763419015	7.073470882558559e-22	No	No
Q9NUV7	SPTLC3	-1.12105203952385	3.0554019762224905e-09	No	No
Q9NVC3	SLC38A7	-1.27310430451076	6.354893996678901e-16	No	No
Q9NVN8	GNL3L	-1.01579918357621	1.973400672362e-31	No	No
Q9NW07	ZNF358	-1.13307152460713	0.0008681281266825	No	No
Q9NWW6	NMRK1	-1.25254285185792	2.9158832768781998e-12	No	No
Q9NX57	RAB20	-1.14650636159828	2.44208985301444e-15	No	No
Q9NX95	SYBU	-1.18436170525985	0.0087846447609969	No	No
Q9NXG6	P4HTM	-1.17583252388433	5.83918898714481e-17	No	No
Q9NXL2	ARHGEF38	-1.24672780872434	1.10361470978278e-13	No	No
Q9NYF5	FAM13B	-1.21904627803576	0.0004604284038558	No	No
Q9NZC7	WWOX	-1.11990571363699	5.77241762486344e-21	No	No
Q9NZU0	FLRT3	-1.18139898356934	9.13194462755594e-05	No	No
Q9P107	GMIP	-1.34462629180188	1.11086220035677e-34	No	No
Q9UFP1	GASK1A	-2.0385467428353	7.168050329751741e-09	No	No
Q9UGQ3	SLC2A6	-1.23641041507739	3.8259294151729e-09	No	No
Q9UJ14	GGT7	-1.558636328077	5.28558586196456e-22	No	No
Q9UJ37	ST6GALNAC2	-1.08202748028108	3.14263631026284e-07	No	No
Q9UJX0	OSGIN1	-1.05301227403211	7.01744769595688e-06	No	No
Q9UKB3	DNAJC12	-1.28556060782498	0.0056623372934829	No	No
Q9UKC9	FBXL2	-1.24600865863765	1.68811474884104e-11	No	No
Q9UKK3	PARP4	-1.20521855310113	5.78082450074917e-09	No	No
Q9Y2A9	B3GNT3	-1.42102275460211	5.43911793606287e-05	No	No
Q9Y2J2	EPB41L3	-1.55127176890629	2.68434620531016e-05	No	No
Q9Y2J8	PADI2	-1.34296268083719	4.879028828013969e-11	No	No
Q9Y2Y0	ARL2BP	-1.26702055304662	1.46016451413603e-15	No	No
Q9Y572	RIPK3	-2.70595424350571	7.31136286509718e-13	No	No
Q9Y6U3	SCIN	-1.76229377407627	2.31538765285561e-10	No	No
Q9Y6X4	FAM169A	-1.40338605578034	1.4279518873205102e-17	No	No
